C.48,C.pct,C,PID,MP,PG MP,Is Regular Season,Period,Pf.48,PF.pct,PF,PF MP,C MP,SF MP,SG MP,Pg.48,PG.pct,PG,Player,Sf.48,SF.pct,SF,Sg.48,SG.pct,SG,Team,Mins,Pos.Est
0,0,0,Aaron BrooksCHIAll1,656.783333333,561.633333333,1,All,0,0,0,0,0,0,95.15,7.43545611,0.855,33698,Aaron Brooks,0,0,0,-18.160798739,0.145,5709,CHI,39407,1.144872738
0,0.002,100,Aaron GordonORLAll1,1083.95,0,1,All,-4.013341253,0.673,43774,729.566666667,1.666666667,350.466666667,2.25,0,0,0,Aaron Gordon,2.328324139,0.323,21028,0,0.002,135,ORL,65037,3.674062457
0,0,0,Aaron HarrisonCHAAll1,54.933333333,0,1,All,0,0,0,0,0,51.883333333,3.05,0,0,0,Aaron Harrison,4.62576293,0.944,3113,-78.68852459,0.056,183,CHA,3296,2.944478155
17.777777778,0.08,1458,Adreian PayneMINAll1,303.35,0,1,All,-11.180791973,0.92,16743,279.05,24.3,0,0,0,0,0,Adreian Payne,0,0,0,0,0,0,MIN,18201,4.080105489
1.588527303,0.904,92463,Al HorfordATLAll1,1704,0,1,All,3.534826634,0.096,9777,162.95,1541.05,0,0,0,0,0,Al Horford,0,0,0,0,0,0,ATL,102240,4.904372066
-1.103832753,1,28700,Al JeffersonCHAAll1,478.333333333,0,1,All,0,0,0,0,478.333333333,0,0,0,0,0,Al Jefferson,0,0,0,0,0,0,CHA,28700,5
0,0.003,294,Al-Farouq AminuPORAll1,1556.433333333,0,1,All,6.175456043,0.345,32179,536.316666667,4.9,1015.216666667,0,0,0,0,Al Farouq Aminu,0.283683286,0.652,60913,0,0,0,POR,93386,3.350877005
0,0,0,Alec BurksUTAAll1,760.133333333,223.916666667,1,All,0,0,0,0,0,2.083333333,534.133333333,-0.214365463,0.295,13435,Alec Burks,0,0.003,125,-1.61757364,0.703,32048,UTA,45608,1.708165234
-4.377232312,0.899,52636,Alex LenPHXAll1,975.5,0,1,All,-26.386155412,0.101,5894,98.233333333,877.266666667,0,0,0,0,0,Alex Len,0,0,0,0,0,0,PHX,58530,4.899299505
0,0.997,27968,Alexis AjincaNOPAll1,467.4,0,1,All,0,0.003,76,1.266666667,466.133333333,0,0,0,0,0,Alexis Ajinca,0,0,0,0,0,0,NOP,28044,4.997289973
0,0,0,Allen CrabbePORAll1,1345.866666667,0.4,1,All,0,0,0,0,0,241.883333333,1103.583333333,0,0,24,Allen Crabbe,8.334596569,0.18,14513,-2.653175262,0.82,66215,POR,80752,2.179425897
0,0.002,118,Alonzo GeeNOPAll1,1089.15,0,1,All,-2.668519805,0.066,4317,71.95,1.966666667,1001.283333333,13.95,0,0,0,Alonzo Gee,-5.321171164,0.919,60077,0,0.013,837,NOP,65349,3.056863915
