GROUP_NAME,OFF_RATING,TEAM_ABBREVIATION
"Curry,Stephen - Iguodala,Andre - Thompson,Klay",128.7,GSW
"Durant,Kevin - Waiters,Dion - Westbrook,Russell",117.7,OKC
"James,LeBron - Love,Kevin - Thompson,Tristan",116.4,CLE
"Joseph,Cory - Lowry,Kyle - Patterson,Patrick",113.5,TOR
"Griffin,Blake - Paul,Chris - Redick,JJ",112.8,LAC
"Ariza,Trevor - Capela,Clint - Harden,James",112.3,HOU
"Matthews,Wesley - Nowitzki,Dirk - Pachulia,Zaza",110.5,DAL
"Bradley,Avery - Crowder,Jae - Thomas,Isaiah",109.6,BOS
"Gobert,Rudy - Hayward,Gordon - Neto,Raul",108.9,UTA
"Dieng,Gorgui - Rubio,Ricky - Wiggins,Andrew",108.1,MIN
"Batum,Nicolas - Williams,Marvin - Zeller,Cody",108,CHA
"Aminu,Al-Farouq - Lillard,Damian - McCollum,CJ",107.8,POR
"Dudley,Jared - Temple,Garrett - Wall,John",107.7,WAS
"Faried,Kenneth - Gallinari,Danilo - Harris,Gary",107.3,DEN
"Casspi,Omri - Cousins,DeMarcus - Rondo,Rajon",107.2,SAC
"Duncan,Tim - Leonard,Kawhi - Parker,Tony",106.9,SAS
"Bosh,Chris - Green,Gerald - Winslow,Justise",106.9,MIA
"Caldwell-Pope,Kentavious - Drummond,Andre - Morris,Marcus",106.7,DET
"Middleton,Khris - Monroe,Greg - Parker,Jabari",106.5,MIL
"Bogdanovic,Bojan - Johnson,Joe - Young,Thaddeus",106.5,BKN
"Afflalo,Arron - Anthony,Carmelo - Porzingis,Kristaps",106.2,NYK
"Frye,Channing - Harris,Tobias - Vucevic,Nikola",105.5,ORL
"Bazemore,Kent - Horford,Al - Korver,Kyle",105.4,ATL
"Ellis,Monta - George,Paul - Hill,Jordan",105.4,IND
"Butler,Jimmy - Gasol,Pau - Mirotic,Nikola",104.3,CHI
"Allen,Tony - Conley,Mike - Randolph,Zach",104.1,MEM
"Bledsoe,Eric - Knight,Brandon - Tucker,PJ",101.4,PHX
"Bryant,Kobe - Clarkson,Jordan - Randle,Julius",98,LAL
