,BetterPPP,FG,FGA,FGAG,FGM,FGMG,FGm,FGmG,FT,GP,PPG,PPP,PlusOne,Points,Poss,PossG,SF,Score,TO,TeamIDSID,TeamName,TeamNameAbbreviation,TeamShortName,Time,WorsePPP,aFG,name,season,seasonType
0,9,60.2591792657,463,5.64634146341,279,3.40243902439,184,2.24390243902,19.7278911565,82,8.4756097561,1.18197000027,5.78231292517,695,588,7.17073170732,18.7074829932,60.5442176871,7.14285714286,1610612757,Portland Trail Blazers,POR,Portland,6.62759017944,20,60.2591792657,Defensive,2015,Reg
1,10,58.3333333333,504,6.14634146341,294,3.58536585366,210,2.56097560976,19.3958664547,82,9.12195121951,1.1891900301,4.45151033386,748,629,7.67073170732,17.6470588235,60.413354531,4.92845786963,1610612752,New York Knicks,NYK,NewYork,7.21164989471,19,58.3333333333,Defensive,2015,Reg
2,3,58.7174348697,499,6.08536585366,293,3.57317073171,206,2.51219512195,18.5303514377,82,8.85365853659,1.15973997116,3.99361022364,726,626,7.63414634146,17.731629393,60.0638977636,5.5910543131,1610612739,Cleveland Cavaliers,CLE,Cleveland,7.3045501709,26,58.7174348697,Defensive,2015,Reg
3,1,58.2230623819,529,6.4512195122,308,3.75609756098,221,2.69512195122,16.7673716012,82,9.19512195122,1.13897001743,2.87009063444,754,662,8.07317073171,15.5589123867,58.6102719033,6.19335347432,1610612762,Utah Jazz,UTA,Utah,7.83617019653,28,58.2230623819,Defensive,2015,Reg
4,6,60.0,555,6.76829268293,333,4.06097560976,222,2.70731707317,14.2642642643,82,9.48780487805,1.16816997528,4.05405405405,778,666,8.12195121951,13.6636636637,58.8588588589,6.45645645646,1610612759,San Antonio Spurs,SAS,SanAntonio,7.76948022842,23,60.0,Defensive,2015,Reg
5,27,65.7731958763,485,5.91463414634,319,3.89024390244,166,2.0243902439,13.058419244,82,9.10975609756,1.28350996971,2.57731958763,747,582,7.09756097561,12.8865979381,64.4329896907,6.01374570447,1610612765,Detroit Pistons,DET,Detroit,6.69272994995,2,65.7731958763,Defensive,2015,Reg
6,15,62.3742454728,497,6.06097560976,310,3.78048780488,187,2.28048780488,17.1701112878,82,9.21951219512,1.20191001892,3.97456279809,756,629,7.67073170732,16.8521462639,61.0492845787,7.63116057234,1610612754,Indiana Pacers,IND,Indiana,6.95719003677,14,62.3742454728,Defensive,2015,Reg
7,8,59.1497227357,541,6.59756097561,320,3.90243902439,221,2.69512195122,15.5120481928,82,9.51219512195,1.17470002174,4.51807228916,780,664,8.09756097561,15.3614457831,58.4337349398,7.53012048193,1610612748,Miami Heat,MIA,Miami,7.6532998085,21,59.1497227357,Defensive,2015,Reg
8,18,64.8288973384,526,6.41463414634,341,4.15853658537,185,2.25609756098,13.7825421133,82,9.75609756098,1.22511005402,2.90964777948,800,653,7.96341463415,13.3231240429,62.02143951,8.42266462481,1610612742,Dallas Mavericks,DAL,Dallas,7.34780979156,11,64.8288973384,Defensive,2015,Reg
9,17,64.4007155635,559,6.81707317073,360,4.39024390244,199,2.42682926829,12.2913505311,82,9.82926829268,1.22307002544,3.49013657056,806,659,8.03658536585,11.3808801214,61.6084977238,6.2215477997,1610612750,Minnesota Timberwolves,MIN,Minnesota,7.38872003555,12,64.4007155635,Defensive,2015,Reg
