,BetterPPP,FG,FGA,FGAG,FGM,FGMG,FGm,FGmG,FT,GP,PPG,PPP,PlusOne,Points,Poss,PossG,SF,Score,TO,TeamIDSID,TeamName,TeamNameAbbreviation,TeamShortName,Time,WorsePPP,aFG,name,season,seasonType
0,7,64.5398773006,815,9.93902439024,526,6.41463414634,289,3.5243902439,13.9653414883,82,14.9390243902,1.24872994423,3.77166156983,1225,981,11.9634146341,13.4556574924,62.8950050968,6.62589194699,1610612744,Golden State Warriors,GSW,GoldenState,10.7472000122,22,64.5398773006,Offensive,2015,Reg
1,26,59.1439688716,771,9.40243902439,456,5.56097560976,315,3.84146341463,16.8041237113,82,13.6585365854,1.15463995934,3.40206185567,1120,970,11.8292682927,15.5670103093,59.2783505155,7.01030927835,1610612749,Milwaukee Bucks,MIL,Milwaukee,11.098400116,3,59.1439688716,Offensive,2015,Reg
2,20,61.71875,640,7.80487804878,395,4.81707317073,245,2.98780487805,15.0702426565,82,11.3658536585,1.19028997421,3.44827586207,932,783,9.5487804878,13.7931034483,60.2809706258,6.6411238825,1610612743,Denver Nuggets,DEN,Denver,8.69130992889,9,61.71875,Offensive,2015,Reg
3,24,59.9686028257,637,7.76829268293,382,4.65853658537,255,3.10975609756,13.6828644501,82,11.2073170732,1.17518997192,2.68542199488,919,782,9.53658536585,13.0434782609,59.3350383632,7.54475703325,1610612751,Brooklyn Nets,BKN,Brooklyn,8.85818004608,5,59.9686028257,Offensive,2015,Reg
4,17,62.0528771384,643,7.84146341463,399,4.86585365854,244,2.9756097561,15.3256704981,82,11.5975609756,1.21456003189,3.57598978289,951,783,9.5487804878,14.3039591315,61.6858237548,6.13026819923,1610612764,Washington Wizards,WAS,Washington,8.76035022736,12,62.0528771384,Offensive,2015,Reg
5,27,59.21875,640,7.80487804878,379,4.62195121951,261,3.18292682927,15.9800249688,82,11.1341463415,1.13982999325,4.11985018727,913,801,9.76829268293,15.7303370787,57.9275905119,8.11485642946,1610612762,Utah Jazz,UTA,Utah,9.3269701004,2,59.21875,Offensive,2015,Reg
6,5,65.8333333333,600,7.31707317073,395,4.81707317073,205,2.5,15.2,82,11.4634146341,1.25332999229,3.06666666667,940,750,9.14634146341,14.4,63.7333333333,7.86666666667,1610612754,Indiana Pacers,IND,Indiana,8.37240028381,24,65.8333333333,Offensive,2015,Reg
7,12,65.9246575342,584,7.12195121951,385,4.69512195122,199,2.42682926829,13.3793103448,82,10.8780487805,1.23034000397,3.03448275862,892,725,8.84146341463,13.2413793103,62.4827586207,8.68965517241,1610612760,Oklahoma City Thunder,OKC,OklahomaCity,7.85057020187,17,65.9246575342,Offensive,2015,Reg
8,8,64.1476274165,569,6.93902439024,365,4.4512195122,204,2.48780487805,17.1309192201,82,10.8780487805,1.24233996868,3.76044568245,892,718,8.75609756098,16.852367688,62.9526462396,7.38161559889,1610612742,Dallas Mavericks,DAL,Dallas,8.24719047546,21,64.1476274165,Offensive,2015,Reg
9,14,62.5407166124,614,7.48780487805,384,4.68292682927,230,2.80487804878,12.685560054,82,10.987804878,1.21591997147,2.5641025641,901,741,9.03658536585,11.8758434548,60.9986504723,6.88259109312,1610612737,Atlanta Hawks,ATL,Atlanta,8.4023103714,15,62.5407166124,Offensive,2015,Reg
10,25,60.8064516129,620,7.56097560976,377,4.59756097561,243,2.96341463415,13.44873502,82,10.7073170732,1.16910994053,2.26364846871,878,751,9.15853658537,12.9161118509,60.1864181092,6.12516644474,1610612758,Sacramento Kings,SAC,Sacramento,8.10140037537,4,60.8064516129,Offensive,2015,Reg
11,16,61.0455311973,593,7.23170731707,362,4.41463414634,231,2.81707317073,14.0028288543,82,10.4756097561,1.2149900198,4.1018387553,859,707,8.62195121951,13.4370579915,60.8203677511,6.22347949081,1610612741,Chicago Bulls,CHI,Chicago,7.86517000198,13,61.0455311973,Offensive,2015,Reg
12,15,63.167587477,543,6.62195121951,343,4.18292682927,200,2.43902439024,18.8489208633,82,10.3048780488,1.21582996845,4.1726618705,845,695,8.4756097561,18.4172661871,61.726618705,6.90647482014,1610612757,Portland Trail Blazers,POR,Portland,7.74805021286,14,63.167587477,Offensive,2015,Reg
13,18,60.4316546763,556,6.78048780488,336,4.09756097561,220,2.68292682927,16.2083936324,82,10.1585365854,1.20550000668,2.60492040521,833,691,8.42682926829,15.1953690304,61.6497829233,5.78871201158,1610612763,Memphis Grizzlies,MEM,Memphis,7.90888977051,11,60.4316546763,Offensive,2015,Reg
