,BetterPPP,FG,FGA,FGAG,FGM,FGMG,FGm,FGmG,FT,GP,PPG,PPP,PlusOne,Points,Poss,PossG,SF,Score,TO,TeamIDSID,TeamName,TeamNameAbbreviation,TeamShortName,Time,WorsePPP,aFG,name,season,seasonType
0,5,37.7118644068,236,2.87804878049,89,1.08536585366,147,1.79268292683,7.2131147541,82,2.9756097561,0.800000011921,0.983606557377,244,305,3.71951219512,4.91803278689,35.0819672131,16.0655737705,1610612745,Houston Rockets,HOU,Houston,3.33405995369,24,44.2796610169,Defensive,2015,Reg
1,1,35.447761194,268,3.26829268293,95,1.15853658537,173,2.10975609756,7.27272727273,82,3.0243902439,0.751514971256,1.51515151515,248,330,4.0243902439,6.06060606061,34.2424242424,13.0303030303,1610612755,Philadelphia 76ers,PHI,Philadelphia,3.61722993851,28,39.7388059701,Defensive,2015,Reg
2,4,35.4243542435,271,3.30487804878,96,1.17073170732,175,2.13414634146,6.72782874618,82,3.14634146341,0.788990974426,1.22324159021,258,327,3.98780487805,5.81039755352,34.5565749235,11.620795107,1610612758,Sacramento Kings,SAC,Sacramento,3.52409005165,25,41.1439114391,Defensive,2015,Reg
3,2,37.2759856631,279,3.40243902439,104,1.26829268293,175,2.13414634146,6.08695652174,82,3.29268292683,0.782608985901,1.15942028986,270,345,4.20731707317,5.50724637681,35.0724637681,14.2028985507,1610612762,Utah Jazz,UTA,Utah,4.0838098526,27,43.3691756272,Defensive,2015,Reg
4,0,34.3234323432,303,3.69512195122,104,1.26829268293,199,2.42682926829,6.64893617021,82,3.40243902439,0.742021024227,1.06382978723,279,376,4.58536585366,5.85106382979,33.2446808511,13.829787234,1610612737,Atlanta Hawks,ATL,Atlanta,4.12868976593,29,39.2739273927,Defensive,2015,Reg
5,11,39.7849462366,279,3.40243902439,111,1.35365853659,168,2.0487804878,4.83383685801,82,3.46341463415,0.858006000519,0.302114803625,284,331,4.03658536585,3.32326283988,38.0664652568,10.8761329305,1610612742,Dallas Mavericks,DAL,Dallas,3.72453999519,18,46.4157706093,Defensive,2015,Reg
6,13,37.6923076923,260,3.17073170732,98,1.19512195122,162,1.9756097561,10.3975535168,82,3.43902439024,0.862384974957,2.44648318043,282,327,3.98780487805,10.3975535168,37.9204892966,12.5382262997,1610612743,Denver Nuggets,DEN,Denver,3.70664000511,16,43.6538461538,Defensive,2015,Reg
7,6,38.1132075472,265,3.23170731707,101,1.23170731707,164,2.0,8.88252148997,82,3.51219512195,0.825214982033,0.859598853868,288,349,4.25609756098,6.87679083095,36.676217765,16.0458452722,1610612763,Memphis Grizzlies,MEM,Memphis,4.04825019836,23,44.9056603774,Defensive,2015,Reg
8,17,42.9718875502,249,3.03658536585,107,1.30487804878,142,1.73170731707,9.39393939394,82,3.51219512195,0.872726976871,1.51515151515,288,330,4.0243902439,6.66666666667,40.0,16.6666666667,1610612753,Orlando Magic,ORL,Orlando,3.71203994751,12,48.1927710843,Defensive,2015,Reg
9,19,40.3921568627,255,3.10975609756,103,1.25609756098,152,1.85365853659,9.66767371601,82,3.57317073171,0.885195970535,0.906344410876,293,331,4.03658536585,9.06344410876,39.5770392749,14.1993957704,1610612739,Cleveland Cavaliers,CLE,Cleveland,3.86230993271,10,47.4509803922,Defensive,2015,Reg
