,BetterPPP,FG,FGA,FGAG,FGM,FGMG,FGm,FGmG,FT,GP,PPG,PPP,PlusOne,Points,Poss,PossG,SF,Score,TO,TeamIDSID,TeamName,TeamNameAbbreviation,TeamShortName,Time,WorsePPP,aFG,name,season,seasonType
0,24,39.9621212121,528,6.43902439024,211,2.57317073171,317,3.86585365854,6.3829787234,82,6.71951219512,0.837386012077,0.911854103343,551,658,8.0243902439,5.31914893617,37.3860182371,14.1337386018,1610612762,Utah Jazz,UTA,Utah,7.66184997559,5,46.2121212121,Offensive,2015,Reg
1,17,39.2561983471,484,5.90243902439,190,2.31707317073,294,3.58536585366,9.35960591133,82,6.40243902439,0.862069010735,0.985221674877,525,609,7.42682926829,7.88177339901,39.5730706076,12.1510673235,1610612738,Boston Celtics,BOS,Boston,6.57242012024,12,44.4214876033,Offensive,2015,Reg
2,3,40.203562341,393,4.79268292683,158,1.92682926829,235,2.86585365854,10.2941176471,82,5.40243902439,0.930671989918,1.89075630252,443,476,5.80487804878,9.66386554622,41.3865546218,9.03361344538,1610612766,Charlotte Hornets,CHA,Charlotte,5.44933986664,26,46.6921119593,Offensive,2015,Reg
3,13,39.7094430993,413,5.03658536585,164,2.0,249,3.03658536585,6.76229508197,82,5.20731707317,0.875,1.43442622951,427,488,5.9512195122,5.73770491803,38.7295081967,9.83606557377,1610612757,Portland Trail Blazers,POR,Portland,5.44036006927,16,45.5205811138,Offensive,2015,Reg
4,6,42.2343324251,367,4.4756097561,155,1.89024390244,212,2.58536585366,8.87949260042,82,5.19512195122,0.900633990765,1.05708245243,426,473,5.76829268293,6.97674418605,40.3805496829,14.5877378436,1610612755,Philadelphia 76ers,PHI,Philadelphia,5.2843298912,23,48.7738419619,Offensive,2015,Reg
5,9,40.3314917127,362,4.41463414634,146,1.78048780488,216,2.63414634146,7.48898678414,82,4.9512195122,0.894272983074,1.1013215859,406,454,5.53658536585,5.94713656388,38.5462555066,13.8766519824,1610612743,Denver Nuggets,DEN,Denver,5.03940010071,20,49.0331491713,Offensive,2015,Reg
6,12,41.0810810811,370,4.51219512195,152,1.85365853659,218,2.65853658537,6.79824561404,82,4.87804878049,0.877192974091,1.75438596491,400,456,5.56097560976,5.70175438596,37.9385964912,13.8157894737,1610612741,Chicago Bulls,CHI,Chicago,5.07286977768,17,47.4324324324,Offensive,2015,Reg
7,20,39.1625615764,406,4.9512195122,159,1.93902439024,247,3.01219512195,7.39219712526,82,5.0487804878,0.850103020668,1.23203285421,414,487,5.93902439024,6.36550308008,38.8090349076,10.0616016427,1610612746,Los Angeles Clippers,LAC,LAClippers,5.59126996994,9,43.9655172414,Offensive,2015,Reg
8,4,45.5445544554,303,3.69512195122,138,1.68292682927,165,2.01219512195,7.38786279683,82,4.29268292683,0.928759992123,1.84696569921,352,379,4.62195121951,6.86015831135,41.4248021108,14.5118733509,1610612737,Atlanta Hawks,ATL,Atlanta,4.29754018784,25,51.8151815182,Offensive,2015,Reg
9,1,42.2077922078,308,3.75609756098,130,1.58536585366,178,2.17073170732,8.24175824176,82,4.21951219512,0.950549006462,1.0989010989,346,364,4.43902439024,6.86813186813,42.8571428571,8.24175824176,1610612750,Minnesota Timberwolves,MIN,Minnesota,4.13260984421,28,48.3766233766,Offensive,2015,Reg
10,10,36.1963190184,326,3.9756097561,118,1.43902439024,208,2.53658536585,10.5263157895,82,4.30487804878,0.88471198082,2.00501253133,353,399,4.86585365854,9.77443609023,37.5939849624,9.77443609023,1610612747,Los Angeles Lakers,LAL,LALakers,4.49425983429,19,43.0981595092,Offensive,2015,Reg
11,7,40.6940063091,317,3.86585365854,129,1.57317073171,188,2.29268292683,6.82414698163,82,4.17073170732,0.8976380229,0.787401574803,342,381,4.64634146341,5.51181102362,39.3700787402,10.498687664,1610612749,Milwaukee Bucks,MIL,Milwaukee,4.35927009583,22,47.6340694006,Offensive,2015,Reg
12,16,42.7272727273,330,4.0243902439,141,1.71951219512,189,2.30487804878,5.51378446115,82,4.20731707317,0.864661991596,1.25313283208,345,399,4.86585365854,3.75939849624,39.5989974937,12.7819548872,1610612753,Orlando Magic,ORL,Orlando,4.46757984161,13,46.8181818182,Offensive,2015,Reg
13,27,36.036036036,333,4.06097560976,120,1.46341463415,213,2.59756097561,7.71144278607,82,3.91463414634,0.798506975174,1.49253731343,321,402,4.90243902439,6.71641791045,35.5721393035,10.9452736318,1610612754,Indiana Pacers,IND,Indiana,4.48760986328,2,41.8918918919,Offensive,2015,Reg
14,5,42.4908424908,273,3.32926829268,116,1.41463414634,157,1.91463414634,6.42201834862,82,3.64634146341,0.914372980595,0.305810397554,299,327,3.98780487805,5.50458715596,41.2844036697,10.3975535168,1610612740,New Orleans Pelicans,NOP,NewOrleans,3.68076992035,24,48.7179487179,Offensive,2015,Reg
15,11,39.0334572491,269,3.28048780488,105,1.28048780488,164,2.0,8.75,82,3.4512195122,0.884374976158,3.125,283,320,3.90243902439,8.125,38.125,10.3125,1610612758,Sacramento Kings,SAC,Sacramento,3.45199990273,18,44.7955390335,Offensive,2015,Reg
16,25,39.3835616438,292,3.56097560976,115,1.40243902439,177,2.15853658537,9.375,82,3.51219512195,0.818181991577,1.98863636364,288,352,4.29268292683,8.80681818182,39.4886363636,9.65909090909,1610612748,Miami Heat,MIA,Miami,4.08827018738,4,41.7808219178,Offensive,2015,Reg
17,21,39.2361111111,288,3.51219512195,113,1.37804878049,175,2.13414634146,7.58017492711,82,3.5487804878,0.848396003246,1.16618075802,291,343,4.18292682927,6.9970845481,39.3586005831,9.62099125364,1610612759,San Antonio Spurs,SAS,SanAntonio,4.01969003677,8,42.8819444444,Offensive,2015,Reg
