,BetterPPP,FG,FGA,FGAG,FGM,FGMG,FGm,FGmG,FT,GP,PPG,PPP,PlusOne,Points,Poss,PossG,SF,Score,TO,TeamIDSID,TeamName,TeamNameAbbreviation,TeamShortName,Time,WorsePPP,aFG,name,season,seasonType
0,1,35.6435643564,404,4.92682926829,144,1.75609756098,260,3.17073170732,9.89690721649,82,4.56097560976,0.771134018898,2.0618556701,374,485,5.91463414634,9.07216494845,37.1134020619,8.86597938144,1610612766,Charlotte Hornets,CHA,Charlotte,5.52832984924,28,37.5,Defensive,2015,Reg
1,14,37.7171215881,403,4.91463414634,152,1.85365853659,251,3.06097560976,13.28125,82,5.18292682927,0.830078005791,2.34375,425,512,6.24390243902,12.109375,39.6484375,10.15625,1610612763,Memphis Grizzlies,MEM,Memphis,5.93899011612,15,40.8188585608,Defensive,2015,Reg
2,19,37.7403846154,416,5.07317073171,157,1.91463414634,259,3.15853658537,15.1969981238,82,5.46341463415,0.840524971485,2.81425891182,448,533,6.5,13.3208255159,41.4634146341,9.56848030019,1610612761,Toronto Raptors,TOR,Toronto,6.22735977173,10,39.9038461538,Defensive,2015,Reg
3,18,38.6946386946,429,5.23170731707,166,2.0243902439,263,3.20731707317,12.2676579926,82,5.48780487805,0.836431026459,2.04460966543,450,538,6.56097560976,10.780669145,39.7769516729,9.85130111524,1610612754,Indiana Pacers,IND,Indiana,5.95066976547,11,42.3076923077,Defensive,2015,Reg
4,11,37.2807017544,456,5.56097560976,170,2.07317073171,286,3.48780487805,13.8408304498,82,5.79268292683,0.821798980236,3.28719723183,475,578,7.0487804878,11.937716263,39.6193771626,10.553633218,1610612755,Philadelphia 76ers,PHI,Philadelphia,6.33563995361,18,39.2543859649,Defensive,2015,Reg
5,6,35.4767184035,451,5.5,160,1.9512195122,291,3.5487804878,16.220735786,82,5.87804878049,0.806020021439,2.34113712375,482,598,7.29268292683,13.8795986622,39.6321070234,10.5351170569,1610612756,Phoenix Suns,PHX,Phoenix,6.65036010742,23,38.1374722838,Defensive,2015,Reg
6,16,41.4814814815,405,4.93902439024,168,2.0487804878,237,2.89024390244,14.440433213,82,5.63414634146,0.833935022354,1.80505415162,462,554,6.75609756098,11.9133574007,42.238267148,14.0794223827,1610612753,Orlando Magic,ORL,Orlando,6.2317199707,13,42.8395061728,Defensive,2015,Reg
7,3,36.6733466934,499,6.08536585366,183,2.23170731707,316,3.85365853659,8.91089108911,82,5.70731707317,0.772276997566,1.3201320132,468,606,7.39024390244,7.75577557756,37.4587458746,10.0660066007,1610612737,Atlanta Hawks,ATL,Atlanta,6.65422010422,26,39.0781563126,Defensive,2015,Reg
8,17,38.0952380952,462,5.63414634146,176,2.14634146341,286,3.48780487805,10.8540925267,82,5.73170731707,0.836299002171,2.66903914591,470,562,6.85365853659,9.78647686833,39.3238434164,9.60854092527,1610612748,Miami Heat,MIA,Miami,6.47764015198,12,40.8008658009,Defensive,2015,Reg
9,7,37.668161435,446,5.43902439024,168,2.0487804878,278,3.39024390244,13.6442141623,82,5.69512195122,0.806563019752,3.28151986183,467,579,7.06097560976,12.0898100173,38.5146804836,12.2625215889,1610612757,Portland Trail Blazers,POR,Portland,6.52615022659,22,39.5739910314,Defensive,2015,Reg
10,13,39.5061728395,486,5.92682926829,192,2.34146341463,294,3.58536585366,11.3673805601,82,6.12195121951,0.827018022537,1.31795716639,502,607,7.40243902439,9.22570016474,41.021416804,9.71993410214,1610612759,San Antonio Spurs,SAS,SanAntonio,7.08119010925,16,41.2551440329,Defensive,2015,Reg
11,0,34.8076923077,520,6.34146341463,181,2.20731707317,339,4.13414634146,10.1265822785,82,5.86585365854,0.761075973511,1.10759493671,481,632,7.70731707317,9.65189873418,37.0253164557,8.70253164557,1610612739,Cleveland Cavaliers,CLE,Cleveland,7.3745598793,29,37.0192307692,Defensive,2015,Reg
12,15,37.4149659864,441,5.37804878049,165,2.01219512195,276,3.36585365854,14.6258503401,82,5.9756097561,0.833333015442,2.04081632653,490,588,7.17073170732,12.5850340136,40.1360544218,12.4149659864,1610612749,Milwaukee Bucks,MIL,Milwaukee,6.63133001328,14,39.5691609977,Defensive,2015,Reg
13,2,35.6343283582,536,6.53658536585,191,2.32926829268,345,4.20731707317,11.6666666667,82,6.20731707317,0.771211981773,2.42424242424,509,660,8.0487804878,10.7575757576,37.4242424242,9.54545454545,1610612742,Dallas Mavericks,DAL,Dallas,7.42657995224,27,37.5,Defensive,2015,Reg
14,29,42.3841059603,453,5.5243902439,192,2.34146341463,261,3.18292682927,13.2616487455,82,6.35365853659,0.933691978455,3.04659498208,521,558,6.80487804878,12.0071684588,44.2652329749,8.4229390681,1610612751,Brooklyn Nets,BKN,Brooklyn,6.35462999344,0,45.5849889625,Defensive,2015,Reg
15,20,38.5245901639,488,5.9512195122,188,2.29268292683,300,3.65853658537,12.4802527646,82,6.51219512195,0.843602001667,1.10584518167,534,633,7.71951219512,10.5845181675,40.4423380727,11.532385466,1610612758,Sacramento Kings,SAC,Sacramento,6.82185983658,9,42.8278688525,Defensive,2015,Reg
16,12,37.9962192817,529,6.4512195122,201,2.4512195122,328,4.0,12.6153846154,82,6.5487804878,0.826153993607,2.0,537,650,7.92682926829,11.5384615385,40.7692307692,7.69230769231,1610612752,New York Knicks,NYK,NewYork,7.45242023468,17,40.4536862004,Defensive,2015,Reg
17,28,41.8891170431,487,5.93902439024,204,2.48780487805,283,3.4512195122,14.1004862237,82,6.9756097561,0.927066028118,2.59319286872,572,617,7.5243902439,13.4521880065,43.9222042139,9.23824959481,1610612747,Los Angeles Lakers,LAL,LALakers,6.9638800621,1,45.3798767967,Defensive,2015,Reg
18,22,39.1544117647,544,6.63414634146,213,2.59756097561,331,4.03658536585,12.4812030075,82,7.03658536585,0.867668986321,2.40601503759,577,665,8.10975609756,10.0751879699,41.5037593985,8.12030075188,1610612750,Minnesota Timberwolves,MIN,Minnesota,7.45598983765,7,41.7279411765,Defensive,2015,Reg
19,24,40.8088235294,544,6.63414634146,222,2.70731707317,322,3.92682926829,11.8098159509,82,7.08536585366,0.891103982925,1.84049079755,581,652,7.9512195122,10.8895705521,43.5582822086,6.44171779141,1610612762,Utah Jazz,UTA,Utah,7.71780014038,5,43.5661764706,Defensive,2015,Reg
20,5,35.6643356643,572,6.9756097561,204,2.48780487805,368,4.48780487805,12.7544097693,82,7.08536585366,0.788330972195,1.76390773406,581,737,8.98780487805,10.5834464043,38.1275440977,11.3975576662,1610612746,Los Angeles Clippers,LAC,LAClippers,8.15264987946,24,38.986013986,Defensive,2015,Reg
21,21,38.9396709324,547,6.67073170732,213,2.59756097561,334,4.07317073171,11.1951588502,82,6.86585365854,0.851740002632,2.57186081694,563,661,8.06097560976,8.9258698941,40.2420574887,8.62329803328,1610612743,Denver Nuggets,DEN,Denver,7.49263000488,8,41.6819012797,Defensive,2015,Reg
22,10,37.8151260504,595,7.25609756098,225,2.74390243902,370,4.51219512195,11.1888111888,82,7.12195121951,0.81678301096,2.65734265734,584,715,8.71951219512,10.6293706294,39.5804195804,8.25174825175,1610612741,Chicago Bulls,CHI,Chicago,7.92595005035,19,39.7478991597,Defensive,2015,Reg
23,23,38.9396709324,547,6.67073170732,213,2.59756097561,334,4.07317073171,11.755952381,82,7.24390243902,0.883929014206,1.93452380952,594,672,8.19512195122,10.2678571429,41.5178571429,8.63095238095,1610612745,Houston Rockets,HOU,Houston,7.34587001801,6,42.5959780622,Defensive,2015,Reg
24,27,43.137254902,510,6.21951219512,220,2.68292682927,290,3.53658536585,11.8483412322,82,7.07317073171,0.916271984577,1.73775671406,580,633,7.71951219512,10.5845181675,44.5497630332,9.32069510269,1610612765,Detroit Pistons,DET,Detroit,7.27921009064,2,45.0980392157,Defensive,2015,Reg
25,8,36.7521367521,585,7.13414634146,215,2.62195121951,370,4.51219512195,13.7203166227,82,7.4756097561,0.808706998825,1.45118733509,613,758,9.24390243902,11.6094986807,40.1055408971,10.5540897098,1610612738,Boston Celtics,BOS,Boston,8.25708007812,21,39.2307692308,Defensive,2015,Reg
26,9,34.7758887172,647,7.89024390244,225,2.74390243902,422,5.14634146341,12.0936280884,82,7.60975609756,0.81144297123,2.47074122237,624,769,9.37804878049,11.3133940182,38.1014304291,6.11183355006,1610612760,Oklahoma City Thunder,OKC,OklahomaCity,8.48972988129,20,37.7897990726,Defensive,2015,Reg
27,26,43.2892249527,529,6.4512195122,229,2.79268292683,300,3.65853658537,13.4782608696,82,7.68292682927,0.913043022156,1.44927536232,630,690,8.41463414634,11.884057971,44.7826086957,11.1594202899,1610612764,Washington Wizards,WAS,Washington,7.69058990479,3,46.0302457467,Defensive,2015,Reg
28,25,40.7528641571,611,7.4512195122,249,3.03658536585,362,4.41463414634,11.3821138211,82,8.19512195122,0.910569012165,1.89701897019,672,738,9.0,9.48509485095,42.9539295393,7.58807588076,1610612740,New Orleans Pelicans,NOP,NewOrleans,8.38446044922,4,43.9443535188,Defensive,2015,Reg
29,4,34.554973822,764,9.31707317073,264,3.21951219512,500,6.09756097561,11.477151966,82,8.98780487805,0.78320902586,1.912858661,737,941,11.4756097561,10.6269925611,37.3007438895,9.24548352816,1610612744,Golden State Warriors,GSW,GoldenState,10.1237001419,25,37.3036649215,Defensive,2015,Reg
