,BetterPPP,FG,FGA,FGAG,FGM,FGMG,FGm,FGmG,FT,GP,PPG,PPP,PlusOne,Points,Poss,PossG,SF,Score,TO,TeamIDSID,TeamName,TeamNameAbbreviation,TeamShortName,Time,WorsePPP,aFG,name,season,seasonType
0,1,40.0576368876,694,8.46341463415,278,3.39024390244,416,5.07317073171,12.5603864734,82,9.30487804878,0.921498000622,2.17391304348,763,828,10.0975609756,10.5072463768,43.5990338164,5.79710144928,1610612746,Los Angeles Clippers,LAC,LAClippers,9.50631046295,28,43.2276657061,Offensive,2015,Reg
1,10,36.6366366366,666,8.12195121951,244,2.9756097561,422,5.14634146341,14.2191142191,82,9.10975609756,0.870629012585,2.21445221445,747,858,10.4634146341,13.0536130536,39.627039627,10.2564102564,1610612745,Houston Rockets,HOU,Houston,9.39142036438,19,42.2672672673,Offensive,2015,Reg
2,2,41.8429003021,662,8.07317073171,277,3.37804878049,385,4.69512195122,13.4900990099,82,9.0243902439,0.91584199667,2.59900990099,740,808,9.85365853659,12.1287128713,44.9257425743,7.17821782178,1610612752,New York Knicks,NYK,NewYork,9.30125045776,27,43.8821752266,Offensive,2015,Reg
3,25,32.2538860104,772,9.41463414634,249,3.03658536585,523,6.37804878049,12.1951219512,82,8.90243902439,0.774124979973,2.01484623542,730,943,11.5,11.8769883351,36.2672322375,7.84729586426,1610612747,Los Angeles Lakers,LAL,LALakers,10.6218004227,4,35.1683937824,Offensive,2015,Reg
4,13,39.6984924623,597,7.28048780488,237,2.89024390244,360,4.39024390244,10.964332893,82,7.92682926829,0.858653008938,1.32100396301,650,757,9.23170731707,9.77542932629,40.8190224571,11.0964332893,1610612760,Oklahoma City Thunder,OKC,OklahomaCity,8.19707965851,16,43.634840871,Offensive,2015,Reg
5,16,38.1901840491,652,7.9512195122,249,3.03658536585,403,4.91463414634,11.3695090439,82,7.9756097561,0.844960987568,2.32558139535,654,774,9.43902439024,9.68992248062,40.826873385,6.45994832041,1610612739,Cleveland Cavaliers,CLE,Cleveland,8.91808032989,13,40.8742331288,Offensive,2015,Reg
6,8,38.9078498294,586,7.14634146341,228,2.78048780488,358,4.36585365854,12.6358695652,82,7.85365853659,0.875,1.76630434783,644,736,8.9756097561,10.597826087,41.1684782609,9.23913043478,1610612757,Portland Trail Blazers,POR,Portland,8.20512962341,21,43.0034129693,Offensive,2015,Reg
7,14,40.243902439,574,7.0,231,2.81707317073,343,4.18292682927,15.6545209177,82,7.75609756098,0.858299970627,3.23886639676,636,741,9.03658536585,13.0904183536,42.9149797571,10.1214574899,1610612749,Milwaukee Bucks,MIL,Milwaukee,8.47826004028,15,42.0731707317,Offensive,2015,Reg
8,9,38.5185185185,540,6.58536585366,208,2.53658536585,332,4.0487804878,16.3090128755,82,7.43902439024,0.872675001621,2.00286123033,610,699,8.5243902439,15.3075822604,43.2045779685,8.44062947067,1610612761,Toronto Raptors,TOR,Toronto,8.10717010498,20,40.1851851852,Offensive,2015,Reg
9,28,36.0,575,7.01219512195,207,2.5243902439,368,4.48780487805,12.6797385621,82,6.85365853659,0.73464101553,2.09150326797,562,765,9.32926829268,11.5032679739,36.4705882353,14.1176470588,1610612755,Philadelphia 76ers,PHI,Philadelphia,8.5465297699,1,38.0,Offensive,2015,Reg
