,BetterPPP,FG,FGA,FGAG,FGM,FGMG,FGm,FGmG,FT,GP,PPG,PPP,PlusOne,Points,Poss,PossG,SF,Score,TO,TeamIDSID,TeamName,TeamNameAbbreviation,TeamShortName,Time,WorsePPP,aFG,name,season,seasonType
0,7,48.8764044944,178,2.17073170732,87,1.06097560976,91,1.10975609756,20.0557103064,82,5.03658536585,0.575209021568,0.41782729805,413,718,8.75609756098,1.81058495822,30.0835654596,55.5710306407,1610612744,Golden State Warriors,GSW,GoldenState,7.86591005325,22,55.0561797753,Offensive,2015,Reg
1,2,35.1851851852,108,1.31707317073,38,0.463414634146,70,0.853658536585,41.25,82,4.73170731707,0.606249988079,0.15625,388,640,7.80487804878,1.5625,38.90625,42.03125,1610612746,Los Angeles Clippers,LAC,LAClippers,7.34787988663,27,39.8148148148,Offensive,2015,Reg
2,9,34.4370860927,151,1.84146341463,52,0.634146341463,99,1.20731707317,30.5597579425,82,4.5487804878,0.564297020435,0.756429652042,373,661,8.06097560976,3.02571860817,32.3751891074,47.2012102874,1610612745,Houston Rockets,HOU,Houston,7.23510980606,20,38.7417218543,Offensive,2015,Reg
3,6,32.3943661972,142,1.73170731707,46,0.560975609756,96,1.17073170732,35.6451612903,82,4.40243902439,0.582257986069,0.483870967742,361,620,7.56097560976,2.09677419355,35.1612903226,41.935483871,1610612765,Detroit Pistons,DET,Detroit,6.84855985641,23,36.9718309859,Offensive,2015,Reg
4,3,40.2985074627,134,1.63414634146,54,0.658536585366,80,0.975609756098,25.4416961131,82,4.10975609756,0.595405995846,0.883392226148,337,566,6.90243902439,3.88692579505,33.2155477032,51.5901060071,1610612763,Memphis Grizzlies,MEM,Memphis,6.4781999588,26,42.9104477612,Offensive,2015,Reg
5,4,38.036809816,163,1.98780487805,62,0.756097560976,101,1.23170731707,22.5352112676,82,4.10975609756,0.593309998512,0.176056338028,337,568,6.92682926829,3.87323943662,32.3943661972,48.9436619718,1610612743,Denver Nuggets,DEN,Denver,6.30481004715,25,42.0245398773,Offensive,2015,Reg
6,0,36.4341085271,129,1.57317073171,47,0.573170731707,82,1.0,28.9940828402,82,3.92682926829,0.63510799408,0.394477317554,322,507,6.18292682927,1.97238658777,35.8974358974,45.9566074951,1610612761,Toronto Raptors,TOR,Toronto,5.88031005859,29,39.9224806202,Offensive,2015,Reg
7,10,37.8571428571,140,1.70731707317,53,0.646341463415,87,1.06097560976,23.8779174147,82,3.82926829268,0.563733994961,0.359066427289,314,557,6.79268292683,2.51346499102,30.7001795332,51.3464991023,1610612738,Boston Celtics,BOS,Boston,6.01121997833,19,40.3571428571,Offensive,2015,Reg
8,13,34.3065693431,137,1.67073170732,47,0.573170731707,90,1.09756097561,28.1914893617,82,3.79268292683,0.55141800642,0.531914893617,311,564,6.87804878049,3.36879432624,32.2695035461,48.0496453901,1610612758,Sacramento Kings,SAC,Sacramento,6.08413982391,16,36.8613138686,Offensive,2015,Reg
9,12,39.8496240601,133,1.62195121951,53,0.646341463415,80,0.975609756098,23.1910946197,82,3.63414634146,0.552875995636,0.556586270872,298,539,6.57317073171,2.96846011132,30.7977736549,52.6901669759,1610612757,Portland Trail Blazers,POR,Portland,6.00892019272,17,43.2330827068,Offensive,2015,Reg
10,15,39.3939393939,132,1.60975609756,52,0.634146341463,80,0.975609756098,21.1743772242,82,3.70731707317,0.54092502594,0.711743772242,304,562,6.85365853659,3.55871886121,29.1814946619,55.871886121,1610612750,Minnesota Timberwolves,MIN,Minnesota,6.38055992126,14,42.4242424242,Offensive,2015,Reg
11,1,39.2523364486,107,1.30487804878,42,0.512195121951,65,0.792682926829,27.5862068966,82,3.90243902439,0.613026976585,0.574712643678,320,522,6.36585365854,3.06513409962,33.908045977,52.4904214559,1610612742,Dallas Mavericks,DAL,Dallas,5.99586009979,28,42.0560747664,Offensive,2015,Reg
12,18,40.0,130,1.58536585366,52,0.634146341463,78,0.951219512195,22.4347826087,82,3.65853658537,0.521739006042,1.04347826087,300,575,7.01219512195,3.65217391304,28.5217391304,56.0,1610612754,Indiana Pacers,IND,Indiana,6.41883993149,11,43.4615384615,Offensive,2015,Reg
13,5,27.7227722772,101,1.23170731707,28,0.341463414634,73,0.890243902439,28.6868686869,82,3.56097560976,0.589899003506,0.20202020202,292,495,6.03658536585,2.42424242424,33.5353535354,51.1111111111,1610612766,Charlotte Hornets,CHA,Charlotte,5.66686010361,24,31.1881188119,Offensive,2015,Reg
14,11,39.552238806,134,1.63414634146,53,0.646341463415,81,0.987804878049,22.8571428571,82,3.56097560976,0.556190013886,0.952380952381,292,525,6.40243902439,2.09523809524,30.4761904762,52.5714285714,1610612760,Oklahoma City Thunder,OKC,OklahomaCity,5.6848897934,18,41.4179104478,Offensive,2015,Reg
15,14,41.2903225806,155,1.89024390244,64,0.780487804878,91,1.10975609756,19.7026022305,82,3.56097560976,0.542751014233,1.30111524164,292,538,6.56097560976,2.78810408922,29.7397769517,52.7881040892,1610612753,Orlando Magic,ORL,Orlando,6.02396011353,15,42.5806451613,Offensive,2015,Reg
16,27,34.1614906832,161,1.96341463415,55,0.670731707317,106,1.29268292683,18.320610687,82,3.57317073171,0.447328001261,0.763358778626,293,655,7.98780487805,3.35877862595,24.427480916,57.8625954198,1610612756,Phoenix Suns,PHX,Phoenix,7.12343978882,2,36.6459627329,Offensive,2015,Reg
17,20,36.1904761905,105,1.28048780488,38,0.463414634146,67,0.817073170732,23.8549618321,82,3.26829268293,0.511449992657,0.763358778626,268,524,6.39024390244,2.09923664122,28.0534351145,56.8702290076,1610612739,Cleveland Cavaliers,CLE,Cleveland,6.03755998611,9,40.4761904762,Offensive,2015,Reg
