,BetterPPP,FG,FGA,FGAG,FGM,FGMG,FGm,FGmG,FT,GP,PPG,PPP,PlusOne,Points,Poss,PossG,SF,Score,TO,TeamIDSID,TeamName,TeamNameAbbreviation,TeamShortName,Time,WorsePPP,aFG,name,season,seasonType
0,22,52.5974025974,616,7.51219512195,324,3.9512195122,292,3.56097560976,11.3764044944,82,8.81707317073,1.01545000076,2.66853932584,723,712,8.68292682927,10.393258427,51.5449438202,4.77528089888,1610612765,Detroit Pistons,DET,Detroit,7.86479997635,7,52.9220779221,Offensive,2015,Reg
1,11,54.4910179641,501,6.10975609756,273,3.32926829268,228,2.78048780488,12.8119800333,82,7.87804878049,1.07488000393,2.32945091514,646,601,7.32926829268,11.3144758735,54.9084858569,6.15640599002,1610612760,Oklahoma City Thunder,OKC,OklahomaCity,6.50785017014,18,54.6906187625,Offensive,2015,Reg
2,18,51.6765285996,507,6.18292682927,262,3.19512195122,245,2.98780487805,12.1061359867,82,7.5487804878,1.02653002739,1.99004975124,619,603,7.35365853659,10.6135986733,52.736318408,5.47263681592,1610612763,Memphis Grizzlies,MEM,Memphis,6.90167999268,11,51.9723865878,Offensive,2015,Reg
3,9,54.7861507128,491,5.98780487805,269,3.28048780488,222,2.70731707317,13.1487889273,82,7.69512195122,1.09169995785,3.97923875433,631,578,7.0487804878,11.5916955017,55.0173010381,5.53633217993,1610612756,Phoenix Suns,PHX,Phoenix,6.28602981567,20,55.0916496945,Offensive,2015,Reg
4,1,61.0,400,4.87804878049,244,2.9756097561,156,1.90243902439,15.6626506024,82,7.32926829268,1.20683002472,3.21285140562,601,498,6.07317073171,13.2530120482,60.6425702811,7.22891566265,1610612750,Minnesota Timberwolves,MIN,Minnesota,5.65395021439,28,61.0,Offensive,2015,Reg
5,2,61.8138424821,419,5.10975609756,259,3.15853658537,160,1.9512195122,16.3147792706,82,7.57317073171,1.19193994999,3.45489443378,621,521,6.35365853659,14.9712092131,61.6122840691,6.3339731286,1610612748,Miami Heat,MIA,Miami,6.05109977722,27,61.9331742243,Offensive,2015,Reg
6,19,51.4522821577,482,5.87804878049,248,3.0243902439,234,2.85365853659,12.7177700348,82,7.14634146341,1.02091002464,2.78745644599,586,574,7.0,11.3240418118,51.7421602787,6.09756097561,1610612743,Denver Nuggets,DEN,Denver,6.37140989304,10,51.7634854772,Offensive,2015,Reg
7,4,58.2938388626,422,5.14634146341,246,3.0,176,2.14634146341,11.9760479042,82,7.07317073171,1.15768003464,1.59680638723,580,501,6.10975609756,10.1796407186,58.4830339321,5.38922155689,1610612752,New York Knicks,NYK,NewYork,5.76724004745,25,58.8862559242,Offensive,2015,Reg
8,8,55.3333333333,450,5.48780487805,249,3.03658536585,201,2.4512195122,11.2380952381,82,7.0487804878,1.10095000267,2.28571428571,578,525,6.40243902439,10.2857142857,56.0,5.33333333333,1610612753,Orlando Magic,ORL,Orlando,5.87839984894,21,55.5555555556,Offensive,2015,Reg
9,10,54.4662309368,459,5.59756097561,250,3.0487804878,209,2.5487804878,11.5241635688,82,7.09756097561,1.08177995682,1.30111524164,582,538,6.56097560976,10.4089219331,55.9479553903,4.46096654275,1610612749,Milwaukee Bucks,MIL,Milwaukee,6.15561008453,19,54.6840958606,Offensive,2015,Reg
10,7,57.1428571429,420,5.12195121951,240,2.92682926829,180,2.19512195122,13.188976378,82,6.84146341463,1.10432994366,2.36220472441,561,508,6.19512195122,11.4173228346,56.1023622047,6.10236220472,1610612757,Portland Trail Blazers,POR,Portland,5.66332006454,22,57.9761904762,Offensive,2015,Reg
11,12,53.986332574,439,5.35365853659,237,2.89024390244,202,2.46341463415,12.2605363985,82,6.80487804878,1.06896996498,2.87356321839,558,522,6.36585365854,10.153256705,54.214559387,6.32183908046,1610612758,Sacramento Kings,SAC,Sacramento,5.63107013702,17,54.2141230068,Offensive,2015,Reg
12,25,48.3402489627,482,5.87804878049,233,2.84146341463,249,3.03658536585,10.8348134991,82,6.78048780488,0.987567007542,1.59857904085,556,563,6.86585365854,9.76909413854,50.0888099467,4.97335701599,1610612741,Chicago Bulls,CHI,Chicago,6.26320981979,4,48.755186722,Offensive,2015,Reg
13,6,57.7319587629,388,4.73170731707,224,2.73170731707,164,2.0,15.0743099788,82,6.4512195122,1.12313997746,3.39702760085,529,471,5.74390243902,13.5881104034,56.6878980892,5.73248407643,1610612755,Philadelphia 76ers,PHI,Philadelphia,5.26198005676,23,58.2474226804,Offensive,2015,Reg
14,15,55.1219512195,410,5.0,226,2.75609756098,184,2.24390243902,15.9844054581,82,6.5,1.03899002075,2.33918128655,533,513,6.25609756098,14.6198830409,53.8011695906,5.84795321637,1610612745,Houston Rockets,HOU,Houston,5.61514997482,14,55.487804878,Offensive,2015,Reg
15,3,59.2896174863,366,4.46341463415,217,2.64634146341,149,1.81707317073,12.1896162528,82,6.31707317073,1.16929996014,2.0316027088,518,443,5.40243902439,10.835214447,58.690744921,7.22347629797,1610612754,Indiana Pacers,IND,Indiana,4.94530010223,26,59.8360655738,Offensive,2015,Reg
