,BetterPPP,FG,FGA,FGAG,FGM,FGMG,FGm,FGmG,FT,GP,PPG,PPP,PlusOne,Points,Poss,PossG,SF,Score,TO,TeamIDSID,TeamName,TeamNameAbbreviation,TeamShortName,Time,WorsePPP,aFG,name,season,seasonType
0,0,42.2727272727,660,8.0487804878,279,3.40243902439,381,4.64634146341,9.09090909091,82,9.21951219512,0.715909004211,0.757575757576,756,1056,12.8780487805,6.91287878788,34.5643939394,29.1666666667,1610612749,Milwaukee Bucks,MIL,Milwaukee,11.9092998505,29,45.8333333333,Defensive,2015,Reg
1,1,41.1320754717,795,9.69512195122,327,3.98780487805,468,5.70731707317,10.667752443,82,10.9512195122,0.73127001524,1.79153094463,898,1228,14.9756097561,8.6319218241,34.9348534202,26.3843648208,1610612745,Houston Rockets,HOU,Houston,13.4237003326,28,45.1572327044,Defensive,2015,Reg
2,17,43.6170212766,940,11.4634146341,410,5.0,530,6.46341463415,10.3474903475,82,12.9756097561,0.821622014046,1.9305019305,1064,1295,15.7926829268,8.72586872587,39.6911196911,18.9961389961,1610612753,Orlando Magic,ORL,Orlando,14.5669002533,12,46.2765957447,Defensive,2015,Reg
3,3,39.0950226244,1105,13.4756097561,432,5.26829268293,673,8.20731707317,7.5101488498,82,13.5365853659,0.751015007496,1.21786197564,1110,1478,18.0243902439,6.49526387009,35.4533152909,18.8092016238,1610612737,Atlanta Hawks,ATL,Atlanta,16.2292995453,26,42.1719457014,Defensive,2015,Reg
4,15,41.8837675351,998,12.1707317073,418,5.09756097561,580,7.07317073171,8.28937452901,82,13.1097560976,0.81009799242,1.28108515448,1075,1327,16.1829268293,6.78221552374,38.3571966842,17.709118312,1610612742,Dallas Mavericks,DAL,Dallas,14.9319000244,14,45.1402805611,Defensive,2015,Reg
5,10,38.514173998,1023,12.4756097561,394,4.80487804878,629,7.67073170732,11.7818181818,82,13.256097561,0.790544986725,1.74545454545,1087,1375,16.7682926829,9.67272727273,38.0363636364,15.4181818182,1610612760,Oklahoma City Thunder,OKC,OklahomaCity,15.1800003052,19,41.5444770283,Defensive,2015,Reg
6,5,39.4664213431,1087,13.256097561,429,5.23170731707,658,8.0243902439,8.21529745042,82,13.4268292683,0.779744982719,1.20396600567,1101,1412,17.2195121951,7.22379603399,37.2521246459,15.8640226629,1610612762,Utah Jazz,UTA,Utah,16.7140007019,24,42.2263109476,Defensive,2015,Reg
7,4,38.801843318,1085,13.2317073171,421,5.13414634146,664,8.09756097561,9.08465244322,82,13.4390243902,0.758431017399,1.44528561597,1102,1453,17.7195121951,7.77701307639,36.4074328975,17.4122505162,1610612761,Toronto Raptors,TOR,Toronto,16.9762992859,25,40.9677419355,Defensive,2015,Reg
8,22,42.8137651822,988,12.0487804878,423,5.15853658537,565,6.89024390244,9.47204968944,82,13.2195121951,0.841615021229,1.86335403727,1084,1288,15.7073170732,8.07453416149,39.8291925466,15.6832298137,1610612743,Denver Nuggets,DEN,Denver,14.5999002457,7,46.1032388664,Defensive,2015,Reg
9,8,40.7843137255,1020,12.4390243902,416,5.07317073171,604,7.36585365854,10.9627547435,82,13.6829268293,0.788474977016,1.54602951511,1122,1423,17.3536585366,8.85453267744,38.51018974,18.8334504568,1610612738,Boston Celtics,BOS,Boston,15.5010995865,21,43.3333333333,Defensive,2015,Reg
