,BetterPPP,FG,FGA,FGAG,FGM,FGMG,FGm,FGmG,FT,GP,PPG,PPP,PlusOne,Points,Poss,PossG,SF,Score,TO,TeamIDSID,TeamName,TeamNameAbbreviation,TeamShortName,Time,WorsePPP,aFG,name,season,seasonType
0,7,40.6015037594,1463,17.8414634146,594,7.24390243902,869,10.5975609756,11.3275243465,82,20.1463414634,0.846745014191,1.74269605331,1652,1951,23.7926829268,10.6099436187,39.7232188621,15.1204510507,1610612747,Los Angeles Lakers,LAL,LALakers,21.9757003784,22,44.7368421053,Offensive,2015,Reg
1,3,42.0041180508,1457,17.7682926829,612,7.46341463415,845,10.3048780488,8.54326396495,82,19.487804878,0.875136971474,1.80722891566,1598,1826,22.2682926829,7.33844468784,40.1971522453,13.3625410734,1610612757,Portland Trail Blazers,POR,Portland,20.3567008972,26,46.4653397392,Offensive,2015,Reg
2,1,44.1461595824,1341,16.3536585366,592,7.21951219512,749,9.13414634146,13.5802469136,82,19.5975609756,0.901795983315,2.0202020202,1607,1782,21.7317073171,11.9528619529,44.3883277217,13.1313131313,1610612761,Toronto Raptors,TOR,Toronto,20.6681003571,28,46.3087248322,Offensive,2015,Reg
3,6,41.5289256198,1452,17.7073170732,603,7.35365853659,849,10.3536585366,8.01317233809,82,18.8292682927,0.847419977188,1.59165751921,1544,1822,22.2195121951,6.58616904501,39.3523600439,13.7760702525,1610612740,New Orleans Pelicans,NOP,NewOrleans,20.5088005066,23,45.4201101928,Offensive,2015,Reg
4,5,41.7364813404,1313,16.012195122,548,6.68292682927,765,9.32926829268,10.623556582,82,18.0853658537,0.856235980988,1.67436489607,1483,1732,21.1219512195,8.54503464203,40.2424942263,15.0692840647,1610612766,Charlotte Hornets,CHA,Charlotte,19.8283004761,24,45.8492003046,Offensive,2015,Reg
5,13,41.6551724138,1450,17.6829268293,604,7.36585365854,846,10.3170731707,7.94341675734,82,18.3048780488,0.816649019718,2.01305767138,1501,1838,22.4146341463,7.23612622416,38.6289445049,15.1251360174,1610612765,Detroit Pistons,DET,Detroit,20.3027000427,16,44.6551724138,Offensive,2015,Reg
6,2,44.0286624204,1256,15.3170731707,553,6.74390243902,703,8.57317073171,8.25515947467,82,17.1341463415,0.878673970699,1.31332082552,1405,1599,19.5,5.81613508443,41.2757973734,14.5090681676,1610612746,Los Angeles Clippers,LAC,LAClippers,18.3582000732,27,47.372611465,Offensive,2015,Reg
7,11,41.2977099237,1310,15.9756097561,541,6.59756097561,769,9.37804878049,8.99696048632,82,16.6341463415,0.829178988934,1.88449848024,1364,1645,20.0609756098,8.14589665653,39.6352583587,13.2522796353,1610612741,Chicago Bulls,CHI,Chicago,18.3001003265,18,43.5877862595,Offensive,2015,Reg
8,8,42.8445229682,1132,13.8048780488,485,5.91463414634,647,7.89024390244,11.0120942075,82,16.2073170732,0.845957994461,2.10057288351,1329,1571,19.1585365854,9.73901973265,39.5289624443,18.9051559516,1610612760,Oklahoma City Thunder,OKC,OklahomaCity,17.0114002228,21,46.7756183746,Offensive,2015,Reg
9,14,42.6350245499,1222,14.9024390244,521,6.35365853659,701,8.5487804878,6.50354153252,82,15.4634146341,0.816483974457,1.41661300708,1268,1553,18.9390243902,5.8596265293,38.5705086929,16.0978750805,1610612739,Cleveland Cavaliers,CLE,Cleveland,17.8938007355,15,45.9083469722,Offensive,2015,Reg
10,18,38.7409200969,1239,15.1097560976,480,5.85365853659,759,9.25609756098,8.16455696203,82,15.0853658537,0.782911002636,1.39240506329,1237,1580,19.2682926829,6.83544303797,36.8987341772,14.746835443,1610612754,Indiana Pacers,IND,Indiana,17.6378993988,11,41.8886198547,Offensive,2015,Reg
11,20,41.0883280757,1268,15.4634146341,521,6.35365853659,747,9.10975609756,7.41198270537,82,15.3658536585,0.778258025646,1.54416306362,1260,1619,19.743902439,6.60901791229,37.7393452749,15.6886967264,1610612764,Washington Wizards,WAS,Washington,18.1137008667,9,43.1782334385,Offensive,2015,Reg
12,15,41.0774410774,1188,14.487804878,488,5.9512195122,700,8.53658536585,8.58064516129,82,15.1463414634,0.801289975643,1.8064516129,1242,1550,18.9024390244,7.09677419355,37.8064516129,16.5806451613,1610612742,Dallas Mavericks,DAL,Dallas,17.8038005829,14,44.4444444444,Offensive,2015,Reg
13,16,39.2260334213,1137,13.8658536585,446,5.43902439024,691,8.42682926829,10.7304460246,82,14.8414634146,0.78668397665,1.74531351002,1217,1547,18.8658536585,8.66192630899,37.4919198449,17.323852618,1610612762,Utah Jazz,UTA,Utah,18.0135002136,13,42.3043095866,Offensive,2015,Reg
14,22,39.4570135747,1105,13.4756097561,436,5.31707317073,669,8.15853658537,9.18097754293,82,14.243902439,0.771466016769,1.38705416116,1168,1514,18.4634146341,7.59577278732,36.0634081902,19.0885072655,1610612756,Phoenix Suns,PHX,Phoenix,16.4654998779,7,43.257918552,Offensive,2015,Reg
15,23,38.9285714286,1120,13.6585365854,436,5.31707317073,684,8.34146341463,9.24369747899,82,14.2195121951,0.753717005253,1.48674854557,1166,1547,18.8658536585,8.08015513898,35.4234001293,19.7802197802,1610612743,Denver Nuggets,DEN,Denver,17.1716995239,6,42.6339285714,Offensive,2015,Reg
16,12,44.9302325581,1075,13.1097560976,483,5.89024390244,592,7.21951219512,9.92470910335,82,14.5853658537,0.818616986275,1.50581793292,1196,1461,17.8170731707,8.69267624914,41.1362080767,17.864476386,1610612748,Miami Heat,MIA,Miami,16.9685993195,17,45.7209302326,Offensive,2015,Reg
17,28,37.8801843318,1085,13.2317073171,411,5.01219512195,674,8.21951219512,9.29443690638,82,13.1707317073,0.732699990273,1.62822252374,1080,1474,17.9756097561,8.14111261872,35.4138398915,18.6567164179,1610612737,Atlanta Hawks,ATL,Atlanta,16.7138996124,1,40.2764976959,Offensive,2015,Reg
