,BetterPPP,FG,FGA,FGAG,FGM,FGMG,FGm,FGmG,FT,GP,PPG,PPP,PlusOne,Points,Poss,PossG,SF,Score,TO,TeamIDSID,TeamName,TeamNameAbbreviation,TeamShortName,Time,WorsePPP,aFG,name,season,seasonType
0,1,45.4128440367,436,5.31707317073,198,2.41463414634,238,2.90243902439,10.7279693487,82,5.92682926829,0.931034982204,3.06513409962,486,522,6.36585365854,10.153256705,45.2107279693,8.62068965517,1610612749,Milwaukee Bucks,MIL,Milwaukee,5.88700008392,28,47.9357798165,Defensive,2015,Reg
1,6,47.5972540046,437,5.32926829268,208,2.53658536585,229,2.79268292683,10.4672897196,82,6.36585365854,0.975700974464,0.560747663551,522,535,6.5243902439,9.34579439252,48.2242990654,8.41121495327,1610612745,Houston Rockets,HOU,Houston,5.84826993942,23,50.4576659039,Defensive,2015,Reg
2,17,50.7246376812,414,5.0487804878,210,2.56097560976,204,2.48780487805,14.5348837209,82,6.5,1.03295004368,3.48837209302,533,516,6.29268292683,12.984496124,50.3875968992,8.33333333333,1610612756,Phoenix Suns,PHX,Phoenix,5.73843002319,12,53.5024154589,Defensive,2015,Reg
3,14,50.566893424,441,5.37804878049,223,2.71951219512,218,2.65853658537,13.2110091743,82,6.79268292683,1.02201998234,3.48623853211,557,545,6.64634146341,12.1100917431,49.7247706422,9.17431192661,1610612763,Memphis Grizzlies,MEM,Memphis,6.32177019119,15,52.7210884354,Defensive,2015,Reg
4,13,50.3340757238,449,5.4756097561,226,2.75609756098,223,2.71951219512,9.64749536178,82,6.67073170732,1.01484000683,2.04081632653,547,539,6.57317073171,8.34879406308,49.3506493506,9.09090909091,1610612746,Los Angeles Clippers,LAC,LAClippers,5.96238994598,16,53.3407572383,Defensive,2015,Reg
5,8,48.7804878049,451,5.5,220,2.68292682927,231,2.81707317073,13.3333333333,82,6.74390243902,0.996396005154,3.24324324324,553,555,6.76829268293,13.1531531532,48.6486486486,8.46846846847,1610612742,Dallas Mavericks,DAL,Dallas,6.2450799942,21,52.3281596452,Defensive,2015,Reg
6,3,46.484375,512,6.24390243902,238,2.90243902439,274,3.34146341463,9.55518945634,82,7.01219512195,0.947282016277,1.48270181219,575,607,7.40243902439,9.39044481054,46.1285008237,7.57825370675,1610612748,Miami Heat,MIA,Miami,6.99631023407,26,49.21875,Defensive,2015,Reg
7,5,45.8089668616,513,6.25609756098,235,2.86585365854,278,3.39024390244,10.5263157895,82,7.15853658537,0.965461015701,2.13815789474,587,608,7.41463414634,10.0328947368,46.3815789474,7.07236842105,1610612738,Boston Celtics,BOS,Boston,6.62308979034,24,49.3177387914,Defensive,2015,Reg
8,2,46.4216634429,517,6.30487804878,240,2.92682926829,277,3.37804878049,10.6907894737,82,7.01219512195,0.945724010468,2.30263157895,575,608,7.41463414634,10.3618421053,47.2039473684,6.41447368421,1610612760,Oklahoma City Thunder,OKC,OklahomaCity,6.71229982376,27,47.4854932302,Defensive,2015,Reg
9,0,43.9421338156,553,6.74390243902,243,2.96341463415,310,3.78048780488,10.8761329305,82,7.36585365854,0.912387013435,1.96374622357,604,662,8.07317073171,10.2719033233,44.7129909366,7.55287009063,1610612759,San Antonio Spurs,SAS,SanAntonio,7.72281980515,29,45.8408679928,Defensive,2015,Reg
10,4,44.8140900196,511,6.23170731707,229,2.79268292683,282,3.43902439024,12.5198098257,82,7.39024390244,0.960380017757,1.74326465927,606,631,7.69512195122,12.2028526149,46.2757527734,8.24088748019,1610612762,Utah Jazz,UTA,Utah,7.46922016144,25,48.0430528376,Defensive,2015,Reg
