,BetterPPP,FG,FGA,FGAG,FGM,FGMG,FGm,FGmG,FT,GP,PPG,PPP,PlusOne,Points,Poss,PossG,SF,Score,TO,TeamIDSID,TeamName,TeamNameAbbreviation,TeamShortName,Time,WorsePPP,aFG,name,season,seasonType
0,0,39.2757660167,359,4.37804878049,141,1.71951219512,218,2.65853658537,14.0127388535,82,4.34146341463,0.755838990211,3.82165605096,356,471,5.74390243902,12.9511677282,38.4288747346,13.5881104034,1610612761,Toronto Raptors,TOR,Toronto,5.50298023224,29,39.2757660167,Defensive,2015,Reg
1,6,43.2835820896,402,4.90243902439,174,2.12195121951,228,2.78048780488,14.8550724638,82,5.56097560976,0.826086997986,1.99275362319,456,552,6.73170731707,11.9565217391,42.9347826087,14.3115942029,1610612749,Milwaukee Bucks,MIL,Milwaukee,6.22532987595,23,43.2835820896,Defensive,2015,Reg
2,16,42.7536231884,414,5.0487804878,177,2.15853658537,237,2.89024390244,15.8558558559,82,5.85365853659,0.864865005016,2.34234234234,480,555,6.76829268293,11.7117117117,44.3243243243,11.7117117117,1610612745,Houston Rockets,HOU,Houston,6.06689977646,13,42.7536231884,Defensive,2015,Reg
3,5,45.2488687783,442,5.39024390244,200,2.43902439024,242,2.9512195122,11.7647058824,82,5.98780487805,0.825209975243,1.68067226891,491,595,7.25609756098,9.74789915966,42.5210084034,15.6302521008,1610612759,San Antonio Spurs,SAS,SanAntonio,6.94119977951,24,45.2488687783,Defensive,2015,Reg
4,9,40.7172995781,474,5.78048780488,193,2.35365853659,281,3.42682926829,15.1219512195,82,6.25609756098,0.834146022797,3.25203252033,513,615,7.5,12.6829268293,42.4390243902,10.8943089431,1610612753,Orlando Magic,ORL,Orlando,6.91789007187,20,40.7172995781,Defensive,2015,Reg
5,24,44.1326530612,392,4.78048780488,173,2.10975609756,219,2.67073170732,18.4981684982,82,5.9512195122,0.893773019314,3.84615384615,488,546,6.65853658537,14.8351648352,45.2380952381,13.5531135531,1610612756,Phoenix Suns,PHX,Phoenix,6.07206010818,5,44.1326530612,Defensive,2015,Reg
6,20,44.5454545455,440,5.36585365854,196,2.39024390244,244,2.9756097561,13.2404181185,82,6.15853658537,0.879791021347,2.61324041812,505,574,7.0,9.5818815331,44.425087108,12.543554007,1610612762,Utah Jazz,UTA,Utah,6.7945098877,9,44.5454545455,Defensive,2015,Reg
7,7,42.6048565121,453,5.5243902439,193,2.35365853659,260,3.17073170732,12.3310810811,82,5.98780487805,0.829392015934,1.01351351351,491,592,7.21951219512,10.6418918919,43.2432432432,12.1621621622,1610612747,Los Angeles Lakers,LAL,LALakers,6.68171977997,22,42.6048565121,Defensive,2015,Reg
8,10,43.4782608696,437,5.32926829268,190,2.31707317073,247,3.01219512195,14.8026315789,82,6.19512195122,0.835525989532,1.64473684211,508,608,7.41463414634,10.0328947368,42.9276315789,14.9671052632,1610612764,Washington Wizards,WAS,Washington,6.77663993835,19,43.4782608696,Defensive,2015,Reg
9,25,46.4547677262,409,4.98780487805,190,2.31707317073,219,2.67073170732,18.9003436426,82,6.48780487805,0.914089024067,2.74914089347,532,582,7.09756097561,14.6048109966,47.0790378007,13.5738831615,1610612763,Memphis Grizzlies,MEM,Memphis,6.7509598732,4,46.4547677262,Defensive,2015,Reg
