,BetterPPP,FG,FGA,FGAG,FGM,FGMG,FGm,FGmG,FT,GP,PPG,PPP,PlusOne,Points,Poss,PossG,SF,Score,TO,TeamIDSID,TeamName,TeamNameAbbreviation,TeamShortName,Time,WorsePPP,aFG,name,season,seasonType
0,8,37.2291021672,1292,15.756097561,481,5.86585365854,811,9.89024390244,5.27777777778,82,16.4512195122,0.936806023121,0.347222222222,1349,1440,17.5609756098,4.72222222222,37.5694444444,5.27777777778,1610612752,New York Knicks,NYK,NewYork,16.5100002289,21,48.1424148607,Defensive,2015,Reg
1,12,38.64,1250,15.243902439,483,5.89024390244,767,9.35365853659,4.12744388125,82,16.2682926829,0.965966999531,1.01375814627,1334,1381,16.8414634146,3.76538740043,38.0883417813,6.37219406227,1610612765,Detroit Pistons,DET,Detroit,15.880900383,17,49.96,Defensive,2015,Reg
2,3,37.1040723982,1326,16.1707317073,492,6.0,834,10.1707317073,4.99662390277,82,16.6829268293,0.923699975014,0.540175557056,1368,1481,18.0609756098,4.52397029034,37.3396353815,5.94193112762,1610612748,Miami Heat,MIA,Miami,17.0701007843,26,47.2473604827,Defensive,2015,Reg
3,0,37.4237288136,1475,17.987804878,552,6.73170731707,923,11.256097561,3.14232902033,82,17.8536585366,0.902032971382,0.431300061614,1464,1623,19.7926829268,2.58780036969,36.6605052372,6.28465804067,1610612759,San Antonio Spurs,SAS,SanAntonio,18.9337005615,29,46.7118644068,Defensive,2015,Reg
4,28,40.3467297084,1269,15.4756097561,512,6.24390243902,757,9.23170731707,6.54468684025,82,17.9512195122,1.03588998318,1.12596762843,1472,1421,17.3292682927,5.55946516538,41.0274454609,5.27797325827,1610612755,Philadelphia 76ers,PHI,Philadelphia,15.5760002136,1,52.9156816391,Defensive,2015,Reg
5,9,36.7552045944,1393,16.987804878,512,6.24390243902,881,10.743902439,6.04890604891,82,17.8902439024,0.944015026093,0.772200772201,1467,1554,18.9512195122,5.46975546976,37.9665379665,5.01930501931,1610612744,Golden State Warriors,GSW,GoldenState,16.7187004089,20,47.272074659,Defensive,2015,Reg
6,18,38.6001386001,1443,17.5975609756,557,6.79268292683,886,10.8048780488,3.89278876835,82,18.8658536585,0.987236976624,0.829610721123,1547,1567,19.1097560976,3.57370772176,38.5449904276,4.91384811742,1610612747,Los Angeles Lakers,LAL,LALakers,17.6861991882,11,50.5890505891,Defensive,2015,Reg
7,1,35.6620093147,1503,18.3292682927,536,6.53658536585,967,11.7926829268,5.01193317422,82,18.7073170732,0.91527402401,0.775656324582,1534,1676,20.4390243902,4.47494033413,36.0978520286,6.02625298329,1610612754,Indiana Pacers,IND,Indiana,18.5377998352,28,46.9727212242,Defensive,2015,Reg
8,13,38.1831085877,1409,17.1829268293,538,6.56097560976,871,10.6219512195,5.21907216495,82,18.3292682927,0.968428015709,1.22422680412,1503,1552,18.9268292683,4.57474226804,38.4020618557,5.21907216495,1610612739,Cleveland Cavaliers,CLE,Cleveland,18.1096992493,16,49.2547906317,Defensive,2015,Reg
9,22,39.6538750941,1329,16.2073170732,527,6.42682926829,802,9.78048780488,4.43081117928,82,17.8536585366,0.997955024242,0.886162235855,1464,1467,17.8902439024,4.15814587594,39.263803681,5.86230402181,1610612757,Portland Trail Blazers,POR,Portland,16.535200119,7,51.5425131678,Defensive,2015,Reg
10,2,36.4467668191,1531,18.6707317073,558,6.80487804878,973,11.8658536585,4.63343108504,82,19.0853658537,0.917888998985,0.58651026393,1565,1705,20.7926829268,4.10557184751,36.6568914956,6.09970674487,1610612738,Boston Celtics,BOS,Boston,18.5729999542,27,46.8974526453,Defensive,2015,Reg
11,20,39.9153737659,1418,17.2926829268,566,6.90243902439,852,10.3902439024,4.32845321451,82,19.0609756098,0.994907975197,0.572883513686,1563,1571,19.1585365854,3.81922342457,39.4653087206,5.91979630808,1610612762,Utah Jazz,UTA,Utah,18.5960998535,9,51.6925246827,Defensive,2015,Reg
12,19,39.1738840773,1501,18.3048780488,588,7.17073170732,913,11.1341463415,4.34516523868,82,19.7682926829,0.992043972015,0.673194614443,1621,1634,19.9268292683,4.10036719706,39.5960832313,4.40636474908,1610612741,Chicago Bulls,CHI,Chicago,18.1133003235,10,50.4330446369,Defensive,2015,Reg
13,6,36.6966580977,1556,18.9756097561,571,6.96341463415,985,12.012195122,3.88235294118,82,19.3658536585,0.934117972851,0.882352941176,1588,1700,20.7317073171,3.41176470588,36.5882352941,5.47058823529,1610612750,Minnesota Timberwolves,MIN,Minnesota,19.0604000092,23,47.8791773779,Defensive,2015,Reg
14,7,37.4269005848,1539,18.7682926829,576,7.0243902439,963,11.743902439,5.39906103286,82,19.4634146341,0.936619997025,1.2323943662,1596,1704,20.7804878049,4.69483568075,37.734741784,5.57511737089,1610612746,Los Angeles Clippers,LAC,LAClippers,18.8495998383,22,47.6283300845,Defensive,2015,Reg
15,15,38.6043533931,1562,19.0487804878,603,7.35365853659,959,11.6951219512,4.29483459083,82,20.4268292683,0.972141981125,0.870574579222,1675,1723,21.012195122,3.7724898433,38.0731282647,5.91990713871,1610612756,Phoenix Suns,PHX,Phoenix,19.1615009308,14,50.2880921895,Defensive,2015,Reg
16,17,39.5778364116,1516,18.487804878,600,7.31707317073,916,11.1707317073,5.25373134328,82,20.0609756098,0.982089996338,1.31343283582,1645,1675,20.4268292683,4.9552238806,39.4029850746,5.55223880597,1610612760,Oklahoma City Thunder,OKC,OklahomaCity,18.4918994904,12,50.3627968338,Defensive,2015,Reg
17,23,40.1051939513,1521,18.5487804878,610,7.43902439024,911,11.1097560976,4.12735849057,82,20.7804878049,1.00471997261,0.412735849057,1704,1696,20.6829268293,3.59669811321,39.5636792453,6.54481132075,1610612764,Washington Wizards,WAS,Washington,18.9032993317,6,52.4326101249,Defensive,2015,Reg
18,5,35.903472631,1699,20.7195121951,610,7.43902439024,1089,13.2804878049,4.20032310178,82,21.1097560976,0.932148993015,0.538502961766,1731,1857,22.6463414634,3.71567043619,36.295099623,4.8465266559,1610612742,Dallas Mavericks,DAL,Dallas,20.8957004547,24,47.6456739258,Defensive,2015,Reg
19,29,41.5032679739,1530,18.6585365854,635,7.74390243902,895,10.9146341463,5.27261833433,82,21.5975609756,1.06111001968,1.13840623128,1771,1669,20.3536585366,4.79328939485,42.0011983223,4.19412822049,1610612740,New Orleans Pelicans,NOP,NewOrleans,18.96159935,0,53.7581699346,Defensive,2015,Reg
