,BetterPPP,FG,FGA,FGAG,FGM,FGMG,FGm,FGmG,FT,GP,PPG,PPP,PlusOne,Points,Poss,PossG,SF,Score,TO,TeamIDSID,TeamName,TeamNameAbbreviation,TeamShortName,Time,WorsePPP,aFG,name,season,seasonType
0,6,39.3442622951,1769,21.5731707317,696,8.48780487805,1073,13.0853658537,4.05194805195,82,23.756097561,1.01195001602,0.571428571429,1948,1925,23.4756097561,3.32467532468,39.5844155844,4.57142857143,1610612742,Dallas Mavericks,DAL,Dallas,22.1112003326,23,51.7524024873,Offensive,2015,Reg
1,2,42.8225317989,1651,20.1341463415,707,8.62195121951,944,11.512195122,4.43592552026,82,23.2682926829,1.04490995407,0.930996714129,1908,1826,22.2682926829,3.9978094195,42.1139101862,6.07886089814,1610612759,San Antonio Spurs,SAS,SanAntonio,21.3992996216,27,53.8764385221,Offensive,2015,Reg
2,12,38.8327721661,1782,21.7317073171,692,8.43902439024,1090,13.2926829268,4.58900655572,82,23.4512195122,0.969743013382,0.857286938981,1923,1983,24.1829268293,3.98386283409,38.5274836107,6.40443772063,1610612762,Utah Jazz,UTA,Utah,23.0904006958,17,50.3928170595,Offensive,2015,Reg
3,1,39.4331484905,1623,19.7926829268,640,7.80487804878,983,11.987804878,3.98633257403,82,22.5731707317,1.05410003662,0.854214123007,1851,1756,21.4146341463,3.47380410023,39.4077448747,4.44191343964,1610612739,Cleveland Cavaliers,CLE,Cleveland,20.2327003479,28,53.8817005545,Offensive,2015,Reg
4,9,37.5581395349,1720,20.9756097561,646,7.87804878049,1074,13.0975609756,4.93956910142,82,22.8658536585,0.985285997391,0.472937467157,1875,1903,23.2073170732,4.4140830268,38.3604834472,5.14976353127,1610612766,Charlotte Hornets,CHA,Charlotte,21.785900116,20,50.2325581395,Offensive,2015,Reg
5,14,38.4213580963,1723,21.012195122,662,8.07317073171,1061,12.9390243902,4.01284109149,82,21.8658536585,0.959336996078,0.963081861958,1793,1869,22.7926829268,3.63830925629,38.202247191,4.7619047619,1610612753,Orlando Magic,ORL,Orlando,20.9270992279,15,49.0423679629,Offensive,2015,Reg
6,22,36.5839584535,1733,21.1341463415,634,7.73170731707,1099,13.4024390244,6.9696969697,82,22.6219512195,0.93686902523,1.16161616162,1855,1980,24.1463414634,6.21212121212,37.1717171717,6.61616161616,1610612755,Philadelphia 76ers,PHI,Philadelphia,22.1203994751,7,47.9803808425,Offensive,2015,Reg
7,3,40.4164115126,1633,19.9146341463,660,8.0487804878,973,11.8658536585,4.99438832772,82,22.2804878049,1.02524995804,1.06621773288,1827,1782,21.7317073171,4.65768799102,40.9090909091,4.3771043771,1610612741,Chicago Bulls,CHI,Chicago,19.8241996765,26,51.3472137171,Offensive,2015,Reg
8,10,39.2900120337,1662,20.2682926829,653,7.96341463415,1009,12.3048780488,4.52586206897,82,22.1463414634,0.978447973728,0.915948275862,1816,1856,22.6341463415,3.77155172414,38.6314655172,6.78879310345,1610612737,Atlanta Hawks,ATL,Atlanta,21.0454998016,19,51.3537906137,Offensive,2015,Reg
9,13,37.0106761566,1686,20.5609756098,624,7.60975609756,1062,12.9512195122,4.15766738661,82,21.7073170732,0.961122989655,0.539956803456,1780,1852,22.5853658537,3.77969762419,37.0950323974,5.34557235421,1610612745,Houston Rockets,HOU,Houston,20.2714996338,16,49.3475682088,Offensive,2015,Reg
10,5,39.4806924101,1502,18.3170731707,593,7.23170731707,909,11.0853658537,4.26939266386,82,20.7073170732,1.02104997635,0.781719783524,1698,1663,20.2804878049,3.78833433554,38.9657245941,6.19362597715,1610612757,Portland Trail Blazers,POR,Portland,18.5396003723,24,53.1624500666,Offensive,2015,Reg
11,23,36.5883062086,1659,20.2317073171,607,7.40243902439,1052,12.8292682927,6.17886178862,82,21.0731707317,0.936585009098,1.19241192412,1728,1845,22.5,5.90785907859,37.7235772358,5.09485094851,1610612738,Boston Celtics,BOS,Boston,19.9115009308,6,46.8053044002,Offensive,2015,Reg
12,8,40.1151631478,1563,19.0609756098,627,7.64634146341,936,11.4146341463,4.11428571429,82,21.487804878,1.00686001778,0.628571428571,1762,1750,21.3414634146,3.82857142857,38.9714285714,7.02857142857,1610612761,Toronto Raptors,TOR,Toronto,20.2968997955,21,53.1989763276,Offensive,2015,Reg
13,20,38.292529818,1593,19.4268292683,610,7.43902439024,983,11.987804878,5.65934065934,82,20.9634146341,0.944505989552,1.04395604396,1719,1820,22.1951219512,4.94505494505,37.9120879121,7.74725274725,1610612758,Sacramento Kings,SAC,Sacramento,19.6331996918,9,49.2153170119,Offensive,2015,Reg
14,7,39.1017173052,1514,18.4634146341,592,7.21951219512,922,11.243902439,4.91415038484,82,20.8170731707,1.0106600523,0.947306098283,1707,1689,20.5975609756,4.38129070456,38.8395500296,6.39431616341,1610612765,Detroit Pistons,DET,Detroit,18.6567993164,22,52.4108322325,Offensive,2015,Reg
15,11,38.337628866,1552,18.9268292683,595,7.25609756098,957,11.6707317073,4.75362318841,82,20.5243902439,0.975651979446,0.985507246377,1683,1725,21.0365853659,4.52173913043,38.1449275362,6.26086956522,1610612764,Washington Wizards,WAS,Washington,19.2996006012,18,50.3865979381,Offensive,2015,Reg
