,BetterPPP,FG,FGA,FGAG,FGM,FGMG,FGm,FGmG,FT,GP,PPG,PPP,PlusOne,Points,Poss,PossG,SF,Score,TO,TeamIDSID,TeamName,TeamNameAbbreviation,TeamShortName,Time,WorsePPP,aFG,name,season,seasonType
0,0,50.9234828496,758,9.24390243902,386,4.70731707317,372,4.53658536585,13.8431752178,82,12.9146341463,1.0251699686,2.22652468538,1059,1033,12.5975609756,12.3910939013,48.2090997096,14.7144240077,1610612765,Detroit Pistons,DET,Detroit,11.8789997101,29,56.8601583113,Defensive,2015,Reg
1,7,51.7490952955,829,10.1097560976,429,5.23170731707,400,4.87804878049,13.738317757,82,13.9390243902,1.06822001934,2.89719626168,1143,1070,13.0487804878,12.6168224299,50.1869158878,11.5887850467,1610612766,Charlotte Hornets,CHA,Charlotte,12.1964998245,22,56.8757539204,Defensive,2015,Reg
2,3,52.798053528,822,10.0243902439,434,5.29268292683,388,4.73170731707,13.0316742081,82,14.0365853659,1.04163002968,2.0814479638,1151,1105,13.4756097561,11.4932126697,49.2307692308,14.6606334842,1610612759,San Antonio Spurs,SAS,SanAntonio,12.8908004761,26,58.2116788321,Defensive,2015,Reg
3,19,55.5414012739,785,9.57317073171,436,5.31707317073,349,4.25609756098,15.2112676056,82,14.6585365854,1.12864005566,3.38028169014,1202,1065,12.987804878,13.5211267606,52.3943661972,14.4600938967,1610612740,New Orleans Pelicans,NOP,NewOrleans,12.0994997025,10,61.974522293,Defensive,2015,Reg
4,5,51.2019230769,832,10.1463414634,426,5.19512195122,406,4.9512195122,16.0857908847,82,14.4390243902,1.05808997154,3.30652368186,1184,1119,13.6463414634,14.1197497766,50.1340482574,12.7792672029,1610612746,Los Angeles Clippers,LAC,LAClippers,12.3782997131,24,56.4903846154,Defensive,2015,Reg
5,4,51.205510907,871,10.6219512195,446,5.43902439024,425,5.18292682927,13.2391879965,82,14.5975609756,1.05648994446,2.20653133274,1197,1133,13.8170731707,11.385701677,49.6910856134,12.0917917034,1610612737,Atlanta Hawks,ATL,Atlanta,12.4409999847,25,56.0849598163,Defensive,2015,Reg
6,10,52.7192008879,901,10.987804878,475,5.79268292683,426,5.19512195122,12.0822622108,82,15.4390243902,1.0848300457,1.97086546701,1266,1167,14.2317073171,10.1113967438,50.2142245073,12.6820908312,1610612761,Toronto Raptors,TOR,Toronto,13.6347999573,19,59.1009988901,Defensive,2015,Reg
7,8,53.7296037296,858,10.4634146341,461,5.62195121951,397,4.84146341463,14.5580589255,82,15.1585365854,1.07711994648,3.63951473137,1243,1154,14.0731707317,12.8249566724,49.9133448873,14.6447140381,1610612738,Boston Celtics,BOS,Boston,12.5707998276,21,59.5571095571,Defensive,2015,Reg
8,9,54.808806489,863,10.5243902439,473,5.76829268293,390,4.75609756098,14.3229166667,82,15.1341463415,1.07726001739,2.86458333333,1241,1152,14.0487804878,11.8055555556,51.7361111111,13.6284722222,1610612762,Utah Jazz,UTA,Utah,13.6364002228,20,59.2120509849,Defensive,2015,Reg
9,12,51.7323775388,837,10.2073170732,433,5.28048780488,404,4.92682926829,16.798592788,82,15.0975609756,1.0888299942,3.25417766051,1238,1137,13.8658536585,14.8636763412,50.219876869,12.4890061566,1610612757,Portland Trail Blazers,POR,Portland,12.8156003952,17,58.3632019116,Defensive,2015,Reg
10,11,53.2170119956,917,11.1829268293,488,5.9512195122,429,5.23170731707,13.0217028381,82,15.8658536585,1.08598005772,2.75459098498,1301,1198,14.6097560976,11.6026711185,50.3338898164,13.1051752922,1610612748,Miami Heat,MIA,Miami,13.8081998825,18,59.3784078517,Defensive,2015,Reg
11,1,50.4140786749,966,11.7804878049,487,5.93902439024,479,5.84146341463,12.1115537849,82,15.7317073171,1.02788996696,2.62948207171,1290,1255,15.3048780488,10.3585657371,47.5697211155,13.3864541833,1610612754,Indiana Pacers,IND,Indiana,13.8811998367,28,56.0041407867,Defensive,2015,Reg
12,6,53.2276330691,883,10.7682926829,470,5.73170731707,413,5.03658536585,14.6502057613,82,15.7804878049,1.06501996517,2.38683127572,1294,1215,14.8170731707,12.7572016461,50.1234567901,14.8971193416,1610612764,Washington Wizards,WAS,Washington,13.5420999527,23,58.4371460929,Defensive,2015,Reg
13,2,50.7368421053,950,11.5853658537,482,5.87804878049,468,5.70731707317,14.3664245359,82,15.5853658537,1.03147995472,2.74414850686,1278,1239,15.1097560976,13.1557707829,49.3946731235,11.5415657789,1610612741,Chicago Bulls,CHI,Chicago,13.7346000671,27,55.1052631579,Defensive,2015,Reg
14,17,53.8373424971,873,10.6463414634,470,5.73170731707,403,4.91463414634,15.2117545376,82,15.6951219512,1.11236000061,2.76577355229,1287,1157,14.1097560976,13.6560069144,52.2039757995,12.1002592913,1610612739,Cleveland Cavaliers,CLE,Cleveland,13.5005998611,12,59.9656357388,Defensive,2015,Reg
15,16,54.7914317926,887,10.8170731707,486,5.92682926829,401,4.89024390244,15.8024691358,82,16.4512195122,1.11029005051,2.46913580247,1349,1215,14.8170731707,12.5102880658,52.0164609054,13.6625514403,1610612763,Memphis Grizzlies,MEM,Memphis,14.0935001373,13,61.5558060879,Defensive,2015,Reg
16,13,52.2776572668,922,11.243902439,482,5.87804878049,440,5.36585365854,15.5664221679,82,16.3292682927,1.09127998352,2.93398533007,1339,1227,14.9634146341,12.7954360228,51.0187449063,12.0619396903,1610612743,Denver Nuggets,DEN,Denver,13.9083995819,16,57.5379609544,Defensive,2015,Reg
17,29,56.6441441441,888,10.8292682927,503,6.13414634146,385,4.69512195122,16.835016835,82,16.9024390244,1.16666996479,2.94612794613,1386,1188,14.487804878,15.1515151515,55.5555555556,11.1952861953,1610612749,Milwaukee Bucks,MIL,Milwaukee,13.3979997635,0,62.2747747748,Defensive,2015,Reg
18,18,55.1351351351,925,11.2804878049,510,6.21951219512,415,5.06097560976,14.3796220214,82,16.6341463415,1.12079000473,3.36894001643,1364,1217,14.8414634146,12.1610517666,52.1774856204,12.7362366475,1610612744,Golden State Warriors,GSW,GoldenState,13.0930995941,11,60.5405405405,Defensive,2015,Reg
19,27,58.0287929125,903,11.012195122,524,6.39024390244,379,4.62195121951,13.7699412259,82,16.9268292683,1.16541004181,2.77078085642,1388,1191,14.5243902439,12.6784214945,54.1561712846,13.0142737196,1610612753,Orlando Magic,ORL,Orlando,13.3971004486,2,64.3964562569,Defensive,2015,Reg
20,26,59.3612334802,908,11.0731707317,539,6.57317073171,369,4.5,13.1666666667,82,17.012195122,1.16250002384,2.91666666667,1395,1200,14.6341463415,11.6666666667,54.4166666667,14.0,1610612750,Minnesota Timberwolves,MIN,Minnesota,13.4544000626,3,64.8127753304,Defensive,2015,Reg
21,21,54.4455544456,1001,12.2073170732,545,6.64634146341,456,5.56097560976,13.0470016207,82,17.0853658537,1.13532996178,3.16045380875,1401,1234,15.0487804878,11.4262560778,53.1604538088,8.83306320908,1610612752,New York Knicks,NYK,NewYork,14.1480998993,8,59.4405594406,Defensive,2015,Reg
22,23,56.1001042753,959,11.6951219512,538,6.56097560976,421,5.13414634146,14.6517213771,82,17.4634146341,1.14652001858,3.92313851081,1432,1249,15.2317073171,12.4099279424,52.8422738191,12.4899919936,1610612742,Dallas Mavericks,DAL,Dallas,14.0542001724,6,62.1480709072,Defensive,2015,Reg
23,15,53.5183349851,1009,12.3048780488,540,6.58536585366,469,5.71951219512,13.2916340891,82,17.3048780488,1.10945999622,3.20562939797,1419,1279,15.5975609756,11.7279124316,51.7591868647,10.8678655199,1610612760,Oklahoma City Thunder,OKC,OklahomaCity,14.1201000214,14,59.2170465808,Defensive,2015,Reg
24,24,58.1818181818,990,12.0731707317,576,7.0243902439,414,5.0487804878,12.8560431101,82,18.1829268293,1.1478099823,2.92532717475,1491,1299,15.8414634146,11.701308699,53.8876058507,13.779830639,1610612751,Brooklyn Nets,BKN,Brooklyn,14.793299675,5,63.6868686869,Defensive,2015,Reg
25,22,57.6739752145,1049,12.7926829268,605,7.37804878049,444,5.41463414634,12.8111273792,82,19.0,1.14056003094,2.56222547584,1558,1366,16.6585365854,11.2005856515,53.5871156662,12.6647144949,1610612745,Houston Rockets,HOU,Houston,14.9322004318,7,63.155386082,Defensive,2015,Reg
26,28,58.8011417697,1051,12.8170731707,618,7.53658536585,433,5.28048780488,14.8093841642,82,19.4024390244,1.16641998291,3.2991202346,1591,1364,16.6341463415,12.5366568915,55.8651026393,11.3636363636,1610612747,Los Angeles Lakers,LAL,LALakers,15.3950004578,1,64.0342530923,Defensive,2015,Reg
27,14,53.8095238095,1050,12.8048780488,565,6.89024390244,485,5.91463414634,15.9074982481,82,19.256097561,1.10652005672,3.01331464611,1579,1427,17.4024390244,13.6650315347,51.9971969166,13.3847231955,1610612755,Philadelphia 76ers,PHI,Philadelphia,15.6417999268,15,59.7142857143,Defensive,2015,Reg
28,20,55.895589559,1111,13.5487804878,621,7.57317073171,490,5.9756097561,13.2876712329,82,20.1829268293,1.13355994225,3.28767123288,1655,1460,17.8048780488,11.0273972603,51.9863013699,13.7671232877,1610612758,Sacramento Kings,SAC,Sacramento,15.7344999313,9,62.6462646265,Defensive,2015,Reg
29,25,57.1428571429,1092,13.3170731707,624,7.60975609756,468,5.70731707317,15.3950033761,82,20.7682926829,1.14989995956,2.63335584065,1703,1481,18.0609756098,12.7616475354,53.7474679271,13.3018230925,1610612756,Phoenix Suns,PHX,Phoenix,16.470199585,4,63.5073260073,Defensive,2015,Reg
