,AST,BLK,DREB,FG3A,FG3M,FG3_PCT,FGA,FGM,FG_PCT,FTA,FTM,FT_PCT,GAME_DATE,Game_ID,MATCHUP,MIN,OREB,PF,PLUS_MINUS,PTS,Player_ID,REB,SEASON_ID,STL,TOV,VIDEO_AVAILABLE,WL,PP36,TSA,TS
0,2,0,5,15,7,0.467,21,12,0.571,3,3,1.0,"MAR 20, 2017",0021601049,GSW @ OKC,32,1,2,15,34,202691,6,22016,2,1,2,W,38.25,22.32,76.16487455197132
1,1,1,1,6,3,0.5,16,9,0.563,1,0,0.0,"MAR 18, 2017",0021601035,GSW vs. MIL,34,2,1,11,21,202691,3,22016,0,0,1,W,22.235294117647058,16.44,63.86861313868613
2,5,1,4,9,5,0.556,20,12,0.6,0,0,0.0,"MAR 16, 2017",0021601019,GSW vs. ORL,29,0,1,19,29,202691,4,22016,0,3,1,W,36.0,20.0,72.5
3,1,0,1,9,5,0.556,22,10,0.455,3,3,1.0,"MAR 14, 2017",0021601003,GSW vs. PHI,38,1,1,-7,28,202691,2,22016,0,1,1,W,26.52631578947368,23.32,60.03430531732419
4,2,0,5,6,3,0.5,22,12,0.545,4,3,0.75,"MAR 10, 2017",0021600968,GSW @ MIN,36,0,1,9,30,202691,5,22016,1,2,1,L,30.0,23.76,63.13131313131313
5,1,2,5,8,2,0.25,23,11,0.478,2,1,0.5,"MAR 08, 2017",0021600959,GSW vs. BOS,34,1,2,2,25,202691,6,22016,1,2,1,L,26.47058823529412,23.88,52.345058626465665
6,3,1,0,8,2,0.25,12,5,0.417,2,1,0.5,"MAR 06, 2017",0021600937,GSW @ ATL,30,0,3,5,13,202691,0,22016,0,2,1,W,15.600000000000001,12.88,50.46583850931676
7,1,0,2,9,4,0.444,21,8,0.381,9,9,1.0,"MAR 05, 2017",0021600928,GSW @ NYK,37,2,1,-1,29,202691,4,22016,1,1,1,W,28.216216216216218,24.96,58.09294871794871
8,1,0,1,11,1,0.091,22,5,0.227,2,2,1.0,"MAR 02, 2017",0021600906,GSW @ CHI,37,0,1,-14,13,202691,1,22016,0,2,2,L,12.64864864864865,22.88,28.40909090909091
9,2,0,3,13,3,0.231,20,5,0.25,4,3,0.75,"FEB 28, 2017",0021600889,GSW @ WAS,38,0,3,-17,16,202691,3,22016,2,1,2,L,15.157894736842104,21.76,36.764705882352935
10,2,0,2,9,3,0.333,17,7,0.412,4,4,1.0,"FEB 27, 2017",0021600883,GSW @ PHI,36,1,1,6,21,202691,3,22016,2,2,1,W,21.0,18.76,55.970149253731336
11,4,1,4,5,2,0.4,18,8,0.444,6,6,1.0,"FEB 25, 2017",0021600873,GSW vs. BKN,31,0,1,23,24,202691,4,22016,0,1,2,W,27.870967741935484,20.64,58.139534883720934
12,4,0,0,5,2,0.4,12,7,0.583,2,2,1.0,"FEB 23, 2017",0021600854,GSW vs. LAC,31,0,0,7,18,202691,0,22016,0,1,2,W,20.903225806451616,12.88,69.87577639751552
13,4,0,3,12,7,0.583,18,12,0.667,7,4,0.571,"FEB 15, 2017",0021600847,GSW vs. SAC,31,2,1,35,35,202691,5,22016,2,0,1,W,40.645161290322584,21.08,83.01707779886148
14,0,0,0,8,5,0.625,12,7,0.583,8,7,0.875,"FEB 11, 2017",0021600813,GSW @ OKC,33,1,3,5,26,202691,1,22016,1,3,1,W,28.363636363636363,15.52,83.76288659793815
15,3,0,1,15,8,0.533,23,13,0.565,2,2,1.0,"FEB 10, 2017",0021600803,GSW @ MEM,38,0,5,18,36,202691,1,22016,0,1,1,W,34.10526315789473,23.88,75.37688442211056
16,3,0,5,9,6,0.667,18,10,0.556,2,2,1.0,"FEB 08, 2017",0021600792,GSW vs. CHI,29,0,2,12,28,202691,5,22016,0,3,1,W,34.758620689655174,18.88,74.15254237288136
17,1,0,2,11,4,0.364,25,10,0.4,2,2,1.0,"FEB 04, 2017",0021600764,GSW @ SAC,43,3,1,-11,26,202691,5,22016,1,3,1,L,21.767441860465116,25.88,50.23183925811438
18,2,0,4,6,3,0.5,19,9,0.474,0,0,0.0,"FEB 02, 2017",0021600745,GSW @ LAC,33,3,2,15,21,202691,7,22016,0,2,1,W,22.90909090909091,19.0,55.26315789473685
19,8,2,4,10,6,0.6,19,10,0.526,3,3,1.0,"FEB 01, 2017",0021600741,GSW vs. CHA,33,1,1,30,29,202691,5,22016,1,1,1,W,31.636363636363637,20.32,71.35826771653542
20,2,1,5,6,2,0.333,21,6,0.286,15,13,0.867,"JAN 29, 2017",0021600718,GSW @ POR,35,1,0,-3,27,202691,6,22016,1,0,1,W,27.771428571428572,27.6,48.91304347826087
21,1,0,1,3,2,0.667,11,7,0.636,1,0,0.0,"JAN 28, 2017",0021600707,GSW vs. LAC,27,0,1,22,16,202691,1,22016,1,2,1,W,21.333333333333332,11.44,69.93006993006993
22,1,1,4,8,2,0.25,14,5,0.357,7,7,1.0,"JAN 25, 2017",0021600687,GSW @ CHA,32,1,2,5,19,202691,5,22016,1,1,1,W,21.375,17.08,55.62060889929743
23,1,1,5,8,3,0.375,18,8,0.444,4,3,0.75,"JAN 23, 2017",0021600668,GSW @ MIA,37,0,4,1,22,202691,5,22016,2,2,1,L,21.405405405405407,19.76,55.66801619433198
24,1,1,5,9,7,0.778,14,7,0.5,0,0,0.0,"JAN 22, 2017",0021600661,GSW @ ORL,34,0,1,17,21,202691,5,22016,0,3,1,W,22.235294117647058,14.0,75.0
25,1,0,1,10,2,0.2,19,7,0.368,0,0,0.0,"JAN 20, 2017",0021600646,GSW @ HOU,34,0,1,9,16,202691,1,22016,1,2,1,W,16.941176470588236,19.0,42.10526315789473
26,3,1,3,5,3,0.6,12,5,0.417,2,1,0.5,"JAN 18, 2017",0021600634,GSW vs. OKC,30,1,2,21,14,202691,4,22016,1,1,1,W,16.8,12.88,54.347826086956516
27,0,1,4,11,5,0.455,17,8,0.471,5,5,1.0,"JAN 16, 2017",0021600619,GSW vs. CLE,31,0,5,41,26,202691,4,22016,0,2,1,W,30.193548387096776,19.2,67.70833333333334
28,3,0,2,5,4,0.8,15,9,0.6,4,1,0.25,"JAN 12, 2017",0021600590,GSW vs. DET,36,1,3,9,23,202691,3,22016,2,1,1,W,23.0,16.76,68.61575178997613
29,2,0,5,7,1,0.143,19,8,0.421,2,1,0.5,"JAN 08, 2017",0021600566,GSW @ SAC,36,1,3,18,18,202691,6,22016,0,5,1,W,18.0,19.88,45.271629778672036
30,2,0,3,6,2,0.333,17,7,0.412,3,1,0.333,"JAN 06, 2017",0021600550,GSW vs. MEM,42,3,1,2,17,202691,6,22016,0,0,1,L,14.571428571428571,18.32,46.39737991266376
31,1,2,3,7,1,0.143,15,5,0.333,3,3,1.0,"JAN 04, 2017",0021600534,GSW vs. POR,37,0,3,3,14,202691,3,22016,3,2,1,W,13.621621621621623,16.32,42.8921568627451
32,1,1,5,7,4,0.571,19,9,0.474,3,3,1.0,"JAN 02, 2017",0021600520,GSW vs. DEN,37,0,1,7,25,202691,5,22016,0,0,1,W,24.324324324324323,20.32,61.51574803149607
33,2,1,4,11,5,0.455,19,11,0.579,2,2,1.0,"DEC 30, 2016",0021600501,GSW vs. DAL,36,0,0,4,29,202691,4,22016,1,2,1,W,29.0,19.88,72.93762575452718
34,2,2,5,7,5,0.714,18,8,0.444,0,0,0.0,"DEC 28, 2016",0021600485,GSW vs. TOR,35,1,3,18,21,202691,6,22016,1,2,1,W,21.599999999999998,18.0,58.333333333333336
35,1,1,2,11,5,0.455,16,9,0.563,2,1,0.5,"DEC 25, 2016",0021600457,GSW @ CLE,41,0,1,1,24,202691,2,22016,1,2,1,L,21.073170731707314,16.88,71.09004739336493
36,2,0,3,8,3,0.375,14,6,0.429,2,2,1.0,"DEC 23, 2016",0021600446,GSW @ DET,37,0,0,15,17,202691,3,22016,1,3,1,W,16.54054054054054,14.88,57.12365591397849
37,2,0,5,10,5,0.5,24,9,0.375,0,0,0.0,"DEC 22, 2016",0021600437,GSW @ BKN,35,0,0,23,23,202691,5,22016,4,2,1,W,23.65714285714286,24.0,47.91666666666667
38,1,0,5,3,1,0.333,13,8,0.615,0,0,0.0,"DEC 20, 2016",0021600427,GSW vs. UTA,31,0,0,32,17,202691,5,22016,1,1,1,W,19.741935483870968,13.0,65.38461538461539
39,2,1,0,4,1,0.25,15,7,0.467,1,1,1.0,"DEC 17, 2016",0021600405,GSW vs. POR,25,0,0,21,16,202691,0,22016,0,0,1,W,23.04,15.44,51.81347150259068
40,4,0,3,10,4,0.4,17,10,0.588,1,1,1.0,"DEC 15, 2016",0021600388,GSW vs. NYK,32,2,2,17,25,202691,5,22016,1,2,1,W,28.125,17.44,71.6743119266055
41,3,2,2,8,2,0.25,16,6,0.375,4,3,0.75,"DEC 13, 2016",0021600371,GSW @ NOP,37,1,2,10,17,202691,3,22016,0,2,1,W,16.54054054054054,17.76,47.86036036036035
42,2,1,4,12,4,0.333,21,11,0.524,4,4,1.0,"DEC 11, 2016",0021600358,GSW @ MIN,39,2,2,6,30,202691,6,22016,1,2,1,W,27.692307692307693,22.76,65.90509666080843
43,0,0,1,3,0,0.0,14,4,0.286,0,0,0.0,"DEC 10, 2016",0021600351,GSW @ MEM,31,0,1,-23,8,202691,1,22016,1,0,1,L,9.29032258064516,14.0,28.57142857142857
44,2,0,4,4,0,0.0,13,5,0.385,0,0,0.0,"DEC 08, 2016",0021600335,GSW @ UTA,28,2,4,17,10,202691,6,22016,0,3,1,W,12.857142857142858,13.0,38.46153846153847
45,3,0,2,6,3,0.5,18,8,0.444,5,5,1.0,"DEC 07, 2016",0021600330,GSW @ LAC,35,2,1,16,24,202691,4,22016,0,1,1,W,24.685714285714287,20.2,59.4059405940594
46,1,0,2,14,8,0.571,33,21,0.636,11,10,0.909,"DEC 05, 2016",0021600314,GSW vs. IND,29,0,0,37,60,202691,2,22016,0,0,1,W,74.48275862068967,37.84,79.2811839323467
47,3,1,4,7,6,0.857,17,10,0.588,0,0,0.0,"DEC 03, 2016",0021600299,GSW vs. PHX,34,1,1,24,26,202691,5,22016,2,2,1,W,27.52941176470588,17.0,76.47058823529412
48,3,0,6,13,3,0.231,20,4,0.2,6,4,0.667,"DEC 01, 2016",0021600281,GSW vs. HOU,47,0,1,-6,15,202691,6,22016,0,2,1,L,11.48936170212766,22.64,33.127208480565365
49,2,1,2,6,3,0.5,18,8,0.444,1,1,1.0,"NOV 28, 2016",0021600259,GSW vs. ATL,37,2,3,2,20,202691,4,22016,1,2,1,W,19.45945945945946,18.44,54.22993492407808
50,2,0,5,9,4,0.444,17,9,0.529,2,1,0.5,"NOV 26, 2016",0021600244,GSW vs. MIN,38,1,1,10,23,202691,6,22016,1,2,1,W,21.789473684210527,17.88,64.31767337807607
51,0,0,7,6,1,0.167,17,7,0.412,4,3,0.75,"NOV 25, 2016",0021600238,GSW @ LAL,33,0,1,35,18,202691,7,22016,0,1,1,W,19.636363636363633,18.76,47.97441364605543
52,2,0,2,7,4,0.571,14,9,0.643,4,4,1.0,"NOV 23, 2016",0021600223,GSW vs. LAL,24,0,4,4,26,202691,2,22016,0,1,1,W,39.0,15.76,82.48730964467005
53,0,0,1,10,4,0.4,18,10,0.556,2,1,0.5,"NOV 21, 2016",0021600202,GSW @ IND,26,0,3,24,25,202691,1,22016,2,2,1,W,34.61538461538461,18.88,66.20762711864407
54,2,0,3,10,5,0.5,17,9,0.529,6,6,1.0,"NOV 19, 2016",0021600191,GSW @ MIL,38,0,1,21,29,202691,3,22016,0,3,1,W,27.47368421052632,19.64,73.82892057026477
55,3,0,3,6,3,0.5,21,12,0.571,1,1,1.0,"NOV 18, 2016",0021600179,GSW @ BOS,31,1,2,28,28,202691,4,22016,0,2,1,W,32.516129032258064,21.44,65.29850746268656
56,1,1,3,11,3,0.273,15,4,0.267,4,4,1.0,"NOV 16, 2016",0021600165,GSW @ TOR,32,1,1,-9,15,202691,4,22016,0,0,1,W,16.875,16.76,44.749403341288776
57,1,0,2,8,5,0.625,18,11,0.611,3,3,1.0,"NOV 13, 2016",0021600143,GSW vs. PHX,33,0,3,2,30,202691,2,22016,0,5,1,W,32.72727272727273,19.32,77.63975155279503
58,3,0,2,4,3,0.75,14,7,0.5,2,2,1.0,"NOV 10, 2016",0021600119,GSW @ DEN,32,0,1,24,19,202691,2,22016,1,3,1,W,21.375,14.88,63.844086021505376
59,4,0,2,7,4,0.571,13,8,0.615,0,0,0.0,"NOV 09, 2016",0021600116,GSW vs. DAL,29,0,5,19,20,202691,2,22016,0,3,1,W,24.827586206896555,13.0,76.92307692307693
60,1,0,4,7,2,0.286,20,11,0.55,0,0,0.0,"NOV 07, 2016",0021600099,GSW vs. NOP,38,0,2,3,24,202691,4,22016,3,1,1,W,22.736842105263158,20.0,60.0
61,1,1,3,10,2,0.2,18,4,0.222,0,0,0.0,"NOV 04, 2016",0021600078,GSW @ LAL,38,0,1,-16,10,202691,3,22016,2,4,1,L,9.473684210526315,18.0,27.77777777777778
62,3,1,0,8,4,0.5,14,7,0.5,0,0,0.0,"NOV 03, 2016",0021600069,GSW vs. OKC,33,1,3,7,18,202691,1,22016,2,2,1,W,19.636363636363633,14.0,64.28571428571429
63,4,0,3,7,0,0.0,17,6,0.353,2,2,1.0,"NOV 01, 2016",0021600054,GSW @ POR,30,2,4,4,14,202691,5,22016,0,2,1,W,16.8,17.88,39.14988814317674
64,2,1,6,6,0,0.0,15,5,0.333,5,4,0.8,"OCT 30, 2016",0021600036,GSW @ PHX,40,0,3,14,14,202691,6,22016,0,2,1,W,12.6,17.2,40.69767441860465
65,4,0,2,9,2,0.222,21,11,0.524,4,4,1.0,"OCT 28, 2016",0021600025,GSW @ NOP,39,0,0,4,28,202691,2,22016,1,1,1,W,25.846153846153847,22.76,61.511423550087876
66,2,0,1,6,1,0.167,13,5,0.385,0,0,0.0,"OCT 25, 2016",0021600003,GSW vs. SAS,33,0,4,-6,11,202691,1,22016,0,1,1,L,12.0,13.0,42.30769230769231
