,AST,BLK,DREB,FG3A,FG3M,FG3_PCT,FGA,FGM,FG_PCT,FTA,FTM,FT_PCT,GAME_DATE,Game_ID,MATCHUP,MIN,OREB,PF,PLUS_MINUS,PTS,Player_ID,REB,SEASON_ID,STL,TOV,VIDEO_AVAILABLE,WL,PP36,TSA,TS
0,4,1,4,5,1,0.2,17,9,0.529,2,2,1.0,"DEC 22, 2016",0021600438,ORL @ NYK,36,1,2,1,21,203095,5,22016,0,2,1,L,21.0,17.88,0.587248322148
1,4,0,5,5,3,0.6,22,11,0.5,2,1,0.5,"DEC 20, 2016",0021600422,ORL @ MIA,44,0,4,8,26,203095,5,22016,0,1,1,W,21.2727272727,22.88,0.568181818182
2,3,0,1,2,0,0.0,10,6,0.6,3,3,1.0,"DEC 18, 2016",0021600409,ORL vs. TOR,26,2,5,-9,15,203095,3,22016,1,3,1,L,20.7692307692,11.32,0.662544169611
3,1,0,3,7,3,0.429,15,5,0.333,9,8,0.889,"DEC 16, 2016",0021600390,ORL vs. BKN,31,1,2,7,21,203095,4,22016,0,1,1,W,24.3870967742,18.96,0.553797468354
4,8,0,0,4,2,0.5,17,9,0.529,4,4,1.0,"DEC 14, 2016",0021600376,ORL vs. LAC,33,1,5,1,24,203095,1,22016,0,1,1,L,26.1818181818,18.76,0.639658848614
5,6,1,0,4,1,0.25,15,11,0.733,1,0,0.0,"DEC 13, 2016",0021600369,ORL @ ATL,33,0,2,-3,23,203095,0,22016,2,0,1,W,25.0909090909,15.44,0.74481865285
6,6,0,4,6,2,0.333,19,9,0.474,5,4,0.8,"DEC 10, 2016",0021600347,ORL vs. DEN,38,0,3,2,24,203095,4,22016,1,0,1,L,22.7368421053,21.2,0.566037735849
7,0,0,2,6,2,0.333,11,6,0.545,0,0,0.0,"DEC 09, 2016",0021600337,ORL @ CHA,24,0,2,-30,14,203095,2,22016,0,0,1,L,21.0,11.0,0.636363636364
8,5,0,3,3,1,0.333,14,4,0.286,6,5,0.833,"DEC 07, 2016",0021600322,ORL vs. BOS,29,0,2,-17,14,203095,3,22016,1,0,1,L,17.3793103448,16.64,0.420673076923
9,1,0,3,6,2,0.333,10,4,0.4,0,0,0.0,"DEC 06, 2016",0021600315,ORL @ WAS,28,0,5,7,10,203095,3,22016,0,5,1,W,12.8571428571,10.0,0.5
10,2,0,1,3,1,0.333,7,1,0.143,2,2,1.0,"DEC 04, 2016",0021600300,ORL @ DET,32,0,2,0,5,203095,1,22016,3,3,1,W,5.625,7.88,0.317258883249
11,3,0,4,2,1,0.5,11,4,0.364,8,7,0.875,"DEC 02, 2016",0021600282,ORL @ PHI,30,0,1,28,16,203095,4,22016,2,1,1,W,19.2,14.52,0.550964187328
12,4,0,0,5,3,0.6,14,11,0.786,4,3,0.75,"DEC 01, 2016",0021600278,ORL @ MEM,36,0,2,-6,28,203095,0,22016,0,3,1,L,28.0,15.76,0.888324873096
13,7,0,3,2,1,0.5,9,4,0.444,4,4,1.0,"NOV 29, 2016",0021600264,ORL @ SAS,33,0,3,10,13,203095,3,22016,2,6,1,W,14.1818181818,10.76,0.604089219331
14,7,0,4,10,3,0.3,21,11,0.524,3,2,0.667,"NOV 27, 2016",0021600248,ORL vs. MIL,38,2,4,-15,27,203095,6,22016,2,1,1,L,25.5789473684,22.32,0.604838709677
15,4,0,0,4,1,0.25,9,2,0.222,6,6,1.0,"NOV 25, 2016",0021600226,ORL vs. WAS,32,2,4,-6,11,203095,2,22016,1,2,1,L,12.375,11.64,0.472508591065
16,2,0,2,8,3,0.375,20,9,0.45,6,4,0.667,"NOV 23, 2016",0021600214,ORL vs. PHX,35,2,2,2,25,203095,4,22016,3,0,1,L,25.7142857143,22.64,0.552120141343
17,2,0,5,5,2,0.4,13,6,0.462,4,4,1.0,"NOV 21, 2016",0021600204,ORL @ MIL,37,0,1,13,18,203095,5,22016,0,5,1,L,17.5135135135,14.76,0.609756097561
