,AGE,AST_PCT,AST_PCT_RANK,AST_RATIO,AST_RATIO_RANK,AST_TO,AST_TO_RANK,CFID,CFPARAMS,DEF_RATING,DEF_RATING_RANK,DREB_PCT,DREB_PCT_RANK,EFG_PCT,EFG_PCT_RANK,FGA,FGA_PG,FGA_PG_RANK,FGA_RANK,FGM,FGM_PG,FGM_PG_RANK,FGM_RANK,FG_PCT,FG_PCT_RANK,GP,GP_RANK,L,L_RANK,MIN,MIN_RANK,NET_RATING,NET_RATING_RANK,OFF_RATING,OFF_RATING_RANK,OREB_PCT,OREB_PCT_RANK,PACE,PACE_RANK,PIE,PIE_RANK,PLAYER_ID,PLAYER_NAME,REB_PCT,REB_PCT_RANK,TEAM_ABBREVIATION,TEAM_ID,TM_TOV_PCT,TM_TOV_PCT_RANK,TS_PCT,TS_PCT_RANK,USG_PCT,USG_PCT_RANK,W,W_PCT,W_PCT_RANK,W_RANK
0,24.0,0.037,427,6.4,425,0.67,391,5,"1627773,1610612742",95.5,20,0.217,67,0.5,225,22,1.3,431,413,9,0.5,433,410,0.409,319,17,394,14,146,4.5,438,17.6,12,113.1,42,0.066,126,98.34,240,0.046,419,1627773,AJ Hammons,0.138,98,DAL,1610612742,9.6,192,0.455,414,0.163,289,3,0.176,442,422
1,32.0,0.23,69,25.7,70,2.0,113,5,"201166,1610612754",104.2,152,0.065,447,0.482,296,226,4.9,279,252,92,2.0,295,267,0.407,325,46,227,20,226,14.3,317,-2.1,259,102.1,328,0.024,292,97.29,316,0.069,345,201166,Aaron Brooks,0.044,437,IND,1610612754,12.9,362,0.505,334,0.194,180,26,0.565,154,120
2,21.0,0.106,230,13.8,249,1.76,168,5,"203932,1610612753",107.9,303,0.135,240,0.478,312,561,10.0,105,75,240,4.3,122,91,0.428,273,56,29,35,431,27.6,116,-4.2,308,103.7,281,0.052,168,98.28,246,0.078,280,203932,Aaron Gordon,0.093,219,ORL,1610612753,7.8,109,0.503,337,0.196,170,21,0.375,342,204
3,22.0,0.375,9,38.1,6,0.0,435,5,"1626151,1610612766",101.9,76,0.2,100,0.0,460,4,0.8,454,449,0,0.0,462,460,0.0,460,5,438,3,30,3.3,453,-18.6,445,83.3,454,0.0,446,92.43,451,0.0,455,1626151,Aaron Harrison,0.094,214,CHA,1610612766,0.0,1,0.102,461,0.142,365,2,0.4,312,431
4,26.0,0.083,289,7.1,411,0.57,407,5,"203940,1610612750",111.4,415,0.182,136,0.462,360,39,3.3,352,396,17,1.4,344,396,0.436,252,12,412,8,64,7.7,399,-13.0,430,98.3,404,0.071,119,94.63,422,0.076,297,203940,Adreian Payne,0.124,131,MIN,1610612750,12.4,338,0.526,268,0.254,55,4,0.333,377,410
5,30.0,0.231,68,24.5,82,2.88,26,5,"201143,1610612738",107.9,306,0.179,143,0.516,183,568,12.6,62,73,259,5.8,62,77,0.456,187,45,241,15,158,32.9,52,5.2,87,113.2,41,0.046,186,98.23,248,0.117,92,201143,Al Horford,0.114,162,BOS,1610612738,8.5,137,0.541,216,0.209,125,30,0.667,77,86
6,32.0,0.117,205,9.7,348,1.86,146,5,"2744,1610612754",108.5,328,0.245,47,0.506,211,421,7.4,172,137,213,3.7,144,108,0.506,90,57,9,28,342,14.6,315,-6.1,350,102.4,323,0.086,92,97.17,323,0.135,46,2744,Al Jefferson,0.163,56,IND,1610612754,5.2,34,0.534,240,0.26,50,29,0.509,189,92
7,26.0,0.102,237,16.9,179,1.38,253,5,"202329,1610612757",105.9,230,0.232,56,0.439,391,294,7.9,157,207,108,2.9,201,244,0.367,406,37,290,21,239,29.1,93,2.1,133,108.0,121,0.045,189,98.94,198,0.089,220,202329,Al-Farouq Aminu,0.14,95,POR,1610612757,12.3,337,0.476,388,0.158,311,16,0.432,268,285
8,34.0,0.061,366,11.8,297,1.57,204,5,"101187,1610612746",110.7,398,0.084,409,0.443,386,70,3.0,368,364,25,1.1,381,377,0.357,418,23,363,8,64,11.6,355,-7.9,380,102.8,308,0.013,402,95.71,396,0.025,444,101187,Alan Anderson,0.048,418,LAC,1610612746,7.5,91,0.472,396,0.143,356,15,0.652,87,298
9,24.0,0.017,449,2.5,448,0.15,434,5,"1626210,1610612756",100.3,47,0.272,27,0.527,151,55,2.4,390,385,29,1.3,361,368,0.527,67,23,363,18,192,7.2,412,13.4,24,113.8,29,0.196,4,98.06,260,0.107,117,1626210,Alan Williams,0.234,9,PHX,1610612756,16.0,433,0.545,203,0.202,138,5,0.217,435,406
