,AST,AST_ADJ,AST_PTS_CREATED,AST_TO_PASS_PCT,AST_TO_PASS_PCT_ADJ,FT_AST,GP,L,MIN,PASSES_MADE,PASSES_RECEIVED,PLAYER_ID,PLAYER_NAME,POTENTIAL_AST,SECONDARY_AST,TEAM_ABBREVIATION,TEAM_ID,W
0,2,4,6,0.045,0.091,0,17,14,77.0,44,50,1627773,AJ Hammons,6,2,DAL,1610612742,3
1,96,120,220,0.091,0.114,7,49,21,652.0,1055,1231,201166,Aaron Brooks,200,17,IND,1610612754,28
2,125,170,297,0.082,0.111,14,65,41,1824.0,1533,1606,203932,Aaron Gordon,249,31,ORL,1610612753,24
3,3,3,8,0.13,0.13,0,5,3,17.0,23,21,1626151,Aaron Harrison,4,0,CHA,1610612766,2
4,4,7,10,0.029,0.051,2,12,8,92.0,136,109,203940,Adreian Payne,14,1,MIN,1610612750,4
5,260,331,632,0.096,0.122,27,53,18,1735.0,2711,2472,201143,Al Horford,502,44,BOS,1610612738,35
6,56,75,136,0.055,0.074,4,60,29,873.0,1014,949,2744,Al Jefferson,107,15,IND,1610612754,31
7,84,115,211,0.059,0.081,9,45,24,1324.0,1424,992,202329,Al-Farouq Aminu,136,21,POR,1610612757,21
8,11,18,24,0.057,0.093,1,25,9,274.0,194,209,101187,Alan Anderson,16,6,LAC,1610612746,16
9,11,16,27,0.026,0.037,2,33,24,418.0,427,290,1626210,Alan Williams,28,3,PHX,1610612756,9
10,21,34,47,0.041,0.066,1,30,11,477.0,516,598,202692,Alec Burks,58,12,UTA,1610612762,19
11,28,41,68,0.043,0.063,3,55,26,826.0,649,702,203518,Alex Abrines,63,10,OKC,1610612760,29
12,35,50,81,0.029,0.041,5,60,42,1189.0,1214,828,203458,Alex Len,78,10,PHX,1610612756,18
13,9,16,22,0.017,0.031,1,28,18,410.0,516,309,201582,Alexis Ajinca,23,6,NOP,1610612740,10
14,79,106,190,0.054,0.073,11,65,36,1850.0,1462,1485,203459,Allen Crabbe,156,18,POR,1610612757,29
15,6,6,16,0.083,0.083,0,13,9,89.0,72,56,202087,Alonzo Gee,12,0,DEN,1610612743,4
16,110,152,273,0.069,0.096,8,66,25,1307.0,1586,1222,101161,Amir Johnson,207,33,BOS,1610612738,41
17,10,10,24,0.062,0.062,0,14,2,92.0,161,108,2760,Anderson Varejao,22,0,GSW,1610612744,12
18,67,104,162,0.035,0.054,3,65,33,2005.0,1940,1372,203083,Andre Drummond,146,34,DET,1610612765,32
19,214,304,503,0.106,0.151,14,63,11,1648.0,2017,1795,2738,Andre Iguodala,397,75,GSW,1610612744,52
20,61,93,152,0.036,0.055,10,66,29,2013.0,1693,1178,203460,Andre Roberson,135,23,OKC,1610612760,37
21,49,60,117,0.059,0.073,1,27,19,583.0,825,499,101106,Andrew Bogut,110,10,CLE,1610612739,8
22,165,232,410,0.08,0.113,14,59,27,1218.0,2056,2277,1626150,Andrew Harrison,393,53,MEM,1610612763,32
23,7,14,17,0.025,0.051,1,30,12,250.0,276,214,203094,Andrew Nicholson,11,6,BKN,1610612751,18
24,155,213,381,0.092,0.126,15,65,38,2415.0,1692,2553,203952,Andrew Wiggins,342,43,MIN,1610612750,27
25,11,16,29,0.035,0.052,1,22,19,243.0,310,235,203461,Anthony Bennett,23,4,BKN,1610612751,3
26,8,11,21,0.059,0.081,2,11,8,159.0,136,130,1626148,Anthony Brown,15,1,ORL,1610612753,3
27,135,190,331,0.046,0.065,13,62,38,2246.0,2927,2960,203076,Anthony Davis,258,42,NOP,1610612740,24
28,19,24,46,0.067,0.085,2,42,21,636.0,284,405,201627,Anthony Morrow,37,3,CHI,1610612741,21
29,58,88,134,0.04,0.06,3,54,33,1245.0,1458,1169,201229,Anthony Tolliver,121,27,SAC,1610612758,21
30,1,1,3,0.038,0.038,0,3,2,30.0,26,33,203462,Archie Goodwin,6,0,NOP,1610612740,1
31,2,3,5,0.041,0.061,0,8,5,28.0,49,35,202620,Arinze Onuaku,10,1,ORL,1610612753,3
32,22,31,55,0.035,0.049,3,63,31,948.0,634,520,203382,Aron Baynes,67,6,DET,1610612765,32
