,AVG_DRIB_PER_TOUCH,AVG_SEC_PER_TOUCH,ELBOW_TOUCHES,FRONT_CT_TOUCHES,GP,L,MIN,PAINT_TOUCHES,PLAYER_ID,PLAYER_NAME,POINTS,POST_TOUCHES,PTS_PER_ELBOW_TOUCH,PTS_PER_PAINT_TOUCH,PTS_PER_POST_TOUCH,PTS_PER_TOUCH,TEAM_ABBREVIATION,TEAM_ID,TIME_OF_POSS,TOUCHES,W
0,0.35,1.58,4,53,17,14,77.0,6,1627773,AJ Hammons,24,11,0.0,0.667,0.364,0.312,DAL,1610612742,2.0,77,3
1,6.01,5.42,6,1080,41,17,568.0,2,201166,Aaron Brooks,203,3,0.333,0.0,0.667,0.167,IND,1610612754,109.7,1215,24
2,1.54,2.21,40,1699,56,35,1548.0,74,203932,Aaron Gordon,625,105,0.5,1.216,0.886,0.312,ORL,1610612753,73.8,2004,21
3,1.6,2.36,3,19,4,3,13.0,0,1626151,Aaron Harrison,1,1,0.0,0.0,0.0,0.045,CHA,1610612766,0.9,22,1
4,0.55,1.55,13,106,12,8,92.0,11,203940,Adreian Payne,48,11,0.615,0.545,0.545,0.25,MIN,1610612750,4.9,192,4
5,0.76,1.66,150,2153,45,15,1480.0,108,201143,Al Horford,657,148,0.213,0.806,0.696,0.213,BOS,1610612738,85.7,3090,30
6,0.5,1.9,128,845,52,25,747.0,101,2744,Al Jefferson,444,135,0.305,1.228,1.052,0.331,IND,1610612754,42.4,1341,27
7,0.92,1.6,41,823,37,21,1075.0,34,202329,Al-Farouq Aminu,308,41,0.244,0.618,0.78,0.19,POR,1610612757,43.3,1621,16
8,1.06,2.04,2,204,23,8,266.0,2,101187,Alan Anderson,71,3,0.0,1.0,1.333,0.252,LAC,1610612746,9.6,282,15
9,0.37,1.11,16,129,23,18,164.0,30,1626210,Alan Williams,72,33,0.188,0.767,0.697,0.288,PHX,1610612756,4.6,250,5
10,2.9,3.24,8,428,21,8,319.0,5,202692,Alec Burks,146,4,0.75,0.8,1.0,0.283,UTA,1610612762,27.8,515,13
11,0.83,1.5,19,540,45,21,624.0,3,203518,Alex Abrines,243,6,0.316,0.0,0.333,0.329,OKC,1610612760,18.5,738,24
12,0.29,1.21,104,743,51,37,1015.0,183,203458,Alex Len,392,222,0.288,0.896,0.838,0.263,PHX,1610612756,30.1,1491,14
13,0.23,1.13,38,261,23,15,350.0,37,201582,Alexis Ajinca,107,42,0.368,1.027,0.976,0.183,NOP,1610612740,11.0,585,8
14,0.61,1.38,56,1350,56,33,1595.0,34,203459,Allen Crabbe,583,45,0.625,0.618,0.6,0.317,POR,1610612757,42.4,1838,23
15,1.25,1.53,3,74,13,9,89.0,5,202087,Alonzo Gee,11,5,0.0,0.4,0.4,0.115,DEN,1610612743,2.4,96,4
16,0.47,1.35,76,998,54,19,1049.0,146,101161,Amir Johnson,336,166,0.079,1.116,1.042,0.208,BOS,1610612738,36.5,1619,35
17,0.69,1.57,14,101,13,2,87.0,10,2760,Anderson Varejao,18,10,0.286,0.4,0.3,0.099,GSW,1610612744,4.8,182,11
