,AVG_DREB_DIST,AVG_OREB_DIST,AVG_REB_DIST,DREB,DREB_CHANCES,DREB_CHANCE_DEFER,DREB_CHANCE_PCT,DREB_CHANCE_PCT_ADJ,DREB_CONTEST,DREB_CONTEST_PCT,DREB_UNCONTEST,GP,L,MIN,OREB,OREB_CHANCES,OREB_CHANCE_DEFER,OREB_CHANCE_PCT,OREB_CHANCE_PCT_ADJ,OREB_CONTEST,OREB_CONTEST_PCT,OREB_UNCONTEST,PLAYER_ID,PLAYER_NAME,REB,REB_CHANCES,REB_CHANCE_DEFER,REB_CHANCE_PCT,REB_CHANCE_PCT_ADJ,REB_CONTEST,REB_CONTEST_PCT,REB_UNCONTEST,TEAM_ABBREVIATION,TEAM_ID,W
0,3.9,10.0,5.4,15,27,5,0.556,0.682,5,0.333,10,17,14,77.0,5,18,2,0.278,0.313,2,0.4,3,1627773,AJ Hammons,20,45,7,0.444,0.526,7,0.35,13,DAL,1610612742,3
1,10.7,15.0,12.0,35,64,17,0.547,0.745,4,0.114,31,41,17,568.0,14,25,3,0.56,0.636,4,0.286,10,201166,Aaron Brooks,49,89,20,0.551,0.71,8,0.163,41,IND,1610612754,24
2,6.4,7.1,6.6,183,292,58,0.627,0.782,21,0.115,161,56,35,1548.0,74,128,10,0.578,0.627,50,0.676,23,203932,Aaron Gordon,257,420,68,0.612,0.73,71,0.276,184,ORL,1610612753,21
3,5.1,0.0,5.1,2,3,0,0.667,0.667,0,0.0,2,4,3,13.0,0,0,0,0.0,0.0,0,0.0,0,1626151,Aaron Harrison,2,3,0,0.667,0.667,0,0.0,2,CHA,1610612766,1
4,3.8,6.5,4.6,14,22,3,0.636,0.737,4,0.286,10,12,8,92.0,6,14,1,0.429,0.462,4,0.667,2,203940,Adreian Payne,20,36,4,0.556,0.625,8,0.4,12,MIN,1610612750,4
5,6.1,9.0,6.7,237,417,86,0.568,0.716,70,0.295,166,45,15,1480.0,60,111,11,0.541,0.6,33,0.55,27,201143,Al Horford,297,528,97,0.563,0.689,103,0.347,193,BOS,1610612738,30
6,4.1,5.5,4.4,155,272,63,0.57,0.742,45,0.29,110,52,25,747.0,56,115,6,0.487,0.514,41,0.732,15,2744,Al Jefferson,211,387,69,0.545,0.664,86,0.408,125,IND,1610612754,27
7,5.3,6.9,5.6,230,393,80,0.585,0.735,62,0.27,168,37,21,1075.0,43,100,10,0.43,0.478,30,0.698,13,202329,Al-Farouq Aminu,273,493,90,0.554,0.677,92,0.337,181,POR,1610612757,16
8,6.9,9.3,7.2,20,46,16,0.435,0.667,2,0.1,18,23,8,266.0,3,13,3,0.231,0.3,3,1.0,0,101187,Alan Anderson,23,59,19,0.39,0.575,5,0.217,18,LAC,1610612746,15
9,4.8,5.6,5.1,43,78,16,0.551,0.694,16,0.372,27,23,18,164.0,31,68,6,0.456,0.5,25,0.806,6,1626210,Alan Williams,74,146,22,0.507,0.597,41,0.554,33,PHX,1610612756,5
10,5.7,15.5,6.9,34,57,15,0.596,0.81,6,0.176,28,21,8,319.0,5,16,2,0.313,0.357,2,0.4,3,202692,Alec Burks,39,73,17,0.534,0.696,8,0.205,31,UTA,1610612762,13
11,9.0,12.8,9.9,37,69,22,0.536,0.787,9,0.243,27,45,21,624.0,11,19,2,0.579,0.647,5,0.455,6,203518,Alex Abrines,48,88,24,0.545,0.75,14,0.292,33,OKC,1610612760,24
12,4.1,4.1,4.1,229,363,81,0.631,0.812,54,0.236,174,51,37,1015.0,99,244,29,0.406,0.46,74,0.747,24,203458,Alex Len,328,607,110,0.54,0.66,128,0.39,198,PHX,1610612756,14
13,4.7,4.7,4.7,78,145,36,0.538,0.716,16,0.205,62,23,15,350.0,26,61,4,0.426,0.456,20,0.769,6,201582,Alexis Ajinca,104,206,40,0.505,0.627,36,0.346,68,NOP,1610612740,8
14,7.0,19.3,8.2,140,239,56,0.586,0.765,30,0.214,109,56,33,1595.0,14,37,4,0.378,0.424,7,0.5,7,203459,Allen Crabbe,154,276,60,0.558,0.713,37,0.24,116,POR,1610612757,23
15,6.0,4.7,5.6,10,22,9,0.455,0.769,3,0.3,7,13,9,89.0,4,9,0,0.444,0.444,2,0.5,2,202087,Alonzo Gee,14,31,9,0.452,0.636,5,0.357,9,DEN,1610612743,4
16,4.1,4.6,4.2,159,310,66,0.513,0.652,57,0.358,102,54,19,1049.0,86,209,13,0.411,0.439,63,0.733,23,101161,Amir Johnson,245,519,79,0.472,0.557,120,0.49,125,BOS,1610612738,35
17,5.3,3.4,4.4,14,29,8,0.483,0.667,5,0.357,9,13,2,87.0,12,26,3,0.462,0.522,9,0.75,3,2760,Anderson Varejao,26,55,11,0.473,0.591,14,0.538,12,GSW,1610612744,11
18,3.5,4.6,3.8,537,790,123,0.68,0.805,144,0.268,396,55,29,1680.0,229,422,25,0.543,0.577,182,0.795,47,203083,Andre Drummond,766,1212,148,0.632,0.72,326,0.426,443,DET,1610612765,26
19,9.1,10.6,9.3,170,255,37,0.667,0.78,34,0.2,138,53,7,1357.0,37,60,4,0.617,0.661,19,0.514,18,2738,Andre Iguodala,207,315,41,0.657,0.755,53,0.256,156,GSW,1610612744,46
20,5.8,6.6,6.0,225,395,103,0.57,0.771,45,0.2,178,56,24,1727.0,65,163,19,0.399,0.451,44,0.677,21,203460,Andre Roberson,290,558,122,0.52,0.665,89,0.307,199,OKC,1610612760,32
21,3.9,5.5,4.3,162,259,48,0.625,0.768,35,0.216,127,26,18,582.0,55,111,4,0.495,0.514,40,0.727,14,101106,Andrew Bogut,217,370,52,0.586,0.682,75,0.346,141,DAL,1610612742,8
22,9.7,18.4,11.3,83,163,45,0.509,0.703,11,0.133,72,52,21,1158.0,19,45,7,0.422,0.5,10,0.526,9,1626150,Andrew Harrison,102,208,52,0.49,0.654,21,0.206,81,MEM,1610612763,31
23,3.8,4.2,3.9,22,63,19,0.349,0.5,3,0.136,19,27,9,222.0,11,38,5,0.289,0.333,8,0.727,3,203094,Andrew Nicholson,33,101,24,0.327,0.429,11,0.333,22,WAS,1610612764,18
24,7.5,7.3,7.4,165,313,86,0.527,0.727,44,0.267,122,57,35,2120.0,71,172,33,0.413,0.511,51,0.718,21,203952,Andrew Wiggins,236,485,119,0.487,0.645,95,0.403,143,MIN,1610612750,22
25,4.2,4.6,4.3,45,73,14,0.616,0.763,13,0.289,32,19,16,209.0,21,32,3,0.656,0.724,19,0.905,2,203461,Anthony Bennett,66,105,17,0.629,0.75,32,0.485,34,BKN,1610612751,3
26,6.9,12.2,8.2,25,37,8,0.676,0.862,4,0.16,21,11,8,159.0,8,10,1,0.8,0.889,3,0.375,5,1626148,Anthony Brown,33,47,9,0.702,0.868,7,0.212,26,ORL,1610612753,3
27,4.5,5.2,4.7,505,753,129,0.671,0.809,121,0.24,388,52,31,1884.0,117,212,11,0.552,0.582,93,0.795,26,203076,Anthony Davis,622,965,140,0.645,0.754,214,0.344,414,NOP,1610612740,21
28,11.9,13.3,12.5,18,49,16,0.367,0.545,4,0.222,14,39,18,617.0,11,22,3,0.5,0.579,6,0.545,5,201627,Anthony Morrow,29,71,19,0.408,0.558,10,0.345,19,OKC,1610612760,21
29,5.9,7.9,6.4,125,221,49,0.566,0.727,17,0.136,105,45,25,1042.0,45,98,11,0.459,0.517,27,0.6,18,201229,Anthony Tolliver,170,319,60,0.533,0.656,44,0.259,123,SAC,1610612758,20
30,0.0,0.0,0.0,0,2,2,0.0,0.0,0,0.0,0,3,2,30.0,0,0,0,0.0,0.0,0,0.0,0,203462,Archie Goodwin,0,2,2,0.0,0.0,0,0.0,0,NOP,1610612740,1
31,2.3,2.2,2.3,4,6,0,0.667,0.667,1,0.25,3,8,5,28.0,2,2,0,1.0,1.0,2,1.0,0,202620,Arinze Onuaku,6,8,0,0.75,0.75,3,0.5,3,ORL,1610612753,3
32,4.5,3.2,4.1,149,286,74,0.521,0.703,32,0.215,117,53,27,817.0,64,200,24,0.32,0.364,49,0.766,15,203382,Aron Baynes,213,486,98,0.438,0.549,81,0.38,132,DET,1610612765,26
33,9.0,11.8,9.3,84,148,36,0.568,0.75,9,0.107,76,49,28,1253.0,9,26,2,0.346,0.375,5,0.556,4,201167,Arron Afflalo,93,174,38,0.534,0.684,14,0.151,80,SAC,1610612758,21
34,8.7,10.5,9.0,96,202,54,0.475,0.649,6,0.063,89,53,21,1505.0,16,58,10,0.276,0.333,7,0.438,9,203085,Austin Rivers,112,260,64,0.431,0.571,13,0.116,98,LAC,1610612746,32
35,4.9,8.8,5.5,196,319,63,0.614,0.766,37,0.189,159,34,13,1180.0,37,78,3,0.474,0.493,20,0.541,17,202340,Avery Bradley,233,397,66,0.587,0.704,57,0.245,176,BOS,1610612738,21
36,6.1,8.9,6.7,50,105,36,0.476,0.725,8,0.16,42,42,22,754.0,13,35,5,0.371,0.433,6,0.462,7,203463,Ben McLemore,63,140,41,0.45,0.636,14,0.222,49,SAC,1610612758,20
37,9.4,22.8,10.8,33,60,17,0.55,0.767,5,0.152,28,29,14,403.0,4,11,0,0.364,0.364,1,0.25,3,2757,Beno Udrih,37,71,17,0.521,0.685,6,0.162,31,DET,1610612765,15
38,4.2,5.8,4.7,302,498,102,0.606,0.763,64,0.212,239,57,36,1327.0,112,249,24,0.45,0.498,78,0.696,37,202687,Bismack Biyombo,414,747,126,0.554,0.667,142,0.343,276,ORL,1610612753,21
39,5.1,6.0,5.3,230,354,72,0.65,0.816,53,0.23,178,35,12,1162.0,76,157,22,0.484,0.563,50,0.658,25,201933,Blake Griffin,306,511,94,0.599,0.734,103,0.337,203,LAC,1610612746,23
40,4.6,3.9,4.3,45,59,7,0.763,0.865,13,0.289,32,23,11,159.0,30,50,3,0.6,0.638,24,0.8,6,1626246,Boban Marjanovic,75,109,10,0.688,0.758,37,0.493,38,DET,1610612765,12
41,10.6,0.0,10.6,5,8,2,0.625,0.833,1,0.2,4,16,4,48.0,0,0,0,0.0,0.0,0,0.0,0,201628,Bobby Brown,5,8,2,0.625,0.833,1,0.2,4,HOU,1610612745,12
42,4.8,6.8,5.4,82,151,31,0.543,0.683,17,0.207,64,36,20,439.0,35,93,8,0.376,0.412,26,0.743,9,1626171,Bobby Portis,117,244,39,0.48,0.571,43,0.368,73,CHI,1610612741,16
43,6.1,11.0,6.6,161,238,37,0.676,0.801,19,0.118,142,50,42,1346.0,17,46,3,0.37,0.395,11,0.647,6,202711,Bojan Bogdanovic,178,284,40,0.627,0.73,30,0.169,148,BKN,1610612751,8
44,6.2,7.6,6.5,71,155,45,0.458,0.645,18,0.254,53,48,19,872.0,26,74,5,0.351,0.377,18,0.692,8,2564,Boris Diaw,97,229,50,0.424,0.542,36,0.371,61,UTA,1610612762,29
45,9.5,14.6,10.6,117,215,51,0.544,0.713,22,0.188,94,50,17,1718.0,31,83,11,0.373,0.431,11,0.355,19,203078,Bradley Beal,148,298,62,0.497,0.627,33,0.223,113,WAS,1610612764,33
46,5.3,8.8,7.1,10,17,3,0.588,0.714,1,0.1,9,8,2,111.0,10,22,4,0.455,0.556,4,0.4,6,201148,Brandan Wright,20,39,7,0.513,0.625,5,0.25,15,MEM,1610612763,6
47,5.4,6.6,5.8,59,102,20,0.578,0.72,12,0.203,46,37,16,436.0,26,57,4,0.456,0.491,16,0.615,11,101138,Brandon Bass,85,159,24,0.535,0.63,28,0.329,57,LAC,1610612746,21
48,6.5,8.7,6.9,194,332,84,0.584,0.782,37,0.191,158,58,39,1604.0,41,102,8,0.402,0.436,22,0.537,19,1627742,Brandon Ingram,235,434,92,0.541,0.687,59,0.251,177,LAL,1610612747,19
49,9.4,12.1,9.8,128,227,59,0.564,0.762,18,0.141,109,56,33,1402.0,20,65,10,0.308,0.364,6,0.3,14,201943,Brandon Jennings,148,292,69,0.507,0.664,24,0.162,123,NYK,1610612752,23
50,7.6,11.1,8.3,93,191,56,0.487,0.689,17,0.183,78,52,37,1098.0,25,62,10,0.403,0.481,11,0.44,13,202688,Brandon Knight,118,253,66,0.466,0.631,28,0.237,91,PHX,1610612756,15
51,8.1,12.9,9.1,32,77,36,0.416,0.78,4,0.125,28,23,16,414.0,8,16,3,0.5,0.615,3,0.375,5,201575,Brandon Rush,40,93,39,0.43,0.741,7,0.175,33,MIN,1610612750,7
52,8.3,6.9,8.0,12,20,7,0.6,0.923,0,0.0,12,19,12,142.0,3,3,0,1.0,1.0,2,0.667,1,203148,Brian Roberts,15,23,7,0.652,0.938,2,0.133,13,CHA,1610612766,7
53,3.7,0.0,3.7,3,4,1,0.75,1.0,0,0.0,3,5,1,41.0,0,2,0,0.0,0.0,0,0.0,0,1627362,Briante Weber,3,6,1,0.5,0.6,0,0.0,3,GSW,1610612744,4
54,6.6,5.8,6.4,171,323,73,0.529,0.684,57,0.333,116,48,40,1430.0,76,155,9,0.49,0.521,57,0.75,18,201572,Brook Lopez,247,478,82,0.517,0.624,114,0.462,134,BKN,1610612751,8
55,4.5,3.7,4.2,3,6,3,0.5,1.0,1,0.333,2,7,1,21.0,2,4,0,0.5,0.5,1,0.5,1,203998,Bruno Caboclo,5,10,3,0.5,0.714,2,0.4,3,TOR,1610612761,6
56,10.8,20.4,12.2,6,10,2,0.6,0.75,2,0.333,4,18,4,86.0,1,1,0,1.0,1.0,0,0.0,1,1627854,Bryn Forbes,7,11,2,0.636,0.778,2,0.286,5,SAS,1610612759,14
57,7.7,10.6,8.0,143,243,66,0.588,0.808,18,0.126,125,56,33,1138.0,19,54,7,0.352,0.404,9,0.474,10,1627741,Buddy Hield,162,297,73,0.545,0.723,27,0.167,135,NOP,1610612740,23
58,9.2,14.5,10.4,160,298,70,0.537,0.702,30,0.188,132,56,33,1934.0,47,99,15,0.475,0.56,15,0.319,32,203468,CJ McCollum,207,397,85,0.521,0.663,45,0.217,164,POR,1610612757,23
59,7.4,11.2,7.8,118,185,28,0.638,0.752,29,0.246,89,46,22,1054.0,12,28,5,0.429,0.522,5,0.417,7,101139,CJ Miles,130,213,33,0.61,0.722,34,0.262,96,IND,1610612754,24
60,8.8,17.0,10.0,58,115,36,0.504,0.734,9,0.155,48,46,31,774.0,10,28,5,0.357,0.435,5,0.5,5,201228,CJ Watson,68,143,41,0.476,0.667,14,0.206,53,ORL,1610612753,15
61,8.0,16.5,9.9,7,14,4,0.5,0.7,0,0.0,7,16,10,75.0,2,6,1,0.333,0.4,0,0.0,2,203912,CJ Wilcox,9,20,5,0.45,0.6,0,0.0,9,ORL,1610612753,6
62,8.5,11.1,8.6,29,41,6,0.707,0.829,2,0.069,27,20,9,320.0,2,8,0,0.25,0.25,0,0.0,2,1626166,Cameron Payne,31,49,6,0.633,0.721,2,0.065,29,OKC,1610612760,11
63,6.9,14.5,7.9,78,125,19,0.624,0.736,8,0.103,70,31,27,624.0,11,27,1,0.407,0.423,6,0.545,5,1627747,Caris LeVert,89,152,20,0.586,0.674,14,0.157,75,BKN,1610612751,4
64,5.8,8.0,6.1,291,428,64,0.68,0.799,57,0.196,234,56,33,1906.0,48,97,13,0.495,0.571,38,0.792,10,2546,Carmelo Anthony,339,525,77,0.646,0.757,95,0.28,244,NYK,1610612752,23
65,8.3,4.6,8.1,62,100,24,0.62,0.816,9,0.145,53,27,11,523.0,3,12,4,0.25,0.375,3,1.0,0,202718,Chandler Parsons,65,112,28,0.58,0.774,12,0.185,53,MEM,1610612763,16
66,4.9,7.5,5.3,149,272,60,0.548,0.703,42,0.282,107,46,15,857.0,28,59,7,0.475,0.538,19,0.679,9,101112,Channing Frye,177,331,67,0.535,0.67,61,0.345,116,CLE,1610612739,31
67,10.6,0.0,10.6,5,13,1,0.385,0.417,2,0.4,3,8,7,74.0,0,0,0,0.0,0.0,0,0.0,0,1626184,Chasson Randle,5,13,1,0.385,0.417,2,0.4,3,PHI,1610612755,1
68,6.3,7.1,6.6,20,32,7,0.625,0.8,0,0.0,20,9,5,94.0,12,31,1,0.387,0.4,6,0.5,6,1627767,Cheick Diallo,32,63,8,0.508,0.582,6,0.188,26,NOP,1610612740,4
69,5.7,2.6,4.7,2,3,1,0.667,1.0,1,0.5,1,2,1,10.0,1,5,1,0.2,0.25,1,1.0,0,1627778,Chinanu Onuaku,3,8,2,0.375,0.5,2,0.667,1,HOU,1610612745,1
70,3.7,5.2,4.1,22,50,6,0.44,0.5,3,0.136,19,12,4,114.0,9,26,2,0.346,0.375,8,0.889,1,2365,Chris Andersen,31,76,8,0.408,0.456,11,0.355,20,CLE,1610612739,8
71,2.9,11.7,7.6,6,14,4,0.429,0.6,0,0.0,7,13,13,62.0,8,13,2,0.615,0.727,4,0.5,4,1626191,Chris McCullough,14,27,6,0.519,0.667,4,0.286,11,BKN,1610612751,0
72,7.2,13.7,8.1,162,283,66,0.572,0.747,18,0.111,144,35,9,1079.0,24,42,4,0.571,0.632,11,0.458,15,101108,Chris Paul,186,325,70,0.572,0.729,29,0.156,159,LAC,1610612746,26
73,3.9,0.0,3.9,4,6,1,0.667,0.8,1,0.25,3,2,2,13.0,0,0,0,0.0,0.0,0,0.0,0,1626174,Christian Wood,4,6,1,0.667,0.8,1,0.25,3,CHA,1610612766,0
74,4.4,5.3,4.7,211,360,72,0.586,0.733,60,0.284,151,42,13,979.0,100,230,14,0.435,0.463,71,0.71,29,203991,Clint Capela,311,590,86,0.527,0.617,131,0.421,180,HOU,1610612745,29
