,AVG_DRIB_PER_TOUCH,AVG_SEC_PER_TOUCH,ELBOW_TOUCHES,FRONT_CT_TOUCHES,GP,L,MIN,PAINT_TOUCHES,PLAYER_ID,PLAYER_NAME,POINTS,POST_TOUCHES,PTS_PER_ELBOW_TOUCH,PTS_PER_PAINT_TOUCH,PTS_PER_POST_TOUCH,PTS_PER_TOUCH,TEAM_ABBREVIATION,TEAM_ID,TIME_OF_POSS,TOUCHES,W
0,5.26,5.02,8,2167,69,33,1108.0,5,201166,Aaron Brooks,491,18,0.5,0.4,0.111,0.204,CHI,1610612741,201.5,2408,36
1,1.02,1.57,84,1683,77,45,1857.0,126,203932,Aaron Gordon,719,156,0.369,0.897,0.821,0.236,ORL,1610612753,79.6,3043,32
2,1.83,2.15,5,69,21,6,93.0,1,1626151,Aaron Harrison,18,2,0.2,0.0,0.0,0.2,CHA,1610612766,3.2,90,15
3,0.59,1.51,74,458,52,34,486.0,46,203940,Adreian Payne,132,53,0.122,0.609,0.453,0.135,MIN,1610612750,24.7,981,18
4,0.53,1.43,361,3540,82,34,2631.0,350,201143,Al Horford,1249,398,0.211,0.809,0.771,0.238,ATL,1610612737,125.2,5239,48
5,0.44,1.87,120,990,47,14,1096.0,154,2744,Al Jefferson,562,256,0.208,1.065,0.832,0.378,CHA,1610612766,46.3,1487,33
6,1.09,1.8,79,2083,82,38,2341.0,68,202329,Al-Farouq Aminu,839,86,0.316,0.926,0.709,0.274,POR,1610612757,91.9,3066,44
7,1.0,1.94,3,142,13,5,192.0,6,101187,Alan Anderson,65,7,0.0,0.333,0.714,0.301,WAS,1610612764,7.0,216,8
8,0.45,1.12,8,64,10,7,68.0,16,1626210,Alan Williams,29,19,0.0,0.5,0.526,0.225,PHX,1610612756,2.4,129,3
9,3.15,3.55,39,1327,31,18,797.0,14,202692,Alec Burks,412,26,0.359,0.286,0.385,0.272,UTA,1610612762,89.5,1515,13
10,0.37,1.36,255,1578,78,55,1821.0,311,203458,Alex Len,703,428,0.247,0.804,0.752,0.23,PHX,1610612756,69.6,3061,23
11,0.46,1.64,8,60,8,6,72.0,8,1627293,Alex Stepheson,22,9,0.0,0.5,0.444,0.234,MEM,1610612763,2.6,94,2
12,0.23,1.18,174,751,59,39,861.0,113,201582,Alexis Ajinca,352,121,0.425,0.947,0.95,0.233,NOP,1610612740,29.8,1508,20
13,0.67,1.42,60,1934,81,38,2105.0,35,203459,Allen Crabbe,832,57,0.367,0.914,0.561,0.335,POR,1610612757,58.9,2485,43
14,0.86,1.36,18,1141,73,46,1632.0,76,202087,Alonzo Gee,325,103,0.056,0.632,0.544,0.205,NOP,1610612740,35.9,1587,27
15,0.38,1.64,115,600,52,22,762.0,129,2405,Amar'e Stoudemire,300,157,0.235,1.008,0.949,0.294,MIA,1610612748,27.8,1019,30
