,GAME_ID,EVENTNUM,PERIOD,PCTIMESTRING,HOMEDESCRIPTION,NEUTRALDESCRIPTION,VISITORDESCRIPTION,PLAYER1_ID,PLAYER1_NAME,PLAYER1_TEAM_ID,PLAYER2_ID,PLAYER2_NAME,PLAYER2_TEAM_ID,PLAYER3_ID,PLAYER3_NAME,PLAYER3_TEAM_ID,ACTION_TYPE,EVENT_TYPE,GAME_EVENT_ID,LOC_X,LOC_Y,SHOT_DISTANCE,SHOT_MADE_FLAG,SHOT_TYPE,SHOT_ZONE_AREA,SHOT_ZONE_BASIC,SHOT_ZONE_RANGE
0,21200778,3,1,11:35,MISS Bradley 20' Jump Shot,,,202340,Avery Bradley,1610612738.0,0,,,0,,,Jump Shot,Missed Shot,3,-147,140,20,0,2PT Field Goal,Left Side Center(LC),Mid-Range,16-24 ft.
1,21200778,5,1,11:14,,,MISS Deng 20' Jump Shot,2736,Luol Deng,1610612741.0,0,,,0,,,Jump Shot,Missed Shot,5,-199,0,19,0,2PT Field Goal,Left Side(L),Mid-Range,16-24 ft.
2,21200778,7,1,11:07,MISS Garnett 21' Jump Shot,,,708,Kevin Garnett,1610612738.0,0,,,0,,,Jump Shot,Missed Shot,7,-93,186,20,0,2PT Field Goal,Left Side Center(LC),Mid-Range,16-24 ft.
3,21200778,9,1,10:46,,,MISS Boozer 15' Jump Shot,2430,Carlos Boozer,1610612741.0,0,,,0,,,Jump Shot,Missed Shot,9,-147,6,14,0,2PT Field Goal,Left Side(L),Mid-Range,8-16 ft.
4,21200778,11,1,10:34,Lee 18' Jump Shot (2 PTS) (Bradley 1 AST),,,201584,Courtney Lee,1610612738.0,202340,Avery Bradley,1610612738.0,0,,,Jump Shot,Made Shot,11,118,132,17,1,2PT Field Goal,Right Side Center(RC),Mid-Range,16-24 ft.
5,21200778,12,1,10:07,,,Deng 6' Running Jump Shot (2 PTS),2736,Luol Deng,1610612741.0,0,,,0,,,Running Jump Shot,Made Shot,12,-40,45,6,1,2PT Field Goal,Center(C),In The Paint (Non-RA),Less Than 8 ft.
6,21200778,13,1,9:56,MISS Bradley 12' Jump Shot,,,202340,Avery Bradley,1610612738.0,0,,,0,,,Jump Shot,Missed Shot,13,106,55,11,0,2PT Field Goal,Right Side(R),Mid-Range,8-16 ft.
7,21200778,15,1,9:52,Garnett 6' Fadeaway Bank Shot (2 PTS),,,708,Kevin Garnett,1610612738.0,0,,,0,,,Fadeaway Bank shot,Made Shot,15,-41,44,6,1,2PT Field Goal,Center(C),In The Paint (Non-RA),Less Than 8 ft.
8,21200778,16,1,9:37,,,MISS Hamilton 17' Jump Shot,1888,Richard Hamilton,1610612741.0,0,,,0,,,Jump Shot,Missed Shot,16,56,165,17,0,2PT Field Goal,Right Side Center(RC),Mid-Range,16-24 ft.
9,21200778,18,1,9:16,MISS Pierce 19' Step Back Jump Shot,,,1718,Paul Pierce,1610612738.0,0,,,0,,,Step Back Jump shot,Missed Shot,18,141,131,19,0,2PT Field Goal,Right Side Center(RC),Mid-Range,16-24 ft.
10,21200778,20,1,9:08,,,Hamilton 1' Driving Layup (2 PTS) (Noah 1 AST),1888,Richard Hamilton,1610612741.0,201149,Joakim Noah,1610612741.0,0,,,Driving Layup Shot,Made Shot,20,-7,7,0,1,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.
11,21200778,24,1,8:54,Bass 15' Jump Shot (2 PTS) (Pierce 1 AST),,,101138,Brandon Bass,1610612738.0,1718,Paul Pierce,1610612738.0,0,,,Jump Shot,Made Shot,24,-147,47,15,1,2PT Field Goal,Left Side(L),Mid-Range,8-16 ft.
12,21200778,25,1,8:40,,,MISS Robinson 5' Jump Shot,101126,Nate Robinson,1610612741.0,0,,,0,,,Jump Shot,Missed Shot,25,21,44,4,0,2PT Field Goal,Center(C),In The Paint (Non-RA),Less Than 8 ft.
13,21200778,27,1,8:24,MISS Bradley 4' Running Jump Shot,,,202340,Avery Bradley,1610612738.0,0,,,0,,,Running Jump Shot,Missed Shot,27,-18,37,4,0,2PT Field Goal,Center(C),In The Paint (Non-RA),Less Than 8 ft.
14,21200778,29,1,8:09,,,Boozer 16' Jump Shot (2 PTS) (Robinson 1 AST),2430,Carlos Boozer,1610612741.0,101126,Nate Robinson,1610612741.0,0,,,Jump Shot,Made Shot,29,-152,61,16,1,2PT Field Goal,Left Side(L),Mid-Range,16-24 ft.
15,21200778,33,1,7:55,Bradley 19' Jump Shot (2 PTS),,,202340,Avery Bradley,1610612738.0,0,,,0,,,Jump Shot,Made Shot,33,42,184,18,1,2PT Field Goal,Center(C),Mid-Range,16-24 ft.
16,21200778,36,1,7:20,MISS Bass 17' Jump Shot,,,101138,Brandon Bass,1610612738.0,0,,,0,,,Jump Shot,Missed Shot,36,-168,14,16,0,2PT Field Goal,Left Side(L),Mid-Range,16-24 ft.
17,21200778,38,1,7:02,,,MISS Boozer 4' Jump Shot,2430,Carlos Boozer,1610612741.0,0,,,0,,,Jump Shot,Missed Shot,38,32,22,3,0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.
18,21200778,40,1,7:00,,,MISS Boozer  Tip Shot,2430,Carlos Boozer,1610612741.0,0,,,0,,,Tip Shot,Missed Shot,40,0,-3,0,0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.
19,21200778,42,1,6:51,MISS Lee 15' Jump Shot,,,201584,Courtney Lee,1610612738.0,0,,,0,,,Jump Shot,Missed Shot,42,-153,1,15,0,2PT Field Goal,Left Side(L),Mid-Range,8-16 ft.
20,21200778,47,1,6:13,Bass 13' Jump Shot (4 PTS) (Pierce 2 AST),,,101138,Brandon Bass,1610612738.0,1718,Paul Pierce,1610612738.0,0,,,Jump Shot,Made Shot,47,130,36,13,1,2PT Field Goal,Right Side(R),Mid-Range,8-16 ft.
21,21200778,48,1,5:50,,,Noah 2' Dunk (2 PTS) (Hamilton 1 AST),201149,Joakim Noah,1610612741.0,1888,Richard Hamilton,1610612741.0,0,,,Dunk Shot,Made Shot,48,-13,11,1,1,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.
