,GP,YEAR,TEAM_ID,TEAM_NAME,OFF_TOP,DEF_TOP,ORTG,DRTG,PACE,TOTAL_POSSESSIONS
0,81.0,2013-14,1610612737.0,Atlanta Hawks,1520.0,1582.7,103.4,104.1,96.87,7846.47
1,82.0,2013-14,1610612738.0,Boston Celtics,1580.5,1544.2,99.7,105.2,95.88,7862.16
2,81.0,2013-14,1610612751.0,Brooklyn Nets,1570.2,1567.0,104.4,104.9,93.68,7588.08
3,81.0,2013-14,1610612766.0,Charlotte Bobcats,1587.5,1523.3,101.2,101.2,94.73,7673.13
4,82.0,2013-14,1610612741.0,Chicago Bulls,1659.5,1530.5,99.7,97.8,92.72,7603.04
5,82.0,2013-14,1610612739.0,Cleveland Cavaliers,1566.7,1578.4,101.3,104.8,95.68,7845.76
6,82.0,2013-14,1610612742.0,Dallas Mavericks,1587.0,1558.1,109.0,105.9,95.74,7850.68
7,82.0,2013-14,1610612743.0,Denver Nuggets,1502.3,1629.3,103.3,105.4,100.68,8255.76
8,82.0,2013-14,1610612765.0,Detroit Pistons,1574.8,1582.8,102.9,107.3,97.39,7985.98
9,81.0,2013-14,1610612744.0,Golden State Warriors,1519.0,1629.2,105.3,99.9,98.53,7980.93
10,82.0,2013-14,1610612745.0,Houston Rockets,1525.4,1613.1,108.6,103.1,98.81,8102.42
11,82.0,2013-14,1610612754.0,Indiana Pacers,1620.2,1536.9,101.5,96.7,94.9,7781.8
12,82.0,2013-14,1610612746.0,Los Angeles Clippers,1484.2,1640.4,109.4,102.1,98.39,8067.98
13,82.0,2013-14,1610612747.0,Los Angeles Lakers,1495.3,1609.9,101.9,107.9,100.98,8280.36
14,82.0,2013-14,1610612763.0,Memphis Grizzlies,1639.5,1514.5,103.3,102.1,92.25,7564.5
15,82.0,2013-14,1610612748.0,Miami Heat,1578.3,1597.9,109.0,102.9,93.26,7647.32
16,81.0,2013-14,1610612749.0,Milwaukee Bucks,1573.8,1540.0,100.2,108.9,94.28,7636.68
17,82.0,2013-14,1610612750.0,Minnesota Timberwolves,1588.2,1580.9,105.6,104.1,99.82,8185.24
18,82.0,2013-14,1610612740.0,New Orleans Pelicans,1628.2,1564.4,104.7,107.3,94.51,7749.82
19,82.0,2013-14,1610612752.0,New York Knicks,1629.5,1562.9,105.4,106.5,92.59,7592.38
20,82.0,2013-14,1610612760.0,Oklahoma City Thunder,1534.5,1616.9,108.1,101.0,97.91,8028.62
21,82.0,2013-14,1610612753.0,Orlando Magic,1625.3,1570.0,99.3,104.8,95.87,7861.34
22,82.0,2013-14,1610612755.0,Philadelphia 76ers,1464.9,1654.6,96.8,107.5,101.62,8332.84
23,82.0,2013-14,1610612756.0,Phoenix Suns,1553.6,1582.9,107.1,103.8,98.16,8049.12
24,82.0,2013-14,1610612757.0,Portland Trail Blazers,1592.8,1547.0,108.3,104.7,97.48,7993.36
25,81.0,2013-14,1610612758.0,Sacramento Kings,1614.2,1526.8,102.9,106.3,96.75,7836.75
26,82.0,2013-14,1610612759.0,San Antonio Spurs,1541.6,1584.7,108.2,100.1,97.07,7959.74
27,81.0,2013-14,1610612761.0,Toronto Raptors,1628.3,1511.9,105.8,102.4,94.42,7648.02
28,82.0,2013-14,1610612762.0,Utah Jazz,1640.3,1509.5,100.6,109.1,93.57,7672.74
29,81.0,2013-14,1610612764.0,Washington Wizards,1537.3,1573.5,103.3,102.4,95.45,7731.45
0,82.0,2014-15,1610612737.0,Atlanta Hawks,1533.0,1596.8,106.2,100.7,96.25,7892.5
1,82.0,2014-15,1610612738.0,Boston Celtics,1529.4,1651.1,101.7,102.1,98.4,8068.8
2,82.0,2014-15,1610612751.0,Brooklyn Nets,1612.5,1610.4,101.9,105.0,94.97,7787.54
3,82.0,2014-15,1610612766.0,Charlotte Hornets,1632.8,1562.5,97.6,101.0,95.33,7817.06
4,82.0,2014-15,1610612741.0,Chicago Bulls,1629.0,1569.5,104.7,101.5,95.35,7818.7
5,81.0,2014-15,1610612739.0,Cleveland Cavaliers,1598.7,1520.4,107.7,104.1,94.78,7677.18
6,82.0,2014-15,1610612742.0,Dallas Mavericks,1538.1,1615.4,107.2,103.7,97.43,7989.26
7,82.0,2014-15,1610612743.0,Denver Nuggets,1543.4,1648.1,101.6,105.5,98.67,8090.94
8,82.0,2014-15,1610612765.0,Detroit Pistons,1617.5,1567.1,102.3,104.2,95.18,7804.76
9,82.0,2014-15,1610612744.0,Golden State Warriors,1441.8,1689.2,109.7,98.2,100.69,8256.58
10,81.0,2014-15,1610612745.0,Houston Rockets,1518.5,1599.7,104.2,100.5,99.25,8039.25
11,82.0,2014-15,1610612754.0,Indiana Pacers,1662.2,1539.7,100.8,100.9,95.5,7831.0
12,82.0,2014-15,1610612746.0,Los Angeles Clippers,1531.6,1623.9,109.8,103.0,96.96,7950.72
13,82.0,2014-15,1610612747.0,Los Angeles Lakers,1668.5,1552.8,100.8,108.0,96.33,7899.06
14,82.0,2014-15,1610612763.0,Memphis Grizzlies,1623.3,1581.8,103.1,99.9,94.21,7725.22
15,81.0,2014-15,1610612748.0,Miami Heat,1613.6,1528.7,101.5,103.8,93.26,7554.06
16,81.0,2014-15,1610612749.0,Milwaukee Bucks,1505.0,1623.1,100.5,99.3,96.5,7816.5
17,81.0,2014-15,1610612750.0,Minnesota Timberwolves,1573.9,1572.4,99.8,109.6,96.96,7853.76
18,82.0,2014-15,1610612740.0,New Orleans Pelicans,1668.2,1553.3,105.4,104.7,93.7,7683.4
19,81.0,2014-15,1610612752.0,New York Knicks,1608.1,1524.7,97.1,107.2,93.67,7587.27
20,82.0,2014-15,1610612760.0,Oklahoma City Thunder,1562.1,1610.4,104.5,103.1,98.35,8064.7
21,82.0,2014-15,1610612753.0,Orlando Magic,1567.9,1609.5,99.6,105.2,95.89,7862.98
22,82.0,2014-15,1610612755.0,Philadelphia 76ers,1561.4,1580.5,93.0,102.1,98.28,8058.96
23,82.0,2014-15,1610612756.0,Phoenix Suns,1541.0,1626.8,102.9,103.4,98.68,8091.76
24,82.0,2014-15,1610612757.0,Portland Trail Blazers,1623.9,1554.3,105.5,101.4,96.46,7909.72
25,82.0,2014-15,1610612758.0,Sacramento Kings,1617.8,1585.7,102.5,106.5,97.92,8029.44
26,82.0,2014-15,1610612759.0,San Antonio Spurs,1608.3,1580.0,106.2,99.6,95.93,7866.26
27,82.0,2014-15,1610612761.0,Toronto Raptors,1642.0,1545.0,108.1,104.8,95.4,7822.8
28,82.0,2014-15,1610612762.0,Utah Jazz,1622.7,1523.7,102.5,102.1,92.78,7607.96
29,82.0,2014-15,1610612764.0,Washington Wizards,1574.4,1623.8,101.8,100.0,95.96,7868.72
0,82.0,2015-16,1610612737.0,Atlanta Hawks,1519.4,1651.0,103.0,98.8,99.4,8150.8
1,81.0,2015-16,1610612738.0,Boston Celtics,1476.2,1638.9,103.9,100.9,101.15,8193.15
2,82.0,2015-16,1610612751.0,Brooklyn Nets,1603.7,1577.4,100.9,108.5,97.37,7984.34
3,82.0,2015-16,1610612766.0,Charlotte Hornets,1612.8,1565.1,105.1,101.8,97.8,8019.6
4,82.0,2015-16,1610612741.0,Chicago Bulls,1581.3,1603.0,102.1,103.9,98.25,8056.5
5,82.0,2015-16,1610612739.0,Cleveland Cavaliers,1641.0,1550.7,108.1,102.3,95.48,7829.36
6,82.0,2015-16,1610612742.0,Dallas Mavericks,1631.7,1561.7,104.8,104.3,96.4,7904.8
7,82.0,2015-16,1610612743.0,Denver Nuggets,1610.0,1592.5,102.7,106.4,98.16,8049.12
8,82.0,2015-16,1610612765.0,Detroit Pistons,1606.8,1601.8,103.3,103.4,97.39,7985.98
9,82.0,2015-16,1610612744.0,Golden State Warriors,1463.1,1687.5,112.5,100.9,101.65,8335.3
10,82.0,2015-16,1610612745.0,Houston Rockets,1507.3,1661.0,105.5,105.6,100.08,8206.56
11,82.0,2015-16,1610612754.0,Indiana Pacers,1585.5,1604.1,102.4,100.2,98.99,8117.18
12,82.0,2015-16,1610612746.0,Los Angeles Clippers,1596.4,1597.6,106.5,100.9,97.97,8033.54
13,82.0,2015-16,1610612747.0,Los Angeles Lakers,1641.4,1538.5,98.6,109.3,97.99,8035.18
14,82.0,2015-16,1610612763.0,Memphis Grizzlies,1637.9,1558.8,102.6,105.4,95.65,7843.3
15,82.0,2015-16,1610612748.0,Miami Heat,1654.0,1551.9,104.2,101.5,95.75,7851.5
16,82.0,2015-16,1610612749.0,Milwaukee Bucks,1570.2,1601.6,102.2,105.7,96.55,7917.1
17,82.0,2015-16,1610612750.0,Minnesota Timberwolves,1603.3,1624.7,104.3,107.1,97.59,8002.38
18,82.0,2015-16,1610612740.0,New Orleans Pelicans,1552.3,1645.2,103.2,107.3,98.91,8110.62
19,82.0,2015-16,1610612752.0,New York Knicks,1610.0,1546.6,102.0,104.8,95.83,7858.06
20,82.0,2015-16,1610612760.0,Oklahoma City Thunder,1578.7,1619.6,109.9,103.0,99.37,8148.34
21,81.0,2015-16,1610612753.0,Orlando Magic,1570.8,1598.1,102.6,104.6,98.16,7950.96
22,82.0,2015-16,1610612755.0,Philadelphia 76ers,1617.2,1558.5,96.6,106.7,100.23,8218.86
23,82.0,2015-16,1610612756.0,Phoenix Suns,1543.3,1578.0,99.4,107.0,100.86,8270.52
24,82.0,2015-16,1610612757.0,Portland Trail Blazers,1641.9,1552.1,106.1,105.6,98.31,8061.42
25,81.0,2015-16,1610612758.0,Sacramento Kings,1523.0,1607.4,103.3,106.3,102.24,8281.44
26,82.0,2015-16,1610612759.0,San Antonio Spurs,1626.3,1525.5,108.4,96.6,95.72,7849.04
27,81.0,2015-16,1610612761.0,Toronto Raptors,1670.7,1474.5,107.0,102.7,95.31,7720.11
28,82.0,2015-16,1610612762.0,Utah Jazz,1688.1,1522.7,103.1,101.6,93.26,7647.32
29,82.0,2015-16,1610612764.0,Washington Wizards,1495.2,1665.0,102.9,103.6,100.63,8251.66
