Receiver_Name,Passer_Name,Assists
"Durant, Kevin","Westbrook, Russell",255
"Cousins, DeMarcus","Rondo, Rajon",236
"Redick, JJ","Paul, Chris",221
"Towns, Karl-Anthony","Rubio, Ricky",209
"Ibaka, Serge","Westbrook, Russell",197
"Gortat, Marcin","Wall, John",181
"Thompson, Klay","Curry, Stephen",170
"Horford, Al","Teague, Jeff",168
"Thompson, Klay","Green, Draymond",161
"Curry, Stephen","Green, Draymond",157
"Wiggins, Andrew","Rubio, Ricky",148
"Jordan, DeAndre","Paul, Chris",143
"Drummond, Andre","Jackson, Reggie",137
"Porter, Otto","Wall, John",132
"Davis, Anthony","Holiday, Jrue",130
"Gay, Rudy","Rondo, Rajon",129
"Adams, Steven","Westbrook, Russell",129
"Ariza, Trevor","Harden, James",128
"Love, Kevin","James, LeBron",126
"Green, Draymond","Curry, Stephen",119
"Griffin, Blake","Paul, Chris",114
"Aldridge, LaMarcus","Parker, Tony",113
"Vucevic, Nikola","Payton, Elfrid",113
"Belinelli, Marco","Rondo, Rajon",110
"Nowitzki, Dirk","Williams, Deron",109
"Gasol, Marc","Conley, Mike",106
"Smith, J.R.","James, LeBron",105
"Sullinger, Jared","Thomas, Isaiah",104
"Crowder, Jae","Thomas, Isaiah",102
"Gasol, Pau","Rose, Derrick",100
"DeRozan, DeMar","Lowry, Kyle",99
"Howard, Dwight","Harden, James",97
"Kanter, Enes","Westbrook, Russell",96
"Dudley, Jared","Wall, John",96
"McCollum, CJ","Lillard, Damian",95
"Ibaka, Serge","Durant, Kevin",95
"George, Paul","Ellis, Monta",93
"Bradley, Avery","Thomas, Isaiah",91
"Whiteside, Hassan","Wade, Dwyane",91
"Millsap, Paul","Teague, Jeff",91
"Faried, Kenneth","Mudiay, Emmanuel",89
"Williams, Marvin","Walker, Kemba",89
"Beal, Bradley","Wall, John",88
"Parker, Jabari","Antetokounmpo, Giannis",87
"Ilyasova, Ersan","Jackson, Reggie",86
"Butler, Jimmy","Gasol, Pau",86
"Caldwell-Pope, Kentavious","Jackson, Reggie",85
"Batum, Nicolas","Walker, Kemba",85
"Gasol, Pau","Butler, Jimmy",85
"Zeller, Cody","Batum, Nicolas",84
"James, LeBron","Dellavedova, Matthew",84
"Scola, Luis","Lowry, Kyle",83
"Plumlee, Mason","Lillard, Damian",83
"Deng, Luol","Dragic, Goran",82
"Horford, Al","Schroder, Dennis",81
"Morris, Marcus","Jackson, Reggie",80
"Williams, Marvin","Batum, Nicolas",78
"LaVine, Zach","Rubio, Ricky",77
"Aminu, Al-Farouq","Lillard, Damian",76
"Johnson, Amir","Thomas, Isaiah",76
"Lopez, Brook","Johnson, Joe",76
"Temple, Garrett","Wall, John",76
"Dieng, Gorgui","Rubio, Ricky",76
"Monroe, Greg","Middleton, Khris",76
"Mahinmi, Ian","George, Paul",76
"Leonard, Kawhi","Parker, Tony",75
"Beverley, Patrick","Harden, James",75
"Capela, Clint","Harden, James",74
"Millsap, Paul","Schroder, Dennis",73
"Korver, Kyle","Teague, Jeff",71
"Crabbe, Allen","Lillard, Damian",70
"Nowitzki, Dirk","Barea, Jose Juan",70
"Walker, Kemba","Batum, Nicolas",68
"James, LeBron","Love, Kevin",68
"George, Paul","Hill, George",68
"Anderson, Ryan","Holiday, Jrue",68
"Roberson, Andre","Westbrook, Russell",67
"Monroe, Greg","Antetokounmpo, Giannis",67
"Mahinmi, Ian","Ellis, Monta",67
"Porzingis, Kristaps","Calderon, Jose",67
"McLemore, Ben","Rondo, Rajon",66
"Lopez, Brook","Jack, Jarrett",66
"Whiteside, Hassan","Dragic, Goran",66
"Parker, Jabari","Middleton, Khris",65
"Noel, Nerlens","Smith, Ish",65
"Westbrook, Russell","Durant, Kevin",65
"Cauley-Stein, Willie","Rondo, Rajon",65
"Bosh, Chris","Dragic, Goran",64
"Leonard, Meyers","Lillard, Damian",64
"Casspi, Omri","Rondo, Rajon",64
"Valanciunas, Jonas","Lowry, Kyle",63
"Young, Thaddeus","Jack, Jarrett",63
"Wade, Dwyane","Dragic, Goran",62
"Harris, Gary","Mudiay, Emmanuel",62
"Antetokounmpo, Giannis","Middleton, Khris",62
"Olynyk, Kelly","Turner, Evan",62
"Lowry, Kyle","DeRozan, DeMar",62
"Middleton, Khris","Carter-Williams, Michael",61
"Vucevic, Nikola","Fournier, Evan",61
"Fournier, Evan","Payton, Elfrid",60
"Porzingis, Kristaps","Anthony, Carmelo",60
"Deng, Luol","Wade, Dwyane",60
"Morris, Markieff","Wall, John",60
"Curry, Stephen","Bogut, Andrew",60
"Davis, Anthony","Cole, Norris",59
"Lopez, Brook","Sloan, Donald",59
"Parsons, Chandler","Williams, Deron",59
"Lillard, Damian","Plumlee, Mason",59
