,EVENTMSGACTIONTYPE,EVENTMSGTYPE,EVENTNUM,GAME_ID,HOMEDESCRIPTION,NEUTRALDESCRIPTION,PCTIMESTRING,PERIOD,PERSON1TYPE,PERSON2TYPE,PERSON3TYPE,PLAYER1_ID,PLAYER1_NAME,PLAYER1_TEAM_ABBREVIATION,PLAYER1_TEAM_CITY,PLAYER1_TEAM_ID,PLAYER1_TEAM_NICKNAME,PLAYER2_ID,PLAYER2_NAME,PLAYER2_TEAM_ABBREVIATION,PLAYER2_TEAM_CITY,PLAYER2_TEAM_ID,PLAYER2_TEAM_NICKNAME,PLAYER3_ID,PLAYER3_NAME,PLAYER3_TEAM_ABBREVIATION,PLAYER3_TEAM_CITY,PLAYER3_TEAM_ID,PLAYER3_TEAM_NICKNAME,SCORE,SCOREMARGIN,VISITORDESCRIPTION,WCTIMESTRING
0,0,12,0,0029700697,,,12:00,1,0,0,0,0,,,,,,0,,,,,,0,,,,,,,,,11:41 AM
1,0,10,1,0029700697,Jump Ball Dele vs. Johnson: Tip to Hunter,,12:00,1,4,5,4,183,Bison Dele,DET,Detroit,1610612765.0,Pistons,911,Ervin Johnson,MIL,Milwaukee,1610612749.0,Bucks,283,Lindsey Hunter,DET,Detroit,1610612765.0,Pistons,,,,11:41 AM
2,1,5,2,0029700697,Dele Bad Pass Turnover (P1.T1),,11:46,1,4,5,0,183,Bison Dele,DET,Detroit,1610612765.0,Pistons,911,Ervin Johnson,MIL,Milwaukee,1610612749.0,Bucks,0,,,,,,,,Johnson STEAL (1 STL),11:41 AM
3,1,2,3,0029700697,,,11:26,1,5,0,0,238,Tyrone Hill,MIL,Milwaukee,1610612749.0,Bucks,0,,,,,,0,,,,,,,,MISS Hill 6' Jump Shot,11:42 AM
4,0,4,4,0029700697,Reid REBOUND (Off:0 Def:1),,11:24,1,4,0,0,690,Don Reid,DET,Detroit,1610612765.0,Pistons,0,,,,,,0,,,,,,,,,11:42 AM
5,1,2,5,0029700697,MISS Hunter 17' Jump Shot,,11:12,1,4,0,0,283,Lindsey Hunter,DET,Detroit,1610612765.0,Pistons,0,,,,,,0,,,,,,,,,11:42 AM
6,0,4,6,0029700697,,,11:09,1,5,0,0,911,Ervin Johnson,MIL,Milwaukee,1610612749.0,Bucks,0,,,,,,0,,,,,,,,Johnson REBOUND (Off:0 Def:1),11:42 AM
7,1,1,7,0029700697,,,10:57,1,5,5,0,299,Glenn Robinson,MIL,Milwaukee,1610612749.0,Bucks,386,Elliot Perry,MIL,Milwaukee,1610612749.0,Bucks,0,,,,,,2 - 0,-2,Robinson 18' Jump Shot (2 PTS) (Perry 1 AST),11:42 AM
8,1,2,8,0029700697,MISS Hill 10' Jump Shot,,10:36,1,4,0,0,255,Grant Hill,DET,Detroit,1610612765.0,Pistons,0,,,,,,0,,,,,,,,,11:43 AM
9,0,4,9,0029700697,,,10:33,1,5,0,0,238,Tyrone Hill,MIL,Milwaukee,1610612749.0,Bucks,0,,,,,,0,,,,,,,,Hill REBOUND (Off:0 Def:1),11:43 AM
10,1,2,10,0029700697,,,10:26,1,5,0,0,386,Elliot Perry,MIL,Milwaukee,1610612749.0,Bucks,0,,,,,,0,,,,,,,,MISS Perry 18' Jump Shot,11:43 AM
11,0,4,11,0029700697,Dele REBOUND (Off:0 Def:1),,10:23,1,4,0,0,183,Bison Dele,DET,Detroit,1610612765.0,Pistons,0,,,,,,0,,,,,,,,,11:43 AM
12,4,6,12,0029700697,Dele OFF.Foul (P1),,10:12,1,4,0,1,183,Bison Dele,DET,Detroit,1610612765.0,Pistons,0,,,,,,0,,,,,,,,,11:43 AM
13,5,5,13,0029700697,Dele Foul Turnover (P2.T2),,10:12,1,4,0,0,183,Bison Dele,DET,Detroit,1610612765.0,Pistons,0,,,,,,0,,,,,,,,,11:43 AM
14,1,5,15,0029700697,Hill STEAL (1 STL),,10:02,1,5,4,0,386,Elliot Perry,MIL,Milwaukee,1610612749.0,Bucks,255,Grant Hill,DET,Detroit,1610612765.0,Pistons,0,,,,,,,,Perry Bad Pass Turnover (P1.T1),11:43 AM
15,4,6,16,0029700697,Reid OFF.Foul (P1),,9:57,1,4,0,1,690,Don Reid,DET,Detroit,1610612765.0,Pistons,0,,,,,,0,,,,,,,,,11:43 AM
16,5,5,17,0029700697,Reid Foul Turnover (P1.T3),,9:57,1,4,0,0,690,Don Reid,DET,Detroit,1610612765.0,Pistons,0,,,,,,0,,,,,,,,,11:43 AM
17,2,5,18,0029700697,Dumars STEAL (1 STL),,9:48,1,5,4,0,951,Ray Allen,MIL,Milwaukee,1610612749.0,Bucks,247,Joe Dumars,DET,Detroit,1610612765.0,Pistons,0,,,,,,,,Allen Lost Ball Turnover (P1.T2),11:44 AM
18,1,2,19,0029700697,MISS Dumars 17' Jump Shot,,9:40,1,4,0,0,247,Joe Dumars,DET,Detroit,1610612765.0,Pistons,0,,,,,,0,,,,,,,,,11:44 AM
19,0,4,20,0029700697,,,9:38,1,5,0,0,911,Ervin Johnson,MIL,Milwaukee,1610612749.0,Bucks,0,,,,,,0,,,,,,,,Johnson REBOUND (Off:0 Def:2),11:44 AM
20,1,1,21,0029700697,,,9:29,1,5,5,0,299,Glenn Robinson,MIL,Milwaukee,1610612749.0,Bucks,386,Elliot Perry,MIL,Milwaukee,1610612749.0,Bucks,0,,,,,,4 - 0,-4,Robinson 16' Jump Shot (4 PTS) (Perry 2 AST),11:44 AM
21,6,1,22,0029700697,Dele  Driving Layup (2 PTS) (Hunter 1 AST),,9:14,1,4,4,0,183,Bison Dele,DET,Detroit,1610612765.0,Pistons,283,Lindsey Hunter,DET,Detroit,1610612765.0,Pistons,0,,,,,,4 - 2,-2,,11:44 AM
22,1,1,23,0029700697,,,8:54,1,5,0,0,299,Glenn Robinson,MIL,Milwaukee,1610612749.0,Bucks,0,,,,,,0,,,,,,6 - 2,-4,Robinson 17' Jump Shot (6 PTS),11:45 AM
23,5,1,24,0029700697,Hunter  Layup (2 PTS) (Hill 1 AST),,8:39,1,4,4,0,283,Lindsey Hunter,DET,Detroit,1610612765.0,Pistons,255,Grant Hill,DET,Detroit,1610612765.0,Pistons,0,,,,,,6 - 4,-2,,11:45 AM
24,8,5,25,0029700697,,,8:20,1,5,0,0,299,Glenn Robinson,MIL,Milwaukee,1610612749.0,Bucks,0,,,,,,0,,,,,,,,Robinson 3 Second Violation Turnover (P1.T3),11:45 AM
