,AGE,AST,BLK,BLKA,CFID,CFPARAMS,DD2,DREB,FG3A,FG3M,FG3_PCT,FGA,FGM,FG_PCT,FTA,FTM,FT_PCT,GP,L,MIN,OREB,PF,PFD,PLAYER_ID,PLAYER_NAME,PLUS_MINUS,PTS,REB,STL,TD3,TEAM_ABBREVIATION,TEAM_ID,TOV,W,W_PCT
0,35.0,0.5,0.2,0.3,5,"920,1610612742",4,2.9,0.2,0.0,0.0,5.1,2.2,0.422,1.0,0.6,0.577,50,31,18.5,1.6,1.4,0.0,920,A.C. Green,-1.6,4.9,4.6,0.6,0,DAL,1610612742,0.4,19,0.38
1,26.0,2.0,0.1,0.1,5,"243,1610612755",0,2.3,0.6,0.1,0.194,4.7,1.9,0.401,1.2,0.9,0.71,50,22,19.2,0.5,1.8,0.0,243,Aaron McKie,-1.3,4.8,2.8,1.3,0,PHI,1610612755,1.1,28,0.56
2,27.0,0.6,0.6,0.3,5,"1425,1610612760",0,1.9,0.0,0.0,0.0,3.1,1.3,0.423,1.9,1.4,0.73,40,21,11.5,1.4,1.9,0.0,1425,Aaron Williams,-2.5,4.0,3.2,0.4,0,SEA,1610612760,0.8,19,0.475
3,29.0,0.6,0.3,0.4,5,"228,1610612762",0,2.1,0.1,0.0,0.0,2.8,1.3,0.452,2.0,1.4,0.697,44,12,14.6,1.2,1.4,0.0,228,Adam Keefe,1.2,4.0,3.2,0.4,0,UTA,1610612762,0.8,32,0.727
4,24.0,0.4,1.0,0.4,5,"1502,1610612744",1,2.6,0.0,0.0,0.0,2.8,1.2,0.43,1.2,0.6,0.49,44,28,13.9,1.8,2.0,0.0,1502,Adonal Foyle,-1.0,2.9,4.4,0.3,0,GSW,1610612744,0.7,16,0.364
5,28.0,0.8,0.0,0.0,5,"1817,1610612749",0,0.0,0.5,0.0,0.0,1.0,0.5,0.5,1.0,0.5,0.5,4,2,4.6,0.0,0.0,0.0,1817,Adonis Jordan,-4.0,1.5,0.0,0.8,0,MIL,1610612749,0.5,2,0.5
6,19.0,0.2,0.1,0.4,5,"1733,1610612754",0,0.9,0.2,0.0,0.0,2.7,0.9,0.321,0.7,0.4,0.6,21,10,7.6,1.0,1.2,0.0,1733,Al Harrington,-1.2,2.1,1.9,0.2,0,IND,1610612754,0.5,11,0.524
7,26.0,0.7,0.5,1.3,5,"673,1610612737",4,3.9,0.0,0.0,0.0,11.1,4.9,0.442,3.9,2.6,0.671,38,16,30.0,2.6,2.5,0.0,673,Alan Henderson,-1.8,12.5,6.6,0.9,0,ATL,1610612737,1.5,22,0.579
8,28.0,2.7,0.2,0.8,5,"275,1610612752",0,2.6,2.8,1.1,0.407,14.1,5.9,0.418,3.9,3.4,0.862,50,23,36.3,0.4,2.3,0.0,275,Allan Houston,1.2,16.3,3.0,0.7,0,NYK,1610612752,2.6,27,0.54
9,24.0,4.6,0.1,1.1,5,"947,1610612755",4,3.5,4.1,1.2,0.291,22.0,9.1,0.412,9.9,7.4,0.751,48,20,41.5,1.4,2.0,0.0,947,Allen Iverson,3.9,26.8,4.9,2.3,0,PHI,1610612755,3.5,28,0.583
10,29.0,1.6,3.9,0.9,5,"297,1610612748",29,7.4,0.0,0.0,0.0,13.8,7.0,0.512,9.2,6.0,0.652,46,14,38.2,3.6,3.5,0.0,297,Alonzo Mourning,7.4,20.1,11.0,0.7,0,MIA,1610612748,3.0,32,0.696
11,24.0,1.3,0.0,0.5,5,"1591,1610612756",0,0.3,0.3,0.3,1.0,2.5,1.0,0.4,1.3,0.5,0.4,4,2,6.3,0.8,0.5,0.0,1591,Alvin Sims,-3.0,2.8,1.0,0.5,0,PHX,1610612756,1.5,2,0.5
12,24.0,2.6,0.2,0.2,5,"1541,1610612761",0,1.3,0.8,0.3,0.333,4.7,1.9,0.401,1.0,0.9,0.846,50,27,21.0,0.4,1.9,0.0,1541,Alvin Williams,-1.4,5.0,1.6,1.0,0,TOR,1610612761,1.1,23,0.46
13,23.0,0.4,0.2,0.2,5,"1754,1610612750",0,1.0,0.1,0.0,0.0,2.8,1.2,0.443,1.0,0.8,0.778,35,18,8.1,0.9,1.8,0.0,1754,Andrae Patterson,-0.6,3.3,1.9,0.5,0,MIN,1610612750,0.6,17,0.486
14,26.0,0.7,0.6,0.5,5,"692,1610612739",2,3.2,0.0,0.0,0.0,5.9,2.9,0.5,3.0,2.0,0.674,47,27,23.4,2.2,3.4,0.0,692,Andrew DeClercq,-1.0,7.9,5.4,1.1,0,CLE,1610612739,1.1,20,0.426
15,33.0,0.3,0.1,0.0,5,"1845,1610612759",0,0.2,0.8,0.3,0.313,1.3,0.4,0.32,0.0,0.0,0.0,19,3,3.0,0.1,0.4,0.0,1845,Andrew Gaze,1.7,1.1,0.3,0.1,0,SAS,1610612759,0.2,16,0.842
