,AGE,CFID,CFPARAMS,GP,L,MIN,PCT_AST_2PM,PCT_AST_3PM,PCT_AST_FGM,PCT_FGA_2PT,PCT_FGA_3PT,PCT_PTS_2PT,PCT_PTS_2PT_MR,PCT_PTS_3PT,PCT_PTS_FB,PCT_PTS_FT,PCT_PTS_OFF_TOV,PCT_PTS_PAINT,PCT_UAST_2PM,PCT_UAST_3PM,PCT_UAST_FGM,PLAYER_ID,PLAYER_NAME,TEAM_ABBREVIATION,TEAM_ID,W,W_PCT
0,35.0,5,"920,1610612742",50,31,18.5,0.806,0.0,0.806,0.969,0.031,0.878,0.504,0.0,0.106,0.122,0.089,0.374,0.194,0.0,0.194,920,A.C. Green,DAL,1610612742,19,0.38
1,26.0,5,"243,1610612755",50,22,19.2,0.618,1.0,0.642,0.869,0.131,0.742,0.542,0.075,0.171,0.183,0.254,0.2,0.382,0.0,0.358,243,Aaron McKie,PHI,1610612755,28,0.56
2,27.0,5,"1425,1610612760",40,21,11.5,0.788,0.0,0.788,0.992,0.008,0.658,0.063,0.0,0.063,0.342,0.133,0.595,0.212,0.0,0.212,1425,Aaron Williams,SEA,1610612760,19,0.475
3,29.0,5,"228,1610612762",44,12,14.6,0.875,0.0,0.875,0.968,0.032,0.644,0.138,0.0,0.178,0.356,0.195,0.506,0.125,0.0,0.125,228,Adam Keefe,UTA,1610612762,32,0.727
4,24.0,5,"1502,1610612744",44,28,13.9,0.442,0.0,0.442,1.0,0.0,0.806,0.016,0.0,0.109,0.194,0.109,0.791,0.558,0.0,0.558,1502,Adonal Foyle,GSW,1610612744,16,0.364
5,28.0,5,"1817,1610612749",4,2,4.6,0.0,0.0,0.0,0.5,0.5,0.667,0.667,0.0,0.167,0.333,0.167,0.0,1.0,0.0,1.0,1817,Adonis Jordan,MIL,1610612749,2,0.5
6,19.0,5,"1733,1610612754",21,10,7.6,0.444,0.0,0.444,0.911,0.089,0.8,0.178,0.0,0.222,0.2,0.111,0.622,0.556,0.0,0.556,1733,Al Harrington,IND,1610612754,11,0.524
7,26.0,5,"673,1610612737",38,16,30.0,0.545,0.0,0.545,0.998,0.002,0.789,0.232,0.0,0.137,0.211,0.146,0.557,0.455,0.0,0.455,673,Alan Henderson,ATL,1610612737,22,0.579
8,28.0,5,"275,1610612752",50,23,36.3,0.515,0.93,0.595,0.801,0.199,0.583,0.374,0.21,0.108,0.207,0.169,0.209,0.485,0.07,0.405,275,Allan Houston,NYK,1610612752,27,0.54
9,24.0,5,"947,1610612755",48,20,41.5,0.411,0.793,0.462,0.812,0.188,0.587,0.259,0.136,0.255,0.277,0.252,0.329,0.589,0.207,0.538,947,Allen Iverson,PHI,1610612755,28,0.583
10,29.0,5,"297,1610612748",46,14,38.2,0.645,0.0,0.645,0.997,0.003,0.701,0.199,0.0,0.05,0.299,0.147,0.502,0.355,0.0,0.355,297,Alonzo Mourning,MIA,1610612748,32,0.696
11,24.0,5,"1591,1610612756",4,2,6.3,0.667,1.0,0.75,0.9,0.1,0.545,0.0,0.273,0.0,0.182,0.0,0.545,0.333,0.0,0.25,1591,Alvin Sims,PHX,1610612756,2,0.5
12,24.0,5,"1541,1610612761",50,27,21.0,0.42,0.786,0.474,0.823,0.177,0.653,0.331,0.169,0.214,0.177,0.234,0.323,0.58,0.214,0.526,1541,Alvin Williams,TOR,1610612761,23,0.46
13,23.0,5,"1754,1610612750",35,18,8.1,0.605,0.0,0.605,0.948,0.052,0.754,0.158,0.0,0.158,0.246,0.228,0.596,0.395,0.0,0.395,1754,Andrae Patterson,MIN,1610612750,17,0.486
14,26.0,5,"692,1610612739",47,27,23.4,0.761,0.0,0.761,1.0,0.0,0.744,0.027,0.0,0.121,0.256,0.189,0.717,0.239,0.0,0.239,692,Andrew DeClercq,CLE,1610612739,20,0.426
15,33.0,5,"1845,1610612759",19,3,3.0,0.333,1.0,0.75,0.36,0.64,0.286,0.095,0.714,0.143,0.0,0.333,0.19,0.667,0.0,0.25,1845,Andrew Gaze,SAS,1610612759,16,0.842
16,33.0,5,"457,1610612741",21,15,18.4,0.75,0.0,0.75,1.0,0.0,0.8,0.275,0.0,0.025,0.2,0.125,0.525,0.25,0.0,0.25,457,Andrew Lang,CHI,1610612741,6,0.286
17,27.0,5,"358,1610612753",50,17,38.9,0.464,0.8,0.508,0.805,0.195,0.66,0.202,0.152,0.182,0.188,0.247,0.458,0.536,0.2,0.492,358,Anfernee Hardaway,ORL,1610612753,33,0.66
18,23.0,5,"1712,1610612744",47,26,22.5,0.554,1.0,0.562,0.975,0.025,0.78,0.12,0.02,0.212,0.2,0.2,0.659,0.446,0.0,0.438,1712,Antawn Jamison,GSW,1610612744,21,0.447
19,29.0,5,"138,1610612762",5,1,8.9,0.25,0.0,0.25,1.0,0.0,0.889,0.222,0.0,0.0,0.111,0.0,0.667,0.75,0.0,0.75,138,Anthony Avent,UTA,1610612762,4,0.8
20,24.0,5,"1533,1610612737",49,18,18.1,0.314,0.8,0.341,0.916,0.084,0.705,0.328,0.061,0.156,0.234,0.205,0.377,0.686,0.2,0.659,1533,Anthony Johnson,ATL,1610612737,31,0.633
21,27.0,5,"292,1610612745",29,11,8.5,0.679,0.0,0.679,0.983,0.017,0.8,0.086,0.0,0.229,0.2,0.114,0.714,0.321,0.0,0.321,292,Anthony Miller,HOU,1610612745,18,0.621
22,24.0,5,"1515,1610612755",2,0,1.4,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1515,Anthony Parker,PHI,1610612755,2,1.0
23,29.0,5,"324,1610612750",28,14,28.9,0.725,0.971,0.806,0.581,0.419,0.511,0.333,0.378,0.13,0.111,0.156,0.178,0.275,0.029,0.194,324,Anthony Peeler,MIN,1610612750,14,0.5
24,37.0,5,"156,1610612745",18,8,8.4,0.619,0.0,0.619,0.981,0.019,0.894,0.596,0.0,0.0,0.106,0.191,0.298,0.381,0.0,0.381,156,Antoine Carr,HOU,1610612745,10,0.556
25,22.0,5,"952,1610612738",42,26,36.9,0.462,0.954,0.568,0.761,0.239,0.607,0.077,0.249,0.138,0.144,0.216,0.531,0.538,0.046,0.432,952,Antoine Walker,BOS,1610612738,16,0.381
26,24.0,5,"1498,1610612759",47,11,13.1,0.385,0.8,0.41,0.907,0.093,0.709,0.255,0.068,0.273,0.223,0.264,0.455,0.615,0.2,0.59,1498,Antonio Daniels,SAS,1610612759,36,0.766
27,30.0,5,"213,1610612754",49,16,25.9,0.665,0.0,0.665,1.0,0.0,0.708,0.199,0.0,0.063,0.292,0.136,0.51,0.335,0.0,0.335,213,Antonio Davis,IND,1610612754,33,0.673
28,27.0,5,"226,1610612739",10,5,6.5,1.0,0.0,1.0,1.0,0.0,0.615,0.0,0.0,0.0,0.385,0.308,0.615,0.0,0.0,0.0,226,Antonio Lang,CLE,1610612739,5,0.5
29,24.0,5,"686,1610612743",50,36,38.7,0.778,1.0,0.778,0.99,0.01,0.78,0.337,0.003,0.073,0.217,0.148,0.443,0.222,0.0,0.222,686,Antonio McDyess,DEN,1610612743,14,0.28
30,35.0,5,"288,1610612749",34,17,19.7,0.584,0.0,0.584,0.996,0.004,0.719,0.221,0.0,0.071,0.281,0.135,0.498,0.416,0.0,0.416,288,Armen Gilliam,MIL,1610612749,17,0.5
31,34.0,5,"717,1610612757",50,15,27.0,0.702,0.857,0.707,0.95,0.05,0.743,0.211,0.035,0.028,0.223,0.168,0.531,0.298,0.143,0.293,717,Arvydas Sabonis,POR,1610612757,35,0.7
32,24.0,5,"1506,1610612754",27,6,9.3,0.458,1.0,0.594,0.613,0.387,0.522,0.174,0.261,0.109,0.217,0.043,0.348,0.542,0.0,0.406,1506,Austin Croshere,IND,1610612754,21,0.778
33,34.0,5,"422,1610612759",50,13,33.5,0.355,1.0,0.358,0.974,0.026,0.891,0.312,0.006,0.211,0.103,0.228,0.579,0.645,0.0,0.642,422,Avery Johnson,SAS,1610612759,37,0.74
