,AGE,AST_PCT,AST_RATIO,AST_TO,CFID,CFPARAMS,DEF_RATING,DREB_PCT,EFG_PCT,FGA,FGA_PG,FGM,FGM_PG,FG_PCT,GP,L,MIN,NET_RATING,OFF_RATING,OREB_PCT,PACE,PIE,PLAYER_ID,PLAYER_NAME,REB_PCT,TEAM_ABBREVIATION,TEAM_ID,TM_TOV_PCT,TS_PCT,USG_PCT,W,W_PCT
0,24.0,0.201,19.5,1.9,5,"201166,1610612745",103.0,0.071,0.476,783,9.8,316,4.0,0.404,80,28,25.0,4.2,107.2,0.021,91.59,0.085,201166,Aaron Brooks,0.047,HOU,1610612745,10.2,0.521,0.231,52,0.65
1,24.0,0.098,16.5,1.15,5,"201189,1610612741",106.0,0.213,0.485,167,3.0,81,1.4,0.485,56,30,12.8,-5.3,100.6,0.135,97.5,0.066,201189,Aaron Gray,0.174,CHI,1610612741,14.3,0.508,0.142,26,0.464
2,24.0,0.257,30.7,2.97,5,"201151,1610612737",99.4,0.1,0.406,139,2.5,52,0.9,0.374,55,22,10.2,1.2,100.6,0.013,92.37,0.089,201151,Acie Law,0.058,ATL,1610612737,10.3,0.49,0.164,33,0.6
3,24.0,0.101,13.4,1.28,5,"200747,1610612747",106.6,0.11,0.43,223,4.3,80,1.5,0.359,52,29,13.7,-7.4,99.1,0.032,91.41,0.036,200747,Adam Morrison,0.071,LAL,1610612747,10.5,0.448,0.177,23,0.442
4,34.0,0.028,5.7,0.33,5,"1502,1610612753",97.1,0.258,0.636,11,1.1,7,0.7,0.636,10,4,6.2,-3.7,93.3,0.138,97.64,0.152,1502,Adonal Foyle,0.198,ORL,1610612753,17.0,0.623,0.12,6,0.6
5,29.0,0.068,6.4,0.63,5,"1733,1610612752",108.0,0.162,0.509,1212,16.6,532,7.3,0.439,73,46,34.9,-1.9,106.1,0.041,98.93,0.101,1733,Al Harrington,0.099,NYK,1610612752,10.0,0.547,0.256,27,0.37
6,23.0,0.119,17.2,1.58,5,"201143,1610612737",105.4,0.25,0.525,594,8.9,312,4.7,0.525,67,26,33.5,0.9,106.3,0.077,90.71,0.125,201143,Al Horford,0.165,ATL,1610612737,10.8,0.565,0.168,41,0.612
7,24.0,0.082,6.3,0.86,5,"2744,1610612750",108.5,0.246,0.497,975,19.5,485,9.7,0.497,50,33,36.7,-4.6,103.9,0.107,93.8,0.156,2744,Al Jefferson,0.175,MIN,1610612750,7.3,0.532,0.288,17,0.34
8,25.0,0.068,7.2,0.79,5,"201154,1610612746",110.7,0.114,0.456,1051,14.8,469,6.6,0.446,71,55,37.4,-10.6,100.1,0.052,93.91,0.073,201154,Al Thornton,0.082,LAC,1610612746,9.1,0.502,0.228,16,0.225
9,25.0,0.064,7.4,0.86,5,"201169,1610612756",107.9,0.048,0.463,121,4.0,52,1.7,0.43,30,15,9.4,2.1,110.1,0.07,99.63,0.072,201169,Alando Tucker,0.059,PHX,1610612756,8.7,0.509,0.216,15,0.5
10,26.0,0.091,12.1,1.71,5,"101165,1610612746",102.5,0.092,0.441,76,3.0,30,1.2,0.395,25,21,8.0,1.8,104.4,0.044,94.97,0.06,101165,Alex Acker,0.068,LAC,1610612746,7.0,0.448,0.203,4,0.16
11,21.0,0.032,3.1,0.25,5,"201582,1610612766",97.7,0.153,0.362,69,2.2,25,0.8,0.362,31,20,5.9,2.6,100.3,0.063,88.88,0.023,201582,Alexis Ajinca,0.107,CHA,1610612766,12.5,0.43,0.25,11,0.355
12,34.0,0.238,20.0,1.94,5,"947,1610612765",103.8,0.08,0.434,834,14.6,348,6.1,0.417,57,32,36.7,-1.6,102.1,0.017,89.77,0.111,947,Allen Iverson,0.048,DET,1610612765,10.3,0.504,0.261,25,0.439
13,26.0,0.087,8.9,0.69,5,"2405,1610612756",106.4,0.178,0.541,749,14.1,404,7.6,0.539,53,23,36.8,3.3,109.7,0.076,97.2,0.136,2405,Amar'e Stoudemire,0.131,PHX,1610612756,12.8,0.617,0.248,30,0.566
14,22.0,0.033,8.6,0.61,5,"101161,1610612765",98.4,0.168,0.595,163,2.6,97,1.6,0.595,62,35,14.7,5.6,103.9,0.13,88.43,0.069,101161,Amir Johnson,0.149,DET,1610612765,14.3,0.608,0.111,27,0.435
15,26.0,0.055,10.5,1.01,5,"2760,1610612739",99.1,0.209,0.536,504,6.2,270,3.3,0.536,81,16,28.5,10.7,109.9,0.089,91.35,0.1,2760,Anderson Varejao,0.151,CLE,1610612739,10.3,0.565,0.142,65,0.802
16,22.0,0.118,12.6,1.01,5,"101154,1610612764",108.2,0.179,0.475,630,8.9,297,4.2,0.471,71,54,24.0,-6.7,101.5,0.087,92.76,0.09,101154,Andray Blatche,0.132,WAS,1610612764,12.5,0.508,0.221,17,0.239
17,28.0,0.038,7.2,0.2,5,"2810,1610612766",103.5,0.128,0.143,7,1.8,1,0.3,0.143,4,2,10.3,-7.9,95.6,0.269,91.53,-0.045,2810,Andre Brown,0.185,CHA,1610612766,36.0,0.254,0.141,2,0.5
18,25.0,0.221,21.4,1.95,5,"2738,1610612755",103.5,0.139,0.507,1147,14.0,542,6.6,0.473,82,41,39.9,1.5,105.1,0.034,92.33,0.135,2738,Andre Iguodala,0.086,PHI,1610612755,10.9,0.56,0.224,41,0.5
19,33.0,0.298,27.3,2.68,5,"1889,1610612755",103.9,0.098,0.48,1041,12.7,492,6.0,0.473,82,41,36.3,1.1,105.0,0.05,92.08,0.131,1889,Andre Miller,0.074,PHI,1610612755,10.2,0.548,0.218,41,0.5
20,23.0,0.065,7.2,0.7,5,"200745,1610612761",109.5,0.165,0.512,958,12.3,431,5.5,0.45,78,48,31.5,-4.9,104.6,0.034,94.25,0.09,200745,Andrea Bargnani,0.1,TOR,1610612761,10.4,0.559,0.229,30,0.385
21,28.0,0.151,17.5,1.45,5,"1905,1610612762",101.0,0.154,0.467,570,8.5,256,3.8,0.449,67,25,27.3,7.0,108.0,0.055,95.92,0.121,1905,Andrei Kirilenko,0.105,UTA,1610612762,12.1,0.549,0.203,42,0.627
22,29.0,0.081,10.2,0.9,5,"2804,1610612758",107.7,0.179,0.515,701,9.2,299,3.9,0.427,76,49,26.2,-0.3,107.4,0.032,96.13,0.079,2804,Andres Nocioni,0.105,SAC,1610612758,11.3,0.555,0.201,27,0.355
23,24.0,0.109,13.9,0.84,5,"101106,1610612749",97.7,0.266,0.577,317,8.8,183,5.1,0.577,36,17,31.2,4.4,102.1,0.121,92.56,0.136,101106,Andrew Bogut,0.193,MIL,1610612749,16.6,0.586,0.181,19,0.528
24,21.0,0.076,9.4,0.84,5,"101115,1610612747",101.2,0.2,0.56,502,10.0,281,5.6,0.56,50,10,28.9,7.6,108.9,0.108,96.05,0.124,101115,Andrew Bynum,0.155,LAL,1610612747,11.3,0.598,0.21,40,0.8
25,23.0,0.101,14.1,1.1,5,"2740,1610612744",109.1,0.276,0.578,533,8.6,308,5.0,0.578,62,42,30.1,-4.6,104.5,0.129,100.26,0.127,2740,Andris Biedrins,0.202,GSW,1610612744,12.8,0.585,0.17,20,0.323
26,33.0,0.09,8.0,1.22,5,"1712,1610612764",111.8,0.205,0.507,1441,17.8,674,8.3,0.468,81,62,38.2,-9.0,102.8,0.071,93.88,0.132,1712,Antawn Jamison,0.136,WAS,1610612764,6.5,0.549,0.258,19,0.235
27,34.0,0.303,38.8,2.35,5,"1853,1610612743",102.4,0.102,0.46,386,4.9,167,2.1,0.433,78,25,22.9,2.9,105.4,0.027,97.98,0.089,1853,Anthony Carter,0.066,DEN,1610612743,16.5,0.49,0.141,53,0.679
28,34.0,0.223,28.6,2.44,5,"1533,1610612753",99.7,0.089,0.472,381,4.8,154,1.9,0.404,80,22,18.5,4.0,103.7,0.023,93.13,0.082,1533,Anthony Johnson,0.057,ORL,1610612753,11.7,0.505,0.157,58,0.725
29,23.0,0.081,11.3,1.54,5,"201627,1610612744",110.5,0.086,0.558,534,8.0,255,3.8,0.478,67,44,22.6,-1.7,108.8,0.056,100.67,0.086,201627,Anthony Morrow,0.071,GSW,1610612744,7.4,0.588,0.177,23,0.343
30,34.0,0.157,22.4,2.36,5,"1515,1610612761",106.9,0.121,0.488,754,9.4,321,4.0,0.426,80,49,33.0,-1.7,105.2,0.021,94.36,0.085,1515,Anthony Parker,0.071,TOR,1610612761,9.5,0.524,0.164,31,0.388
31,19.0,0.066,7.9,0.61,5,"201576,1610612744",110.4,0.224,0.462,431,6.8,199,3.2,0.462,63,42,17.9,-3.8,106.7,0.124,100.79,0.103,201576,Anthony Randolph,0.175,GSW,1610612744,12.9,0.506,0.215,21,0.333
32,26.0,0.124,13.3,2.5,5,"101194,1610612741",109.2,0.066,0.475,120,4.1,44,1.5,0.367,29,18,9.5,-11.5,97.7,0.022,98.05,0.066,101194,Anthony Roberson,0.042,CHI,1610612741,5.3,0.487,0.206,11,0.379
33,24.0,0.134,18.2,2.43,5,"201229,1610612759",100.2,0.171,0.362,65,3.4,19,1.0,0.292,19,5,11.0,-0.6,99.6,0.063,90.31,0.058,201229,Anthony Tolliver,0.114,SAS,1610612759,7.5,0.375,0.172,14,0.737
