,AGE,AST,BLK,BLKA,CFID,CFPARAMS,DD2,DREB,FG3A,FG3M,FG3_PCT,FGA,FGM,FG_PCT,FTA,FTM,FT_PCT,GP,L,MIN,OREB,PF,PFD,PLAYER_ID,PLAYER_NAME,PLUS_MINUS,PTS,REB,STL,TD3,TEAM_ABBREVIATION,TEAM_ID,TOV,W,W_PCT
0,27.0,13,0,0,5,"201985,1610612750",0,9,22,6,0.273,46,19,0.413,2,0,0.0,28,13,99.3683333333,1,5,3,201985,A.J. Price,1,44,10,1,0,MIN,1610612750,7,15,0.536
1,29.0,233,13,37,5,"201166,1610612743",2,97,248,96,0.387,581,233,0.401,95,83,0.874,72,30,1557.27166667,43,146,106,201166,Aaron Brooks,-95,645,140,52,0,DEN,1610612743,117,42,0.583
2,29.0,22,8,10,5,"201189,1610612758",0,69,1,0,0.0,61,27,0.443,20,11,0.55,37,25,354.375,42,64,16,201189,Aaron Gray,-85,65,111,10,0,SAC,1610612758,31,12,0.324
3,21.0,3,0,1,5,"203519,1610612755",0,3,5,1,0.2,14,6,0.429,1,1,1.0,6,4,37.5833333333,0,6,2,203519,Adonis Thomas,8,14,3,0,0,PHI,1610612755,1,2,0.333
4,34.0,28,0,10,5,"1733,1610612764",0,65,100,34,0.34,207,82,0.396,35,27,0.771,34,14,511.315,15,72,40,1733,Al Harrington,46,225,80,14,0,WAS,1610612764,34,20,0.588
5,28.0,76,44,14,5,"201143,1610612737",9,178,11,4,0.364,420,238,0.567,85,58,0.682,29,13,957.745,66,56,67,201143,Al Horford,73,538,244,27,0,ATL,1610612737,64,16,0.552
6,29.0,155,79,74,5,"2744,1610612766",42,636,15,3,0.2,1376,700,0.509,277,191,0.69,73,35,2553.255,156,176,212,2744,Al Jefferson,33,1594,792,67,0,CHA,1610612766,124,38,0.521
7,23.0,114,38,48,5,"202329,1610612740",5,367,48,13,0.271,494,234,0.474,137,91,0.664,80,47,2045.40166667,129,147,115,202329,Al-Farouq Aminu,-254,572,496,82,0,NOP,1610612740,88,33,0.413
8,31.0,81,11,24,5,"101187,1610612751",0,135,248,84,0.339,485,194,0.4,118,92,0.78,78,35,1772.47666667,40,147,136,101187,Alan Anderson,-56,564,175,48,0,BKN,1610612751,62,43,0.551
9,22.0,212,14,67,5,"202692,1610612762",0,198,143,50,0.35,831,380,0.457,373,279,0.748,78,54,2193.09166667,59,190,310,202692,Alec Burks,-286,1089,257,69,0,UTA,1610612762,149,24,0.308
10,21.0,4,18,7,5,"203458,1610612756",0,60,0,0,0.0,78,33,0.423,31,20,0.645,42,18,362.283333333,39,68,25,203458,Alex Len,-53,86,99,4,0,PHX,1610612756,26,24,0.571
11,25.0,68,16,15,5,"203144,1610612750",0,60,102,30,0.294,237,76,0.321,90,68,0.756,63,35,664.04,21,36,75,203144,Alexey Shved,-35,250,81,26,0,MIN,1610612750,48,28,0.444
12,26.0,40,46,15,5,"201582,1610612740",3,183,1,0,0.0,249,136,0.546,67,56,0.836,56,34,950.536666667,94,187,64,201582,Alexis Ajinca,-101,328,277,23,0,NOP,1610612740,63,22,0.393
