,BetterPPP,FG,FGA,FGAG,FGM,FGMG,FGm,FGmG,FT,GP,P,PPG,PPP,PlayerFirstName,PlayerIDSID,PlayerLastName,PlayerNumber,PlusOne,Points,Poss,PossG,SF,Score,TO,TeamIDSID,TeamName,TeamNameAbbreviation,TeamShortName,Time,WorsePPP,aFG,name,season,seasonType
0,260,55.5555555556,18,0.58064516129,10,0.322580645161,8,0.258064516129,9.52380952381,31,G,0.838709677419,1.23810005188,Alec,202692,Burks,10,4.7619047619,26,21,0.677419354839,9.52380952381,52.380952381,9.52380952381,1610612762,Utah Jazz,UTA,Utah,8.60655975342,16,66.6666666667,Defensive,2015,Reg
1,227,48.7179487179,39,0.475609756098,19,0.231707317073,20,0.243902439024,2.32558139535,82,F,0.560975609756,1.06976997852,Al Farouq,202329,Aminu,8,2.32558139535,46,43,0.524390243902,4.6511627907,44.1860465116,6.97674418605,1610612757,Portland Trail Blazers,POR,Portland,5.93922996521,48,58.9743589744,Defensive,2015,Reg
2,162,30.0,10,0.128205128205,3,0.0384615384615,7,0.0897435897436,8.33333333333,78,F,0.141025641026,0.916666984558,Aaron,203932,Gordon,0,0.0,11,12,0.153846153846,8.33333333333,33.3333333333,8.33333333333,1610612753,Orlando Magic,ORL,Orlando,1.92926001549,110,40.0,Defensive,2015,Reg
3,88,30.4347826087,23,0.333333333333,7,0.101449275362,16,0.231884057971,11.5384615385,69,G,0.289855072464,0.769231021404,Aaron,201166,Brooks,0,3.84615384615,20,26,0.376811594203,11.5384615385,34.6153846154,3.84615384615,1610612741,Chicago Bulls,CHI,Chicago,6.38820981979,187,32.6086956522,Defensive,2015,Reg
4,151,40.0,10,1.11111111111,4,0.444444444444,6,0.666666666667,0.0,9,,1.0,0.899999976158,James,203516,Ennis,4,0.0,9,10,1.11111111111,0.0,40.0,0.0,1610612740,New Orleans Pelicans,NOP,NewOrleans,10.9890003204,122,45.0,Defensive,2015,Reg
5,194,55.5555555556,9,0.15,5,0.0833333333333,4,0.0666666666667,0.0,60,F-C,0.166666666667,1.0,Myles,1626167,Turner,33,0.0,10,10,0.166666666667,0.0,50.0,10.0,1610612754,Indiana Pacers,IND,Indiana,1.61030995846,63,55.5555555556,Defensive,2015,Reg
6,0,0.0,10,0.131578947368,0,0.0,10,0.131578947368,0.0,76,C,0.0,0.0,Zaza,2585,Pachulia,27,0.0,0,10,0.131578947368,0.0,0.0,0.0,1610612742,Dallas Mavericks,DAL,Dallas,1.14154994488,275,0.0,Defensive,2015,Reg
7,235,42.8571428571,7,0.1,3,0.0428571428571,4,0.0571428571429,20.0,70,F,0.157142857143,1.10000002384,Darrell,201589,Arthur,0,0.0,11,10,0.142857142857,20.0,50.0,10.0,1610612743,Denver Nuggets,DEN,Denver,1.79856002331,39,50.0,Defensive,2015,Reg
8,17,27.2727272727,11,0.323529411765,3,0.0882352941176,8,0.235294117647,0.0,34,F,0.176470588235,0.545454978943,Ryan,203527,Kelly,4,0.0,6,11,0.323529411765,0.0,27.2727272727,0.0,1610612747,Los Angeles Lakers,LAL,LALakers,6.79012012482,259,27.2727272727,Defensive,2015,Reg
9,55,28.5714285714,7,0.194444444444,2,0.0555555555556,5,0.138888888889,10.0,36,G,0.194444444444,0.699999988079,Tyus,1626145,Jones,1,0.0,7,10,0.277777777778,10.0,30.0,20.0,1610612750,Minnesota Timberwolves,MIN,Minnesota,4.90195989609,220,35.7142857143,Defensive,2015,Reg
10,104,33.3333333333,9,0.1125,3,0.0375,6,0.075,0.0,80,C,0.1,0.800000011921,Steven,203500,Adams,12,0.0,8,10,0.125,0.0,30.0,10.0,1610612760,Oklahoma City Thunder,OKC,OklahomaCity,1.01936995983,168,44.4444444444,Defensive,2015,Reg
11,49,42.8571428571,7,0.212121212121,3,0.0909090909091,4,0.121212121212,7.69230769231,33,G,0.272727272727,0.692308008671,CJ,201228,Watson,32,0.0,9,13,0.393939393939,0.0,30.7692307692,38.4615384615,1610612753,Orlando Magic,ORL,Orlando,6.37255001068,224,57.1428571429,Defensive,2015,Reg
12,270,54.5454545455,11,0.139240506329,6,0.0759493670886,5,0.0632911392405,0.0,79,F,0.20253164557,1.45455002785,Patrick,202335,Patterson,54,0.0,16,11,0.139240506329,0.0,54.5454545455,0.0,1610612761,Toronto Raptors,TOR,Toronto,1.61054003239,6,72.7272727273,Defensive,2015,Reg
13,3,11.1111111111,9,0.12,1,0.0133333333333,8,0.106666666667,0.0,75,F,0.0266666666667,0.20000000298,Dirk,1717,Nowitzki,41,0.0,2,10,0.133333333333,0.0,10.0,10.0,1610612742,Dallas Mavericks,DAL,Dallas,1.09290003777,273,11.1111111111,Defensive,2015,Reg
14,88,40.0,10,0.625,4,0.25,6,0.375,0.0,16,,0.625,0.769231021404,Tim,204025,Frazier,2,0.0,10,13,0.8125,0.0,30.7692307692,23.0769230769,1610612740,New Orleans Pelicans,NOP,NewOrleans,7.87878990173,187,50.0,Defensive,2015,Reg
15,2,0.0,9,0.3,0,0.0,9,0.3,8.33333333333,30,G,0.0666666666667,0.166666999459,RJ,1626154,Hunter,28,0.0,2,12,0.4,8.33333333333,8.33333333333,16.6666666667,1610612738,Boston Celtics,BOS,Boston,13.953499794,274,0.0,Defensive,2015,Reg
16,4,11.1111111111,9,0.257142857143,1,0.0285714285714,8,0.228571428571,8.33333333333,35,G-F,0.0857142857143,0.25,Sergey,203508,Karasev,10,8.33333333333,3,12,0.342857142857,8.33333333333,8.33333333333,25.0,1610612751,Brooklyn Nets,BKN,Brooklyn,8.88889026642,272,11.1111111111,Defensive,2015,Reg
17,11,16.6666666667,6,0.193548387097,1,0.0322580645161,5,0.161290322581,20.0,31,G,0.161290322581,0.5,Terry,1626179,Rozier III,12,0.0,5,10,0.322580645161,20.0,30.0,20.0,1610612738,Boston Celtics,BOS,Boston,11.1111001968,263,16.6666666667,Defensive,2015,Reg
18,65,23.5294117647,17,0.395348837209,4,0.093023255814,13,0.302325581395,18.1818181818,43,G,0.372093023256,0.727272987366,Lance,202362,Stephenson,1,0.0,16,22,0.511627906977,18.1818181818,36.3636363636,4.54545454545,1610612746,Los Angeles Clippers,LAC,LAClippers,9.52381038666,209,26.4705882353,Defensive,2015,Reg
19,5,20.0,10,0.166666666667,2,0.0333333333333,8,0.133333333333,0.0,60,G-F,0.0833333333333,0.357143014669,Vince,1713,Carter,15,0.0,5,14,0.233333333333,0.0,14.2857142857,28.5714285714,1610612763,Memphis Grizzlies,MEM,Memphis,4.57516002655,271,25.0,Defensive,2015,Reg
20,65,25.0,8,0.275862068966,2,0.0689655172414,6,0.206896551724,18.1818181818,29,G,0.275862068966,0.727272987366,Reggie,203493,Bullock,25,0.0,8,11,0.379310344828,18.1818181818,36.3636363636,9.09090909091,1610612765,Detroit Pistons,DET,Detroit,7.80142021179,209,31.25,Defensive,2015,Reg
21,11,28.5714285714,14,0.25,4,0.0714285714286,10,0.178571428571,0.0,56,G,0.142857142857,0.5,Pablo,203143,Prigioni,9,0.0,8,16,0.285714285714,0.0,25.0,12.5,1610612746,Los Angeles Clippers,LAC,LAClippers,5.75540018082,263,28.5714285714,Defensive,2015,Reg
22,55,37.5,8,0.153846153846,3,0.0576923076923,5,0.0961538461538,0.0,52,F,0.134615384615,0.699999988079,Ersan,101141,Ilyasova,23,0.0,7,10,0.192307692308,0.0,30.0,20.0,1610612765,Detroit Pistons,DET,Detroit,2.02839994431,220,43.75,Defensive,2015,Reg
23,194,36.3636363636,11,0.141025641026,4,0.0512820512821,7,0.0897435897436,0.0,78,F,0.141025641026,1.0,JaMychal,203210,Green,0,0.0,11,11,0.141025641026,0.0,36.3636363636,0.0,1610612763,Memphis Grizzlies,MEM,Memphis,1.99275004864,63,50.0,Defensive,2015,Reg
24,104,30.0,10,0.126582278481,3,0.0379746835443,7,0.0886075949367,0.0,79,F-C,0.101265822785,0.800000011921,Amir,101161,Johnson,90,0.0,8,10,0.126582278481,0.0,30.0,0.0,1610612738,Boston Celtics,BOS,Boston,1.32099997997,168,40.0,Defensive,2015,Reg
25,32,28.5714285714,14,0.636363636364,4,0.181818181818,10,0.454545454545,5.55555555556,22,G,0.5,0.611110985279,Sean,203930,Kilpatrick,6,0.0,11,18,0.818181818182,5.55555555556,27.7777777778,16.6666666667,1610612751,Brooklyn Nets,BKN,Brooklyn,15.1260004044,244,35.7142857143,Defensive,2015,Reg
26,69,33.3333333333,12,0.244897959184,4,0.0816326530612,8,0.163265306122,6.66666666667,49,F,0.224489795918,0.7333329916,Solomon,203524,Hill,44,0.0,11,15,0.30612244898,6.66666666667,33.3333333333,13.3333333333,1610612754,Indiana Pacers,IND,Indiana,5.26316022873,207,41.6666666667,Defensive,2015,Reg
27,19,25.0,12,0.155844155844,3,0.038961038961,9,0.116883116883,0.0,77,F,0.103896103896,0.571429014206,Jerami,203924,Grant,39,0.0,8,14,0.181818181818,0.0,21.4285714286,14.2857142857,1610612755,Philadelphia 76ers,PHI,Philadelphia,1.88679003716,256,33.3333333333,Defensive,2015,Reg
28,151,50.0,4,0.190476190476,2,0.0952380952381,2,0.0952380952381,30.0,21,G,0.428571428571,0.899999976158,Ray,203492,McCallum,3,0.0,9,10,0.47619047619,30.0,50.0,30.0,1610612759,San Antonio Spurs,SAS,SanAntonio,11.4942998886,122,62.5,Defensive,2015,Reg
29,117,30.0,10,0.128205128205,3,0.0384615384615,7,0.0897435897436,9.09090909091,78,F,0.115384615385,0.818181991577,Trevor ,202344,Booker,33,0.0,9,11,0.141025641026,9.09090909091,36.3636363636,0.0,1610612762,Utah Jazz,UTA,Utah,1.95381999016,159,35.0,Defensive,2015,Reg
30,162,36.3636363636,11,0.144736842105,4,0.0526315789474,7,0.0921052631579,8.33333333333,76,F,0.144736842105,0.916666984558,Luis,2449,Scola,4,0.0,11,12,0.157894736842,8.33333333333,41.6666666667,0.0,1610612761,Toronto Raptors,TOR,Toronto,2.03390002251,110,45.4545454545,Defensive,2015,Reg
31,49,33.3333333333,9,0.272727272727,3,0.0909090909091,6,0.181818181818,15.3846153846,33,F,0.272727272727,0.692308008671,Metta,1897,World Peace,37,0.0,9,13,0.393939393939,7.69230769231,38.4615384615,15.3846153846,1610612747,Los Angeles Lakers,LAL,LALakers,6.87831020355,224,38.8888888889,Defensive,2015,Reg
32,49,22.2222222222,9,0.3,2,0.0666666666667,7,0.233333333333,23.0769230769,30,F,0.3,0.692308008671,Sonny,201603,Weems,10,0.0,9,13,0.433333333333,7.69230769231,38.4615384615,7.69230769231,1610612756,Phoenix Suns,PHX,Phoenix,11.3043003082,224,22.2222222222,Defensive,2015,Reg
33,29,23.0769230769,13,0.183098591549,3,0.0422535211268,10,0.140845070423,6.66666666667,71,F,0.12676056338,0.600000023842,Anthony,201229,Tolliver,43,0.0,9,15,0.211267605634,6.66666666667,26.6666666667,6.66666666667,1610612765,Detroit Pistons,DET,Detroit,3.14464998245,246,26.9230769231,Defensive,2015,Reg
34,14,21.4285714286,14,0.28,3,0.06,11,0.22,11.7647058824,50,G,0.18,0.529411971569,Cameron,1626166,Payne,22,0.0,9,17,0.34,5.88235294118,29.4117647059,5.88235294118,1610612760,Oklahoma City Thunder,OKC,OklahomaCity,6.36704015732,262,25.0,Defensive,2015,Reg
35,29,28.5714285714,14,0.35,4,0.1,10,0.25,0.0,40,G-F,0.225,0.600000023842,Glenn,203922,Robinson III,40,0.0,9,15,0.375,0.0,26.6666666667,6.66666666667,1610612754,Indiana Pacers,IND,Indiana,10.0,246,32.1428571429,Defensive,2015,Reg
36,194,54.5454545455,11,0.478260869565,6,0.260869565217,5,0.217391304348,7.69230769231,23,G-F,0.565217391304,1.0,Greivis,202349,Vasquez,21,0.0,13,13,0.565217391304,7.69230769231,53.8461538462,7.69230769231,1610612749,Milwaukee Bucks,MIL,Milwaukee,9.02777957916,63,54.5454545455,Defensive,2015,Reg
37,194,44.4444444444,9,0.5,4,0.222222222222,5,0.277777777778,10.0,18,G,0.555555555556,1.0,John,203098,Jenkins,12,0.0,10,10,0.555555555556,10.0,50.0,0.0,1610612742,Dallas Mavericks,DAL,Dallas,15.873000145,63,44.4444444444,Defensive,2015,Reg
