,BetterPPP,FG,FGA,FGAG,FGM,FGMG,FGm,FGmG,FT,GP,P,PPG,PPP,PlayerFirstName,PlayerIDSID,PlayerLastName,PlayerNumber,PlusOne,Points,Poss,PossG,SF,Score,TO,TeamIDSID,TeamName,TeamNameAbbreviation,TeamShortName,Time,WorsePPP,aFG,name,season,seasonType
0,340,52.6315789474,19,0.404255319149,10,0.212765957447,9,0.191489361702,8.69565217391,47,C-F,0.510638297872,1.04348003864,Al,2744,Jefferson,25,0.0,24,23,0.489361702128,8.69565217391,52.1739130435,8.69565217391,1610612766,Charlotte Hornets,CHA,Charlotte,4.54545021057,57,52.6315789474,Defensive,2015,Reg
1,176,38.8888888889,72,0.878048780488,28,0.341463414634,44,0.536585365854,9.41176470588,82,F-C,0.853658536585,0.823529005051,Al,201143,Horford,15,1.17647058824,70,85,1.03658536585,8.23529411765,41.1764705882,7.05882352941,1610612737,Atlanta Hawks,ATL,Atlanta,7.378469944,223,40.2777777778,Defensive,2015,Reg
2,309,40.0,10,0.222222222222,4,0.0888888888889,6,0.133333333333,33.3333333333,45,F,0.333333333333,1.0,Adreian,203940,Payne,33,6.66666666667,15,15,0.333333333333,26.6666666667,53.3333333333,6.66666666667,1610612750,Minnesota Timberwolves,MIN,Minnesota,8.33333015442,71,45.0,Defensive,2015,Reg
3,157,34.6153846154,26,0.376811594203,9,0.130434782609,17,0.246376811594,6.66666666667,69,G,0.347826086957,0.800000011921,Aaron,201166,Brooks,0,0.0,24,30,0.434782608696,6.66666666667,36.6666666667,6.66666666667,1610612741,Chicago Bulls,CHI,Chicago,7.37100982666,239,38.4615384615,Defensive,2015,Reg
4,275,47.8260869565,46,0.589743589744,22,0.282051282051,24,0.307692307692,14.5161290323,78,F,0.74358974359,0.9354839921,Aaron,203932,Gordon,0,1.61290322581,58,62,0.794871794872,16.1290322581,48.3870967742,11.2903225806,1610612753,Orlando Magic,ORL,Orlando,9.96784973145,123,48.9130434783,Defensive,2015,Reg
5,135,32.0754716981,53,0.646341463415,17,0.207317073171,36,0.439024390244,18.5185185185,82,F,0.768292682927,0.777778029442,Al Farouq,202329,Aminu,8,3.7037037037,63,81,0.987804878049,13.5802469136,35.8024691358,19.7530864198,1610612757,Portland Trail Blazers,POR,Portland,11.1878004074,263,35.8490566038,Defensive,2015,Reg
6,13,14.2857142857,7,0.538461538462,1,0.0769230769231,6,0.461538461538,10.0,13,,0.384615384615,0.5,JJ,201581,Hickson,21,0.0,5,10,0.769230769231,10.0,20.0,20.0,1610612764,Washington Wizards,WAS,Washington,15.3845996857,384,21.4285714286,Defensive,2015,Reg
7,31,42.8571428571,7,0.259259259259,3,0.111111111111,4,0.148148148148,0.0,27,F,0.222222222222,0.600000023842,Jarell,1626185,Martin,10,0.0,6,10,0.37037037037,0.0,30.0,30.0,1610612763,Memphis Grizzlies,MEM,Memphis,7.8125,367,42.8571428571,Defensive,2015,Reg
8,382,54.5454545455,11,0.305555555556,6,0.166666666667,5,0.138888888889,9.09090909091,36,G,0.361111111111,1.18182003498,Joe,1626202,Young,1,9.09090909091,13,11,0.305555555556,9.09090909091,54.5454545455,0.0,1610612754,Indiana Pacers,IND,Indiana,7.91367006302,16,54.5454545455,Defensive,2015,Reg
9,256,33.3333333333,6,0.5,2,0.166666666667,4,0.333333333333,36.3636363636,12,G,0.833333333333,0.909090995789,Jordan,200770,Farmar,4,0.0,10,11,0.916666666667,36.3636363636,45.4545454545,9.09090909091,1610612763,Memphis Grizzlies,MEM,Memphis,9.8214302063,142,33.3333333333,Defensive,2015,Reg
