,BetterPPP,FG,FGA,FGAG,FGM,FGMG,FGm,FGmG,FT,GP,P,PPG,PPP,PlayerFirstName,PlayerIDSID,PlayerLastName,PlayerNumber,PlusOne,Points,Poss,PossG,SF,Score,TO,TeamIDSID,TeamName,TeamNameAbbreviation,TeamShortName,Time,WorsePPP,aFG,name,season,seasonType
0,167,34.1463414634,41,1.32258064516,14,0.451612903226,27,0.870967741935,15.3846153846,31,G,1.29032258065,0.769231021404,Alec,202692,Burks,10,1.92307692308,40,52,1.67741935484,15.3846153846,40.3846153846,7.69230769231,1610612762,Utah Jazz,UTA,Utah,11.7117004395,121,36.5853658537,Offensive,2015,Reg
1,199,41.1764705882,34,0.414634146341,14,0.170731707317,20,0.243902439024,2.5,82,F-C,0.353658536585,0.725000023842,Al,201143,Horford,15,2.5,29,40,0.487804878049,2.5,35.0,15.0,1610612737,Atlanta Hawks,ATL,Atlanta,3.28677010536,92,41.1764705882,Offensive,2015,Reg
2,284,13.0434782609,23,0.280487804878,3,0.0365853658537,20,0.243902439024,8.82352941176,82,F,0.134146341463,0.323529005051,Al Farouq,202329,Aminu,8,0.0,11,34,0.414634146341,5.88235294118,17.6470588235,23.5294117647,1610612757,Portland Trail Blazers,POR,Portland,3.78198003769,7,13.0434782609,Offensive,2015,Reg
3,135,33.3333333333,9,0.75,3,0.25,6,0.5,18.1818181818,12,G,0.75,0.818181991577,Alan,101187,Anderson,6,9.09090909091,9,11,0.916666666667,18.1818181818,36.3636363636,9.09090909091,1610612764,Washington Wizards,WAS,Washington,16.6667003632,156,33.3333333333,Offensive,2015,Reg
4,162,36.3636363636,33,0.485294117647,12,0.176470588235,21,0.308823529412,14.6341463415,68,G,0.470588235294,0.780488014221,Aaron,201166,Brooks,0,2.43902439024,32,41,0.602941176471,14.6341463415,41.4634146341,7.31707317073,1610612741,Chicago Bulls,CHI,Chicago,7.118060112,129,36.3636363636,Offensive,2015,Reg
5,244,30.7692307692,26,0.333333333333,8,0.102564102564,18,0.230769230769,3.33333333333,78,F,0.230769230769,0.600000023842,Aaron,203932,Gordon,0,0.0,18,30,0.384615384615,3.33333333333,30.0,10.0,1610612753,Orlando Magic,ORL,Orlando,4.12088012695,41,30.7692307692,Offensive,2015,Reg
6,278,27.2727272727,11,0.234042553191,3,0.063829787234,8,0.170212765957,0.0,47,F,0.148936170213,0.4375,Adreian,203940,Payne,33,0.0,7,16,0.340425531915,0.0,18.75,31.25,1610612750,Minnesota Timberwolves,MIN,Minnesota,8.33333015442,13,31.8181818182,Offensive,2015,Reg
7,76,45.4545454545,11,1.0,5,0.454545454545,6,0.545454545455,7.69230769231,11,F,1.09090909091,0.923076987267,Jordan,202706,Hamilton,25,0.0,12,13,1.18181818182,0.0,46.1538461538,7.69230769231,1610612740,New Orleans Pelicans,NOP,NewOrleans,9.28571033478,215,50.0,Offensive,2015,Reg
8,110,36.3636363636,11,0.916666666667,4,0.333333333333,7,0.583333333333,21.4285714286,12,G,1.0,0.857142984867,Spencer,203915,Dinwiddie,8,0.0,12,14,1.16666666667,21.4285714286,50.0,0.0,1610612765,Detroit Pistons,DET,Detroit,18.4211006165,175,36.3636363636,Offensive,2015,Reg
9,244,28.5714285714,7,0.0921052631579,2,0.0263157894737,5,0.0657894736842,10.0,76,F,0.0789473684211,0.600000023842,Noah,203943,Vonleh,21,0.0,6,10,0.131578947368,10.0,30.0,20.0,1610612757,Portland Trail Blazers,POR,Portland,2.86532998085,41,28.5714285714,Offensive,2015,Reg
10,275,20.0,10,0.384615384615,2,0.0769230769231,8,0.307692307692,9.09090909091,26,G,0.192307692308,0.454544991255,Justin,203200,Holiday,7,0.0,5,11,0.423076923077,9.09090909091,27.2727272727,0.0,1610612741,Chicago Bulls,CHI,Chicago,5.72916984558,16,20.0,Offensive,2015,Reg
11,196,44.4444444444,9,0.160714285714,4,0.0714285714286,5,0.0892857142857,0.0,56,G,0.142857142857,0.727272987366,Cameron,1626166,Payne,22,0.0,8,11,0.196428571429,0.0,36.3636363636,18.1818181818,1610612760,Oklahoma City Thunder,OKC,OklahomaCity,3.30329990387,93,44.4444444444,Offensive,2015,Reg
12,83,62.5,8,0.106666666667,5,0.0666666666667,3,0.04,0.0,75,C,0.133333333333,0.909090995789,Marcin,101162,Gortat,13,0.0,10,11,0.146666666667,0.0,45.4545454545,27.2727272727,1610612764,Washington Wizards,WAS,Washington,1.1236000061,206,62.5,Offensive,2015,Reg
13,259,22.2222222222,9,0.321428571429,2,0.0714285714286,7,0.25,9.09090909091,28,F,0.214285714286,0.545454978943,Rondae,1626178,Hollis-Jefferson,24,0.0,6,11,0.392857142857,9.09090909091,27.2727272727,9.09090909091,1610612751,Brooklyn Nets,BKN,Brooklyn,5.82010984421,31,22.2222222222,Offensive,2015,Reg
14,3,60.0,10,0.454545454545,6,0.272727272727,4,0.181818181818,9.09090909091,22,G,0.681818181818,1.36363995075,Sean,203930,Kilpatrick,6,9.09090909091,15,11,0.5,9.09090909091,54.5454545455,9.09090909091,1610612751,Brooklyn Nets,BKN,Brooklyn,3.64237999916,287,70.0,Offensive,2015,Reg
