,BetterPPP,FG,FGA,FGAG,FGM,FGMG,FGm,FGmG,FT,GP,P,PPG,PPP,PlayerFirstName,PlayerIDSID,PlayerLastName,PlayerNumber,PlusOne,Points,Poss,PossG,SF,Score,TO,TeamIDSID,TeamName,TeamNameAbbreviation,TeamShortName,Time,WorsePPP,aFG,name,season,seasonType
0,192,66.6666666667,9,0.109756097561,6,0.0731707317073,3,0.0365853658537,15.7894736842,82,F-C,0.341463414634,0.491228014231,Al,201143,Horford,15,0.0,28,57,0.69512195122,0.0,26.3157894737,68.4210526316,1610612737,Atlanta Hawks,ATL,Atlanta,4.68365001678,184,72.2222222222,Offensive,2015,Reg
1,90,46.6666666667,15,0.182926829268,7,0.0853658536585,8,0.0975609756098,17.5,82,F,0.329268292683,0.675000011921,Al Farouq,202329,Aminu,8,2.5,27,40,0.487804878049,7.5,32.5,47.5,1610612757,Portland Trail Blazers,POR,Portland,4.44938993454,286,50.0,Offensive,2015,Reg
2,16,25.0,8,0.258064516129,2,0.0645161290323,6,0.193548387097,40.0,31,G,0.58064516129,0.899999976158,Alec,202692,Burks,10,0.0,18,20,0.645161290323,10.0,50.0,20.0,1610612762,Utah Jazz,UTA,Utah,4.50449991226,360,25.0,Offensive,2015,Reg
3,250,0.0,2,0.0425531914894,0,0.0,2,0.0425531914894,26.6666666667,47,C-F,0.127659574468,0.40000000596,Al,2744,Jefferson,25,0.0,6,15,0.31914893617,6.66666666667,26.6666666667,60.0,1610612766,Charlotte Hornets,CHA,Charlotte,2.55537009239,124,0.0,Offensive,2015,Reg
4,102,40.0,20,0.25641025641,8,0.102564102564,12,0.153846153846,28.3018867925,78,F,0.435897435897,0.641508996487,Aaron,203932,Gordon,0,1.88679245283,34,53,0.679487179487,5.66037735849,37.7358490566,35.8490566038,1610612753,Orlando Magic,ORL,Orlando,7.28022003174,274,42.5,Offensive,2015,Reg
5,259,16.6666666667,12,0.176470588235,2,0.0294117647059,10,0.147058823529,20.6896551724,68,G,0.161764705882,0.379310011864,Aaron,201166,Brooks,0,0.0,11,29,0.426470588235,3.44827586207,27.5862068966,37.9310344828,1610612741,Chicago Bulls,CHI,Chicago,5.034719944,117,16.6666666667,Offensive,2015,Reg
6,370,0.0,4,0.0851063829787,0,0.0,4,0.0851063829787,6.25,47,F,0.0212765957447,0.0625,Adreian,203940,Payne,33,0.0,1,16,0.340425531915,0.0,6.25,68.75,1610612750,Minnesota Timberwolves,MIN,Minnesota,8.33333015442,6,0.0,Offensive,2015,Reg
7,218,33.3333333333,3,0.0731707317073,1,0.0243902439024,2,0.0487804878049,9.09090909091,41,G,0.121951219512,0.454544991255,Troy,203584,Daniels,30,0.0,5,11,0.268292682927,0.0,18.1818181818,63.6363636364,1610612766,Charlotte Hornets,CHA,Charlotte,5.11628007889,156,50.0,Offensive,2015,Reg
8,180,33.3333333333,3,0.1875,1,0.0625,2,0.125,20.0,16,,0.3125,0.5,Tim,204025,Frazier,2,0.0,5,10,0.625,0.0,30.0,50.0,1610612740,New Orleans Pelicans,NOP,NewOrleans,4.31033992767,187,50.0,Offensive,2015,Reg
9,77,0.0,1,0.0526315789474,0,0.0,1,0.0526315789474,50.0,19,F-C,0.368421052632,0.699999988079,Chris,2365,Andersen,7,0.0,7,10,0.526315789474,0.0,40.0,40.0,1610612763,Memphis Grizzlies,MEM,Memphis,11.6279001236,298,0.0,Offensive,2015,Reg
