,BetterPPP,FG,FGA,FGAG,FGM,FGMG,FGm,FGmG,FT,GP,P,PPG,PPP,PlayerFirstName,PlayerIDSID,PlayerLastName,PlayerNumber,PlusOne,Points,Poss,PossG,SF,Score,TO,TeamIDSID,TeamName,TeamNameAbbreviation,TeamShortName,Time,WorsePPP,aFG,name,season,seasonType
0,32,62.2950819672,61,0.743902439024,38,0.463414634146,23,0.280487804878,10.447761194,82,F-C,1.0487804878,1.28357994556,Al,201143,Horford,15,1.49253731343,86,67,0.817073170732,5.97014925373,65.671641791,0.0,1610612737,Atlanta Hawks,ATL,Atlanta,5.50534009933,265,62.2950819672,Offensive,2015,Reg
1,251,41.3793103448,29,0.617021276596,12,0.255319148936,17,0.36170212766,11.7647058824,47,C-F,0.595744680851,0.823529005051,Al,2744,Jefferson,25,0.0,28,34,0.723404255319,8.82352941176,44.1176470588,2.94117647059,1610612766,Charlotte Hornets,CHA,Charlotte,5.79216003418,45,41.3793103448,Offensive,2015,Reg
2,30,65.5913978495,93,1.19230769231,61,0.782051282051,32,0.410256410256,10.3773584906,78,F,1.75641025641,1.29244995117,Aaron,203932,Gordon,0,1.88679245283,137,106,1.35897435897,10.3773584906,66.0377358491,3.77358490566,1610612753,Orlando Magic,ORL,Orlando,14.5604000092,267,66.1290322581,Offensive,2015,Reg
3,96,55.0,40,0.487804878049,22,0.268292682927,18,0.219512195122,17.3076923077,82,F,0.719512195122,1.13461995125,Al Farouq,202329,Aminu,8,1.92307692308,59,52,0.634146341463,17.3076923077,55.7692307692,7.69230769231,1610612757,Portland Trail Blazers,POR,Portland,5.7842001915,201,58.75,Offensive,2015,Reg
4,135,63.6363636364,11,0.234042553191,7,0.148936170213,4,0.0851063829787,0.0,47,F,0.297872340426,1.0769200325,Adreian,203940,Payne,33,0.0,14,13,0.276595744681,0.0,53.8461538462,15.3846153846,1610612750,Minnesota Timberwolves,MIN,Minnesota,6.77083015442,161,63.6363636364,Offensive,2015,Reg
5,173,50.0,10,0.128205128205,5,0.0641025641026,5,0.0641025641026,0.0,78,G,0.128205128205,1.0,Dion,203079,Waiters,3,0.0,10,10,0.128205128205,0.0,50.0,0.0,1610612760,Oklahoma City Thunder,OKC,OklahomaCity,1.11607003212,107,50.0,Offensive,2015,Reg
6,9,70.0,10,0.196078431373,7,0.137254901961,3,0.0588235294118,0.0,51,G,0.274509803922,1.39999997616,Justin,1626147,Anderson,1,0.0,14,10,0.196078431373,0.0,70.0,0.0,1610612742,Dallas Mavericks,DAL,Dallas,4.4052901268,287,70.0,Offensive,2015,Reg
7,262,45.4545454545,11,0.44,5,0.2,6,0.24,7.69230769231,25,F,0.4,0.769231021404,Chris,1626191,McCullough,1,0.0,10,13,0.52,7.69230769231,38.4615384615,7.69230769231,1610612751,Brooklyn Nets,BKN,Brooklyn,9.55881977081,35,45.4545454545,Offensive,2015,Reg
8,173,42.8571428571,7,0.5,3,0.214285714286,4,0.285714285714,41.6666666667,14,C,0.857142857143,1.0,Henry,203156,Sims,14,8.33333333333,12,12,0.857142857143,41.6666666667,58.3333333333,8.33333333333,1610612751,Brooklyn Nets,BKN,Brooklyn,11.6505002975,107,42.8571428571,Offensive,2015,Reg
9,2,77.7777777778,9,0.123287671233,7,0.0958904109589,2,0.027397260274,18.1818181818,73,G,0.246575342466,1.63636004925,Nik,203917,Stauskas,11,9.09090909091,18,11,0.150684931507,18.1818181818,72.7272727273,9.09090909091,1610612755,Philadelphia 76ers,PHI,Philadelphia,1.59651994705,295,83.3333333333,Offensive,2015,Reg
10,112,55.5555555556,9,0.118421052632,5,0.0657894736842,4,0.0526315789474,0.0,76,G-F,0.144736842105,1.10000002384,Wayne,201961,Ellington,21,0.0,11,10,0.131578947368,0.0,50.0,10.0,1610612751,Brooklyn Nets,BKN,Brooklyn,1.58729994297,182,61.1111111111,Offensive,2015,Reg
