,BetterPPP,FG,FGA,FGAG,FGM,FGMG,FGm,FGmG,FT,GP,P,PPG,PPP,PlayerFirstName,PlayerIDSID,PlayerLastName,PlayerNumber,PlusOne,Points,Poss,PossG,SF,Score,TO,TeamIDSID,TeamName,TeamNameAbbreviation,TeamShortName,Time,WorsePPP,aFG,name,season,seasonType
0,136,31.7073170732,41,0.5,13,0.158536585366,28,0.341463414634,2.32558139535,82,F-C,0.463414634146,0.883720993996,Al,201143,Horford,15,0.0,38,43,0.524390243902,2.32558139535,32.5581395349,2.32558139535,1610612737,Atlanta Hawks,ATL,Atlanta,3.53327989578,110,43.9024390244,Offensive,2015,Reg
1,142,40.0,40,0.487804878049,16,0.19512195122,24,0.292682926829,0.0,82,F,0.475609756098,0.866666972637,Al Farouq,202329,Aminu,8,0.0,39,45,0.548780487805,0.0,35.5555555556,11.1111111111,1610612757,Portland Trail Blazers,POR,Portland,5.00555992126,102,48.75,Offensive,2015,Reg
2,4,63.6363636364,11,0.141025641026,7,0.0897435897436,4,0.0512820512821,0.0,78,F,0.205128205128,1.45455002785,Dante,201967,Cunningham,44,0.0,16,11,0.141025641026,0.0,63.6363636364,0.0,1610612740,New Orleans Pelicans,NOP,NewOrleans,2.2312400341,242,72.7272727273,Offensive,2015,Reg
3,28,41.6666666667,12,0.244897959184,5,0.102040816327,7,0.142857142857,7.69230769231,49,F,0.30612244898,1.15384995937,Solomon,203524,Hill,44,0.0,15,13,0.265306122449,7.69230769231,46.1538461538,0.0,1610612754,Indiana Pacers,IND,Indiana,5.0,218,54.1666666667,Offensive,2015,Reg
4,175,50.0,6,0.666666666667,3,0.333333333333,3,0.333333333333,0.0,9,,0.888888888889,0.800000011921,James,203516,Ennis,4,0.0,8,10,1.11111111111,0.0,30.0,40.0,1610612740,New Orleans Pelicans,NOP,NewOrleans,7.75193977356,69,66.6666666667,Offensive,2015,Reg
5,222,33.3333333333,6,0.5,2,0.166666666667,4,0.333333333333,0.0,12,G,0.5,0.600000023842,Jordan,200770,Farmar,4,0.0,6,10,0.833333333333,0.0,20.0,40.0,1610612763,Memphis Grizzlies,MEM,Memphis,8.19672012329,21,50.0,Offensive,2015,Reg
6,126,40.0,10,0.47619047619,4,0.190476190476,6,0.285714285714,9.09090909091,21,G,0.47619047619,0.909090995789,Devyn,203906,Marble,11,9.09090909091,10,11,0.52380952381,9.09090909091,36.3636363636,9.09090909091,1610612753,Orlando Magic,ORL,Orlando,12.5,119,45.0,Offensive,2015,Reg
7,243,10.0,10,0.16393442623,1,0.016393442623,9,0.147540983607,0.0,61,G,0.0491803278689,0.272727012634,Ronnie,101179,Price,14,0.0,3,11,0.180327868852,0.0,9.09090909091,9.09090909091,1610612756,Phoenix Suns,PHX,Phoenix,2.84238004684,3,15.0,Offensive,2015,Reg
8,58,43.2071269488,449,5.6125,194,2.425,255,3.1875,5.0,80,G,6.5875,1.05400002003,Klay,202691,Thompson,11,0.8,527,500,6.25,4.6,43.0,6.0,1610612744,Golden State Warriors,GSW,GoldenState,30.9981002808,188,53.8975501114,Offensive,2015,Reg
9,34,47.397260274,365,4.86666666667,173,2.30666666667,192,2.56,4.95049504951,75,G,6.05333333333,1.12375998497,JJ,200755,Redick,4,1.23762376238,454,404,5.38666666667,4.70297029703,46.5346534653,5.69306930693,1610612746,Los Angeles Clippers,LAC,LAClippers,38.7344017029,212,57.8082191781,Offensive,2015,Reg
