,BetterPPP,FG,FGA,FGAG,FGM,FGMG,FGm,FGmG,FT,GP,P,PPG,PPP,PlayerFirstName,PlayerIDSID,PlayerLastName,PlayerNumber,PlusOne,Points,Poss,PossG,SF,Score,TO,TeamIDSID,TeamName,TeamNameAbbreviation,TeamShortName,Time,WorsePPP,aFG,name,season,seasonType
0,108,42.5925925926,108,3.48387096774,46,1.48387096774,62,2.0,9.28571428571,31,G,3.70967741935,0.821429014206,Alec,202692,Burks,10,2.14285714286,115,140,4.51612903226,8.57142857143,38.5714285714,14.2857142857,1610612762,Utah Jazz,UTA,Utah,31.5314998627,181,45.8333333333,Offensive,2015,Reg
1,111,41.2878787879,264,3.88235294118,109,1.60294117647,155,2.27941176471,4.33436532508,68,G,3.89705882353,0.820433020592,Aaron,201166,Brooks,0,0.928792569659,265,323,4.75,4.33436532508,36.8421052632,14.8606811146,1610612741,Chicago Bulls,CHI,Chicago,56.0764007568,179,46.0227272727,Offensive,2015,Reg
2,206,35.0,60,0.731707317073,21,0.256097560976,39,0.475609756098,6.57894736842,82,F,0.634146341463,0.684211015701,Al Farouq,202329,Aminu,8,1.31578947368,52,76,0.926829268293,6.57894736842,32.8947368421,15.7894736842,1610612757,Portland Trail Blazers,POR,Portland,8.45384025574,84,38.3333333333,Offensive,2015,Reg
3,16,51.724137931,29,0.371794871795,15,0.192307692308,14,0.179487179487,10.8108108108,78,F,0.474358974359,1.0,Aaron,203932,Gordon,0,0.0,37,37,0.474358974359,8.10810810811,51.3513513514,10.8108108108,1610612753,Orlando Magic,ORL,Orlando,5.08241987228,270,51.724137931,Offensive,2015,Reg
4,52,42.8571428571,7,0.102941176471,3,0.0441176470588,4,0.0588235294118,10.0,68,F-G,0.132352941176,0.899999976158,Paul,1718,Pierce,34,0.0,9,10,0.147058823529,10.0,40.0,20.0,1610612746,Los Angeles Clippers,LAC,LAClippers,2.06611990929,237,50.0,Offensive,2015,Reg
5,106,30.7692307692,13,1.44444444444,4,0.444444444444,9,1.0,11.7647058824,9,,1.55555555556,0.823529005051,James,203516,Ennis,4,0.0,14,17,1.88888888889,11.7647058824,35.2941176471,11.7647058824,1610612740,New Orleans Pelicans,NOP,NewOrleans,13.1782999039,184,42.3076923077,Offensive,2015,Reg
6,66,44.4755244755,715,9.05063291139,318,4.0253164557,397,5.0253164557,7.92410714286,79,G,9.93670886076,0.876115977764,Reggie,202704,Jackson,1,2.00892857143,785,896,11.3417721519,7.25446428571,41.2946428571,14.1741071429,1610612765,Detroit Pistons,DET,Detroit,55.8602981567,224,47.6223776224,Offensive,2015,Reg
7,44,41.2420382166,628,8.37333333333,259,3.45333333333,369,4.92,11.4110429448,75,G,10.0133333333,0.921472012997,Damian,203081,Lillard,0,2.33128834356,751,815,10.8666666667,9.57055214724,40.8588957055,13.6196319018,1610612757,Portland Trail Blazers,POR,Portland,42.962600708,246,47.7707006369,Offensive,2015,Reg
8,32,47.0198675497,604,8.16216216216,284,3.83783783784,320,4.32432432432,7.74365821095,74,G,9.52702702703,0.941254973412,Chris,101108,Paul,3,0.934579439252,705,749,10.1216216216,3.87182910547,44.4592790387,12.5500667557,1610612746,Los Angeles Clippers,LAC,LAClippers,51.9057998657,258,50.3311258278,Offensive,2015,Reg
9,56,41.4944356121,629,7.76543209877,261,3.22222222222,368,4.54320987654,10.1394169835,81,G,8.7037037037,0.893535971642,Kemba,202689,Walker,15,0.887198986058,705,789,9.74074074074,8.36501901141,41.825095057,10.8998732573,1610612766,Charlotte Hornets,CHA,Charlotte,46.7140007019,234,46.1844197138,Offensive,2015,Reg
