,BetterPPP,FG,FGA,FGAG,FGM,FGMG,FGm,FGmG,FT,GP,P,PPG,PPP,PlayerFirstName,PlayerIDSID,PlayerLastName,PlayerNumber,PlusOne,Points,Poss,PossG,SF,Score,TO,TeamIDSID,TeamName,TeamNameAbbreviation,TeamShortName,Time,WorsePPP,aFG,name,season,seasonType
0,47,54.1818181818,275,3.35365853659,149,1.81707317073,126,1.53658536585,6.3122923588,82,F-C,4.14634146341,1.12957000732,Al,201143,Horford,15,1.66112956811,340,301,3.67073170732,5.98006644518,53.8205980066,3.98671096346,1610612737,Atlanta Hawks,ATL,Atlanta,24.7329998016,172,57.0909090909,Offensive,2015,Reg
1,72,53.8461538462,91,1.93617021277,49,1.04255319149,42,0.893617021277,8.08080808081,47,C-F,2.27659574468,1.08080995083,Al,2744,Jefferson,25,2.0202020202,107,99,2.10638297872,8.08080808081,54.5454545455,2.0202020202,1610612766,Charlotte Hornets,CHA,Charlotte,16.8654003143,147,53.8461538462,Offensive,2015,Reg
2,103,40.9090909091,44,0.564102564103,18,0.230769230769,26,0.333333333333,15.6862745098,78,F,0.653846153846,1.0,Aaron,203932,Gordon,0,3.92156862745,51,51,0.653846153846,15.6862745098,45.0980392157,1.96078431373,1610612753,Orlando Magic,ORL,Orlando,7.0054898262,106,50.0,Offensive,2015,Reg
3,103,37.9310344828,29,0.353658536585,11,0.134146341463,18,0.219512195122,13.8888888889,82,F,0.439024390244,1.0,Al Farouq,202329,Aminu,8,2.77777777778,36,36,0.439024390244,13.8888888889,41.6666666667,8.33333333333,1610612757,Portland Trail Blazers,POR,Portland,4.00444984436,106,48.275862069,Offensive,2015,Reg
4,193,34.7826086957,23,0.489361702128,8,0.170212765957,15,0.31914893617,7.14285714286,47,F,0.446808510638,0.75,Adreian,203940,Payne,33,0.0,21,28,0.595744680851,7.14285714286,35.7142857143,10.7142857143,1610612750,Minnesota Timberwolves,MIN,Minnesota,14.5832996368,24,39.1304347826,Offensive,2015,Reg
5,218,11.1111111111,9,0.642857142857,1,0.0714285714286,8,0.571428571429,10.0,14,F,0.285714285714,0.40000000596,Christian,1626174,Wood,35,0.0,4,10,0.714285714286,10.0,20.0,0.0,1610612755,Philadelphia 76ers,PHI,Philadelphia,15.3845996857,0,11.1111111111,Offensive,2015,Reg
6,25,63.6363636364,11,0.224489795918,7,0.142857142857,4,0.0816326530612,7.69230769231,49,F,0.326530612245,1.23076999187,Solomon,203524,Hill,44,0.0,16,13,0.265306122449,7.69230769231,61.5384615385,7.69230769231,1610612754,Indiana Pacers,IND,Indiana,5.0,194,68.1818181818,Offensive,2015,Reg
7,103,41.6666666667,12,0.705882352941,5,0.294117647059,7,0.411764705882,14.2857142857,17,F-C,0.823529411765,1.0,Jason,201574,Thompson,1,7.14285714286,14,14,0.823529411765,14.2857142857,42.8571428571,7.14285714286,1610612761,Toronto Raptors,TOR,Toronto,17.0732002258,106,45.8333333333,Offensive,2015,Reg
8,218,25.0,8,0.105263157895,2,0.0263157894737,6,0.0789473684211,0.0,76,F,0.0526315789474,0.40000000596,Tayshaun,2419,Prince,12,0.0,4,10,0.131578947368,0.0,20.0,20.0,1610612750,Minnesota Timberwolves,MIN,Minnesota,3.7593998909,0,25.0,Offensive,2015,Reg
9,81,50.3378378378,296,4.85245901639,149,2.44262295082,147,2.40983606557,13.3522727273,61,F-C,6.11475409836,1.05965995789,Anthony,203076,Davis,23,1.98863636364,373,352,5.77049180328,13.0681818182,51.9886363636,4.54545454545,1610612740,New Orleans Pelicans,NOP,NewOrleans,24.6671009064,138,52.1959459459,Offensive,2015,Reg
