,BetterPPP,FG,FGA,FGAG,FGM,FGMG,FGm,FGmG,FT,GP,P,PPG,PPP,PlayerFirstName,PlayerIDSID,PlayerLastName,PlayerNumber,PlusOne,Points,Poss,PossG,SF,Score,TO,TeamIDSID,TeamName,TeamNameAbbreviation,TeamShortName,Time,WorsePPP,aFG,name,season,seasonType
0,127,39.0728476821,302,3.68292682927,118,1.43902439024,184,2.24390243902,4.46428571429,82,F,4.20731707317,1.02679002285,Al Farouq,202329,Aminu,8,0.892857142857,345,336,4.09756097561,4.16666666667,38.3928571429,6.54761904762,1610612757,Portland Trail Blazers,POR,Portland,37.3749008179,302,53.642384106,Offensive,2015,Reg
1,226,39.0334572491,269,3.28048780488,105,1.28048780488,164,2.0,1.77935943061,82,F-C,3.18292682927,0.928825974464,Al,201143,Horford,15,0.711743772242,261,281,3.42682926829,1.77935943061,38.4341637011,3.20284697509,1610612737,Atlanta Hawks,ATL,Atlanta,23.0895996094,203,47.7695167286,Offensive,2015,Reg
2,74,42.1052631579,76,2.45161290323,32,1.03225806452,44,1.41935483871,16.8421052632,31,G,3.35483870968,1.09474003315,Alec,202692,Burks,10,2.10526315789,104,95,3.06451612903,14.7368421053,48.4210526316,5.26315789474,1610612762,Utah Jazz,UTA,Utah,21.3964004517,355,52.6315789474,Offensive,2015,Reg
3,8,45.4545454545,22,1.83333333333,10,0.833333333333,12,1.0,16.6666666667,12,G,2.66666666667,1.33333003521,Alan,101187,Anderson,6,8.33333333333,32,24,2.0,16.6666666667,50.0,0.0,1610612764,Washington Wizards,WAS,Washington,36.3636016846,420,61.3636363636,Offensive,2015,Reg
4,149,50.0,28,0.595744680851,14,0.297872340426,14,0.297872340426,0.0,47,C-F,0.595744680851,1.0,Al,2744,Jefferson,25,0.0,28,28,0.595744680851,0.0,50.0,0.0,1610612766,Charlotte Hornets,CHA,Charlotte,4.77002000809,268,50.0,Offensive,2015,Reg
5,289,33.75,160,2.05128205128,54,0.692307692308,106,1.35897435897,7.77777777778,78,F,1.96153846154,0.850000023842,Aaron,203932,Gordon,0,2.22222222222,153,180,2.30769230769,7.22222222222,35.5555555556,5.55555555556,1610612753,Orlando Magic,ORL,Orlando,24.7252998352,140,41.875,Offensive,2015,Reg
6,62,36.7647058824,68,1.0,25,0.367647058824,43,0.632352941176,4.22535211268,68,G,1.16176470588,1.11267995834,Aaron,201166,Brooks,0,0.0,79,71,1.04411764706,4.22535211268,39.4366197183,0.0,1610612741,Chicago Bulls,CHI,Chicago,12.3263998032,367,52.9411764706,Offensive,2015,Reg
7,357,34.0,50,1.06382978723,17,0.36170212766,33,0.702127659574,0.0,47,F,0.851063829787,0.740741014481,Adreian,203940,Payne,33,0.0,40,54,1.14893617021,0.0,31.4814814815,7.40740740741,1610612750,Minnesota Timberwolves,MIN,Minnesota,28.125,72,40.0,Offensive,2015,Reg
8,419,22.2222222222,9,0.818181818182,2,0.181818181818,7,0.636363636364,0.0,11,G,0.454545454545,0.5,Andre,1889,Miller,24,0.0,5,10,0.909090909091,0.0,20.0,10.0,1610612759,San Antonio Spurs,SAS,SanAntonio,15.1514997482,9,27.7777777778,Offensive,2015,Reg
9,3,54.5454545455,11,0.785714285714,6,0.428571428571,5,0.357142857143,0.0,14,F,1.14285714286,1.45455002785,Christian,1626174,Wood,35,0.0,16,11,0.785714285714,0.0,54.5454545455,0.0,1610612755,Philadelphia 76ers,PHI,Philadelphia,16.9230995178,426,72.7272727273,Offensive,2015,Reg
