,AST,BLK,DREB,FG3A,FG3M,FG3_PCT,FGA,FGM,FG_PCT,FTA,FTM,FT_PCT,GAME_DATE,Game_ID,MATCHUP,MIN,OREB,PF,PLUS_MINUS,PTS,Player_ID,REB,SEASON_ID,STL,TOV,VIDEO_AVAILABLE,WL
0,1,0,1,3,1,0.333,15,7,0.467,6,6,1.0,"APR 20, 1997",0029601186,CHH @ MIL,32,0,2,-23,21,779,1,21996,0,3,0,L
1,0,0,3,8,5,0.625,22,12,0.545,9,9,1.0,"APR 18, 1997",0029601168,CHH vs. TOR,42,0,2,-10,38,779,3,21996,3,5,0,L
2,1,1,3,6,2,0.333,24,10,0.417,4,3,0.75,"APR 16, 1997",0029601151,CHH @ BOS,48,2,2,6,25,779,5,21996,2,5,0,W
3,3,0,4,5,3,0.6,13,9,0.692,4,4,1.0,"APR 14, 1997",0029601140,CHH vs. CLE,44,0,1,16,25,779,4,21996,0,4,0,W
4,3,1,0,5,1,0.2,14,4,0.286,8,7,0.875,"APR 12, 1997",0029601125,CHH vs. WAS,44,1,1,7,16,779,1,21996,0,3,0,W
5,1,0,4,3,0,0.0,18,6,0.333,7,6,0.857,"APR 11, 1997",0029601117,CHH @ DET,48,3,1,8,18,779,7,21996,1,0,0,W
6,0,0,2,3,3,1.0,14,10,0.714,6,6,1.0,"APR 09, 1997",0029601102,CHH vs. BOS,32,0,2,33,29,779,2,21996,2,1,0,W
7,4,0,6,9,5,0.556,21,11,0.524,16,15,0.938,"APR 07, 1997",0029601087,CHH @ CLE,50,0,2,7,42,779,6,21996,0,2,0,W
8,2,1,3,3,3,1.0,22,14,0.636,10,10,1.0,"APR 05, 1997",0029601074,CHH vs. PHI,39,0,3,-8,41,779,3,21996,1,0,0,W
9,1,0,3,6,2,0.333,21,9,0.429,5,4,0.8,"APR 03, 1997",0029601056,CHH @ NJN,42,1,3,13,24,779,4,21996,0,2,0,W
10,1,0,1,6,2,0.333,21,10,0.476,18,16,0.889,"APR 02, 1997",0029601050,CHH vs. ATL,42,1,2,10,38,779,2,21996,0,1,0,W
11,4,0,1,4,2,0.5,16,6,0.375,8,6,0.75,"MAR 28, 1997",0029601019,CHH vs. IND,43,1,4,-6,20,779,2,21996,0,4,0,L
12,3,0,5,8,4,0.5,22,12,0.545,6,5,0.833,"MAR 26, 1997",0029601005,CHH vs. POR,45,1,3,-1,33,779,6,21996,0,4,0,L
13,2,0,3,3,1,0.333,21,9,0.429,5,5,1.0,"MAR 22, 1997",0029600976,CHH vs. GSW,49,1,1,10,24,779,4,21996,2,1,0,W
14,1,0,2,5,2,0.4,24,10,0.417,8,5,0.625,"MAR 21, 1997",0029600970,CHH @ TOR,42,2,3,4,27,779,4,21996,1,0,0,W
15,3,0,4,3,0,0.0,20,8,0.4,7,6,0.857,"MAR 19, 1997",0029600955,CHH vs. CLE,46,2,3,19,22,779,6,21996,1,1,0,W
16,1,0,2,6,3,0.5,18,11,0.611,6,4,0.667,"MAR 17, 1997",0029600938,CHH vs. UTA,41,0,2,-13,29,779,2,21996,0,4,0,L
17,0,1,4,8,3,0.375,20,7,0.35,11,10,0.909,"MAR 15, 1997",0029600922,CHH @ PHI,43,1,3,6,27,779,5,21996,0,0,0,W
18,1,1,5,10,4,0.4,25,17,0.68,2,1,0.5,"MAR 14, 1997",0029600914,CHH @ ORL,43,0,3,2,39,779,5,21996,3,5,0,L
19,3,1,4,9,4,0.444,23,6,0.261,10,8,0.8,"MAR 11, 1997",0029600889,CHH vs. VAN,40,3,2,-2,24,779,7,21996,1,2,0,W
