,AST,BLK,DREB,FG3A,FG3M,FG3_PCT,FGA,FGM,FG_PCT,FTA,FTM,FT_PCT,GAME_DATE,Game_ID,MATCHUP,MIN,OREB,PF,PLUS_MINUS,PTS,Player_ID,REB,SEASON_ID,STL,TOV,VIDEO_AVAILABLE,WL
0,1,0,3,0,0,0.0,12,7,0.583,6,4,0.667,"APR 20, 1997",0029601188,UTA @ SAC,28,3,2,10,18,252,6,21996,1,4,0,W
1,3,0,7,0,0,0.0,16,10,0.625,8,6,0.75,"APR 19, 1997",0029601178,UTA vs. MIN,25,0,2,7,26,252,7,21996,1,6,0,W
2,5,0,3,0,0,0.0,9,7,0.778,7,6,0.857,"APR 17, 1997",0029601161,UTA vs. GSW,26,1,3,14,20,252,4,21996,3,4,0,W
3,5,0,9,0,0,0.0,21,13,0.619,7,5,0.714,"APR 15, 1997",0029601149,UTA @ PHX,40,2,3,1,31,252,11,21996,0,3,0,W
4,4,0,2,0,0,0.0,19,8,0.421,11,10,0.909,"APR 13, 1997",0029601135,UTA @ LAL,38,2,3,-6,26,252,4,21996,0,2,0,L
5,5,0,9,0,0,0.0,19,9,0.474,13,10,0.769,"APR 11, 1997",0029601120,UTA vs. HOU,34,4,3,17,28,252,13,21996,1,3,0,W
6,2,0,2,0,0,0.0,15,11,0.733,7,7,1.0,"APR 09, 1997",0029601104,UTA vs. LAL,32,0,3,-2,29,252,2,21996,3,5,0,W
7,4,0,5,0,0,0.0,15,9,0.6,10,8,0.8,"APR 07, 1997",0029600077,UTA vs. SAS,28,2,3,29,26,252,7,21996,3,2,0,W
8,7,0,5,0,0,0.0,18,10,0.556,11,10,0.909,"APR 06, 1997",0029601084,UTA @ GSW,32,3,4,21,30,252,8,21996,3,3,0,W
9,6,1,2,0,0,0.0,15,7,0.467,5,2,0.4,"APR 04, 1997",0029601069,UTA vs. VAN,22,1,2,28,16,252,3,21996,3,2,0,W
10,3,1,5,0,0,0.0,16,8,0.5,9,7,0.778,"APR 02, 1997",0029601053,UTA vs. SAC,28,4,2,27,23,252,9,21996,0,0,0,W
11,6,0,11,0,0,0.0,15,11,0.733,14,11,0.786,"MAR 29, 1997",0029601029,UTA @ SAS,44,1,2,13,33,252,12,21996,1,4,0,W
12,5,0,5,0,0,0.0,24,13,0.542,6,5,0.833,"MAR 28, 1997",0029601021,UTA vs. MIL,38,1,4,8,31,252,6,21996,0,3,0,W
13,2,3,7,0,0,0.0,17,14,0.824,9,7,0.778,"MAR 23, 1997",0029600988,UTA @ DEN,32,1,0,16,35,252,8,21996,0,2,0,W
14,3,0,7,0,0,0.0,13,9,0.692,6,2,0.333,"MAR 22, 1997",0029600981,UTA vs. LAC,30,0,2,13,20,252,7,21996,1,4,0,W
15,4,0,7,0,0,0.0,18,13,0.722,6,6,1.0,"MAR 19, 1997",0029600952,UTA @ BOS,32,5,2,34,32,252,12,21996,1,3,0,W
16,5,0,7,0,0,0.0,22,14,0.636,12,9,0.75,"MAR 17, 1997",0029600938,UTA @ CHH,39,2,2,16,37,252,9,21996,1,1,0,W
17,1,0,7,0,0,0.0,25,12,0.48,11,8,0.727,"MAR 15, 1997",0029600923,UTA @ WAS,38,3,3,12,32,252,10,21996,2,3,0,W
18,3,0,8,0,0,0.0,21,11,0.524,19,16,0.842,"MAR 14, 1997",0029600917,UTA @ IND,36,3,2,-3,38,252,11,21996,0,3,0,W
19,4,1,6,0,0,0.0,22,9,0.409,11,9,0.818,"MAR 12, 1997",0029600900,UTA @ NJN,37,6,4,18,27,252,12,21996,1,1,0,W
20,2,0,6,2,0,0.0,20,9,0.45,7,6,0.857,"MAR 11, 1997",0029600890,UTA @ ATL,42,1,2,-4,24,252,7,21996,4,3,0,L
21,8,1,10,1,0,0.0,26,16,0.615,5,4,0.8,"MAR 09, 1997",0029600881,UTA @ MIN,42,1,2,15,36,252,11,21996,0,3,0,W
22,4,0,5,0,0,0.0,26,15,0.577,15,11,0.733,"MAR 07, 1997",0029600867,UTA vs. DET,42,1,2,16,41,252,6,21996,1,3,0,W
23,7,1,8,0,0,0.0,13,10,0.769,1,0,0.0,"MAR 05, 1997",0029600852,UTA vs. DAL,32,0,1,21,20,252,8,21996,3,0,0,W
24,6,0,5,0,0,0.0,25,16,0.64,11,9,0.818,"MAR 03, 1997",0029600836,UTA @ GSW,42,2,2,13,41,252,7,21996,2,3,0,W
25,3,0,7,0,0,0.0,16,7,0.438,6,4,0.667,"MAR 02, 1997",0029600833,UTA @ VAN,35,2,3,-3,18,252,9,21996,1,3,0,W
26,4,1,5,0,0,0.0,22,15,0.682,1,0,0.0,"FEB 28, 1997",0029600818,UTA @ POR,38,1,3,-12,30,252,6,21996,0,3,0,L
27,10,1,7,1,0,0.0,24,13,0.542,7,6,0.857,"FEB 27, 1997",0029600808,UTA vs. TOR,41,6,0,-1,32,252,13,21996,3,3,0,W
28,3,0,6,0,0,0.0,27,12,0.444,12,9,0.75,"FEB 25, 1997",0029600793,UTA vs. NYK,40,4,2,4,33,252,10,21996,1,0,0,W
29,0,3,7,0,0,0.0,28,13,0.464,7,6,0.857,"FEB 23, 1997",0029600779,UTA vs. SEA,45,3,3,-3,32,252,10,21996,2,1,0,L
30,8,0,12,0,0,0.0,19,13,0.684,10,8,0.8,"FEB 20, 1997",0029600756,UTA vs. BOS,40,4,2,12,34,252,16,21996,2,7,0,W
31,8,2,7,0,0,0.0,17,12,0.706,17,13,0.765,"FEB 18, 1997",0029600740,UTA vs. SAS,42,0,5,10,37,252,7,21996,2,2,0,W
32,3,0,6,0,0,0.0,13,5,0.385,9,5,0.556,"FEB 15, 1997",0029600720,UTA vs. DAL,31,2,1,18,15,252,8,21996,1,3,0,W
33,6,1,7,0,0,0.0,15,9,0.6,7,6,0.857,"FEB 13, 1997",0029600705,UTA vs. POR,31,4,2,32,24,252,11,21996,1,3,0,W
34,2,0,5,0,0,0.0,16,12,0.75,8,6,0.75,"FEB 11, 1997",0029600691,UTA @ SAC,33,3,2,24,30,252,8,21996,1,1,0,W
35,3,0,7,0,0,0.0,19,11,0.579,5,4,0.8,"FEB 05, 1997",0029600674,UTA @ SEA,40,0,4,13,26,252,7,21996,3,2,0,W
36,2,0,7,0,0,0.0,10,7,0.7,14,10,0.714,"FEB 03, 1997",0029600658,UTA vs. WAS,27,3,2,29,24,252,10,21996,1,1,0,W
37,3,0,6,0,0,0.0,28,13,0.464,13,10,0.769,"FEB 01, 1997",0029600643,UTA @ DAL,37,5,5,3,36,252,11,21996,1,3,0,L
38,5,0,9,0,0,0.0,25,14,0.56,4,4,1.0,"JAN 30, 1997",0029600628,UTA vs. ATL,40,6,4,8,32,252,15,21996,1,2,0,W
39,5,1,8,0,0,0.0,24,10,0.417,11,8,0.727,"JAN 28, 1997",0029600614,UTA vs. DEN,40,5,5,24,28,252,13,21996,2,3,0,W
40,6,0,14,0,0,0.0,21,9,0.429,9,9,1.0,"JAN 25, 1997",0029600598,UTA @ HOU,45,3,3,2,27,252,17,21996,2,2,0,W
41,4,4,6,0,0,0.0,28,16,0.571,12,9,0.75,"JAN 22, 1997",0029600572,UTA @ PHX,41,2,2,21,41,252,8,21996,2,1,0,W
42,5,1,6,1,0,0.0,14,10,0.714,16,12,0.75,"JAN 20, 1997",0029600557,UTA vs. CLE,29,2,3,34,32,252,8,21996,1,1,0,W
43,6,0,8,0,0,0.0,15,7,0.467,6,3,0.5,"JAN 19, 1997",0029600550,UTA @ POR,40,2,1,-8,17,252,10,21996,2,3,0,L
44,4,1,4,0,0,0.0,14,11,0.786,9,8,0.889,"JAN 17, 1997",0029600538,UTA @ VAN,30,2,2,27,30,252,6,21996,2,3,0,W
