,AST,BLK,DREB,FG3A,FG3M,FG3_PCT,FGA,FGM,FG_PCT,FTA,FTM,FT_PCT,GAME_DATE,Game_ID,MATCHUP,MIN,OREB,PF,PLUS_MINUS,PTS,Player_ID,REB,SEASON_ID,STL,TOV,VIDEO_AVAILABLE,WL
0,3,0,3,1,1,1.0,22,14,0.636,8,4,0.5,"APR 19, 1997",0029601176,CHI vs. NYK,39,0,4,-8,33,893,3,21996,2,4,0,L
1,3,1,7,5,2,0.4,27,11,0.407,4,2,0.5,"APR 16, 1997",0029601155,CHI @ MIA,39,1,5,-15,26,893,8,21996,0,3,0,L
2,10,1,9,7,4,0.571,24,12,0.5,2,2,1.0,"APR 14, 1997",0029601142,CHI vs. TOR,35,2,2,22,30,893,11,21996,3,2,0,W
3,7,0,8,3,0,0.0,16,7,0.438,4,4,1.0,"APR 13, 1997",0029601132,CHI @ DET,38,1,1,-18,18,893,9,21996,0,4,0,L
4,6,1,7,3,1,0.333,26,12,0.462,10,9,0.9,"APR 10, 1997",0029601105,CHI @ NYK,44,1,3,2,34,893,8,21996,1,3,0,W
5,2,0,3,3,0,0.0,19,8,0.421,8,7,0.875,"APR 09, 1997",0029601103,CHI @ IND,41,0,2,3,23,893,3,21996,5,6,0,W
6,2,2,5,4,3,0.75,25,13,0.52,2,1,0.5,"APR 07, 1997",0029601089,CHI vs. PHI,30,3,1,7,30,893,8,21996,3,2,0,W
7,5,1,6,6,3,0.5,22,13,0.591,9,8,0.889,"APR 06, 1997",0029601081,CHI @ ORL,40,2,3,30,37,893,8,21996,3,4,0,W
8,3,2,4,1,0,0.0,16,9,0.563,5,4,0.8,"APR 04, 1997",0029601066,CHI vs. CLE,38,1,2,18,22,893,5,21996,1,0,0,W
9,6,1,1,4,1,0.25,30,14,0.467,6,5,0.833,"APR 03, 1997",0029601057,CHI @ WAS,39,0,2,-3,34,893,1,21996,2,2,0,L
10,2,0,8,0,0,0.0,11,8,0.727,9,5,0.556,"APR 01, 1997",0029601042,CHI vs. BOS,27,0,1,20,21,893,8,21996,2,2,0,W
11,10,2,4,2,1,0.5,21,9,0.429,3,2,0.667,"MAR 29, 1997",0029601027,CHI vs. NJN,39,2,3,9,21,893,6,21996,0,0,0,W
12,4,2,7,0,0,0.0,17,5,0.294,3,2,0.667,"MAR 27, 1997",0029601011,CHI @ TOR,41,3,2,11,12,893,10,21996,0,6,0,W
13,3,0,1,1,0,0.0,20,9,0.45,2,2,1.0,"MAR 25, 1997",0029600995,CHI vs. DAL,36,0,3,-12,20,893,1,21996,3,2,0,W
14,7,1,3,6,3,0.5,20,8,0.4,4,4,1.0,"MAR 22, 1997",0029600977,CHI vs. DET,35,2,3,16,23,893,5,21996,2,0,0,W
15,4,1,2,3,1,0.333,25,11,0.44,14,13,0.929,"MAR 21, 1997",0029600972,CHI @ IND,40,4,0,17,36,893,6,21996,2,2,0,W
16,2,0,10,4,0,0.0,28,10,0.357,13,12,0.923,"MAR 18, 1997",0029600948,CHI vs. SEA,50,8,3,-2,32,893,18,21996,0,8,0,W
17,3,2,3,1,0,0.0,11,5,0.455,0,0,0.0,"MAR 15, 1997",0029600924,CHI vs. ATL,29,1,1,13,10,893,4,21996,1,3,0,W
18,5,1,6,3,1,0.333,34,16,0.471,5,3,0.6,"MAR 14, 1997",0029600912,CHI @ NJN,39,2,1,5,36,893,8,21996,0,1,0,L
19,3,1,5,4,1,0.25,24,9,0.375,5,4,0.8,"MAR 12, 1997",0029600901,CHI @ PHI,37,0,2,13,23,893,5,21996,2,4,0,W
20,9,0,4,3,1,0.333,23,13,0.565,6,5,0.833,"MAR 11, 1997",0029600888,CHI @ BOS,43,0,2,10,32,893,4,21996,3,2,0,W
21,4,0,4,3,0,0.0,31,14,0.452,9,8,0.889,"MAR 09, 1997",0029600877,CHI @ NYK,46,2,2,0,36,893,6,21996,1,1,0,L
22,5,1,3,3,1,0.333,21,11,0.524,17,15,0.882,"MAR 07, 1997",0029600865,CHI vs. IND,44,1,3,6,38,893,4,21996,2,4,0,W
23,4,0,1,4,1,0.25,17,7,0.412,2,1,0.5,"MAR 05, 1997",0029600850,CHI vs. SAS,24,1,1,23,16,893,2,21996,2,0,0,W
24,6,0,3,7,3,0.429,19,11,0.579,6,6,1.0,"MAR 03, 1997",0029600835,CHI vs. MIL,36,0,2,17,31,893,3,21996,2,2,0,W
25,6,1,8,7,5,0.714,20,13,0.65,5,4,0.8,"FEB 28, 1997",0029600815,CHI vs. SAC,35,1,2,29,35,893,9,21996,1,2,0,W
26,4,0,7,3,0,0.0,25,7,0.28,9,9,1.0,"FEB 27, 1997",0029600805,CHI @ CLE,43,1,2,-10,23,893,8,21996,0,2,0,L
27,3,0,3,7,3,0.429,27,13,0.481,9,8,0.889,"FEB 24, 1997",0029600785,CHI vs. POR,30,1,1,23,37,893,4,21996,0,1,0,W
28,1,0,4,8,5,0.625,19,13,0.684,4,3,0.75,"FEB 22, 1997",0029600771,CHI vs. GSW,31,1,1,22,34,893,5,21996,3,2,0,W
29,4,0,3,4,3,0.75,28,13,0.464,12,7,0.583,"FEB 21, 1997",0029600758,CHI @ WAS,45,1,2,4,36,893,4,21996,1,2,0,W
30,12,0,3,3,1,0.333,18,10,0.556,4,3,0.75,"FEB 18, 1997",0029600739,CHI vs. DEN,32,2,3,18,24,893,5,21996,3,0,0,W
31,10,0,7,4,3,0.75,20,8,0.4,0,0,0.0,"FEB 16, 1997",0029600725,CHI vs. ORL,38,1,3,25,19,893,8,21996,4,2,0,W
32,4,0,5,2,1,0.5,28,13,0.464,5,3,0.6,"FEB 14, 1997",0029600709,CHI @ ATL,45,3,0,3,30,893,8,21996,2,4,0,W
33,4,0,5,2,1,0.5,24,16,0.667,14,10,0.714,"FEB 11, 1997",0029600686,CHI vs. CHH,42,0,2,4,43,893,5,21996,3,5,0,W
34,4,1,3,5,2,0.4,24,10,0.417,6,5,0.833,"FEB 05, 1997",0029600673,CHI @ LAL,39,1,1,-7,27,893,4,21996,1,2,0,L
35,2,2,4,4,1,0.25,30,15,0.5,5,5,1.0,"FEB 04, 1997",0029600667,CHI @ POR,41,1,3,-1,36,893,5,21996,1,0,0,W
36,3,0,4,3,2,0.667,28,19,0.679,6,5,0.833,"FEB 02, 1997",0029600655,CHI @ SEA,45,3,2,4,45,893,7,21996,1,1,0,W
37,8,0,4,6,1,0.167,17,8,0.471,1,1,1.0,"JAN 31, 1997",0029600636,CHI @ GSW,32,0,2,22,18,893,4,21996,3,2,0,W
38,2,0,6,5,1,0.2,19,11,0.579,10,9,0.9,"JAN 30, 1997",0029600630,CHI @ SAC,40,0,3,13,32,893,6,21996,3,2,0,W
39,3,0,3,3,1,0.333,19,12,0.632,4,3,0.75,"JAN 28, 1997",0029600616,CHI @ VAN,32,1,1,9,28,893,4,21996,4,2,0,W
40,4,0,2,4,3,0.75,16,10,0.625,2,1,0.5,"JAN 25, 1997",0029600596,CHI vs. TOR,31,1,1,20,24,893,3,21996,2,0,0,W
41,0,0,8,5,1,0.2,24,10,0.417,12,11,0.917,"JAN 23, 1997",0029600577,CHI @ CLE,39,1,2,16,32,893,9,21996,1,4,0,W
42,4,0,3,8,5,0.625,30,18,0.6,11,10,0.909,"JAN 21, 1997",0029600565,CHI vs. NYK,43,1,1,7,51,893,4,21996,2,2,0,W
43,5,1,11,6,1,0.167,25,8,0.32,9,9,1.0,"JAN 19, 1997",0029600548,CHI @ HOU,43,3,0,-17,26,893,14,21996,1,1,0,L
44,11,0,6,2,1,0.5,15,10,0.667,4,3,0.75,"JAN 17, 1997",0029600533,CHI vs. MIL,36,1,2,22,24,893,7,21996,2,1,0,W
45,4,1,2,5,1,0.2,22,12,0.545,0,0,0.0,"JAN 15, 1997",0029600518,CHI @ MIN,35,1,2,15,25,893,3,21996,1,3,0,W
