,AST,BLK,DREB,FG3A,FG3M,FG3_PCT,FGA,FGM,FG_PCT,FTA,FTM,FT_PCT,GAME_DATE,Game_ID,MATCHUP,MIN,OREB,PF,PLUS_MINUS,PTS,Player_ID,REB,SEASON_ID,STL,TOV,VIDEO_AVAILABLE,WL
0,3,4,12,0,0,0.0,21,10,0.476,20,13,0.65,"APR 19, 1998",0029701187,LAL vs. UTA,40,3,3,4,33,406,15,21997,1,2,0,W
1,0,4,4,0,0,0.0,22,18,0.818,13,7,0.538,"APR 17, 1998",0029701173,LAL vs. DAL,33,1,1,32,43,406,5,21997,0,2,0,W
2,3,1,5,0,0,0.0,22,15,0.682,8,4,0.5,"APR 14, 1998",0029701145,LAL @ DAL,31,2,3,26,34,406,7,21997,0,2,0,W
3,3,1,14,0,0,0.0,16,11,0.688,13,6,0.462,"APR 13, 1998",0029701137,LAL @ SAS,35,2,3,19,28,406,16,21997,0,1,0,W
4,5,1,9,0,0,0.0,23,11,0.478,20,13,0.65,"APR 11, 1998",0029701127,LAL @ GSW,38,6,2,9,35,406,15,21997,0,2,0,W
5,3,3,5,0,0,0.0,15,10,0.667,9,4,0.444,"APR 10, 1998",0029701120,LAL vs. PHX,36,2,5,-2,24,406,7,21997,0,4,0,L
6,3,4,5,0,0,0.0,18,13,0.722,10,4,0.4,"APR 08, 1998",0029701106,LAL vs. VAN,38,3,1,20,30,406,8,21997,0,5,0,W
7,3,1,7,0,0,0.0,26,14,0.538,10,7,0.7,"APR 05, 1998",0029701080,LAL @ DET,49,5,5,3,35,406,12,21997,1,2,0,W
8,2,1,6,0,0,0.0,23,11,0.478,7,4,0.571,"APR 03, 1998",0029701064,LAL @ CLE,40,5,0,15,26,406,11,21997,0,3,0,W
9,2,1,6,0,0,0.0,26,18,0.692,20,14,0.7,"APR 02, 1998",0029701055,LAL @ NJN,42,3,4,15,50,406,9,21997,1,5,0,W
10,3,2,10,0,0,0.0,10,6,0.6,15,8,0.533,"MAR 31, 1998",0029701040,LAL @ TOR,38,3,4,6,20,406,13,21997,0,2,0,W
11,0,3,11,0,0,0.0,18,13,0.722,12,7,0.583,"MAR 29, 1998",0029701033,LAL vs. WAS,26,2,2,29,33,406,13,21997,0,6,0,W
12,1,0,5,0,0,0.0,17,10,0.588,16,11,0.688,"MAR 28, 1998",0029701022,LAL @ UTA,33,0,4,-4,31,406,5,21997,1,2,0,L
13,4,5,9,0,0,0.0,20,10,0.5,10,5,0.5,"MAR 25, 1998",0029701003,LAL vs. SAC,36,5,2,21,25,406,14,21997,1,3,0,W
14,2,0,5,0,0,0.0,16,10,0.625,6,4,0.667,"MAR 23, 1998",0029700985,LAL @ DEN,35,4,2,27,24,406,9,21997,2,1,0,W
15,1,1,7,0,0,0.0,24,13,0.542,11,7,0.636,"MAR 22, 1998",0029700981,LAL @ SAC,38,6,4,8,33,406,13,21997,0,5,0,W
16,0,2,13,0,0,0.0,14,10,0.714,15,4,0.267,"MAR 20, 1998",0029700967,LAL vs. SEA,42,3,3,24,24,406,16,21997,1,5,0,W
17,0,0,14,0,0,0.0,28,13,0.464,11,7,0.636,"MAR 18, 1998",0029700948,LAL vs. PHX,41,8,3,-2,33,406,22,21997,0,3,0,W
18,3,1,5,0,0,0.0,23,10,0.435,7,5,0.714,"MAR 16, 1998",0029700933,LAL @ SEA,45,3,4,-14,25,406,8,21997,1,2,0,L
19,1,4,10,0,0,0.0,22,11,0.5,5,2,0.4,"MAR 15, 1998",0029700927,LAL @ VAN,34,1,5,8,24,406,11,21997,2,4,0,W
20,2,3,8,0,0,0.0,20,16,0.8,5,0,0.0,"MAR 12, 1998",0029700903,LAL @ LAC,33,1,3,24,32,406,9,21997,0,5,0,W
21,0,4,1,0,0,0.0,24,13,0.542,14,7,0.5,"MAR 11, 1998",0029700896,LAL vs. POR,38,5,2,11,33,406,6,21997,0,4,0,W
22,2,2,10,0,0,0.0,19,12,0.632,16,8,0.5,"MAR 08, 1998",0029700876,LAL vs. DET,40,3,3,4,32,406,13,21997,0,3,0,W
23,3,2,4,0,0,0.0,16,9,0.563,10,5,0.5,"MAR 06, 1998",0029700863,LAL vs. SAS,41,2,4,18,23,406,6,21997,1,2,0,W
24,3,5,11,0,0,0.0,12,8,0.667,15,13,0.867,"MAR 04, 1998",0029700848,LAL vs. IND,33,1,5,12,29,406,12,21997,0,2,0,W
25,3,1,11,0,0,0.0,22,12,0.545,9,4,0.444,"MAR 02, 1998",0029700831,LAL @ WAS,38,4,5,-4,28,406,15,21997,3,5,0,L
26,5,0,3,0,0,0.0,16,6,0.375,10,7,0.7,"MAR 01, 1998",0029700823,LAL @ NYK,38,4,4,-7,19,406,7,21997,0,2,0,L
27,3,0,5,0,0,0.0,27,14,0.519,11,7,0.636,"FEB 27, 1998",0029700813,LAL @ MIN,34,2,3,6,35,406,7,21997,0,1,0,W
28,2,4,8,0,0,0.0,22,11,0.5,6,2,0.333,"FEB 25, 1998",0029700798,LAL @ IND,41,1,3,16,24,406,9,21997,2,3,0,W
29,3,3,10,0,0,0.0,16,8,0.5,12,5,0.417,"FEB 24, 1998",0029700790,LAL @ MIL,36,2,2,12,21,406,12,21997,1,4,0,W
30,2,2,7,0,0,0.0,16,8,0.5,7,4,0.571,"FEB 22, 1998",0029700775,LAL @ ORL,34,3,4,4,20,406,10,21997,0,1,0,L
31,1,3,8,0,0,0.0,13,9,0.692,4,1,0.25,"FEB 19, 1998",0029700757,LAL vs. DEN,28,3,3,25,19,406,11,21997,0,2,0,W
32,1,2,8,0,0,0.0,22,12,0.545,11,6,0.545,"FEB 18, 1998",0029700748,LAL @ PHX,37,2,0,-4,30,406,10,21997,1,3,0,L
33,1,1,8,0,0,0.0,14,7,0.5,7,4,0.571,"FEB 15, 1998",0029700728,LAL vs. HOU,37,5,3,-7,18,406,13,21997,0,5,0,L
34,2,3,7,0,0,0.0,29,19,0.655,12,6,0.5,"FEB 13, 1998",0029700715,LAL vs. SEA,41,5,5,6,44,406,12,21997,3,5,0,L
35,1,5,9,0,0,0.0,22,12,0.545,17,9,0.529,"FEB 11, 1998",0029700701,LAL vs. GSW,33,1,2,10,33,406,10,21997,0,2,0,W
36,1,2,6,0,0,0.0,26,12,0.462,13,7,0.538,"FEB 10, 1998",0029700693,LAL @ POR,35,6,5,-7,31,406,12,21997,2,3,0,L
37,2,2,8,0,0,0.0,17,10,0.588,9,1,0.111,"FEB 04, 1998",0029700673,LAL vs. POR,39,2,3,7,21,406,10,21997,0,3,0,W
38,3,2,5,0,0,0.0,14,8,0.571,13,8,0.615,"FEB 01, 1998",0029700647,LAL vs. CHI,35,4,1,23,24,406,9,21997,0,1,0,W
39,2,2,12,0,0,0.0,18,9,0.5,15,8,0.533,"JAN 30, 1998",0029700634,LAL vs. MIN,39,5,5,1,26,406,17,21997,0,2,0,W
40,5,6,11,0,0,0.0,21,12,0.571,8,3,0.375,"JAN 28, 1998",0029700620,LAL vs. NJN,35,8,3,-7,27,406,19,21997,2,3,0,L
41,2,5,9,0,0,0.0,19,12,0.632,13,6,0.462,"JAN 24, 1998",0029700596,LAL @ SEA,35,3,3,1,30,406,12,21997,0,3,0,L
42,3,0,8,0,0,0.0,16,10,0.625,12,6,0.5,"JAN 21, 1998",0029700574,LAL @ PHX,34,3,2,12,26,406,11,21997,0,3,0,W
43,3,7,7,0,0,0.0,25,14,0.56,14,7,0.5,"JAN 19, 1998",0029700557,LAL vs. ORL,42,8,5,5,35,406,15,21997,1,4,0,W
44,3,4,10,0,0,0.0,16,8,0.5,16,8,0.5,"JAN 17, 1998",0029700543,LAL vs. MIA,33,4,4,15,24,406,14,21997,1,4,0,W
45,2,1,2,0,0,0.0,20,14,0.7,11,6,0.545,"JAN 14, 1998",0029700521,LAL vs. DEN,32,8,2,23,34,406,10,21997,0,1,0,W
46,2,3,11,0,0,0.0,19,12,0.632,16,8,0.5,"JAN 11, 1998",0029700500,LAL vs. CHH,40,2,3,-1,32,406,13,21997,1,2,0,L
47,2,0,5,0,0,0.0,20,14,0.7,11,4,0.364,"JAN 09, 1998",0029700487,LAL @ LAC,31,2,5,0,32,406,7,21997,1,3,0,W
48,0,3,8,0,0,0.0,19,13,0.684,21,12,0.571,"JAN 07, 1998",0029700472,LAL vs. MIL,35,1,2,12,38,406,9,21997,2,2,0,W
49,5,3,11,0,0,0.0,20,9,0.45,12,7,0.583,"JAN 06, 1998",0029700464,LAL @ VAN,36,3,5,24,25,406,14,21997,1,2,0,W
50,5,0,8,0,0,0.0,19,12,0.632,7,2,0.286,"JAN 04, 1998",0029700450,LAL vs. PHI,31,8,5,2,26,406,16,21997,0,3,0,L
51,2,2,6,0,0,0.0,14,10,0.714,7,2,0.286,"JAN 02, 1998",0029700435,LAL vs. ATL,24,3,2,16,22,406,9,21997,0,0,0,W
52,4,2,10,0,0,0.0,16,11,0.688,5,4,0.8,"NOV 19, 1997",0029700144,LAL vs. MIN,34,2,4,23,26,406,12,21997,1,5,0,W
53,0,4,5,0,0,0.0,10,7,0.7,8,3,0.375,"NOV 18, 1997",0029700135,LAL @ UTA,36,4,3,6,17,406,9,21997,1,3,0,W
54,2,2,3,0,0,0.0,8,5,0.625,8,4,0.5,"NOV 16, 1997",0029700126,LAL vs. VAN,29,2,1,24,14,406,5,21997,1,2,0,W
55,8,3,8,0,0,0.0,18,8,0.444,13,8,0.615,"NOV 14, 1997",0029700108,LAL @ HOU,50,5,3,22,24,406,13,21997,2,3,0,W
56,1,4,10,0,0,0.0,26,13,0.5,15,8,0.533,"NOV 13, 1997",0029700100,LAL @ SAS,43,5,4,7,34,406,15,21997,1,7,0,W
57,2,3,10,0,0,0.0,23,17,0.739,9,3,0.333,"NOV 11, 1997",0029700086,LAL @ DAL,36,2,3,30,37,406,12,21997,0,2,0,W
58,3,2,15,0,0,0.0,17,10,0.588,12,7,0.583,"NOV 09, 1997",0029700076,LAL vs. GSW,29,4,3,34,27,406,19,21997,0,2,0,W
59,4,3,5,0,0,0.0,12,7,0.583,9,3,0.333,"NOV 07, 1997",0029700062,LAL vs. NYK,27,3,6,7,17,406,8,21997,0,2,0,W
