,AST,BLK,DREB,FG3A,FG3M,FG3_PCT,FGA,FGM,FG_PCT,FTA,FTM,FT_PCT,GAME_DATE,Game_ID,MATCHUP,MIN,OREB,PF,PLUS_MINUS,PTS,Player_ID,REB,SEASON_ID,STL,TOV,VIDEO_AVAILABLE,WL
0,2,1,0,2,1,0.5,11,5,0.455,2,2,1.0,"APR 19, 2000",0029901178,TOR @ ORL,21,2,1,-2,13,1713,2,21999,1,1,0,L
1,3,1,3,2,1,0.5,20,5,0.25,7,6,0.857,"APR 18, 2000",0029901167,TOR @ MIA,31,2,2,-8,17,1713,5,21999,1,2,0,L
2,2,4,4,3,1,0.333,16,9,0.563,7,6,0.857,"APR 16, 2000",0029901154,TOR vs. CHI,39,0,3,13,25,1713,4,21999,3,3,0,W
3,6,3,5,5,3,0.6,19,14,0.737,4,3,0.75,"APR 14, 2000",0029901139,TOR vs. NYK,34,0,3,15,34,1713,5,21999,2,2,0,W
4,2,1,4,7,3,0.429,25,12,0.48,4,1,0.25,"APR 12, 2000",0029901127,TOR @ IND,44,0,3,-4,28,1713,4,21999,1,2,0,L
5,10,1,8,3,1,0.333,19,13,0.684,6,4,0.667,"APR 10, 2000",0029901110,TOR vs. CLE,44,3,3,10,31,1713,11,21999,1,2,0,W
6,5,2,3,5,3,0.6,13,7,0.538,2,0,0.0,"APR 08, 2000",0029901093,TOR @ CHI,36,1,4,4,17,1713,4,21999,2,0,0,W
7,9,1,6,2,1,0.5,13,7,0.538,10,8,0.8,"APR 07, 2000",0029901086,TOR @ ATL,43,0,3,24,23,1713,6,21999,2,0,0,W
8,5,1,6,5,3,0.6,15,6,0.4,12,9,0.75,"APR 04, 2000",0029901061,TOR vs. DET,36,0,2,-12,24,1713,6,21999,0,4,0,L
9,1,2,4,5,1,0.2,13,7,0.538,2,2,1.0,"APR 02, 2000",0029901049,TOR vs. IND,29,0,1,-11,17,1713,4,21999,0,3,0,L
10,3,1,4,5,3,0.6,30,12,0.4,6,4,0.667,"MAR 31, 2000",0029901035,TOR @ CHH,42,2,1,-21,31,1713,6,21999,0,3,0,L
11,7,0,2,3,1,0.333,28,14,0.5,15,10,0.667,"MAR 30, 2000",0029901026,TOR @ NJN,44,5,3,1,39,1713,7,21999,0,1,0,L
12,6,2,6,2,0,0.0,17,6,0.353,8,7,0.875,"MAR 28, 2000",0029901014,TOR @ CLE,41,2,4,12,19,1713,8,21999,1,3,0,W
13,4,1,6,3,0,0.0,31,13,0.419,14,12,0.857,"MAR 26, 2000",0029901003,TOR @ MIN,44,1,3,1,38,1713,7,21999,1,1,0,L
14,3,0,0,5,4,0.8,16,4,0.25,6,6,1.0,"MAR 24, 2000",0029900987,TOR vs. CHH,34,0,3,-9,18,1713,0,21999,1,3,0,L
15,3,0,1,5,0,0.0,24,10,0.417,7,6,0.857,"MAR 22, 2000",0029900972,TOR @ PHI,43,1,1,-14,26,1713,2,21999,3,2,0,L
16,3,2,6,8,2,0.25,18,5,0.278,13,11,0.846,"MAR 21, 2000",0029900962,TOR vs. NJN,40,2,5,-6,23,1713,8,21999,1,3,0,L
17,3,0,3,6,3,0.5,28,14,0.5,6,6,1.0,"MAR 19, 2000",0029900951,TOR vs. HOU,43,1,4,-1,37,1713,4,21999,1,2,0,W
18,2,2,4,6,1,0.167,21,10,0.476,13,9,0.692,"MAR 17, 2000",0029900933,TOR vs. ORL,37,2,3,4,30,1713,6,21999,1,2,0,W
19,1,4,3,4,3,0.75,14,7,0.5,6,6,1.0,"MAR 14, 2000",0029900911,TOR vs. GSW,36,0,4,0,23,1713,3,21999,1,1,0,W
20,4,1,5,5,1,0.2,22,11,0.5,12,11,0.917,"MAR 12, 2000",0029900903,TOR @ SEA,41,4,5,10,34,1713,9,21999,0,2,0,W
21,3,1,2,2,0,0.0,23,10,0.435,7,5,0.714,"MAR 10, 2000",0029900888,TOR @ SAC,37,3,4,-15,25,1713,5,21999,0,1,0,L
22,5,0,4,4,2,0.5,21,9,0.429,6,3,0.5,"MAR 08, 2000",0029900872,TOR @ LAC,40,1,2,3,23,1713,5,21999,1,2,0,W
23,5,0,4,5,4,0.8,23,12,0.522,10,7,0.7,"MAR 06, 2000",0029900858,TOR @ POR,46,2,1,18,35,1713,6,21999,3,4,0,W
