,AST,BLK,DREB,FG3A,FG3M,FG3_PCT,FGA,FGM,FG_PCT,FTA,FTM,FT_PCT,GAME_DATE,Game_ID,MATCHUP,MIN,OREB,PF,PLUS_MINUS,PTS,Player_ID,REB,SEASON_ID,STL,TOV,VIDEO_AVAILABLE,WL
0,0,0,2,2,0,0.0,7,2,0.286,2,2,1.0,"APR 18, 2001",0020001186,SAC @ DEN,14,0,1,-4,6,185,2,22000,1,1,0,L
1,2,0,5,0,0,0.0,18,11,0.611,1,1,1.0,"APR 16, 2001",0020001169,SAC vs. VAN,38,2,4,12,23,185,7,22000,3,3,0,W
2,1,1,8,1,0,0.0,24,11,0.458,1,0,0.0,"APR 15, 2001",0020001161,SAC @ PHX,43,1,5,-1,22,185,9,22000,0,5,0,L
3,3,2,11,0,0,0.0,21,11,0.524,4,2,0.5,"APR 13, 2001",0020001144,SAC @ DAL,43,2,5,0,24,185,13,22000,3,1,0,L
4,6,2,10,0,0,0.0,20,11,0.55,8,4,0.5,"APR 12, 2001",0020001135,SAC @ SAS,41,3,6,-2,26,185,13,22000,1,4,0,W
5,5,1,8,0,0,0.0,27,13,0.481,5,5,1.0,"APR 10, 2001",0020001122,SAC vs. LAC,48,3,4,13,31,185,11,22000,1,4,0,W
6,5,0,7,0,0,0.0,24,7,0.292,6,6,1.0,"APR 08, 2001",0020001109,SAC vs. POR,38,1,5,5,20,185,8,22000,3,0,0,W
7,5,2,5,1,0,0.0,23,15,0.652,6,6,1.0,"APR 06, 2001",0020001096,SAC @ VAN,33,1,3,27,36,185,6,22000,0,2,0,W
8,2,0,8,0,0,0.0,20,11,0.55,7,4,0.571,"APR 05, 2001",0020001087,SAC @ UTA,37,0,5,11,26,185,8,22000,4,4,0,W
9,2,0,9,0,0,0.0,29,14,0.483,0,0,0.0,"APR 03, 2001",0020001073,SAC vs. MIL,44,2,3,-1,28,185,11,22000,1,3,0,L
10,5,1,8,0,0,0.0,24,12,0.5,6,3,0.5,"APR 01, 2001",0020001060,SAC vs. DAL,48,2,3,-12,27,185,10,22000,0,1,0,L
11,5,1,0,0,0,0.0,22,9,0.409,5,4,0.8,"MAR 30, 2001",0020001045,SAC vs. MIN,41,4,3,17,22,185,4,22000,2,3,0,W
12,4,0,11,1,0,0.0,23,11,0.478,5,3,0.6,"MAR 28, 2001",0020001028,SAC @ LAL,39,1,4,19,25,185,12,22000,0,1,0,W
13,5,1,13,0,0,0.0,26,16,0.615,12,7,0.583,"MAR 27, 2001",0020001024,SAC vs. NYK,50,2,3,7,39,185,15,22000,3,4,0,W
14,4,2,11,1,0,0.0,26,7,0.269,2,1,0.5,"MAR 25, 2001",0020001010,SAC vs. LAL,47,0,5,-16,15,185,11,22000,1,5,0,L
15,7,1,14,0,0,0.0,23,11,0.478,8,7,0.875,"MAR 22, 2001",0020000989,SAC vs. DET,43,1,2,3,29,185,15,22000,2,6,0,W
16,12,0,9,0,0,0.0,19,11,0.579,7,6,0.857,"MAR 20, 2001",0020000976,SAC vs. HOU,42,1,2,28,28,185,10,22000,6,5,0,W
17,4,1,10,1,0,0.0,30,12,0.4,3,2,0.667,"MAR 18, 2001",0020000960,SAC @ IND,44,5,4,-6,26,185,15,22000,0,2,0,L
18,5,1,10,0,0,0.0,23,11,0.478,4,4,1.0,"MAR 16, 2001",0020000941,SAC @ PHI,41,1,5,21,26,185,11,22000,2,1,0,W
19,1,2,15,0,0,0.0,25,9,0.36,8,8,1.0,"MAR 14, 2001",0020000927,SAC @ MIA,43,2,2,-14,26,185,17,22000,0,1,0,L
20,7,1,12,0,0,0.0,29,14,0.483,6,5,0.833,"MAR 13, 2001",0020000919,SAC @ ORL,48,3,3,11,33,185,15,22000,1,2,0,W
21,8,0,5,0,0,0.0,23,11,0.478,6,4,0.667,"MAR 11, 2001",0020000912,SAC vs. UTA,42,1,3,17,26,185,6,22000,8,1,0,W
22,2,0,10,0,0,0.0,27,16,0.593,10,9,0.9,"MAR 09, 2001",0020000897,SAC vs. DEN,42,2,2,1,41,185,12,22000,1,3,0,W
23,5,1,11,0,0,0.0,30,17,0.567,12,7,0.583,"MAR 07, 2001",0020000883,SAC @ PHX,43,3,2,16,41,185,14,22000,0,4,0,W
24,3,0,9,0,0,0.0,22,7,0.318,7,5,0.714,"MAR 06, 2001",0020000872,SAC vs. TOR,39,4,5,10,19,185,13,22000,1,0,0,W
25,3,1,5,0,0,0.0,23,12,0.522,16,10,0.625,"FEB 13, 2001",0020000719,SAC @ UTA,43,3,1,1,34,185,8,22000,0,2,0,W
26,3,0,0,0,0,0.0,22,10,0.455,4,2,0.5,"FEB 07, 2001",0020000701,SAC @ MIN,31,5,2,-35,22,185,5,22000,0,2,0,L
27,8,1,10,1,1,1.0,26,14,0.538,10,10,1.0,"FEB 06, 2001",0020000694,SAC @ MIL,42,1,5,3,39,185,11,22000,0,6,0,L
28,9,0,4,2,0,0.0,32,12,0.375,3,1,0.333,"FEB 04, 2001",0020000682,SAC @ LAL,48,1,5,-6,25,185,5,22000,4,4,0,L
29,4,2,11,1,1,1.0,23,15,0.652,11,10,0.909,"FEB 02, 2001",0020000667,SAC vs. VAN,39,4,2,15,41,185,15,22000,1,2,0,W
30,4,3,10,0,0,0.0,23,13,0.565,3,2,0.667,"JAN 30, 2001",0020000643,SAC vs. GSW,33,2,0,27,28,185,12,22000,4,0,0,W
31,5,1,7,0,0,0.0,21,15,0.714,6,3,0.5,"JAN 27, 2001",0020000627,SAC @ LAC,41,4,4,9,33,185,11,22000,0,2,0,W
32,2,0,6,1,0,0.0,25,8,0.32,12,7,0.583,"JAN 25, 2001",0020000611,SAC vs. SAS,39,5,3,-14,23,185,11,22000,0,3,0,L
33,10,0,8,0,0,0.0,16,11,0.688,4,3,0.75,"JAN 23, 2001",0020000598,SAC vs. NJN,34,1,2,22,25,185,9,22000,0,1,0,W
34,1,5,10,1,0,0.0,27,10,0.37,10,5,0.5,"JAN 21, 2001",0020000585,SAC @ SEA,39,8,4,-2,25,185,18,22000,1,4,0,L
35,6,1,6,1,0,0.0,28,15,0.536,8,4,0.5,"JAN 20, 2001",0020000577,SAC @ POR,47,4,1,7,34,185,10,22000,4,6,0,W
36,4,5,5,1,0,0.0,21,14,0.667,4,2,0.5,"JAN 17, 2001",0020000557,SAC vs. BOS,38,4,4,6,30,185,9,22000,2,4,0,W
37,5,2,11,1,0,0.0,29,16,0.552,2,2,1.0,"JAN 15, 2001",0020000542,SAC @ DAL,39,1,5,20,34,185,12,22000,0,5,0,W
38,5,2,10,0,0,0.0,27,8,0.296,18,15,0.833,"JAN 13, 2001",0020000528,SAC @ HOU,45,4,4,-2,31,185,14,22000,2,5,0,W
39,4,1,11,1,0,0.0,23,10,0.435,6,4,0.667,"JAN 12, 2001",0020000518,SAC @ DEN,42,3,3,-13,24,185,14,22000,0,2,0,L
40,5,4,8,0,0,0.0,30,13,0.433,7,4,0.571,"JAN 10, 2001",0020000506,SAC vs. CLE,45,6,1,6,30,185,14,22000,1,5,0,W
41,5,3,8,0,0,0.0,22,10,0.455,2,1,0.5,"JAN 08, 2001",0020000491,SAC vs. MIN,44,1,1,-2,21,185,9,22000,0,2,0,W
42,5,2,16,1,0,0.0,47,24,0.511,6,3,0.5,"JAN 05, 2001",0020000471,SAC vs. IND,50,10,4,-1,51,185,26,22000,3,4,0,L
43,3,0,0,0,0,0.0,4,1,0.25,0,0,0.0,"JAN 02, 2001",0020000449,SAC vs. PHX,7,0,0,1,2,185,0,22000,0,0,0,W
44,4,3,6,0,0,0.0,29,13,0.448,6,3,0.5,"DEC 30, 2000",0020000435,SAC vs. PHI,49,4,1,-3,29,185,10,22000,1,2,0,L
45,4,2,9,1,0,0.0,20,10,0.5,6,4,0.667,"DEC 28, 2000",0020000421,SAC vs. CHH,44,1,1,2,24,185,10,22000,1,2,0,W
46,3,6,10,0,0,0.0,20,7,0.35,13,9,0.692,"DEC 23, 2000",0020000394,SAC vs. SEA,44,1,3,2,23,185,11,22000,0,1,0,W
47,5,1,10,0,0,0.0,32,14,0.438,6,5,0.833,"DEC 22, 2000",0020000383,SAC @ VAN,43,2,5,5,33,185,12,22000,0,1,0,W
48,5,3,9,0,0,0.0,23,7,0.304,10,6,0.6,"DEC 20, 2000",0020000368,SAC @ SEA,45,4,2,-5,20,185,13,22000,0,4,0,L
49,3,3,8,2,0,0.0,22,8,0.364,4,3,0.75,"DEC 19, 2000",0020000359,SAC vs. WAS,32,3,2,18,19,185,11,22000,0,1,0,W
