,AST,BLK,DREB,FG3A,FG3M,FG3_PCT,FGA,FGM,FG_PCT,FTA,FTM,FT_PCT,GAME_DATE,Game_ID,MATCHUP,MIN,OREB,PF,PLUS_MINUS,PTS,Player_ID,REB,SEASON_ID,STL,TOV,VIDEO_AVAILABLE,WL
0,6,0,4,3,0,0.0,21,6,0.286,12,10,0.833,"APR 18, 2001",0020001180,DET @ NYK,40,1,1,3,22,711,5,22000,4,5,0,L
1,7,1,4,10,1,0.1,25,7,0.28,7,7,1.0,"APR 17, 2001",0020001173,DET @ TOR,46,0,2,-8,22,711,4,22000,0,8,0,L
2,6,0,2,5,2,0.4,26,10,0.385,12,12,1.0,"APR 15, 2001",0020001158,DET vs. CHH,40,3,3,3,34,711,5,22000,1,4,0,L
3,3,0,0,7,3,0.429,26,12,0.462,12,10,0.833,"APR 14, 2001",0020001149,DET @ ATL,45,3,0,5,37,711,3,22000,0,5,0,W
4,6,2,0,13,4,0.308,32,11,0.344,9,9,1.0,"APR 11, 2001",0020001128,DET vs. TOR,45,2,0,12,35,711,2,22000,0,3,0,W
5,11,0,8,9,4,0.444,20,10,0.5,5,4,0.8,"APR 09, 2001",0020001113,DET vs. ATL,40,4,2,12,28,711,12,22000,2,9,0,W
6,6,1,5,5,1,0.2,30,11,0.367,7,7,1.0,"APR 07, 2001",0020001098,DET @ CHH,43,0,2,-1,30,711,5,22000,1,2,0,W
7,4,0,1,4,1,0.25,19,5,0.263,4,3,0.75,"APR 04, 2001",0020001078,DET vs. PHI,27,0,3,-13,14,711,1,22000,0,4,0,L
8,5,0,4,11,4,0.364,36,21,0.583,13,11,0.846,"APR 03, 2001",0020001068,DET @ CHI,42,0,2,34,57,711,4,22000,1,4,0,W
9,6,0,1,7,2,0.286,21,11,0.524,12,8,0.667,"APR 01, 2001",0020001057,DET vs. GSW,40,1,0,33,32,711,2,22000,2,4,0,W
