,AST,BLK,DREB,FG3A,FG3M,FG3_PCT,FGA,FGM,FG_PCT,FTA,FTM,FT_PCT,GAME_DATE,Game_ID,MATCHUP,MIN,OREB,PF,PLUS_MINUS,PTS,Player_ID,REB,SEASON_ID,STL,TOV,VIDEO_AVAILABLE,WL
0,6,7,14,0,0,0.0,18,9,0.5,11,8,0.727,"APR 17, 2002",0020101184,SAS @ UTA,43,2,4,9,26,1495,16,22001,0,2,0,W
1,4,3,7,0,0,0.0,16,11,0.688,3,2,0.667,"APR 16, 2002",0020101172,SAS vs. PHX,29,4,0,31,24,1495,11,22001,0,2,0,W
2,7,4,13,1,1,1.0,17,12,0.706,5,5,1.0,"APR 13, 2002",0020101148,SAS @ MEM,31,1,3,26,30,1495,14,22001,2,2,0,W
3,4,2,6,0,0,0.0,25,14,0.56,6,4,0.667,"APR 12, 2002",0020101142,SAS @ DET,39,5,2,7,32,1495,11,22001,2,6,0,W
4,2,1,10,0,0,0.0,9,5,0.556,10,6,0.6,"APR 10, 2002",0020101129,SAS vs. DEN,30,1,0,16,16,1495,11,22001,0,3,0,W
5,6,2,7,1,0,0.0,14,8,0.571,10,8,0.8,"APR 08, 2002",0020101109,SAS vs. POR,40,1,4,8,24,1495,8,22001,1,3,0,W
6,5,3,11,0,0,0.0,20,10,0.5,18,13,0.722,"APR 06, 2002",0020101093,SAS vs. DAL,44,5,1,1,33,1495,16,22001,3,3,0,W
7,5,1,6,0,0,0.0,14,8,0.571,6,6,1.0,"APR 04, 2002",0020101079,SAS @ HOU,34,5,3,16,22,1495,11,22001,0,1,0,W
8,9,2,11,0,0,0.0,26,12,0.462,9,6,0.667,"APR 03, 2002",0020101074,SAS vs. SEA,46,7,2,9,30,1495,18,22001,2,6,0,W
9,8,3,10,0,0,0.0,28,11,0.393,4,4,1.0,"MAR 31, 2002",0020101055,SAS @ LAL,44,1,3,-2,26,1495,11,22001,0,4,0,L
10,4,5,14,0,0,0.0,19,9,0.474,7,7,1.0,"MAR 29, 2002",0020101039,SAS @ SEA,47,2,2,-1,25,1495,16,22001,0,5,0,L
11,3,3,8,0,0,0.0,20,14,0.7,10,6,0.6,"MAR 27, 2002",0020101024,SAS @ POR,42,3,4,-10,34,1495,11,22001,1,7,0,L
12,5,0,9,0,0,0.0,25,13,0.52,10,7,0.7,"MAR 25, 2002",0020101007,SAS @ LAC,43,4,3,7,33,1495,13,22001,0,3,0,W
13,0,1,11,0,0,0.0,14,9,0.643,7,5,0.714,"MAR 23, 2002",0020100990,SAS vs. MIA,42,0,2,12,23,1495,11,22001,1,0,0,W
14,5,2,11,0,0,0.0,21,12,0.571,10,8,0.8,"MAR 21, 2002",0020100974,SAS @ DAL,45,3,4,3,32,1495,14,22001,1,2,0,W
15,0,0,8,0,0,0.0,20,10,0.5,7,5,0.714,"MAR 20, 2002",0020100970,SAS vs. LAL,30,1,3,25,25,1495,9,22001,1,0,0,W
16,1,1,8,0,0,0.0,19,12,0.632,17,13,0.765,"MAR 16, 2002",0020100940,SAS vs. BOS,45,2,3,1,37,1495,10,22001,2,4,0,W
17,4,4,11,0,0,0.0,14,6,0.429,13,12,0.923,"MAR 14, 2002",0020100924,SAS vs. CHI,40,3,4,15,24,1495,14,22001,1,4,0,W
18,3,1,11,0,0,0.0,19,9,0.474,6,5,0.833,"MAR 12, 2002",0020100913,SAS vs. MEM,35,2,3,-8,23,1495,13,22001,1,2,0,W
19,3,2,7,0,0,0.0,10,9,0.9,4,3,0.75,"MAR 11, 2002",0020100906,SAS @ DEN,35,2,3,3,21,1495,9,22001,1,2,0,W
20,7,0,9,0,0,0.0,13,6,0.462,12,10,0.833,"MAR 09, 2002",0020100888,SAS @ CHI,33,2,1,27,22,1495,11,22001,0,4,0,W
21,5,2,10,0,0,0.0,17,12,0.706,9,6,0.667,"MAR 07, 2002",0020100871,SAS vs. HOU,39,6,4,9,30,1495,16,22001,0,1,0,W
22,3,1,5,0,0,0.0,21,11,0.524,2,1,0.5,"MAR 05, 2002",0020100859,SAS vs. GSW,35,2,2,17,23,1495,7,22001,0,1,0,W
23,1,1,10,0,0,0.0,18,11,0.611,3,3,1.0,"MAR 03, 2002",0020100838,SAS @ NYK,37,2,1,14,25,1495,12,22001,0,2,0,W
24,4,3,8,0,0,0.0,24,11,0.458,6,3,0.5,"MAR 01, 2002",0020100827,SAS @ MIN,42,3,1,11,25,1495,11,22001,1,2,0,W
25,6,0,9,1,0,0.0,20,12,0.6,13,11,0.846,"FEB 28, 2002",0020100818,SAS @ CLE,52,3,5,1,35,1495,12,22001,0,2,0,L
26,2,0,12,0,0,0.0,20,9,0.45,12,11,0.917,"FEB 26, 2002",0020100807,SAS vs. PHX,39,3,1,12,29,1495,15,22001,0,3,0,W
27,5,1,12,1,0,0.0,20,10,0.5,4,1,0.25,"FEB 24, 2002",0020100796,SAS @ PHX,48,1,2,-9,21,1495,13,22001,1,2,0,L
28,5,1,4,0,0,0.0,20,10,0.5,6,5,0.833,"FEB 23, 2002",0020100788,SAS vs. MIN,39,2,2,-16,25,1495,6,22001,0,3,0,L
29,6,1,10,0,0,0.0,12,4,0.333,1,1,1.0,"FEB 21, 2002",0020100773,SAS vs. SAC,30,3,3,32,9,1495,13,22001,1,6,0,W
30,5,6,11,0,0,0.0,14,6,0.429,12,11,0.917,"FEB 19, 2002",0020100755,SAS vs. MEM,47,1,3,2,23,1495,12,22001,1,5,0,W
31,8,0,7,0,0,0.0,24,12,0.5,14,12,0.857,"FEB 15, 2002",0020100731,SAS @ GSW,43,4,2,8,36,1495,11,22001,1,4,0,W
32,2,3,7,0,0,0.0,13,5,0.385,7,5,0.714,"FEB 14, 2002",0020100721,SAS @ LAC,38,4,2,16,15,1495,11,22001,0,4,0,W
