,AST,BLK,DREB,FG3A,FG3M,FG3_PCT,FGA,FGM,FG_PCT,FTA,FTM,FT_PCT,GAME_DATE,Game_ID,MATCHUP,MIN,OREB,PF,PLUS_MINUS,PTS,Player_ID,REB,SEASON_ID,STL,TOV,VIDEO_AVAILABLE,WL
0,2,0,5,1,0,0.0,11,5,0.455,3,2,0.667,"APR 16, 2003",0020201177,BOS vs. DET,22,0,3,11,12,1718,5,22002,0,1,0,W
1,5,0,8,4,2,0.5,22,10,0.455,12,10,0.833,"APR 13, 2003",0020201162,BOS @ MIA,40,1,2,11,32,1718,9,22002,1,3,0,W
2,4,0,6,4,0,0.0,17,7,0.412,15,11,0.733,"APR 12, 2003",0020201151,BOS @ ORL,40,3,5,-8,25,1718,9,22002,1,5,0,L
3,5,0,10,4,0,0.0,22,8,0.364,8,8,1.0,"APR 10, 2003",0020201135,BOS vs. PHI,40,1,3,-17,24,1718,11,22002,0,3,0,L
4,6,0,3,4,0,0.0,19,5,0.263,10,10,1.0,"APR 09, 2003",0020201125,BOS @ WAS,42,1,3,1,20,1718,4,22002,2,5,0,W
5,6,1,9,9,5,0.556,22,10,0.455,12,11,0.917,"APR 06, 2003",0020201104,BOS vs. WAS,50,0,3,4,36,1718,9,22002,2,3,0,L
6,4,0,5,8,3,0.375,23,12,0.522,18,13,0.722,"APR 04, 2003",0020201091,BOS vs. SAC,46,0,0,-2,40,1718,5,22002,2,7,0,L
7,5,1,6,7,3,0.429,19,11,0.579,6,3,0.5,"APR 02, 2003",0020201075,BOS vs. MIA,32,1,3,29,28,1718,7,22002,4,2,0,W
8,9,1,5,4,2,0.5,26,11,0.423,17,10,0.588,"MAR 29, 2003",0020201050,BOS @ CLE,44,4,2,3,34,1718,9,22002,2,4,0,W
9,5,0,6,4,3,0.75,21,10,0.476,8,4,0.5,"MAR 28, 2003",0020201040,BOS vs. CLE,45,3,3,15,27,1718,9,22002,2,3,0,W
10,3,1,3,7,3,0.429,20,9,0.45,6,4,0.667,"MAR 26, 2003",0020201021,BOS vs. GSW,39,1,5,-13,25,1718,4,22002,2,4,0,L
11,5,0,8,4,1,0.25,12,4,0.333,17,15,0.882,"MAR 24, 2003",0020201013,BOS @ UTA,37,0,4,-8,24,1718,8,22002,1,2,0,L
12,3,1,5,5,3,0.6,25,8,0.32,12,12,1.0,"MAR 22, 2003",0020201001,BOS @ DEN,43,1,6,-7,31,1718,6,22002,2,9,0,L
13,0,0,5,5,1,0.2,18,7,0.389,8,6,0.75,"MAR 21, 2003",0020200993,BOS @ LAL,32,0,5,-14,21,1718,5,22002,0,3,0,L
14,3,2,2,5,1,0.2,14,4,0.286,6,5,0.833,"MAR 19, 2003",0020200973,BOS @ IND,33,2,1,-22,14,1718,4,22002,0,1,0,L
15,5,1,2,4,0,0.0,19,8,0.421,8,7,0.875,"MAR 18, 2003",0020200961,BOS vs. NJN,34,1,2,-19,23,1718,3,22002,2,4,0,L
16,4,2,7,2,0,0.0,25,11,0.44,14,11,0.786,"MAR 15, 2003",0020200945,BOS @ DET,43,2,2,7,33,1718,9,22002,2,3,0,W
17,4,3,8,5,2,0.4,19,7,0.368,8,6,0.75,"MAR 13, 2003",0020200930,BOS @ NJN,39,1,5,-7,22,1718,9,22002,1,5,0,L
18,5,2,4,5,1,0.2,15,7,0.467,8,6,0.75,"MAR 12, 2003",0020200921,BOS vs. NOH,30,1,3,27,21,1718,5,22002,0,2,0,W
19,3,1,3,2,0,0.0,13,5,0.385,1,0,0.0,"MAR 09, 2003",0020200902,BOS vs. SAS,26,1,3,-11,10,1718,4,22002,3,7,0,L
20,6,0,7,3,1,0.333,14,7,0.5,12,9,0.75,"MAR 05, 2003",0020200871,BOS vs. NYK,35,1,4,4,24,1718,8,22002,2,3,0,W
21,3,0,11,5,3,0.6,19,12,0.632,6,4,0.667,"MAR 03, 2003",0020200859,BOS @ MEM,38,2,1,12,31,1718,13,22002,1,4,0,W
22,2,0,3,0,0,0.0,13,5,0.385,9,6,0.667,"FEB 26, 2003",0020200821,BOS vs. IND,34,1,4,-8,16,1718,4,22002,2,5,0,W
23,4,1,6,5,1,0.2,18,7,0.389,9,7,0.778,"FEB 24, 2003",0020200807,BOS vs. HOU,42,0,2,-7,22,1718,6,22002,2,4,0,L
