,AST,BLK,DREB,FG3A,FG3M,FG3_PCT,FGA,FGM,FG_PCT,FTA,FTM,FT_PCT,GAME_DATE,Game_ID,MATCHUP,MIN,OREB,PF,PLUS_MINUS,PTS,Player_ID,REB,SEASON_ID,STL,TOV,VIDEO_AVAILABLE,WL
0,4,0,1,5,3,0.6,17,7,0.412,1,1,1.0,"MAR 24, 2004",0020301026,ORL vs. MIA,40,0,3,-12,18,1503,1,22003,0,1,0,L
1,10,0,7,5,2,0.4,14,5,0.357,8,6,0.75,"MAR 17, 2004",0020300982,ORL @ GSW,39,0,1,-23,18,1503,7,22003,0,1,0,L
2,10,2,5,13,4,0.308,32,13,0.406,12,7,0.583,"MAR 15, 2004",0020300966,ORL @ LAL,48,2,5,1,37,1503,7,22003,0,2,0,L
3,3,1,4,10,3,0.3,29,12,0.414,13,13,1.0,"MAR 13, 2004",0020300950,ORL vs. SEA,41,2,1,-10,40,1503,6,22003,5,1,0,L
4,5,0,7,14,5,0.357,37,20,0.541,26,17,0.654,"MAR 10, 2004",0020300927,ORL vs. WAS,46,3,1,10,62,1503,10,22003,1,6,0,W
5,8,0,5,7,2,0.286,21,10,0.476,6,4,0.667,"MAR 09, 2004",0020300920,ORL @ MIA,39,0,3,-15,26,1503,5,22003,2,4,0,L
6,2,0,3,3,1,0.333,15,4,0.267,6,4,0.667,"MAR 07, 2004",0020300907,ORL vs. SAC,35,3,3,-27,13,1503,6,22003,2,1,0,L
7,7,1,0,8,4,0.5,23,10,0.435,7,4,0.571,"MAR 05, 2004",0020300887,ORL vs. ATL,43,1,2,2,28,1503,1,22003,2,1,0,W
8,4,0,6,15,5,0.333,27,11,0.407,5,4,0.8,"MAR 03, 2004",0020300875,ORL vs. MIL,37,2,1,-7,31,1503,8,22003,1,2,0,L
9,4,0,4,8,2,0.25,28,11,0.393,8,5,0.625,"MAR 01, 2004",0020300863,ORL @ BOS,33,4,2,-28,29,1503,8,22003,2,2,0,L
10,4,0,8,12,3,0.25,25,11,0.44,6,5,0.833,"FEB 28, 2004",0020300849,ORL @ ATL,41,4,3,-2,30,1503,12,22003,4,2,0,W
11,8,0,3,12,3,0.25,32,11,0.344,13,10,0.769,"FEB 27, 2004",0020300838,ORL vs. CLE,46,1,3,-3,35,1503,4,22003,3,1,0,L
12,2,0,4,14,2,0.143,32,11,0.344,8,7,0.875,"FEB 24, 2004",0020300815,ORL vs. POR,49,1,4,1,31,1503,5,22003,1,1,0,L
13,8,0,5,7,1,0.143,20,3,0.15,13,12,0.923,"FEB 22, 2004",0020300807,ORL @ DET,46,0,1,5,19,1503,5,22003,3,5,0,W
14,2,0,2,5,2,0.4,14,5,0.357,4,3,0.75,"FEB 20, 2004",0020300785,ORL vs. DEN,20,2,2,-6,15,1503,4,22003,1,0,0,W
15,5,0,6,7,3,0.429,31,13,0.419,15,14,0.933,"FEB 18, 2004",0020300773,ORL vs. UTA,44,2,2,17,43,1503,8,22003,0,1,0,W
16,3,1,6,9,3,0.333,31,15,0.484,11,8,0.727,"FEB 17, 2004",0020300765,ORL @ MIL,36,2,1,-36,41,1503,8,22003,1,5,0,L
17,6,0,1,5,0,0.0,25,10,0.4,6,4,0.667,"FEB 11, 2004",0020300751,ORL vs. MIA,46,1,1,-9,24,1503,2,22003,1,3,0,L
18,6,1,4,9,5,0.556,25,13,0.52,7,4,0.571,"FEB 08, 2004",0020300729,ORL vs. LAL,45,2,2,-2,35,1503,6,22003,1,4,0,L
19,6,0,3,9,3,0.333,31,12,0.387,7,7,1.0,"FEB 03, 2004",0020300695,ORL @ MIN,39,2,3,-19,34,1503,5,22003,0,3,0,L
20,4,1,4,6,1,0.167,20,6,0.3,10,9,0.9,"JAN 29, 2004",0020300657,ORL vs. NJN,42,2,2,-15,22,1503,6,22003,1,4,0,L
21,5,0,7,8,2,0.25,31,15,0.484,8,7,0.875,"JAN 28, 2004",0020300646,ORL @ WAS,44,2,2,-3,39,1503,9,22003,1,1,0,W
22,2,0,1,10,8,0.8,19,11,0.579,8,6,0.75,"JAN 26, 2004",0020300635,ORL @ CLE,25,0,2,11,36,1503,1,22003,0,1,0,L
23,2,0,1,9,5,0.556,22,10,0.455,7,6,0.857,"JAN 25, 2004",0020300631,ORL vs. HOU,38,1,0,-3,31,1503,2,22003,0,0,0,L
24,6,1,9,11,3,0.273,29,13,0.448,4,4,1.0,"JAN 23, 2004",0020300608,ORL @ PHI,41,1,1,7,33,1503,10,22003,3,2,0,W
25,6,1,3,7,1,0.143,22,8,0.364,3,3,1.0,"JAN 21, 2004",0020300599,ORL @ MIL,42,0,2,-5,20,1503,3,22003,2,2,0,L
26,4,0,3,9,3,0.333,25,10,0.4,13,11,0.846,"JAN 19, 2004",0020300583,ORL vs. MIL,42,0,4,0,34,1503,3,22003,3,2,0,W
27,6,2,3,11,4,0.364,21,10,0.476,10,9,0.9,"JAN 17, 2004",0020300570,ORL @ NOH,41,1,0,5,33,1503,4,22003,1,2,0,L
28,6,0,5,13,5,0.385,31,16,0.516,8,7,0.875,"JAN 16, 2004",0020300557,ORL vs. BOS,45,1,1,0,44,1503,6,22003,3,2,0,W
29,9,0,5,7,2,0.286,27,10,0.37,8,6,0.75,"JAN 14, 2004",0020300545,ORL @ NYK,42,2,0,-4,28,1503,7,22003,1,4,0,L
30,3,0,9,9,0,0.0,30,13,0.433,7,6,0.857,"JAN 12, 2004",0020300530,ORL vs. PHI,42,1,1,-3,32,1503,10,22003,2,4,0,L
31,7,1,3,8,3,0.375,29,12,0.414,8,8,1.0,"JAN 09, 2004",0020300506,ORL vs. WAS,41,3,2,4,35,1503,6,22003,1,5,0,W
32,4,0,1,11,4,0.364,29,11,0.379,5,2,0.4,"JAN 07, 2004",0020300492,ORL @ BOS,41,2,1,-8,28,1503,3,22003,2,2,0,L
33,4,2,0,11,8,0.727,27,14,0.519,10,7,0.7,"JAN 06, 2004",0020300486,ORL @ IND,40,0,2,-7,43,1503,0,22003,2,4,0,L
34,6,1,4,5,3,0.6,21,11,0.524,13,9,0.692,"JAN 03, 2004",0020300467,ORL @ MEM,38,2,2,-4,34,1503,6,22003,3,1,0,L
