,AST,BLK,DREB,FG3A,FG3M,FG3_PCT,FGA,FGM,FG_PCT,FTA,FTM,FT_PCT,GAME_DATE,Game_ID,MATCHUP,MIN,OREB,PF,PLUS_MINUS,PTS,Player_ID,REB,SEASON_ID,STL,TOV,VIDEO_AVAILABLE,WL
0,2,0,7,8,3,0.375,18,9,0.5,4,4,1.0,"APR 20, 2005",0020401222,WAS @ NYK,27,1,2,1,25,2240,8,22004,1,0,0,L
1,6,1,5,5,2,0.4,7,2,0.286,2,2,1.0,"APR 19, 2005",0020401210,WAS @ NJN,31,1,3,-21,8,2240,6,22004,1,5,0,L
2,4,0,7,10,3,0.3,21,10,0.476,6,4,0.667,"APR 17, 2005",0020401192,WAS vs. CHA,42,1,2,10,27,2240,8,22004,1,1,0,W
3,9,1,4,3,2,0.667,16,12,0.75,8,7,0.875,"APR 15, 2005",0020401174,WAS vs. CLE,46,0,1,8,33,2240,4,22004,0,3,0,W
4,3,1,7,7,3,0.429,20,8,0.4,4,2,0.5,"APR 13, 2005",0020401160,WAS vs. CHI,46,0,3,16,21,2240,7,22004,1,4,0,W
5,13,1,2,4,1,0.25,9,2,0.222,3,3,1.0,"APR 11, 2005",0020401147,WAS vs. MIL,43,0,2,5,8,2240,2,22004,0,4,0,W
6,3,1,4,14,6,0.429,24,13,0.542,15,12,0.8,"APR 09, 2005",0020401132,WAS vs. PHI,47,0,2,-4,44,2240,4,22004,0,1,0,L
7,2,1,3,4,2,0.5,17,5,0.294,2,2,1.0,"APR 08, 2005",0020401123,WAS @ IND,41,0,4,-7,14,2240,3,22004,0,5,0,L
8,5,0,2,6,2,0.333,18,8,0.444,2,1,0.5,"APR 06, 2005",0020401111,WAS @ DET,40,2,3,-17,19,2240,4,22004,2,2,0,L
9,4,1,7,10,4,0.4,21,9,0.429,25,21,0.84,"APR 05, 2005",0020401094,WAS vs. BOS,48,2,1,-8,43,2240,9,22004,1,3,0,L
10,4,0,6,6,1,0.167,18,8,0.444,5,5,1.0,"APR 03, 2005",0020401084,WAS vs. IND,41,1,5,3,22,2240,7,22004,1,2,0,L
11,4,0,3,7,3,0.429,16,8,0.5,13,12,0.923,"APR 01, 2005",0020401068,WAS @ ORL,38,1,4,4,31,2240,4,22004,0,6,0,W
12,2,0,4,7,3,0.429,17,11,0.647,13,11,0.846,"MAR 30, 2005",0020401053,WAS vs. ATL,39,0,3,9,36,2240,4,22004,3,6,0,W
13,2,0,2,4,1,0.25,17,11,0.647,5,5,1.0,"MAR 28, 2005",0020401046,WAS @ POR,37,4,4,1,28,2240,6,22004,2,3,0,W
14,9,0,5,9,4,0.444,19,7,0.368,0,0,0.0,"MAR 27, 2005",0020401036,WAS @ SEA,47,2,5,0,18,2240,7,22004,0,4,0,W
15,4,1,4,15,4,0.267,28,11,0.393,10,7,0.7,"MAR 25, 2005",0020401019,WAS @ LAC,48,3,3,-4,33,2240,7,22004,2,3,0,L
16,6,0,1,6,3,0.5,23,10,0.435,7,6,0.857,"MAR 24, 2005",0020401010,WAS @ UTA,48,2,4,1,29,2240,3,22004,0,2,0,W
17,3,0,4,6,3,0.5,19,7,0.368,11,8,0.727,"MAR 22, 2005",0020400993,WAS @ DEN,39,1,4,-22,25,2240,5,22004,0,2,0,L
18,5,0,5,5,2,0.4,16,5,0.313,12,10,0.833,"MAR 19, 2005",0020400971,WAS vs. UTA,41,3,4,-2,22,2240,8,22004,2,7,0,W
19,7,1,7,12,3,0.25,35,12,0.343,0,0,0.0,"MAR 18, 2005",0020400964,WAS @ MIL,46,3,3,-5,27,2240,10,22004,3,0,0,L
20,4,0,3,6,4,0.667,15,9,0.6,10,7,0.7,"MAR 16, 2005",0020400946,WAS @ ATL,40,1,3,27,29,2240,4,22004,4,2,0,W
21,5,0,1,6,2,0.333,17,6,0.353,8,7,0.875,"MAR 14, 2005",0020400930,WAS vs. LAL,40,1,2,17,21,2240,2,22004,1,2,0,W
22,6,0,2,7,1,0.143,22,7,0.318,13,10,0.769,"MAR 13, 2005",0020400923,WAS @ BOS,47,0,2,-9,25,2240,2,22004,1,2,0,L
23,2,0,6,8,2,0.25,24,8,0.333,7,5,0.714,"MAR 08, 2005",0020400888,WAS @ NYK,43,2,1,-14,23,2240,8,22004,1,3,0,L
24,1,0,3,7,1,0.143,18,5,0.278,10,10,1.0,"MAR 05, 2005",0020400867,WAS @ CHA,47,1,3,2,21,2240,4,22004,0,2,0,W
25,8,0,2,8,3,0.375,18,7,0.389,8,6,0.75,"MAR 04, 2005",0020400855,WAS vs. GSW,41,1,2,-12,23,2240,3,22004,4,8,0,L
26,5,2,5,8,2,0.25,20,9,0.45,16,13,0.813,"MAR 02, 2005",0020400842,WAS vs. HOU,43,3,4,11,33,2240,8,22004,2,6,0,W
27,3,0,6,11,7,0.636,32,16,0.5,7,4,0.571,"FEB 27, 2005",0020400823,WAS vs. SAC,47,1,4,-1,43,2240,7,22004,2,3,0,L
28,7,2,4,7,0,0.0,33,15,0.455,8,6,0.75,"FEB 25, 2005",0020400807,WAS @ CHI,44,1,2,-4,36,2240,5,22004,3,5,0,L
29,6,0,9,3,1,0.333,20,8,0.4,13,13,1.0,"FEB 23, 2005",0020400790,WAS vs. MEM,40,1,4,14,30,2240,10,22004,2,2,0,W
30,9,1,3,8,2,0.25,14,3,0.214,3,3,1.0,"FEB 15, 2005",0020400766,WAS @ HOU,39,1,1,-19,11,2240,4,22004,4,2,0,L
31,6,1,3,12,2,0.167,29,12,0.414,9,8,0.889,"FEB 14, 2005",0020400760,WAS @ NOK,48,1,2,-2,34,2240,4,22004,4,2,0,L
32,5,1,1,5,3,0.6,20,9,0.45,6,3,0.5,"FEB 12, 2005",0020400743,WAS @ DET,35,0,3,-21,24,2240,1,22004,2,2,0,L
33,9,0,2,10,5,0.5,20,11,0.55,9,8,0.889,"FEB 11, 2005",0020400731,WAS vs. LAC,45,0,2,7,35,2240,2,22004,5,2,0,W
34,4,0,4,4,2,0.5,28,9,0.321,6,4,0.667,"FEB 09, 2005",0020400720,WAS vs. SAS,44,2,2,11,24,2240,6,22004,3,4,0,W
35,6,1,7,5,3,0.6,28,15,0.536,13,10,0.769,"FEB 07, 2005",0020400703,WAS vs. IND,45,2,3,2,43,2240,9,22004,1,4,0,W
36,9,1,5,5,3,0.6,17,10,0.588,11,8,0.727,"FEB 05, 2005",0020400690,WAS vs. MIL,39,1,4,19,31,2240,6,22004,6,3,0,W
37,4,0,0,5,3,0.6,13,8,0.615,2,2,1.0,"FEB 04, 2005",0020400680,WAS @ TOR,28,0,1,12,21,2240,0,22004,0,4,0,L
38,8,0,5,11,3,0.273,21,8,0.381,4,2,0.5,"FEB 01, 2005",0020400659,WAS vs. DET,43,1,4,-5,21,2240,6,22004,1,2,0,L
39,6,0,8,8,4,0.5,22,10,0.455,13,13,1.0,"JAN 29, 2005",0020400639,WAS vs. ORL,48,0,4,-6,37,2240,8,22004,3,1,0,L
40,8,0,3,6,1,0.167,22,8,0.364,18,13,0.722,"JAN 28, 2005",0020400629,WAS @ ORL,43,1,3,4,30,2240,4,22004,4,1,0,L
41,9,0,4,11,4,0.364,26,11,0.423,8,7,0.875,"JAN 26, 2005",0020400614,WAS vs. PHI,44,2,2,3,33,2240,6,22004,3,5,0,W
42,1,1,3,8,3,0.375,18,7,0.389,16,13,0.813,"JAN 24, 2005",0020400599,WAS @ CLE,48,1,4,9,30,2240,4,22004,1,4,0,W
43,6,0,2,8,3,0.375,26,12,0.462,10,6,0.6,"JAN 22, 2005",0020400587,WAS @ IND,44,0,2,2,33,2240,2,22004,1,3,0,W
44,8,0,2,6,0,0.0,14,3,0.214,20,17,0.85,"JAN 21, 2005",0020400573,WAS vs. TOR,44,0,3,1,23,2240,2,22004,0,4,0,W
45,3,0,2,10,6,0.6,23,11,0.478,18,15,0.833,"JAN 18, 2005",0020400557,WAS @ DAL,42,1,6,-18,43,2240,3,22004,2,2,0,L
46,2,0,1,4,0,0.0,12,0,0.0,4,3,0.75,"JAN 17, 2005",0020400550,WAS @ SAS,34,1,2,-27,3,2240,2,22004,0,2,0,L
47,7,1,6,9,2,0.222,23,6,0.261,14,12,0.857,"JAN 15, 2005",0020400531,WAS vs. PHO,43,1,0,4,26,2240,7,22004,2,2,0,W
48,2,0,6,11,2,0.182,19,6,0.316,8,6,0.75,"JAN 14, 2005",0020400526,WAS @ MIL,42,1,3,4,20,2240,7,22004,1,4,0,W
49,5,0,3,8,4,0.5,16,11,0.688,3,0,0.0,"JAN 12, 2005",0020400506,WAS vs. POR,38,1,5,3,26,2240,4,22004,2,0,0,W
50,4,0,0,9,3,0.333,26,13,0.5,12,11,0.917,"JAN 08, 2005",0020400481,WAS vs. MIN,45,1,4,10,40,2240,1,22004,2,4,0,W
51,4,0,6,7,2,0.286,20,7,0.35,11,11,1.0,"JAN 06, 2005",0020400465,WAS vs. SEA,42,1,4,13,27,2240,7,22004,2,2,0,W
52,3,0,6,8,3,0.375,13,6,0.462,6,5,0.833,"JAN 04, 2005",0020400448,WAS vs. NJN,37,0,2,19,20,2240,6,22004,4,2,0,W
53,4,0,1,4,1,0.25,15,7,0.467,4,2,0.5,"JAN 02, 2005",0020400432,WAS vs. ATL,30,1,4,2,17,2240,2,22004,2,4,0,W
54,4,0,2,9,5,0.556,19,12,0.632,6,5,0.833,"DEC 29, 2004",0020400408,WAS vs. DET,43,2,5,0,34,2240,4,22004,2,3,0,L
55,3,1,4,3,2,0.667,10,6,0.6,4,3,0.75,"DEC 27, 2004",0020400392,WAS vs. CHA,34,0,2,20,17,2240,4,22004,1,0,0,W
56,3,0,4,5,2,0.4,13,7,0.538,5,5,1.0,"DEC 26, 2004",0020400387,WAS @ MIN,36,1,2,-20,21,2240,5,22004,0,5,0,L
57,4,0,6,11,4,0.364,17,8,0.471,3,2,0.667,"DEC 21, 2004",0020400364,WAS @ SAC,41,0,5,-9,22,2240,6,22004,2,4,0,L
58,5,0,6,6,2,0.333,13,8,0.615,16,11,0.688,"DEC 20, 2004",0020400359,WAS @ GSW,37,1,4,4,29,2240,7,22004,2,4,0,W
59,4,0,3,7,2,0.286,17,7,0.412,5,3,0.6,"DEC 18, 2004",0020400348,WAS @ PHO,34,1,2,-11,19,2240,4,22004,2,1,0,L
60,7,0,5,6,1,0.167,25,11,0.44,15,14,0.933,"DEC 17, 2004",0020400338,WAS @ LAL,49,1,2,3,37,2240,6,22004,1,1,0,W
61,8,0,7,5,1,0.2,20,8,0.4,7,5,0.714,"DEC 15, 2004",0020400318,WAS vs. MIA,46,0,2,-5,22,2240,7,22004,4,2,0,L
