,AST,BLK,DREB,FG3A,FG3M,FG3_PCT,FGA,FGM,FG_PCT,FTA,FTM,FT_PCT,GAME_DATE,Game_ID,MATCHUP,MIN,OREB,PF,PLUS_MINUS,PTS,Player_ID,REB,SEASON_ID,STL,TOV,VIDEO_AVAILABLE,WL
0,3,0,5,7,3,0.429,21,11,0.524,19,18,0.947,"APR 18, 2006",0020501213,MIL @ WAS,47,0,4,-12,43,2072,5,22005,1,4,0,L
1,1,0,4,4,2,0.5,13,8,0.615,1,1,1.0,"APR 17, 2006",0020501207,MIL vs. DET,32,0,1,35,19,2072,4,22005,0,0,0,W
2,8,0,3,12,4,0.333,24,11,0.458,12,10,0.833,"APR 15, 2006",0020501190,MIL vs. ATL,40,0,2,-3,36,2072,3,22005,0,5,0,L
3,3,0,3,5,2,0.4,15,9,0.6,3,3,1.0,"APR 14, 2006",0020501180,MIL @ NYK,32,0,0,28,23,2072,3,22005,2,2,0,W
4,2,0,3,4,1,0.25,16,9,0.563,6,5,0.833,"APR 12, 2006",0020501168,MIL vs. WAS,32,0,1,5,24,2072,3,22005,1,1,0,W
5,0,0,4,5,1,0.2,20,6,0.3,5,3,0.6,"APR 09, 2006",0020501142,MIL vs. NJN,40,1,1,-10,16,2072,5,22005,3,2,0,L
6,2,0,5,5,3,0.6,21,7,0.333,8,8,1.0,"APR 07, 2006",0020501125,MIL @ MEM,38,1,3,-6,25,2072,6,22005,0,1,0,L
7,0,0,6,6,1,0.167,18,8,0.444,9,8,0.889,"APR 05, 2006",0020501111,MIL @ ORL,37,0,1,-8,25,2072,6,22005,1,3,0,L
8,1,0,2,2,0,0.0,14,5,0.357,6,6,1.0,"APR 04, 2006",0020501100,MIL @ MIA,33,0,2,-30,16,2072,2,22005,2,1,0,L
9,1,0,5,9,5,0.556,29,16,0.552,3,2,0.667,"APR 01, 2006",0020501081,MIL vs. IND,40,1,0,9,39,2072,6,22005,1,0,0,W
10,4,0,3,8,6,0.75,20,13,0.65,5,5,1.0,"MAR 31, 2006",0020501072,MIL @ DET,38,2,3,3,37,2072,5,22005,2,3,0,L
11,0,0,1,11,6,0.545,15,9,0.6,7,4,0.571,"MAR 28, 2006",0020501049,MIL vs. PHX,42,0,1,28,28,2072,1,22005,1,1,0,W
12,6,1,4,9,4,0.444,20,9,0.45,14,13,0.929,"MAR 26, 2006",0020501036,MIL vs. TOR,48,1,2,7,35,2072,5,22005,0,2,0,W
13,2,0,6,4,3,0.75,14,6,0.429,6,5,0.833,"MAR 24, 2006",0020501026,MIL @ LAL,43,1,1,-6,20,2072,7,22005,3,3,0,L
14,3,0,1,5,1,0.2,22,8,0.364,10,9,0.9,"MAR 22, 2006",0020501009,MIL @ SEA,38,2,6,-8,26,2072,3,22005,2,1,0,L
15,2,0,3,5,2,0.4,17,8,0.471,5,5,1.0,"MAR 20, 2006",0020500991,MIL @ POR,39,1,1,4,23,2072,4,22005,1,1,0,W
16,1,0,2,4,2,0.5,21,12,0.571,8,7,0.875,"MAR 18, 2006",0020500977,MIL vs. POR,39,0,1,6,33,2072,2,22005,3,3,0,W
17,2,0,3,7,2,0.286,20,7,0.35,1,1,1.0,"MAR 17, 2006",0020500963,MIL @ TOR,38,0,2,-5,17,2072,3,22005,2,1,0,L
18,2,0,7,4,1,0.25,15,8,0.533,7,6,0.857,"MAR 15, 2006",0020500956,MIL vs. CHI,39,0,3,14,23,2072,7,22005,1,3,0,W
19,1,0,1,4,1,0.25,12,6,0.5,3,3,1.0,"MAR 13, 2006",0020500938,MIL vs. ATL,42,0,0,4,16,2072,1,22005,1,3,0,W
20,5,2,7,6,2,0.333,19,8,0.421,15,14,0.933,"MAR 11, 2006",0020500923,MIL vs. LAC,43,0,1,0,32,2072,7,22005,0,2,0,L
21,6,0,3,4,1,0.25,19,7,0.368,11,11,1.0,"MAR 10, 2006",0020500912,MIL @ BOS,41,0,2,11,26,2072,3,22005,0,1,0,W
22,3,0,4,6,3,0.5,21,13,0.619,4,3,0.75,"MAR 08, 2006",0020500902,MIL vs. SAC,45,1,2,-1,32,2072,5,22005,0,1,0,L
23,6,0,1,6,2,0.333,20,9,0.45,3,3,1.0,"MAR 04, 2006",0020500870,MIL vs. NYK,35,1,1,-9,23,2072,2,22005,1,3,0,L
24,3,1,2,5,1,0.2,22,13,0.591,12,10,0.833,"MAR 01, 2006",0020500851,MIL @ PHX,41,0,1,-12,37,2072,2,22005,1,0,0,L
25,5,0,7,7,3,0.429,16,7,0.438,7,7,1.0,"FEB 27, 2006",0020500835,MIL @ DEN,36,2,2,16,24,2072,9,22005,1,1,0,W
26,3,0,5,6,1,0.167,20,7,0.35,6,6,1.0,"FEB 25, 2006",0020500817,MIL @ ATL,43,1,1,8,21,2072,6,22005,3,0,0,W
27,3,0,2,3,2,0.667,12,6,0.5,4,4,1.0,"FEB 24, 2006",0020500810,MIL vs. PHI,45,0,3,-1,18,2072,2,22005,3,3,0,L
28,1,0,0,5,1,0.2,34,12,0.353,5,5,1.0,"FEB 22, 2006",0020500796,MIL @ CHI,37,1,2,-3,30,2072,1,22005,2,2,0,L
29,1,1,2,2,0,0.0,13,4,0.308,10,10,1.0,"FEB 21, 2006",0020500783,MIL vs. NJN,41,1,1,-9,18,2072,3,22005,0,3,0,L
30,3,0,4,4,0,0.0,26,10,0.385,4,4,1.0,"FEB 15, 2006",0020500766,MIL @ IND,39,0,1,-7,24,2072,4,22005,2,2,0,L
31,5,0,0,2,1,0.5,12,7,0.583,5,4,0.8,"FEB 14, 2006",0020500761,MIL vs. SEA,31,2,0,17,19,2072,2,22005,1,1,0,W
32,2,0,3,2,2,1.0,13,8,0.615,9,9,1.0,"FEB 12, 2006",0020500747,MIL @ NJN,40,0,2,-11,27,2072,3,22005,1,5,0,L
33,4,0,2,6,1,0.167,19,6,0.316,5,5,1.0,"FEB 11, 2006",0020500739,MIL vs. CHA,42,1,1,0,18,2072,3,22005,1,1,0,W
34,0,0,3,8,3,0.375,30,10,0.333,4,4,1.0,"FEB 08, 2006",0020500717,MIL vs. ORL,47,1,2,0,27,2072,4,22005,1,3,0,W
35,1,0,1,6,1,0.167,17,6,0.353,6,5,0.833,"FEB 06, 2006",0020500707,MIL @ CLE,41,1,1,4,18,2072,2,22005,2,3,0,L
36,2,0,3,6,2,0.333,18,7,0.389,9,7,0.778,"FEB 04, 2006",0020500690,MIL vs. MEM,39,2,0,17,23,2072,5,22005,3,3,0,W
37,2,0,4,6,0,0.0,26,12,0.462,9,8,0.889,"JAN 30, 2006",0020500651,MIL @ NOK,41,2,2,-2,32,2072,6,22005,1,3,0,L
38,3,0,2,4,2,0.5,17,6,0.353,7,7,1.0,"JAN 29, 2006",0020500643,MIL vs. BOS,32,1,2,1,21,2072,3,22005,2,2,0,W
39,6,0,1,3,1,0.333,12,6,0.5,2,2,1.0,"JAN 27, 2006",0020500627,MIL vs. TOR,33,0,2,21,15,2072,1,22005,1,2,0,W
40,8,0,6,6,5,0.833,27,16,0.593,4,4,1.0,"JAN 25, 2006",0020500608,MIL @ DET,46,3,4,5,41,2072,9,22005,0,2,0,L
41,6,0,5,4,1,0.25,17,7,0.412,7,6,0.857,"JAN 23, 2006",0020500594,MIL vs. HOU,38,0,1,-10,21,2072,5,22005,2,5,0,L
42,2,0,4,7,4,0.571,22,14,0.636,5,3,0.6,"JAN 21, 2006",0020500581,MIL vs. CHA,35,2,3,18,35,2072,6,22005,1,4,0,W
43,3,0,4,6,2,0.333,23,12,0.522,2,2,1.0,"JAN 20, 2006",0020500566,MIL @ ATL,34,0,4,22,28,2072,4,22005,3,0,0,W
44,2,0,6,1,0,0.0,18,10,0.556,6,6,1.0,"JAN 18, 2006",0020500558,MIL @ SAS,39,2,2,-4,26,2072,8,22005,2,1,0,L
45,1,0,2,5,2,0.4,18,8,0.444,12,11,0.917,"JAN 16, 2006",0020500546,MIL @ DAL,39,1,2,-24,29,2072,3,22005,1,5,0,L
46,6,0,5,4,2,0.5,22,9,0.409,5,5,1.0,"JAN 14, 2006",0020500525,MIL vs. DEN,43,1,4,-2,25,2072,6,22005,2,3,0,L
47,7,0,1,8,2,0.25,19,7,0.368,10,10,1.0,"JAN 13, 2006",0020500515,MIL @ CHA,43,1,1,11,26,2072,2,22005,1,4,0,W
48,2,0,2,5,0,0.0,15,4,0.267,5,5,1.0,"JAN 11, 2006",0020500504,MIL @ IND,27,2,2,-4,13,2072,4,22005,0,3,0,L
49,3,0,6,5,2,0.4,20,10,0.5,0,0,0.0,"JAN 10, 2006",0020500494,MIL vs. MIN,40,1,1,-4,22,2072,7,22005,2,4,0,W
50,2,0,2,10,3,0.3,22,12,0.545,5,5,1.0,"JAN 07, 2006",0020500476,MIL @ CLE,43,1,1,-1,32,2072,3,22005,1,1,0,L
51,4,0,5,5,2,0.4,17,8,0.471,9,7,0.778,"JAN 06, 2006",0020500467,MIL vs. CHI,42,3,3,-9,25,2072,8,22005,2,1,0,L
52,1,0,5,7,3,0.429,22,7,0.318,11,11,1.0,"JAN 04, 2006",0020500450,MIL vs. CLE,42,0,2,5,28,2072,5,22005,1,2,0,L
53,2,0,2,2,1,0.5,29,11,0.379,7,6,0.857,"JAN 02, 2006",0020500439,MIL @ CHI,38,1,3,3,29,2072,3,22005,1,2,0,W
54,7,0,2,6,2,0.333,17,6,0.353,9,8,0.889,"DEC 30, 2005",0020500422,MIL vs. NYK,43,0,2,11,22,2072,2,22005,0,1,0,W
55,4,0,3,4,1,0.25,14,4,0.286,17,12,0.706,"DEC 27, 2005",0020500399,MIL @ MIA,41,2,3,-16,21,2072,5,22005,2,6,0,L
56,1,0,6,4,1,0.25,16,4,0.25,9,8,0.889,"DEC 26, 2005",0020500388,MIL @ ORL,41,0,1,-7,17,2072,6,22005,0,1,0,L
57,3,0,4,7,2,0.286,24,12,0.5,11,10,0.909,"DEC 23, 2005",0020500380,MIL vs. NOK,39,1,3,11,36,2072,5,22005,0,3,0,W
58,2,0,6,0,0,0.0,20,8,0.4,5,4,0.8,"DEC 20, 2005",0020500356,MIL vs. SAS,42,2,1,1,20,2072,8,22005,0,1,0,W
59,1,0,2,5,2,0.4,13,6,0.462,6,5,0.833,"DEC 17, 2005",0020500339,MIL vs. UTA,41,0,4,-11,19,2072,2,22005,0,1,0,L
60,3,0,1,4,2,0.5,17,9,0.529,6,4,0.667,"DEC 16, 2005",0020500326,MIL @ BOS,42,4,4,11,24,2072,5,22005,1,3,0,W
61,6,0,2,11,2,0.182,22,8,0.364,8,6,0.75,"DEC 14, 2005",0020500313,MIL vs. MIA,42,3,2,-4,24,2072,5,22005,1,1,0,L
62,5,0,2,5,5,1.0,17,9,0.529,9,8,0.889,"DEC 12, 2005",0020500296,MIL @ NYK,34,0,3,9,31,2072,2,22005,2,0,0,W
