,AST,BLK,DREB,FG3A,FG3M,FG3_PCT,FGA,FGM,FG_PCT,FTA,FTM,FT_PCT,GAME_DATE,Game_ID,MATCHUP,MIN,OREB,PF,PLUS_MINUS,PTS,Player_ID,REB,SEASON_ID,STL,TOV,VIDEO_AVAILABLE,WL
0,4,0,2,13,7,0.538,17,9,0.529,2,2,1.0,"APR 19, 2006",0020501230,SEA vs. DEN,26,0,0,18,27,951,2,22005,2,1,0,W
1,2,0,1,11,4,0.364,20,9,0.45,6,4,0.667,"APR 18, 2006",0020501216,SEA @ SAC,42,0,3,-7,26,951,1,22005,2,3,0,L
2,6,0,7,8,4,0.5,15,7,0.467,3,3,1.0,"APR 16, 2006",0020501201,SEA @ LAC,30,0,2,14,21,951,7,22005,2,1,0,W
3,6,0,6,12,5,0.417,25,13,0.52,3,2,0.667,"APR 14, 2006",0020501187,SEA vs. LAC,42,0,0,-8,33,951,6,22005,1,3,0,L
4,8,0,5,9,6,0.667,25,13,0.52,5,4,0.8,"APR 12, 2006",0020501169,SEA @ NOK,45,1,3,-3,36,951,6,22005,0,5,0,L
5,0,0,3,4,2,0.5,13,5,0.385,2,2,1.0,"APR 11, 2006",0020501159,SEA @ SAS,32,0,4,-11,14,951,3,22005,1,2,0,L
6,5,0,4,9,4,0.444,21,11,0.524,4,4,1.0,"APR 09, 2006",0020501147,SEA vs. PHX,40,0,1,3,30,951,4,22005,0,6,0,W
7,3,0,3,6,4,0.667,18,12,0.667,10,10,1.0,"APR 07, 2006",0020501129,SEA @ POR,42,0,4,10,38,951,3,22005,1,4,0,W
8,4,0,3,9,3,0.333,22,11,0.5,8,7,0.875,"APR 04, 2006",0020501106,SEA vs. HOU,41,1,2,14,32,951,4,22005,1,1,0,W
9,6,0,6,5,3,0.6,13,7,0.538,7,7,1.0,"APR 02, 2006",0020501094,SEA vs. POR,28,0,2,28,24,951,6,22005,2,1,0,W
10,4,0,4,13,5,0.385,27,10,0.37,4,4,1.0,"MAR 31, 2006",0020501078,SEA vs. LAL,43,4,4,-12,29,951,8,22005,1,5,0,L
11,2,0,4,6,1,0.167,13,1,0.077,7,7,1.0,"MAR 29, 2006",0020501061,SEA @ HOU,24,0,0,-30,10,951,4,22005,1,2,0,L
12,5,0,4,8,3,0.375,17,8,0.471,1,1,1.0,"MAR 28, 2006",0020501050,SEA @ MEM,39,1,1,2,20,951,5,22005,0,2,0,W
13,5,0,2,6,5,0.833,23,13,0.565,2,2,1.0,"MAR 26, 2006",0020501039,SEA vs. SAS,41,0,2,-1,33,951,2,22005,0,5,0,W
14,4,0,1,8,1,0.125,19,6,0.316,1,1,1.0,"MAR 24, 2006",0020501024,SEA @ DEN,34,4,2,-10,14,951,5,22005,0,1,0,L
15,3,0,1,4,0,0.0,14,4,0.286,10,7,0.7,"MAR 22, 2006",0020501009,SEA vs. MIL,34,0,5,0,15,951,1,22005,3,2,0,W
16,5,2,7,10,3,0.3,19,8,0.421,4,4,1.0,"MAR 21, 2006",0020501001,SEA @ SAC,42,0,2,-12,23,951,7,22005,1,4,0,L
17,7,0,4,7,4,0.571,14,8,0.571,8,6,0.75,"MAR 16, 2006",0020500962,SEA vs. PHI,43,0,2,3,26,951,4,22005,0,1,0,W
18,3,0,2,9,5,0.556,21,11,0.524,7,6,0.857,"MAR 14, 2006",0020500949,SEA vs. PHX,43,0,4,-2,33,951,2,22005,0,4,0,L
19,5,0,9,6,2,0.333,17,8,0.471,1,1,1.0,"MAR 12, 2006",0020500930,SEA @ LAL,40,1,2,7,19,951,10,22005,2,4,0,W
20,5,1,2,9,4,0.444,26,13,0.5,9,8,0.889,"MAR 10, 2006",0020500918,SEA vs. MIN,46,0,0,17,38,951,2,22005,2,2,0,W
21,3,0,0,3,2,0.667,10,5,0.5,7,6,0.857,"MAR 08, 2006",0020500906,SEA vs. MEM,38,0,0,-14,18,951,0,22005,3,2,0,L
22,8,0,3,6,3,0.5,12,8,0.667,1,1,1.0,"MAR 05, 2006",0020500882,SEA vs. UTA,29,0,3,27,20,951,3,22005,1,1,0,W
23,3,0,7,10,3,0.3,26,13,0.5,2,2,1.0,"MAR 03, 2006",0020500866,SEA vs. DET,44,2,0,2,31,951,9,22005,0,0,0,L
24,2,0,5,7,5,0.714,14,9,0.643,11,10,0.909,"FEB 28, 2006",0020500840,SEA vs. NOK,43,0,2,18,33,951,5,22005,0,3,0,W
25,3,1,3,7,2,0.286,20,6,0.3,8,7,0.875,"FEB 25, 2006",0020500818,SEA @ MIA,36,2,1,-19,21,951,5,22005,2,3,0,L
26,7,0,3,8,5,0.625,20,11,0.55,6,6,1.0,"FEB 22, 2006",0020500792,SEA @ ATL,44,1,1,11,33,951,4,22005,1,1,0,W
27,1,0,1,3,2,0.667,14,6,0.429,6,6,1.0,"FEB 21, 2006",0020500786,SEA @ SAS,34,4,1,-16,20,951,5,22005,0,3,0,L
28,0,0,1,7,3,0.429,19,10,0.526,0,0,0.0,"FEB 15, 2006",0020500772,SEA @ MIN,38,1,2,-8,23,951,2,22005,1,3,0,L
29,1,1,1,5,3,0.6,14,8,0.571,0,0,0.0,"FEB 14, 2006",0020500761,SEA @ MIL,38,0,1,-10,19,951,1,22005,2,3,0,L
30,3,1,2,12,8,0.667,20,10,0.5,6,6,1.0,"FEB 12, 2006",0020500750,SEA vs. DEN,44,2,2,-2,34,951,4,22005,0,5,0,L
31,4,2,2,10,4,0.4,22,7,0.318,4,4,1.0,"FEB 10, 2006",0020500736,SEA vs. ATL,41,4,1,19,22,951,6,22005,1,0,0,W
32,6,0,5,9,3,0.333,21,6,0.286,3,3,1.0,"FEB 08, 2006",0020500718,SEA @ NOK,38,0,1,-10,18,951,5,22005,0,3,0,L
33,1,0,5,8,3,0.375,22,12,0.545,4,4,1.0,"FEB 06, 2006",0020500701,SEA @ CHA,41,1,3,-8,31,951,6,22005,1,3,0,L
34,1,0,4,6,2,0.333,18,6,0.333,3,3,1.0,"FEB 04, 2006",0020500691,SEA @ DAL,41,0,3,-20,17,951,4,22005,3,4,0,L
35,3,1,4,9,2,0.222,22,10,0.455,2,1,0.5,"FEB 03, 2006",0020500681,SEA @ HOU,34,0,0,-20,23,951,4,22005,1,6,0,L
36,3,0,3,10,4,0.4,20,12,0.6,5,4,0.8,"FEB 01, 2006",0020500673,SEA vs. GSW,42,1,1,4,32,951,4,22005,1,3,0,W
37,3,0,1,7,4,0.571,18,10,0.556,2,2,1.0,"JAN 30, 2006",0020500654,SEA vs. POR,40,1,3,-14,26,951,2,22005,3,6,0,L
38,1,0,4,8,4,0.5,20,13,0.65,5,5,1.0,"JAN 28, 2006",0020500638,SEA vs. NJN,33,0,3,9,35,951,4,22005,1,0,0,W
39,3,0,6,11,2,0.182,21,9,0.429,5,5,1.0,"JAN 26, 2006",0020500618,SEA vs. DAL,41,0,4,-6,25,951,6,22005,2,0,0,L
40,6,0,2,6,5,0.833,18,8,0.444,2,1,0.5,"JAN 25, 2006",0020500612,SEA @ UTA,32,0,2,8,22,951,2,22005,2,1,0,W
41,3,1,4,16,8,0.5,28,14,0.5,7,6,0.857,"JAN 22, 2006",0020500589,SEA @ PHX,51,2,1,-8,42,951,6,22005,2,3,0,W
42,2,0,5,10,4,0.4,20,8,0.4,4,4,1.0,"JAN 20, 2006",0020500576,SEA vs. TOR,44,0,2,-6,24,951,5,22005,2,1,0,L
43,4,0,1,1,0,0.0,1,0,0.0,1,1,1.0,"JAN 11, 2006",0020500508,SEA vs. ORL,8,0,0,8,1,951,1,22005,0,1,0,W
44,2,0,5,11,5,0.455,17,8,0.471,6,6,1.0,"JAN 09, 2006",0020500486,SEA @ PHI,41,0,2,-8,27,951,5,22005,2,2,0,L
45,4,0,2,13,4,0.308,29,13,0.448,3,3,1.0,"JAN 08, 2006",0020500482,SEA @ NYK,45,4,2,-3,33,951,6,22005,3,0,0,L
46,4,0,2,7,4,0.571,18,7,0.389,4,4,1.0,"JAN 06, 2006",0020500463,SEA @ DET,38,1,1,-4,22,951,3,22005,1,1,0,L
47,1,0,2,6,4,0.667,13,6,0.462,4,4,1.0,"JAN 04, 2006",0020500453,SEA @ CHI,28,0,4,1,20,951,2,22005,0,1,0,W
48,2,0,4,9,3,0.333,21,9,0.429,3,3,1.0,"JAN 02, 2006",0020500437,SEA @ IND,37,0,3,-21,24,951,4,22005,1,2,0,L
49,3,0,2,9,4,0.444,18,11,0.611,2,2,1.0,"DEC 31, 2005",0020500432,SEA vs. MEM,41,2,1,1,28,951,4,22005,1,0,0,L
50,3,0,4,14,8,0.571,25,13,0.52,6,5,0.833,"DEC 29, 2005",0020500416,SEA @ DEN,44,1,1,11,39,951,5,22005,1,4,0,W
51,2,0,1,6,4,0.667,20,10,0.5,1,0,0.0,"DEC 28, 2005",0020500410,SEA @ MIN,42,2,1,-15,24,951,3,22005,2,3,0,L
52,6,0,6,7,0,0.0,13,3,0.231,13,12,0.923,"DEC 26, 2005",0020500395,SEA vs. BOS,41,1,4,14,18,951,7,22005,2,1,0,W
