,AST,BLK,DREB,FG3A,FG3M,FG3_PCT,FGA,FGM,FG_PCT,FTA,FTM,FT_PCT,GAME_DATE,Game_ID,MATCHUP,MIN,OREB,PF,PLUS_MINUS,PTS,Player_ID,REB,SEASON_ID,STL,TOV,VIDEO_AVAILABLE,WL
0,3,1,1,2,1,0.5,17,10,0.588,6,4,0.667,"APR 16, 2007",0020601208,DEN vs. MIN,33,0,2,24,25,947,1,22006,3,3,0,W
1,5,0,2,4,2,0.5,15,7,0.467,0,0,0.0,"APR 14, 2007",0020601189,DEN @ MEM,40,0,3,-10,16,947,2,22006,2,6,0,L
2,7,0,0,3,1,0.333,21,9,0.429,7,4,0.571,"APR 13, 2007",0020601180,DEN @ NOK,42,0,3,-7,23,947,0,22006,1,1,0,W
3,12,0,5,6,2,0.333,16,7,0.438,8,6,0.75,"APR 11, 2007",0020601170,DEN @ UTA,45,0,0,7,22,947,5,22006,1,3,0,W
4,5,0,2,5,1,0.2,22,8,0.364,9,7,0.778,"APR 09, 2007",0020601154,DEN vs. LAL,46,0,1,8,24,947,2,22006,0,5,0,W
5,4,0,3,4,3,0.75,19,12,0.632,10,7,0.7,"APR 07, 2007",0020601142,DEN @ LAC,43,1,0,-6,34,947,4,22006,1,5,0,W
6,5,0,3,2,0,0.0,23,9,0.391,6,4,0.667,"APR 06, 2007",0020601132,DEN vs. DAL,39,0,4,9,22,947,3,22006,2,3,0,W
7,10,0,4,2,0,0.0,13,6,0.462,7,4,0.571,"APR 04, 2007",0020601116,DEN vs. SAC,42,1,0,8,16,947,5,22006,1,4,0,W
8,10,0,4,1,0,0.0,24,10,0.417,4,0,0.0,"APR 03, 2007",0020601107,DEN @ LAL,46,0,2,6,20,947,4,22006,1,2,0,W
9,7,0,3,3,0,0.0,19,9,0.474,15,8,0.533,"APR 01, 2007",0020601098,DEN @ SEA,44,1,2,7,26,947,4,22006,3,5,0,W
10,1,1,0,2,0,0.0,16,8,0.5,13,10,0.769,"MAR 30, 2007",0020601080,DEN @ PHX,44,0,2,-10,26,947,0,22006,1,5,0,L
11,8,0,1,3,1,0.333,13,4,0.308,8,5,0.625,"MAR 28, 2007",0020601066,DEN vs. SEA,38,0,2,-4,14,947,1,22006,1,5,0,L
12,8,1,0,5,1,0.2,14,5,0.357,9,5,0.556,"MAR 26, 2007",0020601048,DEN @ DET,44,0,0,-11,16,947,0,22006,2,5,0,L
13,12,0,4,2,0,0.0,13,7,0.538,6,4,0.667,"MAR 25, 2007",0020601042,DEN @ CLE,46,0,1,14,18,947,4,22006,0,2,0,W
14,3,0,0,3,0,0.0,12,3,0.25,8,8,1.0,"MAR 23, 2007",0020601020,DEN @ TOR,33,1,1,-26,14,947,1,22006,0,3,0,L
15,6,0,2,2,1,0.5,18,11,0.611,9,8,0.889,"MAR 22, 2007",0020601017,DEN @ CHI,41,0,2,2,31,947,2,22006,1,5,0,L
16,5,0,5,6,1,0.167,23,8,0.348,6,3,0.5,"MAR 20, 2007",0020600997,DEN @ NJN,44,0,0,3,20,947,5,22006,4,4,0,W
17,15,1,5,3,2,0.667,22,16,0.727,12,10,0.833,"MAR 17, 2007",0020600986,DEN vs. PHX,43,0,2,31,44,947,5,22006,0,1,0,W
18,13,0,1,0,0,0.0,15,4,0.267,6,6,1.0,"MAR 15, 2007",0020600969,DEN vs. LAL,41,0,3,29,14,947,1,22006,1,3,0,W
19,10,1,5,1,1,1.0,20,8,0.4,16,14,0.875,"MAR 13, 2007",0020600955,DEN vs. POR,44,1,0,11,31,947,6,22006,5,2,0,W
20,7,0,5,3,1,0.333,17,8,0.471,9,7,0.778,"MAR 11, 2007",0020600938,DEN @ SAC,37,1,3,14,24,947,6,22006,4,6,0,W
21,4,1,2,4,1,0.25,13,5,0.385,13,8,0.615,"MAR 09, 2007",0020600924,DEN vs. DET,43,0,1,-12,19,947,2,22006,2,2,0,L
22,3,0,5,2,1,0.5,25,12,0.48,14,10,0.714,"MAR 07, 2007",0020600916,DEN @ GSW,47,1,0,-16,35,947,6,22006,2,5,0,L
23,5,0,2,3,2,0.667,17,8,0.471,7,7,1.0,"MAR 06, 2007",0020600904,DEN vs. NOK,40,1,2,8,25,947,3,22006,0,6,0,W
24,5,0,4,1,0,0.0,19,7,0.368,8,5,0.625,"MAR 02, 2007",0020600876,DEN vs. HOU,39,0,0,-18,19,947,4,22006,0,3,0,L
25,7,0,4,4,1,0.25,25,13,0.52,9,7,0.778,"FEB 28, 2007",0020600862,DEN vs. ORL,46,0,1,8,34,947,4,22006,5,5,0,W
26,9,0,4,6,3,0.5,18,7,0.389,9,8,0.889,"FEB 26, 2007",0020600842,DEN @ MEM,40,1,2,4,25,947,5,22006,2,4,0,W
27,4,1,4,4,2,0.5,18,8,0.444,9,8,0.889,"FEB 24, 2007",0020600830,DEN @ DAL,44,1,2,-13,26,947,5,22006,2,9,0,L
28,5,0,2,2,1,0.5,18,11,0.611,15,10,0.667,"FEB 23, 2007",0020600824,DEN vs. UTA,44,1,2,-4,33,947,3,22006,2,3,0,L
29,5,0,2,2,0,0.0,11,3,0.273,4,3,0.75,"FEB 20, 2007",0020600794,DEN @ SAS,35,1,2,-23,9,947,3,22006,1,3,0,L
30,9,0,3,4,1,0.25,21,9,0.429,5,3,0.6,"FEB 07, 2007",0020600734,DEN vs. NOK,49,1,1,-3,22,947,4,22006,2,2,0,L
31,8,1,3,2,1,0.5,15,10,0.667,12,10,0.833,"JAN 29, 2007",0020600666,DEN vs. CHA,43,0,1,-7,31,947,3,22006,4,0,0,L
32,8,1,2,3,1,0.333,19,6,0.316,5,5,1.0,"JAN 27, 2007",0020600652,DEN vs. NJN,43,0,1,-12,18,947,2,22006,1,3,0,L
33,6,0,3,1,1,1.0,21,10,0.476,15,12,0.8,"JAN 26, 2007",0020600643,DEN @ UTA,44,0,2,0,33,947,3,22006,1,2,0,L
34,10,0,3,5,2,0.4,19,7,0.368,6,5,0.833,"JAN 23, 2007",0020600619,DEN @ SEA,44,0,0,8,21,947,3,22006,1,4,0,W
35,7,0,4,3,2,0.667,16,9,0.563,5,3,0.6,"JAN 22, 2007",0020600611,DEN vs. MEM,38,0,0,24,23,947,4,22006,2,6,0,W
36,10,0,3,4,2,0.5,30,12,0.4,13,10,0.769,"JAN 20, 2007",0020600600,DEN @ HOU,50,0,1,12,36,947,3,22006,4,3,0,W
37,9,0,3,1,0,0.0,17,8,0.471,10,9,0.9,"JAN 19, 2007",0020600590,DEN vs. CLE,43,0,1,7,25,947,3,22006,1,6,0,W
38,9,0,3,2,1,0.5,21,11,0.524,10,9,0.9,"JAN 14, 2007",0020600553,DEN @ POR,43,0,1,22,32,947,3,22006,1,6,0,W
39,5,1,4,2,1,0.5,21,10,0.476,7,7,1.0,"JAN 12, 2007",0020600538,DEN vs. HOU,44,0,1,-1,28,947,4,22006,3,3,0,L
40,6,0,0,0,0,0.0,25,15,0.6,3,3,1.0,"JAN 10, 2007",0020600525,DEN vs. SAS,44,0,0,-13,33,947,0,22006,0,3,0,L
41,3,0,1,4,2,0.5,21,9,0.429,4,3,0.75,"JAN 08, 2007",0020600507,DEN vs. MIL,43,1,0,6,23,947,2,22006,2,4,0,W
42,8,0,5,7,1,0.143,19,5,0.263,12,11,0.917,"JAN 06, 2007",0020600495,DEN vs. UTA,44,0,2,-14,22,947,5,22006,2,5,0,L
43,5,0,1,1,0,0.0,17,5,0.294,8,6,0.75,"JAN 05, 2007",0020600489,DEN @ LAL,36,0,2,-27,16,947,1,22006,1,3,0,L
44,9,0,4,6,2,0.333,24,10,0.417,10,8,0.8,"JAN 02, 2007",0020600465,DEN vs. PHI,44,1,1,-17,30,947,5,22006,0,7,0,L
