,AST,BLK,DREB,FG3A,FG3M,FG3_PCT,FGA,FGM,FG_PCT,FTA,FTM,FT_PCT,GAME_DATE,Game_ID,MATCHUP,MIN,OREB,PF,PLUS_MINUS,PTS,Player_ID,REB,SEASON_ID,STL,TOV,VIDEO_AVAILABLE,WL
0,3,0,6,4,1,0.25,14,4,0.286,4,3,0.75,"MAR 05, 2007",0020600896,ATL @ MIA,46,2,3,-3,12,2207,8,22006,2,5,0,L
1,7,0,7,8,5,0.625,24,12,0.5,4,3,0.75,"MAR 03, 2007",0020600880,ATL vs. NYK,49,1,3,-2,32,2207,8,22006,3,4,0,L
2,6,0,4,7,2,0.286,19,8,0.421,2,2,1.0,"MAR 02, 2007",0020600870,ATL @ WAS,43,0,1,2,20,2207,4,22006,1,3,0,L
3,8,1,1,4,2,0.5,18,10,0.556,6,5,0.833,"FEB 28, 2007",0020600859,ATL @ NOK,44,0,2,-1,27,2207,1,22006,2,4,0,L
4,2,1,2,2,1,0.5,18,12,0.667,6,4,0.667,"FEB 26, 2007",0020600846,ATL @ DAL,42,1,0,-17,29,2207,3,22006,1,1,0,L
5,5,0,4,8,2,0.25,25,9,0.36,10,8,0.8,"FEB 25, 2007",0020600833,ATL vs. PHX,45,1,2,-1,28,2207,5,22006,1,3,0,L
6,7,0,2,5,2,0.4,22,12,0.545,6,5,0.833,"FEB 23, 2007",0020600819,ATL vs. HOU,45,2,1,6,31,2207,4,22006,0,2,0,W
7,4,1,3,3,1,0.333,29,14,0.483,5,1,0.2,"FEB 21, 2007",0020600802,ATL vs. SAS,47,2,2,1,30,2207,5,22006,2,2,0,L
8,2,0,1,4,0,0.0,12,2,0.167,6,5,0.833,"FEB 20, 2007",0020600795,ATL @ CHI,34,0,1,-25,9,2207,1,22006,0,2,0,L
9,2,0,3,3,1,0.333,19,9,0.474,12,8,0.667,"FEB 14, 2007",0020600786,ATL @ LAC,44,1,2,6,27,2207,4,22006,0,3,0,W
10,3,0,0,3,1,0.333,14,5,0.357,3,3,1.0,"FEB 12, 2007",0020600767,ATL @ UTA,28,1,2,-20,14,2207,1,22006,1,2,0,L
11,11,1,4,6,3,0.5,19,8,0.421,3,2,0.667,"FEB 11, 2007",0020600763,ATL @ GSW,46,0,1,8,21,2207,4,22006,0,1,0,W
12,5,0,7,7,2,0.286,25,10,0.4,14,10,0.714,"FEB 09, 2007",0020600747,ATL @ PHX,48,1,1,9,32,2207,8,22006,0,2,0,W
13,4,0,5,4,0,0.0,16,5,0.313,2,0,0.0,"FEB 07, 2007",0020600728,ATL vs. NJN,44,2,3,-3,10,2207,7,22006,0,5,0,L
14,5,0,4,7,2,0.286,26,10,0.385,9,5,0.556,"FEB 05, 2007",0020600714,ATL vs. LAL,46,1,3,0,27,2207,5,22006,1,6,0,L
15,8,1,4,6,4,0.667,23,12,0.522,10,9,0.9,"FEB 04, 2007",0020600710,ATL @ NJN,49,1,1,2,37,2207,5,22006,0,4,0,W
16,2,0,1,4,2,0.5,18,12,0.667,2,2,1.0,"FEB 02, 2007",0020600693,ATL vs. TOR,35,1,3,-7,28,2207,2,22006,0,3,0,L
17,4,0,4,14,6,0.429,26,10,0.385,7,7,1.0,"JAN 31, 2007",0020600676,ATL vs. GSW,40,3,3,17,33,2207,7,22006,0,4,0,W
