,AST,BLK,DREB,FG3A,FG3M,FG3_PCT,FGA,FGM,FG_PCT,FTA,FTM,FT_PCT,GAME_DATE,Game_ID,MATCHUP,MIN,OREB,PF,PLUS_MINUS,PTS,Player_ID,REB,SEASON_ID,STL,TOV,VIDEO_AVAILABLE,WL
0,9,0,5,4,1,0.25,18,9,0.5,10,5,0.5,"APR 18, 2007",0020601220,CLE vs. MIL,40,0,2,22,24,2544,5,22006,2,2,0,W
1,6,0,4,2,0,0.0,15,7,0.467,7,4,0.571,"APR 17, 2007",0020601211,CLE @ PHI,36,1,3,-4,18,2544,5,22006,0,1,0,W
2,6,1,4,6,3,0.5,16,8,0.5,5,4,0.8,"APR 14, 2007",0020601188,CLE vs. ATL,32,1,1,25,23,2544,5,22006,1,0,0,W
3,4,1,5,1,0,0.0,27,15,0.556,9,5,0.556,"APR 12, 2007",0020601173,CLE vs. NJN,35,3,1,21,35,2544,8,22006,2,2,0,W
4,6,0,4,4,1,0.25,16,5,0.313,11,9,0.818,"APR 08, 2007",0020601143,CLE @ DET,43,1,2,-11,20,2544,5,22006,1,5,0,L
5,5,1,6,3,0,0.0,23,7,0.304,14,11,0.786,"APR 06, 2007",0020601126,CLE @ WAS,44,0,3,5,25,2544,6,22006,1,2,0,W
6,5,0,7,5,2,0.4,21,11,0.524,13,11,0.846,"APR 05, 2007",0020601119,CLE vs. MIA,49,2,4,2,35,2544,9,22006,0,4,0,L
7,6,1,10,2,0,0.0,24,13,0.542,5,5,1.0,"APR 03, 2007",0020601105,CLE @ MIN,42,2,1,21,31,2544,12,22006,4,2,0,W
8,9,0,4,3,0,0.0,25,14,0.56,13,11,0.846,"MAR 31, 2007",0020601084,CLE @ CHI,47,1,4,4,39,2544,5,22006,3,7,0,W
9,7,0,5,5,2,0.4,20,6,0.3,14,10,0.714,"MAR 28, 2007",0020601063,CLE @ NYK,44,1,3,2,24,2544,6,22006,2,3,0,L
10,6,0,6,3,0,0.0,18,8,0.444,14,10,0.714,"MAR 27, 2007",0020601054,CLE @ IND,40,1,4,11,26,2544,7,22006,2,3,0,W
11,8,0,3,6,1,0.167,19,8,0.421,1,1,1.0,"MAR 25, 2007",0020601042,CLE vs. DEN,41,0,4,-13,18,2544,3,22006,1,5,0,L
12,10,0,2,1,0,0.0,16,8,0.5,6,5,0.833,"MAR 23, 2007",0020601026,CLE vs. NYK,38,1,1,19,21,2544,3,22006,2,1,0,W
13,4,3,6,6,1,0.167,28,12,0.429,7,6,0.857,"MAR 21, 2007",0020601010,CLE vs. DAL,45,0,3,-6,31,2544,6,22006,2,6,0,L
14,6,3,4,9,2,0.222,31,12,0.387,12,11,0.917,"MAR 20, 2007",0020600998,CLE @ CHA,47,2,4,-5,37,2544,6,22006,1,3,0,L
15,9,2,15,6,0,0.0,21,8,0.381,13,8,0.615,"MAR 17, 2007",0020600982,CLE vs. UTA,44,2,3,7,24,2544,17,22006,2,4,0,W
16,4,0,5,7,4,0.571,17,11,0.647,6,3,0.5,"MAR 14, 2007",0020600963,CLE @ MEM,30,1,0,35,29,2544,6,22006,3,2,0,W
17,6,1,4,6,2,0.333,22,10,0.455,5,4,0.8,"MAR 11, 2007",0020600940,CLE vs. IND,39,3,2,23,26,2544,7,22006,3,2,0,W
18,9,1,8,6,4,0.667,22,12,0.545,4,4,1.0,"MAR 10, 2007",0020600932,CLE @ MIL,36,0,5,15,32,2544,8,22006,3,6,0,W
19,8,1,5,3,1,0.333,31,17,0.548,8,6,0.75,"MAR 07, 2007",0020600912,CLE @ DET,51,2,4,8,41,2544,7,22006,3,4,0,W
20,8,0,11,6,3,0.5,24,12,0.5,9,5,0.556,"MAR 05, 2007",0020600895,CLE vs. HOU,42,1,2,-1,32,2544,12,22006,0,3,0,W
21,6,3,3,3,1,0.333,20,10,0.5,17,15,0.882,"MAR 03, 2007",0020600881,CLE vs. TOR,37,2,1,23,36,2544,5,22006,0,2,0,W
22,5,0,3,4,1,0.25,27,17,0.63,8,4,0.5,"MAR 01, 2007",0020600865,CLE @ DAL,40,0,2,-2,39,2544,3,22006,0,2,0,L
23,8,1,4,4,3,0.75,22,14,0.636,7,4,0.571,"FEB 27, 2007",0020600850,CLE vs. NOK,43,1,1,16,35,2544,5,22006,2,4,0,W
24,7,1,3,5,2,0.4,22,10,0.455,12,7,0.583,"FEB 25, 2007",0020600835,CLE @ MIA,42,0,2,6,29,2544,3,22006,0,2,0,L
25,2,0,4,4,1,0.25,28,13,0.464,8,2,0.25,"FEB 22, 2007",0020600812,CLE vs. CHI,43,3,1,3,29,2544,7,22006,3,3,0,L
26,2,1,4,1,0,0.0,25,12,0.48,5,5,1.0,"FEB 21, 2007",0020600800,CLE @ TOR,37,0,3,5,29,2544,4,22006,1,3,0,W
27,3,0,4,1,0,0.0,16,10,0.625,22,18,0.818,"FEB 15, 2007",0020600789,CLE @ LAL,40,0,4,4,38,2544,4,22006,3,3,0,W
28,4,3,7,3,0,0.0,25,9,0.36,9,5,0.556,"FEB 14, 2007",0020600784,CLE @ UTA,43,3,2,10,23,2544,10,22006,1,0,0,L
29,5,1,7,2,0,0.0,16,5,0.313,12,8,0.667,"FEB 11, 2007",0020600759,CLE vs. LAL,38,1,3,3,18,2544,8,22006,1,1,0,W
30,6,0,6,4,1,0.25,22,12,0.545,8,4,0.5,"FEB 09, 2007",0020600744,CLE vs. MIA,41,1,1,22,29,2544,7,22006,0,2,0,W
31,3,1,7,2,1,0.5,13,4,0.308,2,2,1.0,"FEB 07, 2007",0020600729,CLE vs. LAC,36,0,1,15,11,2544,7,22006,1,2,0,W
32,6,0,5,4,1,0.25,22,9,0.409,3,2,0.667,"FEB 04, 2007",0020600711,CLE vs. DET,43,0,2,-12,21,2544,5,22006,2,3,0,L
33,3,0,9,1,0,0.0,13,7,0.538,8,4,0.5,"FEB 02, 2007",0020600694,CLE vs. CHA,36,1,1,17,18,2544,10,22006,2,1,0,W
34,9,0,5,7,2,0.286,18,6,0.333,8,3,0.375,"FEB 01, 2007",0020600687,CLE @ MIA,36,1,4,-12,17,2544,6,22006,1,2,0,L
35,5,0,7,6,3,0.5,22,12,0.545,6,3,0.5,"JAN 28, 2007",0020600655,CLE vs. PHX,42,2,2,-8,30,2544,9,22006,2,3,0,L
