,AST,BLK,DREB,FG3A,FG3M,FG3_PCT,FGA,FGM,FG_PCT,FTA,FTM,FT_PCT,GAME_DATE,Game_ID,MATCHUP,MIN,OREB,PF,PLUS_MINUS,PTS,Player_ID,REB,SEASON_ID,STL,TOV,VIDEO_AVAILABLE,WL
0,4,3,7,7,5,0.714,16,10,0.625,11,10,0.909,"APR 15, 2009",0020801221,IND vs. MIL,42,2,2,12,35,101122,9,22008,3,6,0,W
1,1,2,4,10,4,0.4,28,12,0.429,11,10,0.909,"APR 13, 2009",0020801202,IND vs. CLE,45,1,1,-3,38,101122,5,22008,2,1,0,L
2,0,0,3,3,1,0.333,22,8,0.364,9,7,0.778,"APR 11, 2009",0020801189,IND vs. DET,38,0,1,-1,24,101122,3,22008,1,1,0,W
3,0,1,4,11,4,0.364,22,12,0.545,11,7,0.636,"APR 10, 2009",0020801178,IND @ ATL,38,0,4,-8,35,101122,4,22008,3,0,0,L
4,1,1,4,3,0,0.0,16,10,0.625,9,9,1.0,"APR 08, 2009",0020801163,IND vs. TOR,28,0,1,32,29,101122,4,22008,0,1,0,W
5,1,1,4,5,0,0.0,18,9,0.5,7,6,0.857,"APR 05, 2009",0020801149,IND @ OKC,34,0,2,15,24,101122,4,22008,1,4,0,W
6,1,0,3,4,3,0.75,24,15,0.625,3,2,0.667,"APR 03, 2009",0020801126,IND vs. SAS,37,1,5,6,35,101122,4,22008,1,2,0,L
7,1,2,2,10,4,0.4,19,11,0.579,6,5,0.833,"MAR 31, 2009",0020801106,IND vs. CHI,37,2,2,6,31,101122,4,22008,1,3,0,W
8,3,1,5,6,4,0.667,16,10,0.625,8,7,0.875,"MAR 29, 2009",0020801097,IND vs. WAS,42,1,3,15,31,101122,6,22008,0,5,0,W
9,2,0,4,9,4,0.444,24,10,0.417,8,8,1.0,"MAR 28, 2009",0020801083,IND @ CHI,41,0,2,-3,32,101122,4,22008,3,1,0,L
10,1,2,4,7,3,0.429,20,10,0.5,6,5,0.833,"MAR 25, 2009",0020801061,IND vs. MIA,38,0,4,8,28,101122,4,22008,3,4,0,W
11,1,1,3,8,4,0.5,17,8,0.471,1,1,1.0,"MAR 21, 2009",0020801035,IND @ CHA,29,1,3,26,21,101122,4,22008,2,0,0,W
12,4,1,8,4,2,0.5,26,8,0.308,1,0,0.0,"MAR 20, 2009",0020801023,IND vs. DAL,41,3,3,-8,18,101122,11,22008,0,4,0,L
13,0,2,8,9,5,0.556,24,12,0.5,7,6,0.857,"MAR 18, 2009",0020801011,IND vs. POR,34,2,3,-8,35,101122,10,22008,0,2,0,L
14,0,0,3,7,1,0.143,11,3,0.273,4,3,0.75,"MAR 15, 2009",0020800990,IND @ TOR,19,0,4,-21,10,101122,3,22008,1,2,0,L
15,0,1,0,3,2,0.667,9,4,0.444,2,2,1.0,"FEB 18, 2009",0020800798,IND @ CHA,10,1,1,-4,12,101122,1,22008,0,1,0,L
16,4,4,10,7,2,0.286,17,7,0.412,5,4,0.8,"FEB 17, 2009",0020800788,IND vs. PHI,37,0,4,5,20,101122,10,22008,0,3,0,W
17,1,2,4,9,3,0.333,18,5,0.278,13,13,1.0,"FEB 11, 2009",0020800779,IND @ MIL,34,1,5,7,26,101122,5,22008,1,1,0,L
18,1,1,3,7,3,0.429,18,5,0.278,4,3,0.75,"FEB 10, 2009",0020800765,IND vs. CLE,38,2,2,-7,16,101122,5,22008,0,4,0,W
19,4,0,5,7,4,0.571,15,9,0.6,7,7,1.0,"FEB 08, 2009",0020800755,IND @ WAS,35,0,4,-4,29,101122,5,22008,0,1,0,L
20,1,2,5,8,3,0.375,21,9,0.429,12,12,1.0,"FEB 06, 2009",0020800735,IND vs. ORL,37,0,2,5,33,101122,5,22008,0,1,0,W
21,2,3,2,7,1,0.143,15,6,0.4,6,5,0.833,"FEB 05, 2009",0020800731,IND @ PHI,35,0,2,-2,18,101122,2,22008,0,3,0,L
22,4,2,5,7,4,0.571,19,10,0.526,4,4,1.0,"FEB 03, 2009",0020800715,IND vs. MIN,37,0,1,-3,28,101122,5,22008,1,2,0,L
23,1,4,7,9,4,0.444,17,6,0.353,3,3,1.0,"JAN 31, 2009",0020800692,IND vs. NYK,38,1,2,-10,19,101122,8,22008,0,4,0,L
24,4,2,4,7,2,0.286,17,6,0.353,5,5,1.0,"JAN 30, 2009",0020800682,IND vs. MIA,34,1,1,17,19,101122,5,22008,2,0,0,W
25,2,2,2,4,2,0.5,14,4,0.286,0,0,0.0,"JAN 27, 2009",0020800663,IND @ ORL,28,0,3,-15,10,101122,2,22008,2,3,0,L
26,3,1,5,5,1,0.2,25,11,0.44,4,4,1.0,"JAN 25, 2009",0020800651,IND vs. CHA,38,1,1,4,27,101122,6,22008,0,1,0,W
27,5,3,6,5,3,0.6,19,5,0.263,12,12,1.0,"JAN 23, 2009",0020800632,IND vs. HOU,38,0,1,6,25,101122,6,22008,2,2,0,W
28,1,0,1,0,0,0.0,15,5,0.333,8,7,0.875,"JAN 20, 2009",0020800614,IND @ SAS,33,0,1,-22,17,101122,1,22008,0,2,0,L
29,2,1,4,7,5,0.714,23,10,0.435,6,5,0.833,"JAN 19, 2009",0020800607,IND @ NOH,43,1,2,0,30,101122,5,22008,0,0,0,L
30,4,2,3,10,3,0.3,24,8,0.333,4,4,1.0,"JAN 16, 2009",0020800580,IND vs. TOR,32,2,4,4,23,101122,5,22008,2,1,0,W
31,0,1,10,6,2,0.333,20,6,0.3,11,10,0.909,"JAN 14, 2009",0020800566,IND vs. DET,45,0,2,5,24,101122,10,22008,1,0,0,W
32,7,2,1,7,6,0.857,19,10,0.526,4,4,1.0,"JAN 12, 2009",0020800558,IND @ UTA,40,0,2,-3,30,101122,1,22008,0,3,0,L
33,3,2,5,6,2,0.333,27,13,0.481,14,14,1.0,"JAN 11, 2009",0020800550,IND @ GSW,41,2,5,-7,42,101122,7,22008,2,2,0,L
34,1,1,3,8,2,0.25,17,8,0.471,11,10,0.909,"JAN 09, 2009",0020800538,IND @ LAL,37,1,6,1,28,101122,4,22008,2,1,0,L
