,AST,BLK,DREB,FG3A,FG3M,FG3_PCT,FGA,FGM,FG_PCT,FTA,FTM,FT_PCT,GAME_DATE,Game_ID,MATCHUP,MIN,OREB,PF,PLUS_MINUS,PTS,Player_ID,REB,SEASON_ID,STL,TOV,VIDEO_AVAILABLE,WL
0,2,0,4,2,1,0.5,28,13,0.464,4,2,0.5,"APR 13, 2010",0020901216,DEN @ PHX,39,2,4,-18,29,2546,6,22009,2,1,0,L
1,1,0,2,4,1,0.25,14,6,0.429,9,8,0.889,"APR 12, 2010",0020901209,DEN vs. MEM,31,2,2,17,21,2546,4,22009,0,2,0,W
2,1,0,3,4,2,0.5,18,8,0.444,2,1,0.5,"APR 10, 2010",0020901192,DEN vs. SAS,35,1,5,-14,19,2546,4,22009,2,5,0,L
3,4,3,2,5,3,0.6,20,10,0.5,11,8,0.727,"APR 08, 2010",0020901173,DEN vs. LAL,42,2,4,-1,31,2546,4,22009,1,1,0,W
4,1,1,8,1,0,0.0,21,7,0.333,11,10,0.909,"APR 07, 2010",0020901165,DEN @ OKC,39,3,3,2,24,2546,11,22009,4,5,0,W
5,5,2,1,0,0,0.0,21,11,0.524,2,2,1.0,"APR 03, 2010",0020901139,DEN vs. LAC,42,3,2,0,24,2546,4,22009,1,3,0,W
6,2,0,3,2,0,0.0,21,10,0.476,5,5,1.0,"APR 01, 2010",0020901121,DEN vs. POR,32,2,4,3,25,2546,5,22009,1,9,0,W
7,1,0,4,1,1,1.0,16,3,0.188,3,3,1.0,"MAR 29, 2010",0020901100,DEN @ DAL,37,5,5,-21,10,2546,9,22009,1,0,0,L
8,2,0,6,5,1,0.2,25,11,0.44,4,3,0.75,"MAR 28, 2010",0020901092,DEN @ ORL,41,2,2,3,26,2546,8,22009,1,1,0,L
9,2,0,6,4,1,0.25,22,10,0.455,6,4,0.667,"MAR 26, 2010",0020901075,DEN @ TOR,41,2,3,3,25,2546,8,22009,1,1,0,W
10,5,1,3,3,1,0.333,23,9,0.391,16,13,0.813,"MAR 24, 2010",0020901058,DEN @ BOS,41,2,4,-13,32,2546,5,22009,1,2,0,L
11,2,1,5,3,0,0.0,26,14,0.538,8,8,1.0,"MAR 23, 2010",0020901055,DEN @ NYK,42,0,3,-1,36,2546,5,22009,0,1,0,L
12,2,1,2,2,0,0.0,29,10,0.345,12,9,0.75,"MAR 20, 2010",0020901034,DEN vs. MIL,41,5,4,-1,29,2546,7,22009,1,4,0,L
13,4,0,14,3,0,0.0,25,12,0.48,2,2,1.0,"MAR 18, 2010",0020901017,DEN vs. NOH,42,4,3,17,26,2546,18,22009,1,3,0,W
14,2,0,7,2,0,0.0,26,12,0.462,5,5,1.0,"MAR 16, 2010",0020901002,DEN vs. WAS,42,5,4,6,29,2546,12,22009,1,4,0,W
15,3,1,5,5,3,0.6,35,18,0.514,7,6,0.857,"MAR 15, 2010",0020900993,DEN @ HOU,40,5,3,6,45,2546,10,22009,0,1,0,L
16,2,0,2,1,0,0.0,22,12,0.545,0,0,0.0,"MAR 13, 2010",0020900978,DEN @ MEM,35,4,2,9,24,2546,6,22009,1,0,0,W
17,3,0,8,2,0,0.0,27,13,0.481,6,6,1.0,"MAR 12, 2010",0020900971,DEN @ NOH,44,4,2,8,32,2546,12,22009,0,3,0,W
18,5,1,6,3,0,0.0,16,6,0.375,8,7,0.875,"MAR 10, 2010",0020900957,DEN @ MIN,41,0,3,2,19,2546,6,22009,5,2,0,W
19,5,0,2,3,0,0.0,19,11,0.579,12,8,0.667,"MAR 07, 2010",0020900939,DEN vs. POR,39,0,4,17,30,2546,2,22009,0,3,0,W
20,4,1,4,3,1,0.333,20,12,0.6,10,9,0.9,"MAR 05, 2010",0020900922,DEN vs. IND,34,2,4,15,34,2546,6,22009,0,3,0,W
21,5,1,6,2,1,0.5,19,11,0.579,8,7,0.875,"MAR 03, 2010",0020900908,DEN vs. OKC,32,2,1,31,30,2546,8,22009,2,3,0,W
22,4,0,5,5,1,0.2,21,7,0.333,5,2,0.4,"MAR 01, 2010",0020900893,DEN @ PHX,37,2,2,-5,17,2546,7,22009,3,2,0,L
23,1,0,2,2,0,0.0,19,7,0.368,8,7,0.875,"FEB 28, 2010",0020900879,DEN @ LAL,39,3,6,-7,21,2546,5,22009,1,8,0,L
24,3,0,3,3,0,0.0,25,8,0.32,13,8,0.615,"FEB 26, 2010",0020900867,DEN vs. DET,36,0,1,-8,24,2546,3,22009,3,4,0,W
25,1,0,4,2,0,0.0,21,12,0.571,8,3,0.375,"FEB 25, 2010",0020900858,DEN @ GSW,38,1,2,22,27,2546,5,22009,0,3,0,W
26,8,0,2,4,1,0.25,15,7,0.467,9,8,0.889,"FEB 21, 2010",0020900824,DEN vs. BOS,43,2,2,14,23,2546,4,22009,1,3,0,W
27,1,0,6,2,0,0.0,20,7,0.35,14,9,0.643,"FEB 19, 2010",0020900806,DEN @ WAS,34,1,4,-6,23,2546,7,22009,0,5,0,L
28,7,2,4,4,1,0.25,28,13,0.464,16,13,0.813,"FEB 18, 2010",0020900802,DEN @ CLE,48,2,4,8,40,2546,6,22009,1,1,0,W
29,3,1,5,3,2,0.667,17,6,0.353,8,5,0.625,"FEB 11, 2010",0020900780,DEN vs. SAS,37,1,5,-20,19,2546,6,22009,3,4,0,L
30,6,0,4,5,3,0.6,16,8,0.5,0,0,0.0,"FEB 09, 2010",0020900766,DEN vs. DAL,30,0,2,25,19,2546,4,22009,0,3,0,W
31,4,0,5,4,1,0.25,28,9,0.321,13,11,0.846,"JAN 23, 2010",0020900643,DEN vs. NOH,48,6,1,3,30,2546,11,22009,2,4,0,W
32,2,1,6,5,2,0.4,18,7,0.389,16,12,0.75,"JAN 21, 2010",0020900622,DEN vs. LAC,36,4,0,15,28,2546,10,22009,2,3,0,W
33,4,1,2,0,0,0.0,22,7,0.318,11,9,0.818,"JAN 20, 2010",0020900619,DEN @ GSW,46,2,3,8,23,2546,4,22009,3,5,0,W
34,2,0,4,2,0,0.0,22,13,0.591,12,11,0.917,"JAN 17, 2010",0020900593,DEN vs. UTA,38,4,4,-4,37,2546,8,22009,3,7,0,W
35,5,1,7,5,2,0.4,15,8,0.533,9,9,1.0,"JAN 13, 2010",0020900566,DEN vs. ORL,36,0,3,26,27,2546,7,22009,2,4,0,W
36,2,0,1,5,3,0.6,17,9,0.529,3,3,1.0,"JAN 11, 2010",0020900549,DEN vs. MIN,34,1,5,10,24,2546,2,22009,1,4,0,W
37,2,0,3,2,1,0.5,35,15,0.429,7,3,0.429,"DEC 28, 2009",0020900450,DEN @ SAC,42,5,5,3,34,2546,8,22009,1,4,0,L
38,4,1,7,0,0,0.0,19,5,0.263,7,6,0.857,"DEC 27, 2009",0020900443,DEN vs. DAL,31,5,6,7,16,2546,12,22009,2,2,0,L
39,4,0,5,2,1,0.5,23,11,0.478,10,9,0.9,"DEC 25, 2009",0020900428,DEN @ POR,40,4,4,-11,32,2546,9,22009,0,1,0,L
40,7,1,5,3,1,0.333,19,8,0.421,9,7,0.778,"DEC 23, 2009",0020900421,DEN vs. ATL,40,1,3,21,24,2546,6,22009,1,2,0,W
41,5,0,5,6,1,0.167,26,13,0.5,17,14,0.824,"DEC 20, 2009",0020900394,DEN @ MEM,43,1,4,-1,41,2546,6,22009,1,5,0,L
42,4,0,4,1,0,0.0,16,5,0.313,9,7,0.778,"DEC 18, 2009",0020900379,DEN @ NOH,37,2,2,-19,17,2546,6,22009,1,2,0,L
