,AST,BLK,DREB,FG3A,FG3M,FG3_PCT,FGA,FGM,FG_PCT,FTA,FTM,FT_PCT,GAME_DATE,Game_ID,MATCHUP,MIN,OREB,PF,PLUS_MINUS,PTS,Player_ID,REB,SEASON_ID,STL,TOV,VIDEO_AVAILABLE,WL
0,5,0,5,2,1,0.5,20,8,0.4,2,2,1.0,"APR 14, 2010",0020901220,DAL vs. SAS,33,0,2,8,19,1717,5,22009,0,1,0,W
1,3,1,7,3,3,1.0,13,9,0.692,4,4,1.0,"APR 12, 2010",0020901212,DAL @ LAC,23,1,3,23,25,1717,8,22009,2,1,0,W
2,2,0,5,2,2,1.0,20,12,0.6,13,13,1.0,"APR 10, 2010",0020901193,DAL @ SAC,37,2,1,15,39,1717,7,22009,0,2,0,W
3,0,0,8,2,1,0.5,24,11,0.458,17,17,1.0,"APR 09, 2010",0020901186,DAL @ POR,42,2,2,0,40,1717,10,22009,1,3,0,W
4,0,1,7,1,1,1.0,14,9,0.643,3,3,1.0,"APR 07, 2010",0020901167,DAL vs. MEM,34,2,3,22,22,1717,9,22009,1,1,0,W
5,3,0,10,0,0,0.0,19,10,0.526,10,10,1.0,"APR 03, 2010",0020901137,DAL vs. OKC,44,3,3,1,30,1717,13,22009,0,5,0,L
6,0,1,6,1,0,0.0,22,9,0.409,6,6,1.0,"APR 01, 2010",0020901120,DAL vs. ORL,36,0,3,-10,24,1717,6,22009,1,0,0,L
7,6,1,5,6,3,0.5,23,9,0.391,7,7,1.0,"MAR 31, 2010",0020901114,DAL @ MEM,46,0,4,1,28,1717,5,22009,2,4,0,W
8,10,1,7,5,4,0.8,17,7,0.412,17,16,0.941,"MAR 29, 2010",0020901100,DAL vs. DEN,37,3,3,20,34,1717,10,22009,0,2,0,W
9,3,1,10,2,1,0.5,14,6,0.429,1,0,0.0,"MAR 27, 2010",0020901086,DAL @ GSW,30,0,0,22,13,1717,10,22009,2,1,0,W
10,3,0,6,2,1,0.5,13,5,0.385,4,4,1.0,"MAR 25, 2010",0020901070,DAL @ POR,42,1,3,-10,15,1717,7,22009,2,2,0,L
11,2,0,2,1,1,1.0,11,8,0.727,1,1,1.0,"MAR 23, 2010",0020901056,DAL vs. LAC,19,0,3,-4,18,1717,2,22009,1,1,0,W
12,3,0,4,0,0,0.0,12,8,0.667,0,0,0.0,"MAR 22, 2010",0020901048,DAL @ NOH,35,1,3,-19,16,1717,5,22009,0,5,0,L
13,2,0,3,1,1,1.0,19,11,0.579,6,5,0.833,"MAR 20, 2010",0020901033,DAL vs. BOS,42,2,2,-12,28,1717,5,22009,0,1,0,L
14,5,0,6,0,0,0.0,16,10,0.625,8,6,0.75,"MAR 17, 2010",0020901011,DAL vs. CHI,37,1,2,5,26,1717,7,22009,3,2,0,W
15,3,2,11,1,0,0.0,13,5,0.385,10,10,1.0,"MAR 13, 2010",0020900979,DAL vs. NYK,38,1,3,-24,20,1717,12,22009,0,1,0,L
16,4,1,5,1,0,0.0,16,3,0.188,7,6,0.857,"MAR 10, 2010",0020900959,DAL vs. NJN,40,0,3,6,12,1717,5,22009,0,5,0,W
17,3,1,5,0,0,0.0,15,8,0.533,10,8,0.8,"MAR 08, 2010",0020900943,DAL @ MIN,30,1,4,14,24,1717,6,22009,1,0,0,W
18,2,2,4,2,0,0.0,22,11,0.5,6,5,0.833,"MAR 06, 2010",0020900928,DAL @ CHI,37,1,3,-10,27,1717,5,22009,1,3,0,W
19,3,3,10,0,0,0.0,26,12,0.462,7,7,1.0,"MAR 05, 2010",0020900921,DAL vs. SAC,42,2,2,-3,31,1717,12,22009,0,1,0,W
20,3,0,3,0,0,0.0,14,6,0.429,10,10,1.0,"MAR 03, 2010",0020900906,DAL vs. MIN,39,2,4,1,22,1717,5,22009,1,1,0,W
21,1,2,12,0,0,0.0,23,12,0.522,3,3,1.0,"MAR 01, 2010",0020900886,DAL @ CHA,42,1,3,5,27,1717,13,22009,1,1,0,W
22,7,0,7,0,0,0.0,25,14,0.56,9,8,0.889,"FEB 28, 2010",0020900885,DAL vs. NOH,39,1,3,5,36,1717,8,22009,1,0,0,W
23,4,1,8,2,2,1.0,26,15,0.577,5,5,1.0,"FEB 26, 2010",0020900861,DAL @ ATL,46,1,2,14,37,1717,9,22009,1,2,0,W
24,1,0,8,0,0,0.0,19,10,0.526,11,11,1.0,"FEB 24, 2010",0020900852,DAL vs. LAL,42,1,2,10,31,1717,9,22009,1,1,0,W
25,1,1,6,1,0,0.0,14,7,0.5,9,9,1.0,"FEB 22, 2010",0020900834,DAL vs. IND,32,1,3,25,23,1717,7,22009,0,2,0,W
26,2,1,5,2,0,0.0,21,10,0.476,8,8,1.0,"FEB 20, 2010",0020900819,DAL vs. MIA,40,0,1,9,28,1717,5,22009,1,1,0,W
27,5,3,4,1,1,1.0,24,10,0.417,2,2,1.0,"FEB 19, 2010",0020900812,DAL @ ORL,39,0,3,4,23,1717,4,22009,2,1,0,W
28,3,1,4,1,0,0.0,24,11,0.458,7,6,0.857,"FEB 17, 2010",0020900799,DAL vs. PHX,41,3,2,14,28,1717,7,22009,1,2,0,W
29,6,0,6,1,0,0.0,22,9,0.409,6,6,1.0,"FEB 16, 2010",0020900786,DAL @ OKC,36,3,2,-18,24,1717,9,22009,0,2,0,L
