,AST,BLK,DREB,FG3A,FG3M,FG3_PCT,FGA,FGM,FG_PCT,FTA,FTM,FT_PCT,GAME_DATE,Game_ID,MATCHUP,MIN,OREB,PF,PLUS_MINUS,PTS,Player_ID,REB,SEASON_ID,STL,TOV,VIDEO_AVAILABLE,WL
0,3,1,3,2,1,0.5,19,12,0.632,7,5,0.714,"APR 12, 2010",0020901203,MIA @ PHI,35,1,4,-1,30,2548,4,22009,2,4,0,W
1,5,0,4,1,0,0.0,26,12,0.462,9,8,0.889,"APR 11, 2010",0020901199,MIA @ NYK,37,1,1,15,32,2548,5,22009,0,2,0,W
2,9,1,3,1,1,1.0,8,5,0.625,9,8,0.889,"APR 09, 2010",0020901179,MIA vs. DET,37,0,3,-9,19,2548,3,22009,0,5,0,L
3,3,2,3,3,0,0.0,18,8,0.444,11,6,0.545,"APR 07, 2010",0020901161,MIA vs. PHI,37,1,4,-1,22,2548,4,22009,2,3,0,W
4,6,0,7,2,1,0.5,27,15,0.556,10,8,0.8,"APR 03, 2010",0020901136,MIA @ MIN,40,1,3,20,39,2548,8,22009,0,5,0,W
5,6,3,7,3,2,0.667,22,14,0.636,17,13,0.765,"APR 02, 2010",0020901123,MIA @ IND,44,2,1,20,43,2548,9,22009,3,5,0,W
6,1,0,1,1,0,0.0,13,4,0.308,2,2,1.0,"MAR 31, 2010",0020901112,MIA @ DET,28,2,1,-3,10,2548,3,22009,2,2,0,W
7,6,3,7,3,1,0.333,18,11,0.611,10,9,0.9,"MAR 28, 2010",0020901091,MIA vs. TOR,43,0,4,12,32,2548,7,22009,5,6,0,W
8,7,1,6,2,1,0.5,14,9,0.643,12,11,0.917,"MAR 26, 2010",0020901079,MIA @ MIL,37,1,1,9,30,2548,7,22009,3,5,0,W
9,10,2,5,0,0,0.0,7,5,0.714,7,2,0.286,"MAR 25, 2010",0020901068,MIA @ CHI,29,0,0,28,12,2548,5,22009,1,1,0,W
10,12,1,4,0,0,0.0,13,9,0.692,12,9,0.75,"MAR 22, 2010",0020901044,MIA @ NJN,38,3,2,8,27,2548,7,22009,2,2,0,W
11,9,5,5,3,0,0.0,18,6,0.333,4,2,0.5,"MAR 20, 2010",0020901030,MIA vs. CHA,40,0,5,11,14,2548,5,22009,1,3,0,W
12,7,1,7,7,3,0.429,26,12,0.462,10,9,0.9,"MAR 18, 2010",0020901016,MIA vs. ORL,45,3,4,-10,36,2548,10,22009,1,1,0,L
13,5,1,2,4,1,0.25,26,11,0.423,8,5,0.625,"MAR 16, 2010",0020900999,MIA vs. SAS,43,1,4,-12,28,2548,3,22009,3,5,0,L
14,2,1,4,4,1,0.25,25,14,0.56,11,9,0.818,"MAR 14, 2010",0020900985,MIA vs. PHI,36,1,1,13,38,2548,5,22009,5,1,0,W
15,7,0,2,2,0,0.0,16,7,0.438,12,8,0.667,"MAR 12, 2010",0020900967,MIA vs. CHI,33,0,2,19,22,2548,2,22009,1,6,0,W
16,8,0,3,0,0,0.0,12,6,0.5,17,15,0.882,"MAR 10, 2010",0020900956,MIA vs. LAC,30,3,3,21,27,2548,6,22009,2,1,0,W
17,2,0,3,5,1,0.2,26,11,0.423,4,4,1.0,"MAR 09, 2010",0020900945,MIA @ CHA,37,4,3,-9,27,2548,7,22009,1,4,0,L
18,10,0,3,9,4,0.444,25,10,0.4,18,14,0.778,"MAR 06, 2010",0020900926,MIA vs. ATL,42,1,3,13,38,2548,4,22009,2,1,0,W
19,14,0,2,3,1,0.333,21,9,0.429,9,8,0.889,"MAR 04, 2010",0020900912,MIA vs. LAL,42,3,3,5,27,2548,5,22009,1,6,0,W
20,12,0,5,2,0,0.0,23,15,0.652,8,5,0.625,"MAR 02, 2010",0020900896,MIA vs. GSW,37,1,2,12,35,2548,6,22009,4,3,0,W
21,5,0,3,2,0,0.0,17,6,0.353,12,9,0.75,"FEB 28, 2010",0020900883,MIA @ ORL,37,2,3,-3,21,2548,5,22009,1,5,0,L
22,1,0,2,1,0,0.0,4,2,0.5,5,4,0.8,"FEB 17, 2010",0020900795,MIA @ NJN,7,1,0,5,8,2548,3,22009,0,0,0,W
23,6,1,5,1,1,1.0,16,8,0.5,8,7,0.875,"FEB 16, 2010",0020900782,MIA @ PHI,28,1,0,16,24,2548,6,22009,1,4,0,W
24,11,1,1,2,0,0.0,15,7,0.467,7,4,0.571,"FEB 10, 2010",0020900769,MIA @ ATL,35,3,1,5,18,2548,4,22009,2,2,0,W
25,7,1,3,1,0,0.0,14,8,0.571,1,1,1.0,"FEB 09, 2010",0020900762,MIA vs. HOU,29,1,0,10,17,2548,4,22009,5,2,0,W
26,8,0,3,3,0,0.0,21,7,0.333,8,6,0.75,"FEB 06, 2010",0020900745,MIA @ CHI,39,3,3,9,20,2548,6,22009,2,3,0,L
27,9,0,0,3,1,0.333,26,11,0.423,2,1,0.5,"FEB 04, 2010",0020900729,MIA @ CLE,39,3,4,-16,24,2548,3,22009,4,6,0,L
28,13,2,4,4,2,0.5,16,11,0.688,8,6,0.75,"FEB 03, 2010",0020900722,MIA @ BOS,41,1,5,6,30,2548,5,22009,1,6,0,L
29,6,0,1,5,1,0.2,19,7,0.368,9,8,0.889,"FEB 01, 2010",0020900705,MIA vs. MIL,36,0,5,-10,23,2548,1,22009,4,4,0,L
30,7,0,1,6,0,0.0,20,6,0.3,12,9,0.75,"JAN 30, 2010",0020900693,MIA @ MIL,31,1,5,-8,21,2548,2,22009,0,4,0,L
31,3,0,4,5,4,0.8,11,7,0.636,7,4,0.571,"JAN 29, 2010",0020900680,MIA @ DET,24,0,2,15,22,2548,4,22009,1,3,0,W
32,10,1,0,6,1,0.167,25,13,0.52,8,8,1.0,"JAN 27, 2010",0020900665,MIA @ TOR,43,1,2,1,35,2548,1,22009,1,3,0,L
33,5,1,7,5,3,0.6,21,10,0.476,16,9,0.563,"JAN 25, 2010",0020900651,MIA vs. CLE,39,3,1,2,32,2548,10,22009,3,2,0,L
34,8,3,3,3,0,0.0,15,11,0.733,7,5,0.714,"JAN 23, 2010",0020900640,MIA vs. SAC,30,1,1,27,27,2548,4,22009,1,0,0,W
35,10,0,3,7,4,0.571,19,12,0.632,5,4,0.8,"JAN 22, 2010",0020900626,MIA @ WAS,34,0,0,26,32,2548,3,22009,0,3,0,W
