,AST,BLK,DREB,FG3A,FG3M,FG3_PCT,FGA,FGM,FG_PCT,FTA,FTM,FT_PCT,GAME_DATE,Game_ID,MATCHUP,MIN,OREB,PF,PLUS_MINUS,PTS,Player_ID,REB,SEASON_ID,STL,TOV,VIDEO_AVAILABLE,WL
0,3,0,4,8,4,0.5,24,14,0.583,6,2,0.333,"APR 14, 2010",0020901229,GSW @ POR,48,0,3,6,34,101145,4,22009,2,0,0,W
1,6,2,4,6,0,0.0,22,4,0.182,8,6,0.75,"APR 13, 2010",0020901214,GSW vs. UTA,48,1,3,-9,14,101145,5,22009,4,6,0,L
2,3,2,3,6,3,0.5,21,10,0.476,6,4,0.667,"APR 11, 2010",0020901200,GSW vs. OKC,37,1,3,-8,27,101145,4,22009,0,4,0,W
3,4,0,2,4,1,0.25,16,6,0.375,2,1,0.5,"MAR 27, 2010",0020901086,GSW vs. DAL,27,0,2,-17,14,101145,2,22009,0,0,0,L
4,8,0,6,3,0,0.0,16,7,0.438,8,7,0.875,"MAR 24, 2010",0020901067,GSW vs. MEM,39,0,2,7,21,101145,6,22009,3,3,0,W
5,6,0,3,7,2,0.286,27,9,0.333,12,10,0.833,"MAR 22, 2010",0020901052,GSW vs. PHX,44,1,2,-7,30,101145,4,22009,3,1,0,L
6,3,0,1,4,2,0.5,20,12,0.6,2,2,1.0,"MAR 20, 2010",0020901032,GSW @ MEM,41,0,1,-10,28,101145,1,22009,5,1,0,L
7,4,0,3,11,5,0.455,28,15,0.536,4,4,1.0,"MAR 19, 2010",0020901024,GSW @ SAS,39,1,2,-34,39,101145,4,22009,0,2,0,L
8,13,0,3,5,2,0.4,23,10,0.435,6,6,1.0,"MAR 17, 2010",0020901014,GSW vs. NOH,48,0,5,10,28,101145,3,22009,4,3,0,W
9,11,0,0,6,1,0.167,23,5,0.217,2,2,1.0,"MAR 15, 2010",0020900995,GSW vs. LAL,45,1,2,-9,13,101145,1,22009,5,1,0,L
10,2,0,4,7,5,0.714,22,12,0.545,3,2,0.667,"MAR 13, 2010",0020900982,GSW vs. TOR,45,0,3,14,31,101145,4,22009,2,3,0,W
11,2,0,2,3,1,0.333,15,7,0.467,3,2,0.667,"MAR 11, 2010",0020900963,GSW vs. POR,28,1,6,1,17,101145,3,22009,2,4,0,L
12,3,0,4,5,1,0.2,22,6,0.273,9,9,1.0,"FEB 25, 2010",0020900858,GSW vs. DEN,43,1,0,-20,22,101145,5,22009,2,3,0,L
13,4,0,3,6,2,0.333,22,8,0.364,4,4,1.0,"FEB 23, 2010",0020900844,GSW vs. PHI,41,0,5,-5,22,101145,3,22009,2,5,0,L
14,4,0,5,5,2,0.4,21,10,0.476,6,4,0.667,"FEB 21, 2010",0020900829,GSW vs. ATL,40,0,4,-15,26,101145,5,22009,2,4,0,W
15,6,0,2,2,0,0.0,14,2,0.143,2,2,1.0,"FEB 19, 2010",0020900814,GSW vs. UTA,28,0,2,-21,6,101145,2,22009,2,3,0,L
16,5,0,4,5,2,0.4,23,10,0.435,7,5,0.714,"FEB 08, 2010",0020900756,GSW vs. DAL,44,1,3,-7,27,101145,5,22009,4,5,0,L
17,6,0,3,5,2,0.4,22,6,0.273,2,1,0.5,"FEB 06, 2010",0020900751,GSW vs. OKC,40,0,4,-12,15,101145,3,22009,2,7,0,L
18,2,1,1,6,4,0.667,23,17,0.739,13,8,0.615,"FEB 03, 2010",0020900724,GSW @ DAL,41,3,5,-9,46,101145,4,22009,1,7,0,L
19,2,2,2,6,2,0.333,22,13,0.591,9,6,0.667,"FEB 02, 2010",0020900717,GSW @ HOU,39,0,1,-20,34,101145,2,22009,2,2,0,L
20,2,1,3,7,3,0.429,24,9,0.375,6,4,0.667,"JAN 31, 2010",0020900703,GSW @ OKC,37,0,3,-20,25,101145,3,22009,4,5,0,L
