,AST,BLK,DREB,FG3A,FG3M,FG3_PCT,FGA,FGM,FG_PCT,FTA,FTM,FT_PCT,GAME_DATE,Game_ID,MATCHUP,MIN,OREB,PF,PLUS_MINUS,PTS,Player_ID,REB,SEASON_ID,STL,TOV,VIDEO_AVAILABLE,WL
0,1,1,2,0,0,0.0,15,6,0.4,3,2,0.667,"APR 13, 2011",0021001216,NYK @ BOS,20,2,1,-3,14,2405,4,22010,0,2,0,L
1,7,3,5,1,0,0.0,19,7,0.368,5,4,0.8,"APR 06, 2011",0021001165,NYK @ PHI,39,1,2,3,18,2405,6,22010,1,2,0,W
2,5,2,5,0,0,0.0,13,7,0.538,11,9,0.818,"APR 05, 2011",0021001155,NYK vs. TOR,36,1,3,7,23,2405,6,22010,1,2,0,W
3,0,2,5,0,0,0.0,20,9,0.45,12,10,0.833,"APR 03, 2011",0021001143,NYK vs. CLE,39,2,4,15,28,2405,7,22010,1,2,0,W
4,3,2,1,0,0,0.0,15,10,0.667,6,3,0.5,"MAR 30, 2011",0021001111,NYK vs. NJN,31,0,5,-4,23,2405,1,22010,0,0,0,W
5,3,0,6,0,0,0.0,10,6,0.6,10,8,0.8,"MAR 28, 2011",0021000051,NYK vs. ORL,44,3,2,13,20,2405,9,22010,2,4,0,W
6,3,4,3,0,0,0.0,13,4,0.308,7,6,0.857,"MAR 26, 2011",0021001082,NYK @ CHA,39,3,3,-9,14,2405,6,22010,0,2,0,L
7,2,1,3,0,0,0.0,20,10,0.5,10,8,0.8,"MAR 25, 2011",0021001073,NYK vs. MIL,39,6,3,-7,28,2405,9,22010,1,2,0,L
8,2,2,3,0,0,0.0,20,6,0.3,3,1,0.333,"MAR 23, 2011",0021001059,NYK vs. ORL,40,4,5,-15,13,2405,7,22010,1,1,0,L
9,1,1,9,0,0,0.0,15,7,0.467,4,2,0.5,"MAR 21, 2011",0021001046,NYK vs. BOS,35,2,3,-17,16,2405,11,22010,1,3,0,L
10,3,0,5,1,0,0.0,28,11,0.393,3,3,1.0,"MAR 20, 2011",0021001037,NYK @ MIL,40,6,2,4,25,2405,11,22010,0,1,0,L
11,0,1,8,0,0,0.0,16,8,0.5,5,4,0.8,"MAR 18, 2011",0021001021,NYK @ DET,42,4,3,-3,20,2405,12,22010,0,5,0,L
12,3,0,7,0,0,0.0,12,6,0.5,4,4,1.0,"MAR 17, 2011",0021001015,NYK vs. MEM,37,2,5,10,16,2405,9,22010,0,1,0,W
13,1,2,9,0,0,0.0,17,7,0.412,9,7,0.778,"MAR 15, 2011",0021001000,NYK @ IND,34,1,5,-5,21,2405,10,22010,0,2,0,L
14,2,0,5,0,0,0.0,15,8,0.533,14,12,0.857,"MAR 13, 2011",0021000989,NYK vs. IND,34,1,5,0,28,2405,6,22010,0,3,0,L
15,1,1,4,0,0,0.0,27,12,0.444,13,12,0.923,"MAR 10, 2011",0021000965,NYK @ DAL,38,3,2,-23,36,2405,7,22010,1,3,0,L
16,3,0,5,0,0,0.0,22,13,0.591,0,0,0.0,"MAR 09, 2011",0021000958,NYK @ MEM,41,1,2,3,26,2405,6,22010,2,6,0,W
17,0,3,3,0,0,0.0,15,12,0.8,7,7,1.0,"MAR 07, 2011",0021000942,NYK vs. UTA,24,1,4,28,31,2405,4,22010,0,3,0,W
