,AST,BLK,DREB,FG3A,FG3M,FG3_PCT,FGA,FGM,FG_PCT,FTA,FTM,FT_PCT,GAME_DATE,Game_ID,MATCHUP,MIN,OREB,PF,PLUS_MINUS,PTS,Player_ID,REB,SEASON_ID,STL,TOV,VIDEO_AVAILABLE,WL
0,1,0,3,3,0,0.0,13,5,0.385,8,5,0.625,"APR 13, 2011",0021001222,CHI vs. NJN,30,1,1,-5,15,201565,4,22010,0,0,0,W
1,3,1,0,6,2,0.333,19,10,0.526,5,4,0.8,"APR 12, 2011",0021001213,CHI @ NYK,38,0,3,17,26,201565,0,22010,2,4,0,W
2,5,1,2,5,3,0.6,17,13,0.765,10,10,1.0,"APR 10, 2011",0021001193,CHI @ ORL,37,1,3,6,39,201565,3,22010,0,5,0,W
3,8,0,1,2,0,0.0,10,4,0.4,3,3,1.0,"APR 08, 2011",0021001180,CHI @ CLE,33,0,2,3,11,201565,1,22010,0,4,0,W
4,8,0,4,5,2,0.4,16,9,0.563,10,10,1.0,"APR 07, 2011",0021001174,CHI vs. BOS,40,1,3,24,30,201565,5,22010,2,3,0,W
5,4,1,3,5,1,0.2,15,6,0.4,6,6,1.0,"APR 05, 2011",0021001156,CHI vs. PHX,35,0,1,0,19,201565,3,22010,0,2,0,W
6,10,3,1,4,1,0.25,20,11,0.55,14,13,0.929,"APR 02, 2011",0021001133,CHI vs. TOR,42,2,3,7,36,201565,3,22010,1,4,0,W
7,7,0,3,6,3,0.5,17,8,0.471,11,8,0.727,"APR 01, 2011",0021001124,CHI @ DET,38,0,2,1,27,201565,3,22010,4,3,0,W
8,10,0,3,9,4,0.444,14,5,0.357,9,9,1.0,"MAR 30, 2011",0021001113,CHI @ MIN,31,1,0,21,23,201565,4,22010,0,1,0,W
9,5,1,3,3,0,0.0,24,12,0.5,9,7,0.778,"MAR 28, 2011",0021001098,CHI vs. PHI,42,1,1,-6,31,201565,4,22010,3,10,0,L
10,17,0,2,3,0,0.0,17,9,0.529,12,12,1.0,"MAR 26, 2011",0021001084,CHI @ MIL,40,1,1,7,30,201565,3,22010,0,2,0,W
11,7,0,4,5,0,0.0,22,6,0.273,13,12,0.923,"MAR 25, 2011",0021001074,CHI vs. MEM,38,3,1,7,24,201565,7,22010,0,4,0,W
12,10,0,2,8,6,0.75,20,11,0.55,3,2,0.667,"MAR 22, 2011",0021001051,CHI @ ATL,29,2,0,26,30,201565,4,22010,0,1,0,W
13,8,0,0,4,2,0.5,11,6,0.545,4,4,1.0,"MAR 21, 2011",0021001047,CHI vs. SAC,28,0,3,17,18,201565,0,22010,1,2,0,W
14,2,1,2,8,2,0.25,27,11,0.407,21,18,0.857,"MAR 18, 2011",0021001017,CHI @ IND,39,2,6,-9,42,201565,4,22010,0,4,0,L
